material_0,initial TN(%),initial TC(%),initial moisture content(%),initial CN(%),initial pH,material_1,Excipients_1,Additive Species,NH3-N loss  (%)
2,6.316922662667415,142.66241244791712,45.814714198862696,27.45210961252129,8.848170304031933,4,50.7751951916803,3,[34.01048553]
2,7.708175255933927,56.604382756558714,18.917959004233836,20.612934395514227,10.295858602688075,1,6.388913093499924,4,[28.00974138]
3,9.470457736891149,149.55871998892493,18.22882864862561,23.931884858949214,9.097789702696467,1,46.20095896546268,3,[39.52873941]
2,7.1400386480421165,60.181270813357315,29.05111353505002,48.764746190116156,10.148684415295856,1,46.34617187761257,2,[29.86430446]
3,3.7858213997315593,178.55173285090967,7.952085065512666,27.899745619973697,8.265961699273308,8,45.83279976512188,4,[45.59394564]
1,10.47065430356433,51.55142637540611,-0.04616543632913661,36.17736867455165,10.36504974554336,6,48.4120377921715,3,[34.01641062]
2,2.465472575555617,59.56101972098652,6.063665415312367,23.399295059494886,10.328159494623357,8,46.56424005435985,2,[36.5350617]
1,2.9452868734336803,143.84703174318147,17.693501371672497,28.62502608349335,9.70892483389622,6,24.71310204754163,1,[25.05231989]
1,8.806737982765254,46.08871125833979,9.148443334213908,33.19511818693828,9.101441631191602,8,14.02156961384824,4,[29.89580784]
1,3.176620487246352,135.81836090984433,11.852491302162212,27.733221586896924,9.149507919735528,3,29.863902220807876,4,[32.86174132]
1,5.797753627563233,167.71026089578243,15.759432381426468,28.78218605138879,10.286687391028138,4,46.259905651472174,2,[32.29554042]
3,6.747607734117038,51.40841317175909,16.6278370684655,19.185781327629524,8.327387075632151,6,48.0057186367171,3,[34.72546914]
1,8.617619970848368,50.75332014963571,25.047284926912532,33.18665501879113,9.049094641810969,4,36.193171217268116,1,[26.68133237]
2,6.279863111345304,146.89003897310195,20.47976621479748,26.150202911426728,10.510966164693322,2,47.71660778351608,0,[29.75752622]
3,9.226165201819004,113.62404790299293,44.30070270573779,27.95174443340149,9.560662302615402,5,45.76987450309406,1,[34.29718924]
1,4.159441046784549,80.95053948652729,1.1890634898886314,42.49807247947425,10.393170967322444,5,46.68426764690247,3,[30.88233787]
4,5.142758881987097,52.57995149705523,20.157480989396394,27.698764684585615,9.020998733955196,4,49.12948392300506,4,[35.96293534]
3,2.760248759225737,41.73688863890319,5.738539986339536,46.314715552597,8.49164891077511,4,40.22246258544724,2,[34.15149248]
3,7.320827767887682,138.04963393135895,30.139087652233112,22.779176301016697,9.114130341239475,3,47.160715325905805,3,[41.82115216]
3,6.315244873280324,57.88883279959678,9.728133088964562,27.388111107421853,10.664373918055512,9,1.547061808798164,4,[30.41042835]
3,2.926136372696657,84.76649398840027,10.497856368949748,19.711399241726838,8.818905565506629,5,40.74645390578108,4,[41.3060439]
3,6.562757777717534,188.0164445629528,29.579867850483264,22.782623551324946,8.518525962442132,0,50.81380194222481,4,[33.27966338]
3,9.28402840330572,196.58417747478765,38.34462670900929,42.860408782519556,9.00234971738468,2,21.976979393907403,2,[24.90758122]
4,7.885359077544129,75.87962836675742,5.044231404321784,52.89301002809337,10.4971978732164,0,50.99127699278957,4,[25.50250839]
4,7.390882143572659,122.37492543844762,12.456908895553832,35.524530148765606,8.612656035972146,5,47.87768527890312,4,[35.5370934]
3,9.866124303931894,71.9456059525618,51.072121145786504,37.57684970864093,9.3895453434093,3,13.1790635168048,2,[25.70830185]
3,6.425508879002027,68.30613968599924,46.532216388981745,20.085790046797765,10.246726851799115,2,24.576202387433455,1,[24.11108922]
3,7.575113722238987,86.30896143939663,0.11365635637300997,25.39080837178297,8.12569147196066,8,42.033945948939866,3,[34.50164496]
1,10.051691608273238,129.07448370642862,23.400024136219294,37.05818770653708,9.720494520759788,5,45.23432219326419,1,[26.61607217]
3,9.206450931222408,176.00214852014997,19.783254377286326,28.904587629244755,9.771190862499862,6,41.840789064968135,0,[31.44237778]
1,7.3395151713076,62.70785452621451,49.42389509777985,30.944512610898695,9.933578946738335,7,43.39054201992302,2,[29.09753239]
0,6.049445075196818,183.12734474496585,24.656634431649305,25.521663432525482,8.931327712239463,1,23.00752868040195,4,[27.0968176]
3,9.238001921913598,196.41712706513746,4.100853158894279,53.521339233894565,10.132861490757081,7,45.42576051915903,2,[31.58457425]
2,6.241496140750183,60.48475848822399,39.03299752480787,44.50287620638015,10.06898805661635,1,47.4588565688582,4,[34.59684875]
5,8.298316630018482,95.54459064846182,-0.6014297775054263,27.165129984628887,10.4915062085564,8,37.57496018973718,3,[26.04640852]
1,3.82928832967845,63.82279115319281,15.079584032321613,36.69076254459026,1.0781933874759566,7,34.43004664071444,4,[21.93388923]
3,7.386896927689445,65.96975439001986,10.635249095526435,31.64840763019186,9.17907237704642,10,36.983404798211254,4,[31.22630198]
3,2.8422938229037067,114.89221435964326,8.62959763966539,43.80152075736501,9.148859515241075,3,52.039815296646914,4,[36.10049513]
2,8.08708099827961,93.24364241743135,22.857400432398702,31.67238630244227,8.960829932286536,1,45.19745743824062,1,[29.86606554]
2,9.466246977577818,131.13194873007782,57.58818802348761,34.75900404086544,9.746211212781784,4,46.085776577029236,1,[27.00215381]
4,2.81717762838537,174.60413732847667,43.462162579219026,22.05816047009193,8.855046562795458,8,29.193496605381103,4,[30.47788495]
2,7.816791584413524,145.05732606713985,1.4352992791357329,30.066961079084418,9.521200439276472,4,15.947424424906002,4,[30.59670468]
3,6.093184914196876,50.2356910278949,54.24663075073608,32.42382073036144,8.597185830420246,4,45.09691875219852,3,[27.68777194]
3,2.7211920175113153,178.2122845772284,7.67768286249896,50.378607202935015,7.200066433715801,5,40.6443379184123,4,[32.94479294]
2,8.920860291314959,66.92491500743084,32.852733305102,30.289062107301383,8.374159396581868,7,51.334737827397895,3,[38.87192768]
2,8.586248834900665,32.72424431571913,45.3596160002865,28.978754078217474,8.530962013599892,8,44.68774776224557,4,[33.55162289]
3,9.604310221448381,111.6453359391335,50.82417550041504,42.912866401443715,7.980345861087933,3,47.98965823669841,0,[21.5173153]
3,2.026210992994843,86.03670898547094,34.53006811821951,27.893194456518838,9.912079821650183,8,46.54038659399104,2,[32.40927228]
2,3.1253261762376674,80.7325380279238,3.449767735355275,42.44956422169348,10.62694211656032,6,34.059011733800226,2,[27.44615946]
0,9.057394298170216,56.0393793785335,20.995966070607476,23.562845923863296,10.350172414501293,0,34.11525374928668,3,[27.65286022]
0,8.516202286669534,83.17110796427481,36.799958400186995,31.26401801168744,8.472221211123507,1,46.662550171866165,4,[34.3812677]
2,10.139773400980129,67.32256500875499,10.832910908125205,41.87959595678141,8.736177933309747,8,46.578279356440085,4,[40.41635473]
1,2.914975686907333,157.4036013987075,6.653640989727818,44.803560287490036,-0.21695492980065834,10,46.84982998671626,4,[26.63257059]
3,2.3657793116162065,59.14529720092012,46.72725973359987,23.84642762881927,10.53077800381488,8,44.563459051481054,3,[37.79100032]
2,3.789286885497977,59.03464707097649,21.10712525533413,36.3762665682678,8.998750952660743,6,12.122765327852282,3,[28.69801846]
4,1.9412240996115782,16.434150535921844,21.51100673369584,34.00409345481104,9.824110856900914,5,37.284969071658544,4,[26.90772081]
3,3.313376965850182,182.71832157806227,34.35177956298459,35.33715015101425,8.619990685028004,6,39.452682556755114,4,[36.28893189]
3,9.601553886906482,82.92512545549286,18.144848175344634,31.645968977931485,9.093183349055886,3,9.104098721875017,2,[26.73328203]
0,7.7882504212159755,47.83013223399611,16.994761597627747,52.00490630146602,8.708704224171795,9,32.843033397741124,4,[27.0921731]
0,9.396645225477664,145.3730094014895,2.080826703912142,32.033254928766986,9.076380171602368,3,32.14651412827182,4,[30.31635779]
