material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,NH3-N loss (%)
4,6.589890571181494,22.079509571601577,9.308708248006855,1,62,1.7928385506731868,110.80477306228671,4,[19.99296867]
3,15.122032046398633,70.54950502257786,9.879438938451045,4,59,0.09779268871480018,2.806850090609987,2,[21.26771572]
2,4.574372251453417,29.639193143972367,10.64489934615302,2,37,-0.1066508901828026,75.87440753860109,3,[23.0845398]
4,29.939948156861266,24.573393571652105,10.03880847789838,4,48,14.171657828355768,87.59350567713284,2,[19.5720922]
0,29.741908422083505,43.8871919243008,4.00322112858404,2,37,-0.9072911375533405,128.6287114373958,4,[21.73998721]
2,3.87924960694139,66.53025789849389,9.116828851134704,2,4,-0.40316228843966473,27.880956126814116,3,[21.4707412]
2,27.06713084260654,21.690850455412587,9.435651068364278,1,35,0.5937284895029196,28.068138087442048,2,[24.56127793]
5,23.365727467788247,41.20499794354948,9.446855471886384,4,40,0.33939029223864203,135.53187998244618,2,[20.63281386]
6,4.226281577627659,29.487803078944125,0.015002955915404792,2,54,1.217791049660712,2.8281262173176276,1,[17.80217724]
5,11.42495954842855,88.22459215098672,0.7512140377146519,4,2,5.259548957975513,176.87302671690384,3,[16.18912344]
4,28.373130444874512,39.040063951448396,9.473043838775158,2,49,3.3821351304551626,184.15033911633842,0,[18.62101058]
4,31.45689463842273,25.212428513189167,8.970248152649221,5,62,0.45794096330349365,180.31788514669682,0,[17.6144551]
2,29.679632746009624,4.669846449934735,3.1771095674367347,4,45,8.087367414360834,14.916787723969023,1,[18.12984574]
3,13.50572260801713,7.264141162791754,8.721846822252155,5,65,4.630493810641072,77.57397752349637,4,[22.56179024]
5,28.290797197122675,53.82121598032038,10.258795527474751,2,70,6.820211285990788,43.117495204243525,4,[20.43645637]
4,7.753337152255234,27.556463835222758,0.336987922488871,0,5,0.5962879748093046,127.63047720879175,3,[19.08559611]
5,19.903585684938253,20.59005377904704,10.106232309847416,2,19,4.838743285615435,69.80672760024416,1,[17.96508636]
3,8.09774116219102,67.01675145453929,9.393084731149942,3,43,0.14367898126263934,37.98945841592009,2,[22.09225313]
2,23.701195159196953,43.036714452072424,2.5906022852642057,5,58,0.2984125363479275,6.932132045617722,2,[23.65488018]
1,11.19530403715627,23.527085232409704,4.915961721420816,4,58,0.622141942718766,166.49122283818943,0,[17.25653472]
4,5.992513981325305,36.46303491749121,7.969999534723019,2,1,0.8258582387441329,11.48154748642186,1,[20.21103789]
4,25.675580777052954,32.45673290855847,6.798008818790348,4,57,1.3996984938909538,28.04431753587465,2,[25.50367467]
3,20.53453646594429,38.14526320404421,3.809571573035095,2,54,4.355093628325231,31.90659977881812,4,[21.82503478]
1,28.89720240621937,16.595774610165744,2.064950433568889,2,62,14.504056587054773,75.27779281102757,3,[20.10138647]
2,26.218254514610255,37.85871726262147,8.452194820158718,5,51,10.800783142460672,10.015485973723028,3,[26.74951067]
4,18.185710921274673,18.742610295733353,9.777693599951975,5,54,4.788541262791345,99.18246448321612,4,[21.29825634]
4,21.18036945144772,74.94742635620348,5.748308365409894,5,16,4.372368602852104,93.34896893150056,1,[16.02930523]
2,8.499861275844573,34.357264238910474,9.692849879768925,2,27,0.5831093639339717,30.260127756226414,2,[23.91361281]
2,36.794208766454645,1.6119688579650342,8.623141325480711,3,63,0.4382013774703357,28.717824899175557,4,[28.22833353]
2,27.921512946563677,1.7997021258667032,6.794098754197469,5,34,10.835515793101887,134.16648648912295,2,[18.98959564]
1,8.595823293496506,30.834236182244712,10.656504363188938,3,5,4.02150183305838,35.92290166225849,3,[18.343236]
2,48.64429525377755,42.17089210459021,8.557019353563552,2,15,10.633709864221771,74.58865543576499,4,[17.53780652]
2,26.424163173872472,16.048462584363698,1.9635214781705064,4,68,1.8433953049769225,7.6126619780769005,4,[27.34231591]
0,29.25280678070541,6.531120023244046,0.23432019411322558,2,53,12.913232839571284,69.27222047825863,2,[17.63248795]
5,23.029763253199295,-0.7196955570489805,8.254743560428542,2,53,5.6645716989977855,145.29682550575086,4,[18.91918783]
2,28.76635824848536,12.800832884006226,5.14922435389495,5,10,-0.4809308033225719,90.73623072348727,4,[21.68464127]
4,20.00340187810019,33.78527454599827,9.262988166508986,1,54,0.9602202499041637,151.96577576582752,2,[19.99673476]
2,31.593120861477892,23.06224998918721,2.0095634641769404,3,10,0.3730843742074641,178.71620015619706,0,[18.85971253]
1,30.284177790757276,29.751594072851375,6.355786661773352,1,70,-0.15502095861455456,87.3716007723745,0,[18.6834462]
6,27.265936590227625,38.71984187745923,4.80469039279757,4,65,4.192866590194163,35.53247926780921,2,[20.14077138]
1,14.141052358347673,68.67459598825326,9.376752703161136,2,25,2.395598146092503,167.7061842428758,1,[18.00168971]
1,51.3875137918031,3.660544893712955,3.0772169099280724,5,3,1.9993834274544295,83.3008804779354,4,[18.05148024]
5,24.7416096569896,42.95916770567985,9.48170187096695,3,21,6.540373284331601,120.02163390847278,2,[17.67575892]
2,40.502886380403865,28.52660560970192,5.846694673409058,3,45,3.9770815865019715,99.32418673169539,4,[17.42049141]
3,23.40375066457275,14.338511797462859,0.8639819870179484,4,44,2.50818916461285,11.479522862528272,4,[21.362671]
3,19.692893914252252,22.13491817455737,2.771330005237389,2,44,1.313713445748856,37.735274610525096,1,[19.3806214]
5,27.60744998013207,10.695311865434775,9.571658729671801,3,17,6.067192452625074,7.149246303237241,3,[23.13817659]
5,-0.385347450177128,40.03243534144999,9.207877662047656,1,69,1.8486949001689323,51.90369019531465,2,[18.7862856]
2,28.63872123789887,23.808179610245826,1.0890583118131487,4,41,4.921727639202038,45.65193731802976,2,[20.17205674]
2,29.807753246509296,24.683239465168807,1.8785814496874034,0,48,2.7987524767751766,109.48914631071621,4,[21.03358645]
2,15.573582465351206,70.55339865748886,-0.09480762720660063,3,18,5.618985978273808,136.39619532247326,2,[17.83167236]
1,16.891606824880416,30.80738692987771,9.052426274278615,4,2,-0.4810871257091919,31.588271218880976,4,[24.51952968]
