material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,TN loss (%)
3,35.15614367808119,45.88324580823604,0.6058446404355784,2,77,-0.06952335538980847,25.172301974739458,1,[37.97885911]
6,12.11282630975574,72.32508926642878,-0.22331608535472292,0,2,6.778649096986338,56.425667577882855,4,[45.91499866]
2,3.4107192593836704,63.23053245399218,6.292838944666608,4,76,12.45311652098697,194.12172900894632,4,[40.86607202]
3,0.28901076514627166,23.551601973403702,9.74514648794503,5,20,-0.5990613778818149,170.98043000971677,1,[35.54169814]
3,3.751871546003124,64.85320251878602,0.5097558209342403,3,56,7.7933660652819885,111.47632643475089,4,[46.21301536]
0,9.18517430762943,69.1918099280192,8.482721608838455,2,69,6.471738095659889,120.34460996880908,4,[39.5328515]
2,10.475180375472785,7.339064718567364,7.980011841784835,5,35,9.565763535646704,31.340516514339427,3,[39.05719107]
1,16.74223686215878,89.73683519760027,2.6671154989722385,4,77,1.82685813989268,55.094461739194344,4,[36.84531856]
4,33.383923459412365,55.55672686103762,1.412679533439686,0,39,0.4457872102953786,18.52981882819355,4,[43.6608655]
0,11.614621030471806,69.55566334981143,7.849518817142769,0,62,11.426713324338007,25.278999663371504,4,[40.37948621]
6,6.885429951748491,59.20261133223892,1.667162803582912,2,28,12.020005149744991,28.76035720885364,4,[34.56761079]
3,15.112723017233826,70.46836377041313,6.986458792531436,1,18,4.427575586684398,113.35145454963614,1,[36.9280195]
4,5.489738375488139,65.25572083803772,5.261170153868973,0,6,11.436257826004994,143.78027827854936,4,[44.42484145]
1,5.667781503181349,70.48710264948,1.7379276635938576,1,38,9.345459285502788,30.068360125007164,4,[44.31846606]
1,22.589019384143725,35.750175298173666,2.317317780636718,2,61,-0.8275696297070554,25.496187700498595,1,[37.9904211]
0,14.995028191995155,74.67555366771884,2.7034500428737727,0,48,8.17616283990761,142.52267249247555,4,[37.58079414]
3,15.447793612036609,66.1562858288394,8.070020450711754,4,46,9.931003770250776,123.23823649137894,4,[43.71602918]
1,9.54085643003496,65.87843962834296,7.862086234148807,3,42,5.831524229419414,83.00813245425486,0,[39.07582521]
2,15.46402885659495,68.48425717784555,7.335664499991708,1,17,6.402447653412537,168.15557963344517,4,[46.4733819]
3,14.169944519589693,69.20217932914792,8.218500323635416,3,74,5.68106599927246,76.7602996045069,4,[48.31520712]
3,1.8349430920744454,70.20961532042953,2.164942758916731,2,25,2.7136750378529104,30.34363246599682,4,[43.56277411]
2,20.86416251772873,72.82521413715628,5.414849326955407,3,12,10.968541390729543,159.72008880090002,4,[37.86737358]
1,2.2098285117088867,71.49231278032339,7.839971474459426,5,4,8.718245662649348,31.626883508092646,4,[38.04957204]
4,7.273709830999998,65.05046605363894,6.113806317042774,2,55,11.793596026248776,44.36941546014131,4,[41.09243249]
2,28.828810840087538,22.395266866734747,10.647368871985933,5,64,0.17705612567230444,80.48305544570734,2,[43.73457695]
3,11.746039566936513,67.69504968641789,3.2884416479939267,2,24,12.849356849752633,173.64103237524915,4,[43.57313606]
3,18.59841248592539,23.017954656923617,1.7983025676932156,3,41,3.9237334855137833,35.494553587176306,4,[42.67619672]
3,5.08577206485895,71.77324708526866,3.000055322518034,3,11,14.358440802675435,60.17303656792522,3,[35.21131503]
6,40.246306134139964,67.7864802295631,6.202843198640459,4,10,3.8960451413765798,98.55789241555358,4,[37.16736083]
6,19.444293481570746,68.74058192589916,0.12088918198626364,3,8,3.7303585840892732,57.2177633781001,4,[45.36319806]
2,23.99089182429487,68.34388025130299,7.440074584673432,5,65,1.0238081026759085,141.4702710662089,4,[41.50613142]
5,44.504491783923484,66.03052605277155,7.956634403013492,1,5,12.93150194906756,45.65679557037599,4,[39.73491948]
2,14.24299065968029,69.10359541523631,1.1488382454266604,0,3,11.275115436819155,165.96794771280915,0,[33.15655421]
1,13.086537399422001,62.9335419808476,3.0850397978030655,2,29,10.636818614753482,170.82840494243743,4,[40.14427157]
2,15.554975437404476,20.291783742466148,2.4686464927152696,2,42,0.9258245311089424,180.09570771539563,4,[35.99616884]
2,23.562224001610897,47.212829559668855,1.6546072116692736,3,47,-0.5337809207927053,7.203039249860248,4,[69.39415503]
0,34.327355646977,30.954411949255782,9.872548799486818,5,45,0.28654701908310676,168.97838792968335,1,[40.05626319]
0,9.82886573471649,63.07246952016059,2.1886240931620176,1,29,14.24552511163678,98.2653267822838,4,[38.0997779]
3,29.394428179382714,4.169467630368267,5.027162660319846,3,44,6.107650222471888,24.85824445101708,4,[43.59598727]
2,18.626668158357433,12.071785633223808,5.893284032086788,0,59,6.172085538880192,11.375013426806339,4,[40.53544699]
4,5.813753588836099,14.71697313420457,6.4304837450962165,0,13,7.641269689070894,136.15568983743003,4,[34.73632286]
2,7.260915439600743,86.30080392630762,2.213533850505359,0,67,12.419740350408087,70.62757589194173,4,[36.93915873]
5,7.350106037187567,68.36637225357047,7.708372832233227,4,26,5.818449621435947,134.64892240339486,4,[37.4903396]
5,44.1186571825329,35.74854897346519,6.6865099523637435,4,77,-0.7867051153886874,6.457983701699427,4,[37.55784044]
2,9.540634886845513,68.03023826380412,2.977501754301587,0,10,4.711233669902499,88.69409251845984,4,[47.35969172]
4,9.851072359735333,57.09335725160577,5.742131578611974,0,41,0.061721883512774856,1.5426274375870328,4,[44.8875008]
2,7.139546645963435,18.012622720372985,1.5688361949734442,4,19,14.493723222399792,120.2180300768221,1,[33.46956511]
6,51.66340455758812,64.86591301227777,-0.6311708748651887,5,17,14.529932569072017,52.713983618267804,4,[37.25852496]
3,6.467885921959536,49.59636271867031,8.642213874027458,5,37,0.9934435762669434,4.833073822945936,3,[36.46001943]
1,12.239078676638098,65.40370831735557,5.523786579077134,1,24,9.132697071229929,128.10551562365453,4,[44.10426564]
2,18.61524925335041,13.25571762572647,5.977425899240334,1,47,6.719679168470503,25.550906478714708,4,[40.9850401]
3,26.499011487967742,17.667720425447563,6.668805352098792,4,59,11.282520996836112,21.86371649910916,4,[34.92925292]
3,12.162455270268264,66.59118740269722,5.790049231175083,5,64,12.068748646428086,169.5884837063091,4,[43.21674511]
1,16.94484434702323,73.74260218217297,0.7279162209719818,0,38,12.718854663771458,78.93780176443921,4,[34.85670212]
3,8.863005616389533,79.10099431573771,6.45360199610453,1,68,11.461221549591794,48.84119838617477,4,[42.58130828]
