iter	RMSE
0	0.628889367
1	0.605176953
2	0.5896782655
3	0.5699828639
4	0.5518600861
5	0.5380002868
6	0.5242975412
7	0.5042033447
8	0.4894410808
9	0.4775479996
10	0.4645381693
11	0.4549416995
12	0.4424598406
13	0.4374558383
14	0.427432277
15	0.422137408
16	0.4129088266
17	0.3997730769
18	0.3951801388
19	0.3860929856
20	0.3816707965
21	0.3747916762
22	0.3712088175
23	0.3623404999
24	0.3557505559
25	0.3520011278
26	0.3475098159
27	0.3429126605
28	0.3386733994
29	0.3307399677
30	0.328735859
31	0.3234701788
32	0.3189063395
33	0.3139167354
34	0.3096227434
35	0.3042520384
36	0.3023277526
37	0.299036024
38	0.2947433666
39	0.2890203479
40	0.2870925638
41	0.2853369568
42	0.2833830373
43	0.2778148463
44	0.2752544712
45	0.2741812209
46	0.273630643
47	0.2696258002
48	0.265931906
49	0.2650497738
50	0.2600367652
51	0.2568738578
52	0.2558368523
53	0.2539050176
54	0.2504825809
55	0.2464322035
56	0.2456150393
57	0.2419989013
58	0.2410554489
59	0.2402912037
60	0.239534513
61	0.238970889
62	0.2383203259
63	0.2376753729
64	0.2365770819
65	0.2336521137
66	0.2331049948
67	0.2325204393
68	0.2319681058
69	0.2314964017
70	0.2281287463
71	0.2246954615
72	0.2238031616
73	0.2194598648
74	0.216813231
75	0.2160291264
76	0.2154041396
77	0.2112924483
78	0.2109854897
79	0.2105718313
80	0.2102789726
81	0.2095404514
82	0.2077234829
83	0.2073522251
84	0.20620753
85	0.2057007702
86	0.2018293788
87	0.1995056547
88	0.1975135626
89	0.1964036793
90	0.1961743887
91	0.1935334044
92	0.1889640803
93	0.1854031864
94	0.185107311
95	0.1831257107
96	0.1807640697
97	0.1786764378
98	0.178446039
99	0.1782357805
100	0.1780395064
101	0.1752211143
102	0.17502511
103	0.1748404027
104	0.1726361566
105	0.1724075023
106	0.1712633628
107	0.169403431
108	0.167498025
109	0.1664180674
110	0.1656519002
111	0.1630918045
112	0.1611465418
113	0.159395841
114	0.1579804078
115	0.1565886511
116	0.1561274747
117	0.15405814
118	0.1534419912
119	0.1521682031
120	0.1517205181
121	0.1500610401
122	0.1476711544
123	0.1471828995
124	0.1462737964
125	0.1452372974
126	0.1439786898
127	0.1438724031
128	0.1430914326
129	0.1419830347
130	0.1416938503
131	0.1411421647
132	0.139991301
133	0.1397480706
134	0.1387309255
135	0.1378117212
136	0.1369155585
137	0.1357167817
138	0.1351571215
139	0.1344522154
140	0.1332180625
141	0.1325162168
142	0.1304183904
143	0.1297183887
144	0.1276909123
145	0.127263442
146	0.1263553456
147	0.1260505864
148	0.1257238547
149	0.1254073528
150	0.1250808433
151	0.1241911866
152	0.1235608254
153	0.1234604012
154	0.1226503896
155	0.1219459775
156	0.1213423225
157	0.1196919893
158	0.119373544
159	0.118894293
160	0.1186847216
161	0.1186169905
162	0.1183692902
163	0.1183214237
164	0.1181750902
165	0.1167931739
166	0.1150436098
167	0.1146160501
168	0.1145638839
169	0.1144983678
170	0.1137398995
171	0.1128049461
172	0.1127109015
173	0.1126504269
174	0.1122309008
175	0.1112493808
176	0.1112052661
177	0.110474613
178	0.1104233802
179	0.1101002338
180	0.1096771513
181	0.1096266949
182	0.1095923889
183	0.1094397769
184	0.10917487
185	0.108257951
186	0.1079735865
187	0.1075804614
188	0.1069225701
189	0.1061722249
190	0.1057722686
191	0.1053296972
192	0.1052904626
193	0.1051988111
194	0.1046704333
195	0.1046240262
196	0.104563197
197	0.1042902742
198	0.1041501322
199	0.1039132039
200	0.1037691993
201	0.1028605047
202	0.1021419628
203	0.1016662736
204	0.1006576994
205	0.09995480733
206	0.09926723876
207	0.09885626817
208	0.09859538351
209	0.09837620436
210	0.09773270159
211	0.09723439492
212	0.09653219503
213	0.09594827371
214	0.09575667722
215	0.09544806352
216	0.09522755544
217	0.09462713773
218	0.09424864945
219	0.09397395277
220	0.09359996259
221	0.09347583628
222	0.0925407847
223	0.09210469874
224	0.09185229263
225	0.09165488078
226	0.09106422556
227	0.09085477263
228	0.0899794675
229	0.08929570876
230	0.08895665005
231	0.08877064894
232	0.08850218555
233	0.08831944608
234	0.08808120361
235	0.08805329894
236	0.08797606391
237	0.08794574382
238	0.08790123022
239	0.08788175951
240	0.08781529842
241	0.08752612589
242	0.08750572539
243	0.08738199361
244	0.087244097
245	0.08694524436
246	0.08658371074
247	0.08636861476
248	0.08627301324
249	0.08608798396
250	0.0860132967
251	0.08546076873
252	0.08466387196
253	0.08428027428
254	0.08402524163
255	0.08321472538
256	0.08279612307
257	0.0827244775
258	0.0826582186
259	0.08247962141
260	0.08168676784
261	0.08143112018
262	0.08088757811
263	0.08057140121
264	0.08050894992
265	0.08044863394
266	0.08007289568
267	0.07976483566
268	0.07925864842
269	0.07907723502
270	0.07881166947
271	0.07811231115
272	0.0779160409
273	0.07716777233
274	0.07703196863
275	0.07637659085
276	0.07615689193
277	0.07601117292
278	0.07547283187
279	0.07488287064
280	0.07455938836
281	0.07444053683
282	0.07410761861
283	0.07347898636
284	0.07310434195
285	0.07280472814
286	0.07220115128
287	0.07207795638
288	0.07130698963
289	0.07108595382
290	0.07075464046
291	0.07071203431
292	0.07048708525
293	0.07031214175
294	0.07013397534
295	0.06991568365
296	0.06982378958
297	0.06958236455
298	0.06894737924
299	0.06807103026
