iter	Passed	Remaining
0	0	69
1	0	60
2	0	54
3	0	50
4	0	48
5	1	47
6	1	45
7	1	44
8	1	43
9	1	43
10	1	43
11	1	43
12	2	43
13	2	42
14	2	42
15	2	42
16	2	42
17	2	42
18	3	41
19	3	41
20	3	41
21	3	40
22	3	41
23	3	41
24	4	41
25	4	41
26	4	40
27	4	40
28	4	40
29	4	40
30	4	39
31	5	39
32	5	40
33	5	40
34	5	40
35	5	40
36	6	39
37	6	39
38	6	39
39	6	39
40	6	39
41	6	38
42	7	38
43	7	38
44	7	38
45	7	38
46	7	38
47	7	38
48	8	38
49	8	39
50	8	38
51	8	38
52	9	38
53	9	38
54	9	38
55	9	38
56	9	38
57	9	37
58	10	37
59	10	37
60	10	37
61	10	37
62	10	37
63	11	37
64	11	37
65	11	36
66	11	36
67	11	36
68	11	36
69	12	36
70	12	35
71	12	35
72	12	35
73	12	35
74	12	35
75	13	35
76	13	34
77	13	34
78	13	34
79	13	34
80	14	34
81	14	34
82	14	34
83	14	33
84	14	33
85	14	33
86	15	33
87	15	33
88	15	32
89	15	33
90	16	33
91	16	33
92	16	33
93	16	32
94	16	32
95	17	32
96	17	32
97	17	32
98	17	32
99	17	32
100	17	31
101	18	31
102	18	31
103	18	31
104	18	31
105	18	30
106	19	30
107	19	30
108	19	30
109	19	30
110	19	30
111	19	29
112	20	29
113	20	29
114	20	29
115	20	29
116	20	29
117	21	28
118	21	28
119	21	28
120	21	28
121	21	28
122	21	27
123	21	27
124	22	27
125	22	27
126	22	27
127	22	26
128	22	26
129	22	26
130	23	26
131	23	26
132	23	25
133	23	25
134	23	25
135	24	25
136	24	25
137	24	25
138	24	24
139	24	24
140	24	24
141	25	24
142	25	24
143	25	24
144	25	23
145	25	23
146	26	23
147	26	23
148	26	23
149	26	23
150	26	23
151	27	22
152	27	22
153	27	22
154	27	22
155	27	22
156	28	21
157	28	21
158	28	21
159	28	21
160	28	21
161	28	20
162	28	20
163	29	20
164	29	20
165	29	20
166	29	20
167	29	19
168	29	19
169	30	19
170	30	19
171	30	19
172	30	19
173	30	18
174	31	18
175	31	18
176	31	18
177	31	18
178	31	17
179	32	17
180	32	17
181	32	17
182	32	17
183	32	17
184	32	16
185	32	16
186	33	16
187	33	16
188	33	16
189	33	15
190	33	15
191	33	15
192	34	15
193	34	15
194	34	14
195	34	14
196	34	14
197	34	14
198	35	14
199	35	14
200	35	13
201	35	13
202	35	13
203	35	13
204	36	13
205	36	13
206	36	12
207	37	12
208	37	12
209	37	12
210	37	12
211	37	12
212	38	11
213	38	11
214	38	11
215	38	11
216	38	11
217	38	11
218	39	10
219	39	10
220	39	10
221	39	10
222	39	10
223	39	9
224	40	9
225	40	9
226	40	9
227	40	9
228	40	9
229	41	8
230	41	8
231	41	8
232	41	8
233	41	8
234	41	8
235	42	7
236	42	7
237	42	7
238	42	7
239	42	7
240	42	6
241	43	6
242	43	6
243	43	6
244	43	6
245	43	6
246	44	5
247	44	5
248	44	5
249	44	5
250	44	5
251	45	5
252	45	4
253	45	4
254	45	4
255	45	4
256	46	4
257	46	3
258	46	3
259	46	3
260	46	3
261	46	3
262	47	3
263	47	2
264	47	2
265	47	2
266	47	2
267	48	2
268	48	1
269	48	1
270	48	1
271	48	1
272	48	1
273	49	1
274	49	0
275	49	0
276	49	0
277	49	0
278	49	0
279	50	0
