Material_2,M1_is Enclosed,Initial C/N (%),V1_Ventilation Type, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Turning times,V4_Ventilation Day,Material_3,Initial pH,Period (d),Additive_1,Compost volume (m3),V2_Ventilation Interval (min),Additive_3,Initial Moisture Content (%),Initial GI (%),Additive_4,Additive_2,Material_Main,V3_Ventilation Duration (min),Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,1.0,14.899320713389589,Continuous,Trough,5.102606956149307,27.0,1.0,None,9.690414952826274,115.0,None,2.147162565177521,0.0,None,55.779830879687054,27.32884658064516,None,None,Cattle manure,55.77822596474257,2.9393319475606483,1.596639959668374,23.78885082291252,115.18215100000008,9.922353868606884,0.8381394147872925,0.1866280112878803,25.30103815093797
None,1.0,33.81857435730273,Continuous,Trough,2.781261358862391,31.0,45.0,Byproduct,5.405367920857285,124.0,MgCl₂,2.147162565177521,0.0,None,73.48145388786429,27.32884658064516,None,Mg(OH)₂,Cattle manure,50.110556369746845,8.279035939826716,1.596639959668374,53.996087197885736,113.25952700000003,13.25284045728074,1.0709091424942017,0.234035868873267,22.891055651253517
None,1.0,45.02988824311545,Continuous,Trough,0.2704713050891805,29.0,79.0,Mature compost,8.541664044907305,95.0,MgSO₄,2.147162565177521,0.0,None,57.95709346839263,27.328846580645163,None,DCD,Cattle manure,49.5354376734275,2.559661043425074,1.596639959668374,71.85746559239249,114.96952500000002,12.69660639965431,1.1354321241378784,0.2242620766525072,1000000.0
Soil,0.0,29.20232988346193,Continuous,Trough,8.792511053885327,0.0,74.0,Mature compost,7.911582612694457,93.0,MgCl₂,2.147162565177521,0.0,None,52.86272767211543,27.32884658064516,None,MgO,Cattle manure,53.76199522222242,3.703927396605372,1.596639959668374,46.62560680735321,113.37649800000004,9.500347108657618,1.0124597549438477,0.2066905346293416,25.43870610441178
Green waste,0.0,23.37658238191317,Continuous,Windrow,3.271022775746581,12.0,1.0,Mature compost,5.57281817118078,32.0,Lignite,2.147162565177521,0.0,None,82.06058948888506,27.32884658064516,None,Potassium phosphate,Cattle manure,32.28081249123855,3.357517239669884,1.596639959668374,37.32398555144227,115.54917100000006,5.905688061821661,1.01203453540802,0.1934599617839082,25.94767644331668
None,0.0,39.77948677998579,Continuous,Windrow,9.398518554897388,9.0,11.0,None,4.312821555726684,80.0,Sulfur,2.147162565177521,0.0,None,63.34944246075095,27.32884658064516,None,DCD,Cattle manure,41.07935345381831,7.574930823052894,1.596639959668374,63.51351816802513,113.41188000000004,6.725186799389465,1.0500359535217283,0.1900506778237472,22.790833773554574
Green waste,0.0,40.80687454518164,Continuous,Trough,0.0231754999732958,19.0,31.0,Green waste,4.307904585021196,49.0,Gypsum,2.147162565177521,0.0,None,83.2959676835616,27.32884658064516,None,Inorganic acid,Cattle manure,56.2341546660687,6.926074051326475,1.596639959668374,65.15388652801121,114.41265200000002,7.033295356587664,0.944437563419342,0.1879989184387399,24.29177737626844
Green Waste,0.0,17.721622837785187,Continuous,Trough,8.583492728191276,12.0,2.0,Byproduct,10.14583706566084,65.0,Sulfur,2.147162565177521,0.0,None,69.87970204755463,27.32884658064516,None,Zeolite,Cattle manure,55.68128331369625,7.790339170041505,1.596639959668374,28.29505117297948,115.29153100000006,6.803476594853233,0.9146435260772704,0.1916093404523829,24.88000568374605
Sawdust,0.0,43.4522021521482,Continuous,Windrow,5.005101159251071,17.0,3.0,Poultry manure,5.262851258945321,116.0,Clay,2.147162565177521,0.0,None,69.87353096782175,27.32884658064516,None,MgSO₄,Cattle manure,48.8831291709392,0.4575633847958211,1.596639959668374,69.37752229170793,116.41312000000003,6.521773385719431,0.940240204334259,0.1870997328470074,23.63821070311875
Green waste,1.0,33.519205404316374,Continuous,Trough,8.763708772232121,16.0,0.0,Byproduct,10.95657195816899,21.0,MgHPO₄,2.147162565177521,0.0,None,54.473031576746536,27.32884658064516,None,Organic acid,Cattle manure,52.34222454419022,7.262401492262114,1.596639959668374,55.21132014035561,116.68137500000007,10.05403547087124,0.9535191655158995,0.2287904916761194,1000000.0
