Material_2,Initial pH,Additive_1,Initial GI (%),Material_Main,Additive_2,V5_Ventilation rate (L/min/kg iniDW),V4_Ventilation Day,Application Rate (%DW),Turning times,Additive_4, Composting Method,Compost volume (m3),V1_Ventilation Type,Period (d),Additive_3,Initial Moisture Content (%),Initial C/N (%),V2_Ventilation Interval (min),V3_Ventilation Duration (min),M1_is Enclosed,Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Straw,4.514581597487995,Sodium salt,27.32884658064516,Swine manure,Biochar,6.044659495300278,0.0,6.796608078816194,2.0,None,Trough,0.6277154746460176,Intermittent ,23.0,None,44.90058798048796,31.875348480927908,986.0,54.56431384683951,0.0,Poultry manure,2.0952942734506244,66.78823513633131,103.01509,5.35154335526194,0.493276447057724,0.1449705952009222,24.581412192195327
Woody peat,6.7151296842204085,Sand,27.32884658064516,Swine manure,Calcium magnesium phosphate fertilizer,5.094890149652022,5.0,5.254655379814776,17.0,None,Trough,0.6277154746460176,Intermittent ,17.0,None,59.38179592551296,6.873113030169619,846.0,40.863828028286726,0.0,Mature compost,2.0952942734506244,14.40119437289327,102.60537899999996,7.104874378044446,0.5453394055366516,0.1587821230009038,29.77107815053735
Green waste,4.940323640344412,Ca-superphosphate,27.32884658064516,Swine manure,Potassium phosphate,0.8912107235741618,1.0,5.813505757169405,28.0,None,Windrow,0.6277154746460176,Intermittent ,54.0,None,65.72248942413563,19.069805436071597,60.0,42.08696387374249,1.0,Byproduct,2.0952942734506244,38.92156402428056,100.782505,6.441047031723098,0.5359461903572083,0.2054996859943424,1000000.0
None,6.357880798244998,MgHPO₄,27.32884658064516,Swine manure,Calcium magnesium phosphate fertilizer,1.5615970680953684,11.0,6.368900310606955,5.0,None,Reactor,0.6277154746460176,Intermittent ,21.0,None,49.73242466129523,36.100459368209854,1391.0,59.99112266674479,1.0,Green waste,2.0952942734506244,75.64108578314705,101.22689699999994,9.25006232286787,0.5582137703895569,0.1510511350280432,22.66127182626464
Sawdust,4.837314694745874,None,27.32884658064516,Swine manure,None,4.835205839722149,1.0,3.5850244136759404,23.0,None,Trough,0.6277154746460176,Intermittent ,117.0,None,43.78914668771438,37.98174765297182,1148.0,3.3790492988678955,0.0,Mature compost,2.0952942734506244,79.58293835291855,101.789666,6.473872909353114,0.5619251132011414,0.1699462182659906,23.64154652095124
Soil,5.949906447253113,Labile carbon source,27.32884658064516,Swine manure,Zeolite,0.3866267600263396,30.0,6.7468908786606345,24.0,None,Trough,0.6277154746460176,Intermittent ,30.0,None,60.99326459482352,43.075467567303626,219.0,30.580714567508775,0.0,Green waste,2.0952942734506244,85.98159299651356,100.99750899999994,8.028115318122001,0.5273602604866028,0.1482172459992769,1000000.0
Straw,7.092566533425691,Gypsum,27.32884658064516,Swine manure,MgO,0.8701477662083057,3.0,8.313776732380864,18.0,None,Reactor,0.6277154746460176,Intermittent ,29.0,None,79.60502094467039,36.945487545282944,1400.0,32.399923254614656,1.0,Byproduct,1.3260619020653408,77.41166848347272,101.05809099999996,1000000.0,1000000.0,1000000.0,1000000.0
Green waste,5.317809526426361,Labile carbon source,27.32884658064516,Swine manure,DCD,1.2230355987876518,13.0,1.847917475566509,28.0,None,Reactor,0.6277154746460176,Intermittent ,17.0,None,81.77683537865822,12.385084931010216,148.0,54.31509779911852,1.0,Straw,2.0952942734506244,25.95039753214533,101.78819099999996,6.3243554573223255,0.5581339597702026,0.2003370561526708,26.711491853861062
Husk,6.930285429379367,K₂SO₄,27.328846580645163,Swine manure,DCD,8.031113389465242,4.0,1.824317267162056,8.0,None,Windrow,0.6277154746460176,Intermittent ,57.0,None,61.773018529270495,14.15325192731095,308.0,32.15344280674562,0.0,None,2.0952942734506244,27.56755290163252,99.83945199999997,8.051269909550463,0.5236843228340149,0.1660946877946742,1000000.0
Byproduct,5.668347827594518,Forsterite,27.32884658064516,Swine manure,MgO,9.572040888500842,7.0,3.6914264993600474,18.0,None,Reactor,0.6277154746460176,Intermittent ,41.0,None,69.9971063420445,44.56013753630796,654.0,33.17158426101676,1.0,Poultry manure,2.0952942734506244,93.36660100399828,102.39173899999996,5.753446312520801,0.334644615650177,0.1685784730004782,24.38818125424311
None,6.253276906718279,MgHPO₄,27.32884658064516,Swine manure,Biochar,9.440951034124314,2.0,9.215434226498036,9.0,None,Windrow,0.6277154746460176,Intermittent ,65.0,None,81.34929319381467,37.33933280705263,714.0,37.41683207014807,0.0,Green waste,2.0952942734506244,78.23689020508439,102.896634,7.460189317345649,0.5107879042625427,0.1581855971661991,21.771193036793672
Byproduct,5.089690172185234,Labile carbon source,27.32884658064516,Swine manure,MgO,8.327281796246425,0.0,3.995002542348512,13.0,None,Trough,0.6277154746460176,Intermittent ,47.0,None,61.03363974804264,39.44235146503949,826.0,56.504357246008574,0.0,Straw,2.0952942734506244,82.6433331561241,102.98043200000002,4.048412414444868,0.3095729351043701,0.1835229195951676,25.507217733333604
Straw,5.187581069076557,Organic acid,27.32884658064516,Swine manure,Ca-superphosphate,5.275677071629175,6.0,3.775221524233787,9.0,None,Trough,0.6277154746460176,Intermittent ,36.0,None,77.41687723904727,38.038757897581455,446.0,16.835887250185007,0.0,Mature compost,2.0952942734506244,79.70239159197713,102.688945,5.208940285148075,0.5303400754928589,0.162169838485757,27.14569125830458
