Additive_3,Turning times,V2_Ventilation Interval (min), Composting Method,V1_Ventilation Type,Initial Moisture Content (%),Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Additive_1,Initial pH,Material_2,V3_Ventilation Duration (min),Initial C/N (%),M1_is Enclosed,V4_Ventilation Day,Additive_2,Additive_4,Compost volume (m3),Initial GI (%),Material_3,Material_Main,Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,3.0,0.0,Trough,None,60.37704730355853,7.234385168242551,0.0,Microbiological agent,10.877545406968284,Husk,0.0,10.419726736030409,1.0,0.0,Ca-superphosphate,None,0.314,27.32884658064516,Straw,Green waste,16.0,1.4280600332415827,14.87999530902379,93.76023400000004,9.85714702018376,0.6802400946617126,0.1924320085760575,24.517821381495214
None,6.0,1197.0,Windrow,Intermittent ,83.33332147063044,8.461103957889588,7.935908671545748,Carbonatite,9.361656954377018,Green waste,43.8904380416633,33.86427294946453,0.0,4.0,Mg(OH)₂,None,0.314,27.32884658064516,Straw,Green waste,14.0,1.4280600332415827,48.36021475391434,94.71645366666668,5.20807629214556,1.1112805604934692,0.1613903991105894,23.443962133048498
None,6.0,824.0,Reactor,Intermittent ,64.34420164239371,4.822347747215435,1.1149666555643212,Sodium salt,6.062316139064349,Green Waste,51.27299158929415,15.371178199877438,1.0,13.0,Inorganic acid,None,0.314,27.32884658064516,Straw,Green waste,62.0,1.4280600332415827,21.950965251079264,93.0506036666667,8.31845561597149,0.7325425148010254,0.1723768015974991,19.83414645399304
None,9.0,0.0,Trough,Continuous,44.09138621957526,2.847696711244245,0.5401023555260398,Potassium phosphate,10.974453454651831,Husk,57.60774518576612,38.75531205304808,0.0,14.0,Biochar,None,0.314,27.61199202366432,Byproduct,Green waste,51.0,1.4280600332415827,55.34491221876375,92.72146100000002,12.053443729349716,1.2200511693954468,0.1892343325915464,23.38262896246474
None,0.0,0.0,Reactor,None,52.96294322757211,2.724182109853808,0.0,Urea,8.318314318245458,Byproduct,0.0,35.19368677743723,1.0,0.0,Calcium magnesium phosphate fertilizer,None,0.314,27.32884658064516,Poultry manure,Green waste,24.0,1.4280600332415827,50.25869750928086,93.76158600000008,8.333375245302358,0.6319702863693237,0.187371292731253,24.652210948421757
None,9.0,1049.0,Trough,Intermittent ,76.57455795634553,2.317713162156904,4.895427355018232,Urea,4.378911855519164,Sawdust,56.41784192457919,19.79382669126512,0.0,61.0,Microbiological agent,None,0.314,27.32884658064516,Straw,Green waste,105.0,1.4280600332415827,28.26677280270619,94.77860666666663,7.550379711210872,0.947287380695343,0.1804401129792745,25.20069361663188
None,3.0,0.0,Windrow,None,78.05139663442232,4.529791857367171,0.0,Zeolite,5.688399681923986,Soil,0.0,15.262343253809467,0.0,0.0,Microbiological agent,None,0.314,27.32884658064516,Green waste,Green waste,105.0,1.4280600332415827,28.84051852002336,92.82558400000002,7.737439811019801,1.363317847251892,0.1200740704966388,1000000.0
None,20.0,0.0,Trough,None,69.27276234788609,7.250121575018696,0.0,Sulfur,7.635183044816588,Byproduct,0.0,5.597748486609875,0.0,0.0,MgSO₄,None,0.314,27.328846580645163,Straw,Green waste,20.0,1.4280600332415827,7.993920889866118,93.537962,6.293986179420281,0.8402995467185974,0.1775327859623371,27.321244199815126
None,8.0,1313.0,Trough,Intermittent ,57.68952321488803,5.934680946772849,8.792432693257137,Forsterite,4.303508404881047,Plastic tube pieces,43.4713549340992,13.18940549697896,0.0,20.0,Gypsum,None,0.314,27.32884658064516,Straw,Green waste,37.0,1.4280600332415827,18.835262852452487,94.09043966666668,8.669107212626146,1.240082621574402,0.1544876705300968,25.971460506069
None,8.0,358.0,Trough,Intermittent ,65.60021297550898,9.11592504533017,4.891289472869605,Organic acid,7.672442636811272,Byproduct,20.930076966071955,43.1951779378044,0.0,56.0,Potassium phosphate,None,0.314,27.32884658064516,Poultry manure,Green waste,127.0,1.4280600332415827,61.68530724173704,92.861721,9.860846366894354,1.0749355554580688,0.1766111389122828,24.0681032909873
None,7.0,406.0,Reactor,Intermittent ,47.25533773547616,7.092362879884564,6.317915672406208,Sulfur,6.511784607677996,Sawdust,55.95923186148066,16.57444112929845,1.0,7.0,Inorganic acid,None,0.314,27.32884658064516,Straw,Green waste,43.0,1.4280600332415827,23.6692969500666,93.75310466666669,7.307164145897475,1.117217779159546,0.1892607050081613,24.42783060842291
