M1_is Enclosed,Initial GI (%),Turning times,V1_Ventilation Type,V4_Ventilation Day,Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW), Composting Method,V3_Ventilation Duration (min),Initial C/N (%),Material_2,Additive_2,Additive_3,Application Rate (%DW),V2_Ventilation Interval (min),Compost volume (m3),Material_3,Material_Main,Period (d),Additive_4,Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,27.328846580645163,13.0,Continuous,16.0,72.90163813540461,Carbonatite,4.006094759568359,Windrow,9.089787133850624,44.83542516912957,Soil,MgSO₄,None,0.9018770696975242,0.0,0.15181,None,OFMSW,38.0,None,5.5051078742292825,1.411,63.26278491364182,93.621775,9.39057389221932,0.3289580643177032,0.1985572243348545,27.15423757377932
1.0,27.32884658064516,25.0,Continuous,59.0,50.84463200013817,None,0.7038955003144487,Windrow,10.097708417379918,27.68830185735728,Green waste,None,None,3.644551647695452,0.0,0.15181,None,OFMSW,96.0,None,6.9470122079371865,1.411,39.06819392073112,93.667775,14.25782472760596,0.1648489087820053,0.2083205111494096,25.23063754885079
0.0,27.32884658064516,24.0,Continuous,49.0,49.54934468840332,Mg(OH)₂,5.38159801143418,Trough,12.713277018226163,23.694622990848984,Woody peat,Mg(OH)₂,None,3.294713013986889,0.0,0.15181,Mature compost,OFMSW,101.0,None,6.351612253663893,1.411,33.43311304008792,93.653095,14.25782472760596,0.1625692397356033,0.2051972664812463,26.9052507878453
1.0,27.32884658064516,24.0,Continuous,3.0,54.50671996142938,Sodium salt,5.109014067825987,Reactor,48.75244564966261,8.21060868024692,None,Potassium phosphate,None,7.08999016390218,0.0,0.15181,Mature compost,OFMSW,118.0,None,5.843157905492089,1.411,11.585168847828406,93.653095,14.480461145043757,0.2777626812458038,0.1672270767551302,23.148979143334248
1.0,27.32884658064516,21.0,Continuous,25.0,49.17236943344575,Mature compost,1.1792638372361908,Trough,48.71278701228991,17.6547132274701,Woody peat,MgSO₄,None,1.2354307612834332,0.0,0.15181,Mature compost,OFMSW,34.0,None,9.79847476952223,1.411,24.910800363960316,93.653095,8.5850261060518,0.1662825047969818,0.2191656407894275,33.037385511719464
0.0,27.32884658064516,23.0,Continuous,17.0,83.83724133290679,Zeolite,4.389349388122944,Windrow,42.31870605958272,12.96631057013238,Byproduct,Zeolite,None,0.4200550070117181,0.0,0.15181,Mature compost,OFMSW,94.0,None,4.714286850017209,1.411,18.295464214456786,93.653095,14.25782472760596,0.2477522790431976,0.1499011727680053,22.04552650286115
1.0,27.32884658064516,27.0,Continuous,42.0,51.07715429626977,LB Culture,0.5509230655044128,Trough,55.18647207374376,21.376009080677942,Green waste,Inorganic acid,None,3.6951283241728223,0.0,0.15181,None,OFMSW,84.0,None,9.677728798288197,1.411,30.161548812836585,93.667775,14.25782472760596,0.1648489087820053,0.2093997175989072,25.46695101091145
0.0,27.32884658064516,27.0,Continuous,13.0,51.74371698394228,Clay,0.5665996849279487,Windrow,41.45273655249194,19.1836441145907,Soil,Organic acid,None,9.43305768209242,0.0,0.15181,None,OFMSW,129.0,None,5.799174949710776,1.411,27.068121845687475,93.667775,14.25782472760596,0.1641391366720199,0.1539581663904258,22.77842959164172
1.0,27.32884658064516,14.0,Continuous,10.0,73.17234961929697,Lime,5.494404067666006,Reactor,42.630587069050655,24.92169778776984,Sawdust,Potassium phosphate,None,4.276710230611555,0.0,0.15181,None,OFMSW,24.0,None,4.724595534557145,1.411,35.164515578543245,93.621775,9.40340055590351,0.5354041457176208,0.2448501666322129,29.630575142302284
0.0,27.32884658064516,24.0,Continuous,37.0,74.01956142857773,K₂SO₄,4.954800564750265,Trough,16.62549223833508,39.95299920092055,Green waste,None,None,9.801539628074943,0.0,0.15181,Green waste,OFMSW,104.0,None,5.4417651809210295,1.411,56.3736818724989,93.63591100000002,14.25782472760596,0.1885212212800979,0.1654764506403455,22.22279285458812
0.0,27.45807483927246,11.0,Continuous,37.0,60.96767585457886,Sand,0.0464801114701651,Windrow,5.4812557149047,39.99087263991899,Plastic tube pieces,Potassium phosphate,None,1.4659053780502689,0.0,0.15181,None,OFMSW,88.0,None,4.322550089652542,1.411,55.62076063581876,93.621775,15.063372513773484,0.3290430605411529,0.1911755836746323,1000000.0
1.0,27.32884658064516,6.0,Continuous,1.0,83.29471797544093,Organic acid,0.9586401647827748,Trough,47.76625470324738,6.355819846489196,Husk,Mg(OH)₂,None,2.473568196703748,0.0,0.15181,Mature compost,OFMSW,57.0,None,9.31776796410831,1.411,8.968061803396255,93.60709500000002,12.121355599173798,0.3734878599643707,0.1910804036185286,21.813345456261896
0.0,27.32884658064516,21.0,Continuous,20.0,65.66244941519807,Phosphogypsum,2.6773558592652624,Trough,4.621444370558301,33.2714369299144,Soil,None,None,5.974551108559059,0.0,0.15181,None,OFMSW,30.0,None,8.359686265578844,1.411,46.94599750810922,93.667775,8.5850261060518,0.1641391366720199,0.1822809927924988,28.59127518648724
1.0,27.32884658064516,25.0,Continuous,12.0,57.488943896460526,MgHPO₄,5.376200332887339,Windrow,14.585361803970615,30.031035450769565,Green waste,Microbiological agent,None,6.242507588980233,0.0,0.15181,None,OFMSW,19.0,None,9.702168518501509,1.411,41.124381309619146,93.667775,8.5850261060518,0.1632789969444275,0.2260014838942118,1000000.0
1.0,27.328846580645163,22.0,Continuous,13.0,83.52955464521125,Sulfur,2.999936689012812,Reactor,22.06113188740856,10.140826988916222,Green Waste,MgO,None,9.879148151044028,0.0,0.15181,Mature compost,OFMSW,16.0,None,10.580114615882527,1.411,14.30870688136079,93.653095,8.47224286931022,0.2471726983785629,0.1937458351696875,26.045302546794883
0.0,27.32884658064516,5.0,Continuous,52.0,47.53893761158277,Zeolite,2.593052705635986,Windrow,19.03546365253868,34.170510534199146,Straw,MgSO₄,None,0.4491343231232225,0.0,0.15181,None,OFMSW,73.0,None,9.078685688998435,1.411,48.21459036375499,93.621775,12.381675405405362,0.3286886811256408,0.154247211915467,25.37096990010089
0.0,27.32884658064516,21.0,Continuous,39.0,79.56134735816981,Phosphogypsum,0.160858601261542,Trough,45.39192046228677,42.94588095649087,Plastic tube pieces,None,None,0.2304382345912614,0.0,0.15181,None,OFMSW,111.0,None,4.457703571540409,1.411,60.59663802960861,93.667775,14.25782472760596,0.1641391366720199,0.1851951911996287,24.424908959942204
1.0,27.32884658064516,27.0,Continuous,12.0,52.952242722437006,Inorganic acid,5.08115265342142,Windrow,22.63061090645684,40.67552909242608,Sawdust,MgSO₄,None,6.312562315567306,0.0,0.15181,Mature compost,OFMSW,124.0,None,11.28337923781299,1.411,57.3931715494132,93.653095,14.25782472760596,0.164712592959404,0.1994348742558692,23.374517709764728
0.0,27.32884658064516,26.0,Continuous,40.0,62.8258642832557,MgSO₄,0.713172374142661,Trough,46.98660390149888,9.755045682711756,Sawdust,Inorganic acid,None,4.561044347647984,0.0,0.15181,Mature compost,OFMSW,128.0,None,5.565695248041962,1.411,13.76436945830629,93.653095,14.480461145043757,0.2767260372638702,0.1751672314090525,26.663654434346043
0.0,27.32884658064516,25.0,Continuous,55.0,71.68200979740789,Carbonatite,1.3160147668612583,Windrow,29.417089432479244,37.98465567292154,Woody peat,Organic acid,None,0.9181040424294084,0.0,0.15181,None,OFMSW,84.0,None,9.673123967755146,1.411,53.596349154492295,93.667775,14.25782472760596,0.1641391366720199,0.1670434112775215,27.31559262356943
0.0,27.32884658064516,27.0,Continuous,28.0,64.1985924585865,Carbonatite,4.31433241788484,Trough,49.68367290083568,31.92593745906876,Green waste,Zeolite,None,5.127853554697045,0.0,0.15181,Mature compost,OFMSW,39.0,None,10.854897321867464,1.411,45.04749775474602,93.653095,8.5850261060518,0.1633785516023636,0.1979718266240192,24.84702651853828
0.0,27.32884658064516,24.0,Continuous,22.0,57.88755635762037,Calcium magnesium phosphate fertilizer,1.114352952369173,Windrow,46.43971888362898,10.48410389637458,Husk,Inorganic acid,None,7.091310643479255,0.0,0.15181,None,OFMSW,69.0,None,9.61379870188389,1.411,14.793070597784531,93.667775,13.473173516221776,0.2759654819965362,0.1545898185059126,23.29704868530632
1.0,27.94069033570552,8.0,Continuous,28.0,80.90153196014703,Microbiological agent,5.456661394691365,Reactor,23.19621646490691,28.271896382077117,Green Waste,Zeolite,None,2.7199740652009226,0.0,0.15181,Mature compost,OFMSW,126.0,None,10.615478621629729,1.411,39.8916457951108,93.60709500000002,15.234896748140525,0.3011289536952972,0.2203669183366867,21.528805126030985
1.0,29.23172290357456,23.0,Continuous,36.0,55.84901330091774,Ferric salt,4.098054722517588,Reactor,47.10013384193244,24.06328273357935,Green Waste,Organic acid,None,3.959519875180319,0.0,0.15181,None,OFMSW,51.0,None,9.8814788687325,1.411,33.953291937080465,93.667775,8.5850261060518,0.1333404630422592,0.2183707302938408,26.04818620680633
0.0,27.32884658064516,15.0,Continuous,31.0,77.02020939552582,MgHPO₄,4.862521179790526,Windrow,43.97372949852803,40.96577372671034,Straw,Organic acid,None,5.8803019757432615,0.0,0.15181,None,OFMSW,74.0,None,8.929546511910896,1.411,57.80270672838829,93.621775,14.25782472760596,0.5332608222961426,0.1755618985958637,24.71510769370015
1.0,27.32884658064516,14.0,Continuous,6.0,48.11769730907369,Lime,1.2363521515219775,Reactor,24.738541865669003,7.208994952648252,Straw,Microbiological agent,None,1.961683052573967,0.0,0.15181,Green waste,OFMSW,45.0,None,9.763849898442508,1.411,10.171891878186685,93.589911,9.29061731916193,0.6751667261123657,0.1765011648284197,29.71359332455092
1.0,27.32884658064516,24.0,Continuous,25.0,82.73505887655024,Labile carbon source,1.2713276032584209,Trough,9.27552661924058,39.776725476576175,Byproduct,Mg(OH)₂,None,5.292450740026142,0.0,0.15181,None,OFMSW,46.0,None,9.135323287225988,1.411,56.12495964744898,93.667775,8.5850261060518,0.1333404630422592,0.2082124380790452,23.150156629948107
0.0,27.32884658064516,22.0,Continuous,83.0,80.08351059425135,Carbonatite,2.641751034116586,Trough,54.159243851574125,19.405981728433485,Byproduct,MgO,None,1.1513305594296863,0.0,0.15181,None,OFMSW,110.0,None,7.93240000969409,1.411,27.381840218819647,93.667775,14.25782472760596,0.1318701058626175,0.1878390891466521,23.32599269485421
0.0,27.32884658064516,0.0,Continuous,4.0,63.30319242208638,Sodium salt,3.127024637784316,Trough,7.258350703741254,38.03973417910648,Husk,Potassium phosphate,None,4.772427333079041,0.0,0.15181,Green waste,OFMSW,13.0,None,10.694993393865948,1.411,53.67406492671925,93.589911,6.637801894195827,0.3594103753566742,0.1755894456739916,25.04680928113872
1.0,27.32884658064516,26.0,Continuous,63.0,49.85460563762938,Carbonatite,5.394656682226344,Trough,14.262499484312432,17.987423667879177,None,Zeolite,None,0.7793635594241233,0.0,0.15181,Mature compost,OFMSW,122.0,None,4.956464160765997,1.411,25.38025479537752,93.653095,14.25782472760596,0.164712592959404,0.2210943932671444,25.74317729517903
0.0,27.32884658064516,20.0,Continuous,58.0,67.42412607412439,Organic acid,4.311761151660623,Trough,0.9321072786656148,16.424024902190215,None,Gypsum,None,8.42660118230363,0.0,0.15181,Green waste,OFMSW,72.0,None,7.991139807361571,1.411,23.174299136990395,93.589911,14.25782472760596,0.5615432858467102,0.1938995521824548,26.432644627075707
1.0,27.32884658064516,21.0,Continuous,12.0,53.78377013254063,Gypsum,0.1270922307890998,Windrow,44.7716226843885,18.643409745864524,Straw,None,None,7.269868571780541,0.0,0.15181,Mature compost,OFMSW,132.0,None,8.214830144255203,1.411,26.30585115141485,93.653095,14.25782472760596,0.1662825047969818,0.1431598216745109,22.249715919607173
1.0,27.32884658064516,25.0,Continuous,5.0,58.23211955161535,Organic acid,0.6930758500866985,Reactor,31.044778454224588,23.393367612290728,Green waste,Inorganic acid,None,7.939064892112476,0.0,0.15181,Green waste,OFMSW,39.0,None,7.413777634500466,1.411,33.008041700942215,93.63591100000002,8.5850261060518,0.1915614753961563,0.210882326803009,26.66677366582085
1.0,27.32884658064516,28.0,Continuous,1.0,65.60560969224574,Calcium magnesium phosphate fertilizer,3.879996305447629,Reactor,52.31982019964688,28.64731518838624,None,Mg(OH)₂,None,5.167519882692311,0.0,0.15181,Mature compost,OFMSW,22.0,None,6.724096609083268,1.411,40.54280372471301,93.583095,8.5850261060518,0.1662825047969818,0.2503630553229502,1000000.0
0.0,27.32884658064516,0.0,Continuous,29.0,43.59226914931867,Lime,2.844183361333932,Windrow,44.93013211507653,15.095149016645902,Husk,Inorganic acid,None,7.593387292058794,0.0,0.15181,None,OFMSW,59.0,None,9.124813978300512,1.411,21.299255262487367,93.621775,9.380846574927702,0.3326978087425232,0.132294695223401,20.753428214267107
1.0,27.32884658064516,25.0,Continuous,41.0,57.245938569811614,Mature compost,0.4956880962623977,Reactor,49.50529400930396,29.87567886516499,Husk,Gypsum,None,0.0674111050881472,0.0,0.15181,Mature compost,OFMSW,133.0,None,4.6056175612114725,1.411,42.1545828787478,93.653095,14.25782472760596,0.1648489087820053,0.2282628913619986,26.753186867596224
0.0,27.32884658064516,27.0,Continuous,73.0,47.412671053792735,MgHPO₄,4.113497146313179,Trough,19.939805288693123,39.36153502650222,Sawdust,Zeolite,None,9.446330788232034,0.0,0.15181,Mature compost,OFMSW,112.0,None,9.14194688451772,1.411,55.53912592239463,93.653095,14.25782472760596,0.1641391366720199,0.1727695577741697,27.56769835282841
0.0,27.32884658064516,24.0,Continuous,23.0,66.15474140325583,Lime,0.2114914302821335,Trough,8.259000416393542,35.68917213627911,None,None,None,4.198595633497908,0.0,0.15181,Green waste,OFMSW,53.0,None,8.453939462174585,1.411,50.35742188428983,93.63591100000002,8.5850261060518,0.1908517032861709,0.1763338676141417,23.12169427191984
1.0,27.32884658064516,5.0,Continuous,31.0,76.86626935215875,None,1.0979591130539512,Reactor,56.04141601789247,35.82681321601825,Sawdust,None,None,2.341161486573063,0.0,0.15181,None,OFMSW,38.0,None,10.952451218970022,1.411,50.55163344780176,93.621775,7.708546016850928,0.3301825821399688,0.2454318160824408,24.36382927325895
1.0,27.32884658064516,23.0,Continuous,35.0,62.172635156175176,Mature compost,2.8705496287012933,Trough,17.45140611740541,44.35909938813139,Green Waste,None,None,2.1928937739928083,0.0,0.15181,None,OFMSW,126.0,None,7.786108474403827,1.411,62.5906892366534,93.667775,14.25782472760596,0.1333404630422592,0.2294238663750729,23.3592464866304
