V2_Ventilation Interval (min),Additive_2,V3_Ventilation Duration (min),Initial GI (%),M1_is Enclosed, Composting Method,V1_Ventilation Type,Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),Material_Main,V4_Ventilation Day,Application Rate (%DW),Turning times,Material_3,Additive_1,Additive_4,Initial Moisture Content (%),Compost volume (m3),Period (d),Additive_3,Initial pH,Material_2,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,DCD,0.4598453080596745,27.32884658064516,1.0,Reactor,None,9.231990786879203,0.5816609472511294,Poultry manure,0.0,7.625808526571784,15.0,Byproduct,MgHPO₄,None,67.20935960492221,0.6292491869918699,116.0,None,4.3907643030686,Green waste,2.4967368849582217,23.04985191919579,106.88248600000004,5.3175086723328535,0.5429678559303284,0.1852568165792444,23.0480602428404
38.0,Biochar,27.52687099898626,27.32884658064516,1.0,Trough,Intermittent ,39.29588701346098,3.518689604062123,Poultry manure,52.0,1.356544190276169,9.0,Byproduct,Phosphogypsum,None,51.37836308238609,0.6292491869918699,110.0,None,8.350621426035808,Husk,2.4967368849582217,98.1114905336588,108.249306,1.7889260796584057,0.5352651476860046,0.2144999765806156,25.101710826776277
360.0,Ca-superphosphate,29.595174880993277,27.328846580645163,1.0,Reactor,Intermittent ,24.0176275463224,8.959896457734992,Poultry manure,67.0,3.284851338514301,5.0,Byproduct,Inorganic acid,None,70.73205523494859,0.6292491869918699,133.0,None,5.751975475551474,None,2.4967368849582217,59.15923919643176,108.012666,7.59896927878446,0.4990876913070678,0.1481605932248682,1000000.0
411.0,Calcium magnesium phosphate fertilizer,1.2353622532113584,27.32884658064516,1.0,Reactor,Intermittent ,29.93787082089096,0.4515011108404021,Poultry manure,9.0,3.0277989161235617,9.0,Byproduct,MgSO₄,None,65.41072579612526,0.6292491869918699,84.0,None,10.882719329951549,Green waste,2.4967368849582217,74.74698633563294,109.11923400000002,5.956834348099675,0.5246543884277344,0.1668927281612331,22.79868076778221
1274.0,MgSO₄,33.395343461893845,27.32884658064516,1.0,Reactor,Intermittent ,5.047554084230774,8.411395763718186,Poultry manure,14.0,1.0480094857470124,7.0,Byproduct,Phosphogypsum,None,81.75654881499676,0.6292491869918699,124.0,None,5.038595493382875,Soil,2.4967368849582217,12.602414460920492,109.33158800000008,2.2674165432265547,0.7446956634521484,0.1327267156108558,23.007762871606392
1187.0,Ca-superphosphate,32.36931672144856,27.32884658064516,1.0,Trough,Intermittent ,32.8677215347801,3.4437048399005468,Poultry manure,13.0,4.644947584629689,9.0,Byproduct,Clay,None,69.5256623538392,0.6292491869918699,125.0,None,9.565139509719762,Green Waste,2.4967368849582217,82.06205268042113,107.862403,5.834912505625367,0.8207548260688782,0.1782440068252499,22.345136327430744
0.0,DCD,37.321907099609,29.64833690790396,1.0,Reactor,Continuous,25.753117495514683,1.3615164775071604,Poultry manure,26.0,2.715537458315532,27.0,Byproduct,Forsterite,None,54.61415312994074,0.6292491869918699,127.0,None,5.114652231371605,Green waste,2.4967368849582217,64.2987583537144,107.60598900000006,8.872878976742395,0.3953037858009338,0.2108609662001758,21.29668893657184
0.0,Biochar,0.0,27.32884658064516,1.0,Windrow,None,25.52430422255765,0.0,Poultry manure,0.0,7.833484348904948,17.0,Byproduct,Ferric salt,None,70.82786298763419,0.6292491869918699,95.0,None,8.796180767938173,Woody peat,2.4967368849582217,62.00563429188781,107.16991100000004,3.283189262619336,0.241485595703125,0.1854171475510634,1000000.0
0.0,Inorganic acid,30.117608448160297,27.328846580645163,1.0,Windrow,Continuous,6.921145300702271,9.038377544818562,Poultry manure,41.0,3.0256199186820742,15.0,Byproduct,Phosphogypsum,None,80.8181701170964,0.6292491869918699,66.0,None,7.173525061509963,Sawdust,2.4967368849582217,17.28027875841862,107.14132200000007,0.5564083295813662,0.1371799856424331,0.2009012897353702,24.042973810446725
0.0,Inorganic acid,0.0,27.32884658064516,1.0,Reactor,None,38.8137173452093,0.0,Poultry manure,0.0,5.83573924840143,31.0,Byproduct,Inorganic acid,None,44.96525375297121,0.6292491869918699,133.0,None,7.8250394372935315,Green Waste,2.4967368849582217,96.90763973812676,106.98050800000004,4.464176482933215,0.245571494102478,0.2137389315721138,16.608781327616548
456.0,Gypsum,23.622921410592973,27.32884658064516,1.0,Reactor,Intermittent ,19.5698631013463,2.702482860416362,Poultry manure,36.0,4.309269293828788,15.0,Byproduct,Mg(OH)₂,None,45.46781669669523,0.6292491869918699,98.0,None,9.607641506467154,Straw,2.4967368849582217,48.860799038714205,107.385235,4.52871466231496,0.4518536031246185,0.1610110677662649,27.08611482036945
0.0,Gypsum,0.0,27.32884658064516,1.0,Trough,None,25.82043073011284,0.0,Poultry manure,0.0,0.1930679995562967,4.0,Byproduct,Clay,None,73.76758893835549,0.6292491869918699,102.0,None,12.022712996541475,Straw,2.4967368849582217,64.46682178938147,106.94465900000004,1.6857096006651275,0.4102146625518799,0.2302070913029467,16.213533106089834
0.0,DCD,0.0,27.32884658064516,1.0,Trough,None,5.208471045041562,0.0,Poultry manure,0.0,5.8980388959561765,25.0,None,LB Culture,None,57.62867877358799,0.6292491869918699,133.0,None,10.938350691627416,None,2.4967368849582217,13.004181772392162,107.18949100000005,4.227630458170131,0.4358762502670288,0.142080401911381,22.108716999962777
0.0,Biochar,0.0,27.32884658064516,1.0,Trough,None,6.20024615563634,0.0,Poultry manure,0.0,0.0605450980776156,14.0,Byproduct,Potassium phosphate,None,70.27279732160196,0.6292491869918699,57.0,None,10.31723723710362,Sawdust,2.4967368849582217,15.480383272597663,108.796742,0.9778736870317638,0.3686335682868957,0.1897138765055807,26.98351630395743
0.0,Biochar,0.0,27.32884658064516,1.0,Reactor,None,20.462858193464555,0.0,Poultry manure,0.0,6.709515422627771,7.0,Byproduct,Calcium magnesium phosphate fertilizer,None,74.0692760698994,0.6292491869918699,109.0,None,9.65310257717973,Soil,2.4967368849582217,51.09037282329252,107.72782800000004,4.665631041100223,0.5075880885124207,0.1999356208082637,19.60064389630813
0.0,Ca-superphosphate,0.0,27.32884658064516,1.0,Trough,None,34.05169027397363,0.0,Poultry manure,0.0,8.48668532273429,22.0,Byproduct,Potassium phosphate,None,52.93321880216417,0.6292491869918699,120.0,None,7.692556787642509,Byproduct,2.4967368849582217,85.01811110220308,108.77388900000004,3.0285125653587848,0.1759438216686248,0.2262738768885163,19.152947187037217
0.0,DCD,0.0,27.328846580645163,1.0,Trough,None,5.286952639425914,0.4917516172006944,Poultry manure,0.0,9.71888900229331,15.0,Poultry manure,Organic acid,None,76.346543345107,0.6292491869918699,79.0,None,5.282789968515738,Sawdust,2.4967368849582217,13.200129663881905,107.67266000000004,3.91368826363402,0.1315975189208984,0.1926109417941371,22.416203440193247
0.0,Biochar,0.0,27.32884658064516,1.0,Reactor,None,34.952109365447946,0.0,Poultry manure,0.0,9.771244302531992,4.0,Byproduct,Urea,None,54.21147964778751,0.6292491869918699,84.0,None,5.569596473754152,Green Waste,2.4967368849582217,87.26622065980759,108.58154300000002,1.2968942225364632,0.2213191837072372,0.1823756737307678,13.989268224142116
0.0,Inorganic acid,0.0,27.32884658064516,1.0,Trough,None,16.409237749399676,0.0,Poultry manure,0.0,4.817814440701854,22.0,Byproduct,MgHPO₄,None,57.24457995293206,0.6292491869918699,113.0,None,9.34716462316929,Sawdust,2.4967368849582217,42.80945142599684,107.07838200000003,4.077182252466806,0.4345456659793854,0.1542579981566231,1000000.0
0.0,DCD,41.273424780551046,27.32884658064516,1.0,Reactor,Continuous,15.23602868059561,4.70453266566958,Poultry manure,12.0,9.763398684621972,12.0,Byproduct,Gypsum,None,81.78228565879593,0.6292491869918699,63.0,None,10.970206703024868,Green Waste,2.4967368849582217,38.04035478712441,106.784166,7.51454730523367,0.7404171824455261,0.2085871629620553,19.517957247302757
0.0,Biochar,45.04193600360353,27.32884658064516,1.0,Trough,Continuous,11.769625905666365,2.1201555228998403,Poultry manure,6.0,2.2826550953478524,16.0,Byproduct,Mature compost,None,58.04814694210916,0.6292491869918699,97.0,None,7.748668433713721,Soil,2.4967368849582217,29.385659120837023,108.68822600000004,4.164096621248366,0.3444070518016815,0.1639054601471814,25.894673512411178
0.0,Biochar,0.7221060955980015,27.328846580645163,1.0,Reactor,None,37.54971376824798,0.0,Poultry manure,0.0,5.26452591840795,13.0,Byproduct,Lignite,None,60.06285617859227,0.6292491869918699,132.0,None,9.09608078917663,Green Waste,2.4967368849582217,95.22532432900223,107.72782800000004,4.525850478863013,0.5075880885124207,0.2162210761563835,1000000.0
537.0,DCD,38.81800191735097,27.32884658064516,1.0,Reactor,Intermittent ,10.124335591022149,1.5886244791585655,Poultry manure,65.0,7.838564659872325,5.0,Byproduct,K₂SO₄,None,81.6507384323813,0.6292491869918699,122.0,None,4.6030442162585095,Soil,2.4967368849582217,25.277802105800298,107.54142600000002,7.940429239124296,0.7184322476387024,0.1120733881834748,22.567456461579177
0.0,Ca-superphosphate,23.66944978320893,27.32884658064516,1.0,Reactor,Continuous,30.074456825450085,0.501357164791636,Poultry manure,64.0,3.56008481190631,27.0,Byproduct,Calcium magnesium phosphate fertilizer,None,63.626792529238,0.6292491869918699,101.0,None,9.657815540908018,Byproduct,2.4967368849582217,75.08800565118477,107.68461800000004,8.944643905249785,0.6350924968719482,0.1976079447200022,24.566318951462065
0.0,Ca-superphosphate,44.9956498150631,27.32884658064516,1.0,Reactor,Continuous,32.73105587363899,3.5946776073393174,Poultry manure,66.0,6.801982960069096,8.0,Byproduct,Forsterite,None,81.5130792265045,0.6292491869918699,132.0,None,7.098825010999077,Byproduct,2.4967368849582217,81.72083448334291,107.24715600000002,7.586312233741058,0.3615024089813232,0.208452013753821,21.575912058411287
360.0,Calcium magnesium phosphate fertilizer,30.719964570880023,27.328846580645163,1.0,Reactor,Intermittent ,25.802721737691957,0.2183106798756702,Poultry manure,48.0,5.767700017065229,11.0,Byproduct,K₂SO₄,None,59.19656743358505,0.6292491869918699,120.0,None,7.726112218152896,None,2.4967368849582217,64.42260709480882,108.758873,7.940429239124296,0.298138678073883,0.1687587816014124,1000000.0
0.0,DCD,0.0,27.32884658064516,1.0,Reactor,None,42.4136732224056,0.0,Poultry manure,0.0,6.787976126931209,16.0,None,Microbiological agent,None,51.927213811468135,0.6292491869918699,114.0,None,7.164319619234309,Byproduct,2.4967368849582217,105.89578236094488,104.51731800000002,4.820780660170357,0.2430631220340728,0.2342722397576083,18.91135534042348
663.0,Inorganic acid,35.25495436383577,27.32884658064516,1.0,Trough,Intermittent ,40.00608114554856,3.056677160150212,Poultry manure,70.0,5.302429455560132,31.0,Byproduct,MgO,None,77.8028614334099,0.6292491869918699,110.0,None,6.663850955458075,Plastic tube pieces,2.4967368849582217,99.88465841872276,107.07440900000002,5.497749991882492,0.4475143253803253,0.1663301558745749,22.89982692759285
0.0,DCD,0.0,27.32884658064516,1.0,Reactor,None,6.294660056736111,0.0,Poultry manure,0.0,0.4585472954227976,23.0,Byproduct,MgCl₂,None,76.45222026241461,0.6292491869918699,94.0,None,5.236715311411107,Byproduct,2.4967368849582217,15.71610994192626,107.31797900000004,5.388057326695548,0.3547840714454651,0.1943950223809934,21.30746319707806
645.0,Gypsum,51.30250276290614,27.32884658064516,1.0,Windrow,Intermittent ,44.410455510624,7.983872009180234,Poultry manure,26.0,5.188825269845456,2.0,Byproduct,Gypsum,None,60.9356789036669,0.6292491869918699,100.0,None,6.434504870746546,Woody peat,2.4967368849582217,110.88122235117105,104.660061,1.984308025130684,0.5255380868911743,0.1332303753511412,19.681291360688792
0.0,Ca-superphosphate,0.2540599501422359,27.32884658064516,1.0,Trough,None,38.61106108734786,0.0,Poultry manure,0.0,8.813178549058087,9.0,Byproduct,Sodium phosphates,None,45.30509235845496,0.6292491869918699,121.0,None,10.19744904808454,Plastic tube pieces,2.4967368849582217,96.40166038415651,108.68413700000002,2.097356669496994,0.4118209779262543,0.2019442423530121,19.80155558224768
