Period (d),Initial GI (%),Initial pH, Composting Method,Compost volume (m3),Application Rate (%DW),Additive_2,V2_Ventilation Interval (min),Material_3,Initial Moisture Content (%),M1_is Enclosed,V5_Ventilation rate (L/min/kg iniDW),Turning times,Material_Main,Initial C/N (%),Additive_4,V1_Ventilation Type,V3_Ventilation Duration (min),V4_Ventilation Day,Additive_3,Material_2,Additive_1,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
61.0,27.32884658064516,11.70360837513575,Reactor,4.210797122302158,4.132287978026565,DCD,616.0,Byproduct,46.888413942810416,1.0,1.6573157374072334,29.0,Sewage sludge,17.137776920976737,None,Intermittent ,3.338966561422612,52.0,None,Green waste,Sodium phosphates,2.1457865217391303,36.774010729603816,95.91402499999998,7.980435575296111,0.8653522729873657,0.1566842288799406,29.101756495936613
125.0,27.32884658064516,8.12870496854455,Windrow,4.210797122302158,5.255885104210519,Zeolite,0.0,Green waste,65.1058787912541,1.0,8.058017309381054,28.0,Sewage sludge,25.21694602471968,None,Continuous,46.604130757012406,70.0,None,Green Waste,K₂SO₄,2.1457865217391303,54.11018289926664,95.913535,5.24640055949759,0.870778501033783,0.2217458315185703,26.63631265765673
29.0,27.32884658064516,6.557971338887447,Trough,4.210797122302158,1.4420216180889711,Inorganic acid,0.0,Mature compost,59.0467833089997,0.0,0.0,7.0,Sewage sludge,9.692226920189611,None,None,0.0,0.0,None,Woody peat,Carbonatite,2.1457865217391303,20.79744989098003,96.52092899999998,1.6298791589794246,0.2240939736366272,0.127574181969505,28.41743516024505
124.0,27.32884658064516,7.545511530367675,Windrow,4.210797122302158,7.663006797462868,Zeolite,0.0,Byproduct,64.75324497714467,0.0,4.672471048738655,14.0,Sewage sludge,14.342080845386135,None,Continuous,16.15024798141255,80.0,None,Green Waste,Gypsum,2.1457865217391303,30.77504377172252,96.077855,4.979322642251236,0.5521015524864197,0.2161513933450635,27.248950774731377
71.0,27.32884658064516,8.204181286780678,Windrow,4.210797122302158,8.178255996746334,Calcium magnesium phosphate fertilizer,0.0,Byproduct,63.41638764672151,1.0,3.707239865463516,28.0,Sewage sludge,22.165743068472235,None,Continuous,1.9313669583971325,55.0,None,Green waste,Ferric salt,2.1457865217391303,47.56295272066028,97.594207,7.6358314065129615,0.8577157258987427,0.2152632194286368,28.01834777568001
118.0,27.32884658064516,5.892883076561553,Trough,4.210797122302158,6.102602763630324,MgO,0.0,Byproduct,80.84211046167769,0.0,3.4628746780554645,9.0,Sewage sludge,5.473204328511526,None,Continuous,30.67304799305549,52.0,None,Soil,Sand,2.1457865217391303,11.7443280788443,95.410396,5.367464659641197,0.4666719734668731,0.1808372519536952,25.193852828677574
15.0,27.32884658064516,5.092745411825936,Windrow,4.210797122302158,0.7636893924128796,Potassium phosphate,0.0,Green waste,78.22863038199868,1.0,1.8578889397476477,21.0,Sewage sludge,24.97471443394833,None,None,0.0,0.0,None,Green waste,MgSO₄,2.1457865217391303,53.590405616650045,96.566739,3.993861155724233,0.6988661885261536,0.2262408826761953,28.36237060618961
96.0,27.32884658064516,7.054841516705487,Reactor,4.210797122302158,0.5262429375178593,None,0.0,Mature compost,72.00243126389226,1.0,5.3559763908805085,12.0,Sewage sludge,30.38694943110816,None,Continuous,3.2625696680111838,60.0,None,Sawdust,Zeolite,2.1457865217391303,67.90974061660822,98.75286500000004,5.865662314046502,0.2564087510108948,0.2022117424795357,1000000.0
110.0,27.328846580645163,4.668923429594432,Reactor,4.210797122302158,0.9249591015626536,Ca-superphosphate,0.0,Green waste,55.43025318206818,1.0,0.0,12.0,Sewage sludge,15.807611542991555,None,None,0.0,0.0,None,Plastic tube pieces,MgCl₂,2.1457865217391303,33.919759789839176,96.030834,2.97339668887557,0.1193948537111282,0.2113248458143097,26.2296396241693
85.0,27.328846580645163,6.159364956841161,Trough,4.210797122302158,5.930824027043055,Inorganic acid,0.0,Mature compost,70.88045508317452,0.0,0.0,20.0,Sewage sludge,15.706631272193986,None,None,0.1371968449411912,0.0,None,None,MgHPO₄,2.1457865217391303,33.70307768580019,95.151548,2.258337290377072,0.6993834376335144,0.2195045541042472,23.036088443781484
