V4_Ventilation Day,V1_Ventilation Type,M1_is Enclosed,Material_Main,Additive_4, Composting Method,V3_Ventilation Duration (min),Additive_2,Period (d),V2_Ventilation Interval (min),Material_2,V5_Ventilation rate (L/min/kg iniDW),Initial pH,Turning times,Initial Moisture Content (%),Additive_1,Compost volume (m3),Additive_3,Application Rate (%DW),Initial GI (%),Initial C/N (%),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
24.0,Intermittent ,1.0,Sheep manure,None,Reactor,49.56031681978813,Mg(OH)₂,116.0,449.0,Byproduct,9.37945226555152,10.98643851207166,0.0,50.16567305891871,MgHPO₄,0.045,None,9.31184790918805,27.32884658064516,30.1779657711309,Byproduct,1.97,59.45059256912787,104.162331,6.206467037311048,0.5285902619361877,0.1602484828855739,19.95885264445171
8.0,Intermittent ,1.0,Sheep manure,None,Reactor,38.48221860947556,Ca-superphosphate,14.0,916.0,Soil,7.752695576136526,11.7486042146401,8.0,45.89578251195759,Sand,0.045,None,2.8218333606053854,27.328846580645163,31.33274001721229,None,1.97,62.98777851171037,106.843703,6.3964899085174265,0.5109208822250366,0.1343644321505711,1000000.0
56.0,Intermittent ,1.0,Sheep manure,None,Trough,43.03793254060826,Biochar,93.0,233.0,Soil,3.358583533631509,5.69159062244609,26.0,46.53772439664374,MgCl₂,0.045,None,2.8435932348346094,27.32884658064516,45.220216098904245,Straw,1.97,89.08382571484137,104.91866799999998,6.916428012122602,0.3750185072422027,0.1710224322178828,26.77355661512208
4.0,Continuous,1.0,Sheep manure,None,Reactor,27.29118791255565,None,14.0,0.0,Plastic tube pieces,2.427819329861864,11.382720371087874,22.0,45.36751797021529,Urea,0.045,None,0.0322994746657867,27.32884658064516,44.49301841989144,Mature compost,1.97,87.65124628718613,104.40551199999992,3.820573599728164,0.9450733661651612,0.2221022347886108,30.076727028795855
0.0,None,1.0,Sheep manure,None,Trough,0.0,Ca-superphosphate,83.0,0.0,Sawdust,0.0,4.513200044955869,17.0,44.56739118393391,MgCl₂,0.045,None,0.975280449558682,27.32884658064516,32.99794960547809,Byproduct,1.97,65.00596072279184,104.947015,5.300166773990991,0.1953126788139343,0.2324656669090073,25.51979999082983
38.0,Intermittent ,1.0,Sheep manure,None,Reactor,55.66558674675137,MgO,98.0,307.0,Plastic tube pieces,4.1680778620578165,9.583608037756456,22.0,43.599981978903394,MgHPO₄,0.045,None,9.024794063675015,27.32884658064516,43.93720118556588,Green waste,1.97,86.55628633556478,103.967438,6.726405140916223,0.5381940603256226,0.1602180425133662,27.37319582495695
70.0,Intermittent ,1.0,Sheep manure,None,Reactor,33.31713521263667,Mg(OH)₂,112.0,92.0,None,3.929029258869445,7.746159461881957,30.0,43.56937810106881,MgSO₄,0.045,None,8.860606303113975,27.32884658064516,39.11405415929308,Green waste,1.97,77.05468669380737,104.098137,6.857981521244737,0.6829384565353394,0.1989016582874372,25.877338148592145
25.0,Intermittent ,1.0,Sheep manure,None,Trough,10.54346871185424,Mg(OH)₂,76.0,258.0,Straw,6.765249530118083,7.102413295439003,12.0,47.08505860713729,Sulfur,0.045,None,9.229444713347885,27.32884658064516,35.74263708149197,Mature compost,1.97,70.41299505053918,104.45603699999998,6.206467037311048,0.6472980380058289,0.1554015993509683,24.35177863615485
81.0,Continuous,0.0,Sheep manure,None,Trough,8.98531576554059,MgO,118.0,0.0,Sawdust,7.0338190991671015,5.173748825104187,12.0,45.014812606280216,Mg(OH)₂,0.045,None,0.8813549100108908,27.32884658064516,33.06927259018962,Straw,1.97,65.14646700267355,104.15327399999995,3.2015571470137605,0.8260243535041809,0.2049235167527246,29.098274031989856
1.0,Intermittent ,1.0,Sheep manure,None,Windrow,1.83148098550014,DCD,50.0,100.0,Green waste,9.306124802530263,9.927130263364896,20.0,50.62356854780881,Potassium phosphate,0.045,None,0.4757865596096855,28.56107736179304,41.95557718363357,None,1.97,82.65248705175813,104.082889,5.227701725289718,0.3026289045810699,0.1969407594651892,27.54814305082855
