M1_is Enclosed,Additive_4,Compost volume (m3),V1_Ventilation Type,V2_Ventilation Interval (min),Initial Moisture Content (%),Application Rate (%DW),V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),Material_Main,Material_3,Additive_3,Initial pH, Composting Method,Additive_2,Initial C/N (%),Material_2,Additive_1,Initial GI (%),Period (d),Turning times,V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
1.0,None,2.147162565177521,Intermittent ,548.0,63.0,5.821315464247496,2.0,0.4099630306058974,Cattle manure,None,None,10.84923886663427,Reactor,Zeolite,15.0,Plastic tube pieces,Biochar,27.32884658064516,23.0,31.0,3.644415032248913,1.596639959668374,43.04332040408256,109.92648700000008,7.913357537448591,0.3869498372077942,0.1549838667753936,1000000.0
1.0,None,2.147162565177521,None,0.0,83.29536115180063,4.177142246417937,0.0,0.0,Cattle manure,Green waste,None,8.687422511474855,Reactor,Mg(OH)₂,43.10325234355225,None,Mature compost,27.32884658064516,113.0,31.0,0.0,1.596639959668374,68.82037508338502,103.31988400000006,10.35733894120812,0.3740804493427276,0.2281699068491859,20.876379119597637
1.0,None,2.147162565177521,Intermittent ,235.0,50.0,8.146716030935607,12.0,1.3366738169848211,Cattle manure,Poultry manure,None,6.0,Trough,Biochar,19.0,Soil,Labile carbon source,27.32884658064516,73.0,30.0,51.73292116243126,1.596639959668374,13.779735170749904,106.414955,7.981457748442978,0.238850399851799,0.193190993250883,1000000.0
0.0,None,2.147162565177521,Intermittent ,678.0,50.0,2.3856010610163105,15.0,1.128519895349272,Cattle manure,Mature compost,None,10.36001866935485,Windrow,Calcium magnesium phosphate fertilizer,25.0,Soil,Zeolite,27.32884658064516,97.0,31.0,18.7839987889484,1.596639959668374,18.61143024165032,105.949999,10.786808901010254,0.563301682472229,0.1595930893815948,1000000.0
1.0,None,2.147162565177521,Continuous,0.0,54.0,9.122950092437613,78.0,1.7251310993291296,Cattle manure,Mature compost,None,9.452779608246765,Reactor,None,21.0,Soil,Biochar,27.32884658064516,130.0,29.0,0.0,1.596639959668374,29.860131653092647,105.65839700000004,11.750885254459076,0.4262037873268127,0.1757909982364342,1000000.0
1.0,None,2.147162565177521,None,0.0,62.88700893647238,8.501145606139907,0.0,0.0,Cattle manure,Byproduct,None,10.91520747869622,Reactor,MgSO₄,42.35539361850171,Woody peat,Biochar,27.32884658064516,108.0,27.0,0.0,1.596639959668374,67.62631395878267,106.43375800000004,10.896269422971002,0.4317644834518432,0.1652319002817373,20.725879688733297
1.0,None,2.147162565177521,None,0.0,63.0,3.5320276637374306,0.0,0.0,Cattle manure,None,None,5.0,Reactor,DCD,39.0,Soil,Clay,27.32884658064516,97.0,27.0,0.0,1.596639959668374,18.24026865138165,104.43600500000002,10.35733894120812,0.3620646595954895,0.2218406638122246,1000000.0
0.0,None,2.147162565177521,Intermittent ,1120.0,64.0,4.84724158247635,14.0,0.571076001020943,Cattle manure,Mature compost,None,9.498322651021098,Windrow,MgSO₄,32.0,Woody peat,Sulfur,27.32884658064516,55.0,31.0,11.828099820394108,1.596639959668374,8.296873768588858,106.660732,7.74660546253441,0.4943064451217651,0.1372964560916686,1000000.0
1.0,None,2.147162565177521,None,0.0,70.0,7.545757788522227,0.0,0.0,Cattle manure,Byproduct,None,9.42220775905228,Reactor,Organic acid,25.0,Soil,Ca-superphosphate,27.32884658064516,61.0,26.0,0.0,1.596639959668374,40.22925672678996,106.08875600000005,10.143480431083155,0.3993787169456482,0.2256124011084722,1000000.0
1.0,None,2.147162565177521,None,0.0,67.0,7.327564695675355,0.0,0.0,Cattle manure,None,None,6.0,Reactor,Mg(OH)₂,15.0,Green waste,Ca-superphosphate,27.32884658064516,91.0,30.0,0.0,1.596639959668374,32.64268263515529,103.34919000000008,10.639343082693332,0.2511817514896393,0.188609868165868,1000000.0
