Additive_3,M1_is Enclosed,Initial GI (%),V1_Ventilation Type,Material_2,Turning times, Composting Method,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),Additive_4,Application Rate (%DW),Initial Moisture Content (%),Additive_2,Compost volume (m3),Material_3,Material_Main,Additive_1,Initial pH,V2_Ventilation Interval (min),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,1.0,27.32884658064516,Continuous,Plastic tube pieces,27.0,Reactor,132.0,37.0,0.0,None,3.487914480385012,74.74069945399353,Biochar,0.0996875,Green waste,Digestate,Ca-superphosphate,6.0,0.0,0.8082878913991154,18.0,2.754411318174137,48.73910546541926,95.07868200000004,12.56399136140236,1.1424671411514282,0.1805740070302243,1000000.0
None,1.0,27.32884658064516,None,None,11.0,Trough,58.0,0.0,0.0,None,5.079619417515321,67.0,Biochar,0.0996875,Green waste,Digestate,Urea,7.0,0.0,0.0,34.0,2.754411318174137,98.03935331060944,93.18989600000003,9.61661785047088,1.1323575973510742,0.1474190974173415,1000000.0
None,0.0,27.32884658064516,None,Plastic tube pieces,0.0,Trough,27.0,0.0,0.0,None,8.414721871704081,82.91872500321924,Biochar,0.0996875,None,Digestate,Biochar,8.0,0.0,0.0,30.0,2.754411318174137,26.688111097378503,95.49701200000004,10.853548832705483,1.13550066947937,0.1369071645295839,1000000.0
None,1.0,27.328846580645163,None,Green Waste,0.0,Trough,39.0,0.0,0.0,None,2.377852792003509,58.0,None,0.0996875,Mature compost,Digestate,Ca-superphosphate,6.0,0.0,0.0,18.0,2.754411318174137,74.37980801077254,95.35355800000004,10.38882325835463,1.1377934217453003,0.1307757828397432,1000000.0
None,1.0,27.32884658064516,None,Green waste,1.0,Windrow,82.0,0.0,0.0,None,6.434023526730756,82.38709588203926,Biochar,0.0996875,Byproduct,Digestate,Lignite,5.0,0.0,0.0,20.0,2.754411318174137,109.75839153357224,95.30365700000002,11.232178036278729,1.1690773963928225,0.1550541697325882,1000000.0
None,1.0,27.32884658064516,None,Woody peat,30.0,Reactor,43.0,0.0,0.0,None,4.742325917139598,72.39455573354891,Biochar,0.0996875,Mature compost,Digestate,Biochar,6.0,0.0,0.0,27.0,2.754411318174137,92.90850872902028,94.87325800000006,10.463796610478926,1.1295812129974363,0.1250961779794223,1000000.0
None,1.0,27.32884658064516,Continuous,Plastic tube pieces,13.0,Reactor,132.0,52.0,0.0,None,7.38432400127625,55.23997039380913,Biochar,0.0996875,Mature compost,Digestate,Organic acid,9.646548597360496,0.0,0.0266956271924201,30.0,2.754411318174137,107.98351465133722,92.91431300000002,12.244130279072603,1.155115842819214,0.1323509240691119,1000000.0
None,0.0,27.32884658064516,None,Husk,0.0,Windrow,13.0,0.0,0.0,None,8.482146056735582,83.43209065060552,Calcium magnesium phosphate fertilizer,0.0996875,Mature compost,Digestate,Biochar,9.807383001565524,0.0,0.0,13.0,2.754411318174137,41.08462045511454,94.39637700000004,4.885891649157594,1.15440571308136,0.1046018779587403,1000000.0
None,1.0,27.32884658064516,None,Soil,0.0,Windrow,62.0,0.0,0.0,None,4.097806114646552,50.0,Mg(OH)₂,0.0996875,Poultry manure,Digestate,Sand,5.999999999999999,0.0,0.0,20.0,2.754411318174137,45.00752205406207,92.11223900000005,9.897230152720969,1.1502975225448608,0.1556308167440888,1000000.0
None,1.0,27.32884658064516,None,Plastic tube pieces,1.0,Trough,53.0,0.0,0.0,None,7.66483815105711,62.0,None,0.0996875,Mature compost,Digestate,Sand,9.262865081839056,0.0,0.0,40.0,2.754411318174137,56.781631577686696,93.15877100000004,10.36540803198868,1.15709388256073,0.1562995454644318,1000000.0
None,1.0,27.32884658064516,None,Green waste,1.0,Reactor,108.0,0.0,0.0,None,4.311299476452218,83.09191339142828,Biochar,0.0996875,None,Digestate,Carbonatite,7.0,0.0,0.0,40.0,2.754411318174137,54.64233136518344,95.281088,10.629323322345872,1.131294012069702,0.158921828711814,1000000.0
None,0.0,27.32884658064516,None,Husk,1.0,Trough,85.0,0.0,0.0,None,9.020104565739905,71.0451012618425,Ca-superphosphate,0.0996875,Green waste,Digestate,Carbonatite,11.788891451103376,0.0,0.0,24.0,2.754411318174137,26.59968860027749,94.45794900000004,7.734775954889755,1.1550785303115845,0.1177249697625035,1000000.0
None,1.0,27.32884658064516,None,Plastic tube pieces,8.0,Windrow,38.0,0.0,0.0,None,5.786954254582308,56.0,Biochar,0.0996875,Byproduct,Digestate,Lime,11.825527845998078,0.0,0.0,38.0,2.754411318174137,102.37796633919768,93.62317500000005,9.61661785047088,1.1744415760040283,0.1505823027863347,1000000.0
None,0.0,27.32884658064516,None,Green Waste,13.0,Trough,28.0,0.0,0.0,None,9.651088445334974,64.7695384017008,Biochar,0.0996875,Mature compost,Digestate,Biochar,5.251637961565649,0.0,0.0,26.0,2.754411318174137,69.99966309345537,95.16007700000006,9.666333335862731,1.1218291521072388,0.1284410779752806,1000000.0
None,0.0,27.32884658064516,None,Soil,0.0,Trough,83.0,0.0,0.0,None,6.762639532489776,81.6605272730725,DCD,0.0996875,Green waste,Digestate,Ca-superphosphate,5.0,0.0,0.0,38.0,2.754411318174137,76.65148068504337,94.79888300000005,7.7408550179946145,1.147633075714111,0.1029225417040432,1000000.0
None,1.0,27.32884658064516,None,Green waste,18.0,Trough,21.0,0.0,0.0,None,4.711502948660218,66.0,Biochar,0.0996875,Byproduct,Digestate,MgHPO₄,6.0,0.0,0.0,41.76292287772699,2.754411318174137,115.03226745444483,93.22805600000004,9.61661785047088,1.175442814826965,0.1580353313578326,22.84251289514458
None,1.0,27.32884658064516,None,Soil,16.0,Reactor,101.0,0.0,0.0,None,2.4892571368610232,58.0,Biochar,0.0996875,None,Digestate,Biochar,6.0,0.0,0.0,11.0,2.754411318174137,73.266499082824,94.34123900000006,8.54228070032037,1.1123266220092771,0.082956622206741,1000000.0
None,1.0,27.32884658064516,None,Green Waste,0.0,Windrow,14.0,0.0,0.0,None,7.149904000635238,60.0,Potassium phosphate,0.0996875,Straw,Digestate,Organic acid,8.87585444706836,0.0,0.0,42.98118729577025,2.754411318174137,118.387868756032,92.57299800000004,10.36540803198868,1.1584278345108032,0.1415029651824452,22.8188727210336
None,0.0,27.32884658064516,None,Green Waste,11.0,Windrow,48.0,0.0,0.0,None,6.575707574136262,69.0,Biochar,0.0996875,Green waste,Digestate,Clay,10.258491453471285,0.0,0.0,38.0,2.754411318174137,64.70865094560459,92.89418500000004,9.309237343620756,1.128820776939392,0.1484865543730951,1000000.0
None,1.0,27.32884658064516,None,Soil,6.0,Trough,49.0,0.0,0.0,None,4.081990596057431,65.0,Biochar,0.0996875,Green waste,Digestate,Urea,7.0,0.0,0.0,10.0,2.754411318174137,80.63703138358889,93.18989600000003,8.54228070032037,1.1299484968185425,0.108030573070281,1000000.0
None,1.0,27.32884658064516,None,Husk,1.0,Windrow,84.0,0.0,0.0,None,9.794721195077711,75.95221663652723,Organic acid,0.0996875,Byproduct,Digestate,Biochar,8.0,0.0,0.0,16.0,2.754411318174137,61.97385795681784,95.35310500000006,8.976089660105831,1.1820698976516724,0.1644238035180477,1000000.0
None,1.0,27.32884658064516,None,Green waste,22.0,Reactor,56.0,0.0,0.0,None,8.07335438010857,69.0,Ca-superphosphate,0.0996875,Byproduct,Digestate,Biochar,7.0,0.0,0.0,17.0,2.754411318174137,57.87478607981582,94.09270000000006,9.37611778647964,1.1813147068023682,0.1619555313940222,1000000.0
None,0.0,27.328846580645163,None,Green waste,19.0,Trough,33.0,0.0,0.0,None,9.557558351276064,80.94811496707754,Biochar,0.0996875,Straw,Digestate,Carbonatite,6.0,0.0,0.0,34.0,2.754411318174137,66.25283427058054,92.80859000000004,9.309237343620756,1.1280221939086914,0.1404375223772624,1000000.0
None,0.0,27.32884658064516,None,None,2.0,Windrow,88.0,0.0,0.0,None,3.60934655976414,58.0,Zeolite,0.0996875,Byproduct,Digestate,Ca-superphosphate,9.626171318676452,0.0,0.0,44.28521995328425,2.754411318174137,121.97971106715724,92.75334200000006,7.112491779694532,1.1760927438735962,0.1116562656066668,12.075464150688417
None,1.0,27.32884658064516,None,Sawdust,31.0,Trough,60.0,0.0,0.0,None,2.230735808911882,63.0,Biochar,0.0996875,Byproduct,Digestate,Carbonatite,8.370711648799976,0.0,0.0,23.0,2.754411318174137,71.43208233959722,92.68028500000004,10.390848397899273,1.1713464260101318,0.1401324101571723,1000000.0
None,0.0,27.32884658064516,None,Woody peat,26.0,Trough,100.0,0.0,0.0,None,7.23692487881218,70.0,Gypsum,0.0996875,Byproduct,Digestate,Ca-superphosphate,10.036429526551734,0.0,0.0,37.0,2.754411318174137,82.9903094799846,92.75334200000006,7.112491779694532,1.1765328645706177,0.129208022090681,1000000.0
None,1.0,27.32884658064516,None,Straw,0.0,Trough,118.0,0.0,0.0,None,3.7085466023782487,62.0,Biochar,0.0996875,Straw,Digestate,Organic acid,7.0,0.0,0.0,32.0,2.754411318174137,57.759713453409546,94.75335900000002,10.629323322345872,1.1315325498580933,0.1884496448679575,1000000.0
None,0.0,27.32884658064516,None,Husk,0.0,Windrow,42.0,0.0,0.0,None,8.749705594900565,70.0,Biochar,0.0996875,Byproduct,Digestate,Lime,8.543816106903353,0.0,0.0,41.04849214040446,2.754411318174137,113.06443134551216,94.00638900000004,10.01740882462086,1.181403398513794,0.122501300083443,16.015681629185757
None,0.0,27.32884658064516,None,Woody peat,1.0,Windrow,73.0,0.0,0.0,None,8.33347657348393,51.0,Biochar,0.0996875,None,Digestate,MgO,8.0,0.0,0.0,13.0,2.754411318174137,68.7264393419426,93.18305100000003,8.213538138492638,1.130325436592102,0.0867982496239559,1000000.0
