 Composting Method,Initial pH,Period (d),Additive_1,Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial GI (%),Additive_4,M1_is Enclosed,Initial C/N (%),Additive_3,Material_2,Material_3,Initial Moisture Content (%),Material_Main,V1_Ventilation Type,V4_Ventilation Day,Additive_2,Turning times,Application Rate (%DW),V3_Ventilation Duration (min),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Reactor,6.0,39.0,LB Culture,0.06,0.0,0.0,27.32884658064516,None,1.0,41.86765086142118,None,Soil,Straw,63.0,Food Waste,None,0.0,Inorganic acid,0.0,3.134175646628842,0.0,1.775,74.3150802790226,88.90617,6.091020771332633,0.2413044720888137,0.215774599883113,23.016139536548977
Windrow,5.0,44.0,Calcium magnesium phosphate fertilizer,0.06,0.0,0.0,27.32884658064516,None,0.0,20.0,None,Green Waste,Mature compost,70.61562403988123,Food Waste,None,0.0,DCD,29.0,8.080834190977466,0.0,1.775,34.930974759898696,87.53238999999998,6.210382725518763,0.5475879907608032,0.171911687865546,1000000.0
Windrow,5.0,133.0,Organic acid,0.06,0.0,0.0,27.32884658064516,None,0.0,36.0,None,Straw,Straw,73.83920817818758,Food Waste,None,0.0,MgSO₄,31.0,7.060376272270959,0.0,1.775,49.88099218098224,88.228612,6.210382725518763,0.2837257385253906,0.1668670898899005,1000000.0
Windrow,5.0,15.0,MgO,0.06,0.0,0.0,27.32884658064516,None,0.0,13.0,None,Soil,None,74.02536544710577,Food Waste,None,0.0,Biochar,1.0,4.608100738818622,0.0,1.775,68.65940018357186,91.816179,4.367747440296947,1.4987796545028689,0.1289525095954056,1000000.0
Trough,6.0,65.0,Lignite,0.06,0.718620148513792,1068.0,27.32884658064516,None,0.0,36.0,None,Green waste,Mature compost,70.0,Food Waste,Intermittent ,2.0,Biochar,23.0,4.179391618087012,14.563364644386729,1.775,43.843208860453394,89.12453899999997,5.38619012119955,0.5458769798278809,0.1532773695518784,1000000.0
Trough,6.0,115.0,Mg(OH)₂,0.06,0.0,0.0,27.328846580645163,None,1.0,22.0,None,Sawdust,Poultry manure,62.0,Food Waste,None,0.0,Gypsum,30.0,7.602082565422094,0.0,1.775,58.8025324067616,88.02811000000001,6.091020771332633,0.3228927254676819,0.2001312105668073,1000000.0
Trough,8.0,20.0,Organic acid,0.06,0.0,0.0,27.32884658064516,None,0.0,38.0,None,Green waste,Byproduct,77.07648898880657,Food Waste,None,0.0,Inorganic acid,5.0,7.070517545532161,0.0,1.775,48.89426987385608,89.10723399999998,6.592875579300572,0.218668445944786,0.159158826582483,1000000.0
Windrow,5.0,30.0,Inorganic acid,0.06,1.4253004474402429,0.0,27.32884658064516,None,1.0,10.0,None,Husk,Straw,50.0,Food Waste,Continuous,3.0,Ca-superphosphate,12.0,3.134899507128784,0.0,1.775,39.01630241652579,89.139588,4.984436878977018,0.8444889187812805,0.1666963571798653,1000000.0
Trough,5.0,78.0,MgHPO₄,0.06,0.0,0.0,27.32884658064516,None,0.0,23.0,None,Plastic tube pieces,Poultry manure,69.0,Food Waste,None,0.0,None,14.0,7.093777197741871,0.0,1.775,42.59230022871983,88.08708999999999,5.685827422533591,0.2206979095935821,0.1769522944820968,1000000.0
Windrow,5.0,131.0,Inorganic acid,0.06,0.0,0.0,27.32884658064516,None,0.0,10.0,None,Woody peat,None,83.98812708881039,Food Waste,None,0.0,Mg(OH)₂,17.0,6.307155741244129,0.0,1.775,39.765555805988434,88.228612,6.43301914295656,0.3733502030372619,0.1322758017727058,1000000.0
Reactor,8.0,20.0,Potassium phosphate,0.06,0.0,0.0,27.32884658064516,None,1.0,16.0,None,Plastic tube pieces,Byproduct,56.0,Food Waste,None,0.0,Microbiological agent,3.0,5.543473669059317,0.0,1.775,15.243549526099605,89.14689799999998,6.592875579300572,0.2349222302436828,0.1561920343256249,1000000.0
Trough,5.0,21.0,Sodium salt,0.06,0.0,0.0,27.32884658064516,None,0.0,31.0,None,Green Waste,Straw,76.80032433635236,Food Waste,None,0.0,DCD,6.0,3.4795792071401683,0.0,1.775,60.41530641953312,89.57701999999999,5.685827422533591,0.4915874004364013,0.168464072761086,1000000.0
Trough,8.0,112.0,Zeolite,0.06,1.4572275156026904,0.0,27.32884658064516,None,1.0,30.0,None,Sawdust,Straw,66.0,Food Waste,Continuous,0.0,Ca-superphosphate,21.0,9.169519649453925,0.0,1.775,67.14129667553624,87.71798500000001,6.357433320409943,0.4379615187644958,0.2044224225345582,1000000.0
Reactor,5.0,79.0,Sodium phosphates,0.06,0.0,0.0,27.328846580645163,None,1.0,10.0,None,Green Waste,Byproduct,74.39643447520172,Food Waste,None,0.0,MgSO₄,21.0,6.375728367354898,0.0,1.775,51.03093796466911,87.92303600000002,6.4103186479393255,0.3122427761554718,0.1547851381902825,1000000.0
Windrow,6.0,71.0,Sodium salt,0.06,0.0,0.0,27.32884658064516,None,1.0,32.0,None,Green waste,Byproduct,70.30821748062266,Food Waste,None,0.0,DCD,12.0,6.463283454379245,0.0,1.775,23.431987976948857,88.591394,7.117430882285744,0.4866788387298584,0.1706720467263502,1000000.0
Windrow,5.545615008954833,124.0,Phosphogypsum,0.06,0.0,0.0,27.32884658064516,None,1.0,16.0,None,Plastic tube pieces,None,79.13732909411843,Food Waste,None,0.0,Ca-superphosphate,11.0,5.674926378155518,0.0,1.775,14.632448200778358,89.44950099999998,6.0563132340288615,0.4901413023471832,0.1462287977480022,1000000.0
Windrow,5.0,88.0,Clay,0.06,1.3338465227627838,0.0,27.328846580645163,None,1.0,28.000000000000004,None,Soil,Poultry manure,66.0,Food Waste,Continuous,3.0,Calcium magnesium phosphate fertilizer,17.0,6.778543179423047,0.0,1.775,40.84917192986615,90.234464,7.707527383460756,0.77853924036026,0.2091117974684481,1000000.0
Reactor,7.0,93.0,Ferric salt,0.06,0.0,0.0,27.32884658064516,None,1.0,41.22040877125245,None,Plastic tube pieces,Mature compost,67.0,Food Waste,None,0.0,Calcium magnesium phosphate fertilizer,25.0,6.774298381268232,0.0,1.775,73.16622556897309,88.89316,6.091020771332633,0.3283021450042724,0.200324267927544,19.663181987154672
Windrow,5.498783969319567,28.0,Sodium phosphates,0.06,0.0,0.0,27.32884658064516,None,0.0,30.0,None,Woody peat,Poultry manure,53.0,Food Waste,None,0.0,Inorganic acid,5.0,6.633310278330256,0.0,1.775,39.86079153968239,89.15368499999998,3.667339562480292,0.2232604771852493,0.1763145805414887,1000000.0
Windrow,5.0,15.0,Carbonatite,0.06,0.0,0.0,27.32884658064516,None,1.0,34.0,None,Byproduct,Byproduct,77.57739187940047,Food Waste,None,0.0,Gypsum,9.0,2.9174325393811475,0.0,1.775,25.692685293082217,88.930963,7.136141227330175,0.6963467597961426,0.1658570397285179,1000000.0
Trough,7.0,121.0,Clay,0.06,0.0,0.0,27.32884658064516,None,1.0,21.0,None,Soil,Byproduct,51.0,Food Waste,None,0.0,Ca-superphosphate,31.0,6.871383499894884,0.0,1.775,62.268789791289805,89.76813799999998,3.644639067463058,0.4672955274581909,0.1945165925242753,1000000.0
Trough,5.0,85.0,Potassium phosphate,0.06,0.0,0.0,27.32884658064516,None,1.0,33.24301109648172,None,Sawdust,Mature compost,74.71276976824929,Food Waste,None,0.0,Calcium magnesium phosphate fertilizer,28.0,4.322914220166166,0.0,1.775,22.80139693902412,89.31272899999998,5.685827422533591,0.5152339935302734,0.1992167437070678,1000000.0
Reactor,6.0,111.0,Zeolite,0.06,0.0,0.0,27.32884658064517,None,1.0,32.0,None,Husk,Byproduct,72.80710326497851,Food Waste,None,0.0,Inorganic acid,13.0,6.078100842532655,0.0,1.775,45.92651481350426,88.23285000000001,6.592875579300572,0.1921760141849517,0.1679888346674007,1000000.0
Windrow,5.0,27.0,Sodium phosphates,0.06,0.0,0.0,27.32884658064516,None,1.0,38.0,None,Husk,Mature compost,58.0,Food Waste,None,0.0,Mg(OH)₂,8.0,7.387619290652826,0.0,1.775,12.915767113882689,87.95322299999998,6.210382725518763,0.250124841928482,0.1642568884587881,1000000.0
Trough,6.0,82.0,Ferric salt,0.06,0.0,0.0,27.32884658064516,None,0.0,21.0,None,None,Straw,78.37550887476664,Food Waste,None,0.0,MgSO₄,28.0,6.609144759604822,0.0,1.775,66.51880157580369,88.08986200000001,6.091020771332633,0.1989770680665969,0.1641970746985059,1000000.0
Trough,5.0,34.0,MgHPO₄,0.06,0.0,0.0,27.32884658064516,None,0.0,33.0,None,Green waste,Byproduct,74.43000535496779,Food Waste,None,0.0,Inorganic acid,6.0,5.59197715525922,0.0,1.775,48.62686890262133,89.62011699999998,6.187682230501529,0.1982690393924713,0.1599732143663689,1000000.0
Windrow,5.0,14.0,MgHPO₄,0.06,0.0,0.0,27.32884658064516,None,0.0,18.0,None,Green waste,Byproduct,76.39288821970834,Food Waste,None,0.0,Microbiological agent,24.0,3.7289584441517407,0.0,1.775,61.26904574668917,88.02145300000001,6.712237533486703,0.6891819834709167,0.1601581373848324,1000000.0
Reactor,5.0,90.0,Sodium phosphates,0.06,0.0,0.0,27.32884658064516,None,1.0,36.0,None,Plastic tube pieces,Mature compost,60.57037186443651,Food Waste,None,0.0,DCD,21.0,7.440033896844449,0.0,1.775,38.459368763738354,88.806547,5.685827422533591,0.4363714754581451,0.1852199467339406,1000000.0
Windrow,7.0,108.0,Ca-superphosphate,0.06,0.0,0.0,27.32884658064516,None,0.0,27.0,None,Woody peat,None,73.47594889175701,Food Waste,None,0.0,Biochar,21.0,6.1333745192974645,0.0,1.775,12.073452101597711,88.30202099999998,4.772940789095989,0.5056776404380798,0.1660484386726082,1000000.0
Reactor,6.0,71.0,K₂SO₄,0.06,0.215121984754832,389.0,27.32884658064516,None,1.0,19.0,None,Green Waste,Straw,70.44763996294202,Food Waste,Intermittent ,3.0,Ca-superphosphate,18.0,4.574824626281599,24.741334550129046,1.775,35.70583281360943,89.74720399999998,7.927032305653017,0.5203720927238464,0.1817280786788186,1000000.0
Windrow,5.0,110.0,MgO,0.06,0.0,0.0,27.32884658064516,None,1.0,23.0,None,Woody peat,Poultry manure,69.0,Food Waste,None,0.0,Inorganic acid,18.0,4.796429440051047,0.0,1.775,30.925980738080185,88.228612,6.210382725518763,0.7812018394470215,0.2084184619101886,1000000.0
Trough,6.0,118.0,Organic acid,0.06,0.0719542037960445,0.0,27.32884658064516,None,0.0,34.0,None,Sawdust,Mature compost,81.40533239562237,Food Waste,Continuous,2.0,Ca-superphosphate,16.0,8.91283518881431,0.0,1.775,41.79677660000612,90.406311,7.43117764099599,0.6083855032920837,0.1646225812637789,1000000.0
