V3_Ventilation Duration (min),Additive_2,Turning times,Material_2,M1_is Enclosed,Additive_4,Initial GI (%),Material_3,V2_Ventilation Interval (min), Composting Method,Application Rate (%DW),Compost volume (m3),V5_Ventilation rate (L/min/kg iniDW),Period (d),Initial pH,Initial Moisture Content (%),Additive_1,Material_Main,Initial C/N (%),V1_Ventilation Type,V4_Ventilation Day,Additive_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,Ca-superphosphate,30.0,None,1.0,None,27.32884658064516,Green waste,0.0,Reactor,8.254848800847704,0.0551315789473684,0.8892733696849653,73.0,9.18876343182852,69.48169276093645,Mg(OH)₂,Food waste,18.0,Continuous,56.0,None,1.938857678018576,49.76514951140871,115.61373400000004,7.946461570923636,0.4377051889896393,0.2013240388934336,1000000.0
0.0,Mg(OH)₂,28.0,None,1.0,None,27.32884658064516,Green waste,0.0,Trough,8.842305606676806,0.0551315789473684,0.0304034752247401,72.0,11.86533098924581,80.90799721220209,Inorganic acid,Food waste,15.0,Continuous,57.0,None,1.938857678018576,49.23633583026857,115.73772200000003,7.920241061556584,0.4076006114482879,0.1560411306213134,1000000.0
0.0,Inorganic acid,0.0,Green waste,1.0,None,27.32884658064516,Poultry manure,0.0,Reactor,8.975718588488194,0.0551315789473684,1.6442942531416769,122.0,11.831373946637546,50.0,Sulfur,Food waste,21.0,Continuous,51.0,None,1.938857678018576,36.48882477997568,115.56537400000006,7.617099793887037,0.6726604104042053,0.1662330400686083,1000000.0
0.0,Calcium magnesium phosphate fertilizer,4.0,Husk,1.0,None,27.32884658064516,Mature compost,0.0,Reactor,8.727539205193873,0.0551315789473684,0.724620634171075,122.0,8.36234227501556,68.0,Urea,Food waste,14.0,Continuous,54.0,None,1.938857678018576,9.92000229077022,116.95140800000009,8.119073595405007,0.6332763433456421,0.1640130556790168,1000000.0
0.0,Ca-superphosphate,19.0,Green waste,1.0,None,27.32884658064516,Byproduct,0.0,Windrow,5.993010446035592,0.0551315789473684,1.193992480246075,117.0,9.105466271658129,51.0,Ferric salt,Food waste,10.0,Continuous,36.0,None,1.938857678018576,35.08633254686074,116.49899900000004,7.464963115868532,0.3988631069660187,0.1629107033509574,1000000.0
0.0,MgSO₄,14.0,None,1.0,None,27.32884658064516,None,0.0,Reactor,7.537257303353779,0.0551315789473684,0.0892468392675134,103.0,11.246778074286205,70.41437831844055,Mg(OH)₂,Food waste,17.0,Continuous,83.0,None,1.938857678018576,33.45100814643924,112.62172400000004,7.638236920071376,0.4195276200771332,0.1555856161169976,1000000.0
0.0,Ca-superphosphate,31.0,Byproduct,1.0,None,27.32884658064516,Byproduct,0.0,Reactor,3.2054496642307115,0.0551315789473684,0.3586227776306065,64.0,5.0,63.78422376774305,Sodium salt,Food waste,21.0,Continuous,40.0,None,1.938857678018576,57.42897824165172,116.23796400000003,7.719332233823026,0.5668833255767822,0.1826247656157537,1000000.0
0.0,DCD,14.0,Woody peat,1.0,None,27.32884658064516,None,0.0,Trough,2.437229904461261,0.0551315789473684,0.8443380693004918,110.0,5.0,63.0,Urea,Food waste,34.0,Continuous,46.0,None,1.938857678018576,32.8124446057903,114.48205000000004,7.681533065019401,0.7403083443641663,0.209758032060782,1000000.0
0.0,Mg(OH)₂,18.0,Straw,1.0,None,27.32884658064516,Straw,0.0,Reactor,8.673691130063474,0.0551315789473684,1.557535672730223,65.0,8.0,72.42396044188631,Lignite,Food waste,33.0,Continuous,65.0,None,1.938857678018576,50.259081944875895,112.766443,7.535603163220649,0.4341867864131927,0.22350827559698,1000000.0
0.0,Mg(OH)₂,25.0,Woody peat,1.0,None,27.32884658064516,Poultry manure,0.0,Trough,4.053503579070296,0.0551315789473684,0.984173516169971,114.0,8.458693218842834,58.0,Forsterite,Food waste,40.519422393205645,Continuous,54.0,None,1.938857678018576,78.56139321594459,113.62747000000002,7.560126723444259,0.5988999009132385,0.1993864268304671,27.434099696870305
0.0,Ca-superphosphate,23.0,Woody peat,1.0,None,27.32884658064516,Green waste,0.0,Reactor,8.855956416985936,0.0551315789473684,1.810707577100279,83.0,8.448008787030975,60.0,Lignite,Food waste,32.0,Continuous,53.0,None,1.938857678018576,69.45246896989954,114.54390000000004,7.946461570923636,0.4307375252246856,0.1892273203446051,1000000.0
0.0,DCD,23.0,Green waste,1.0,None,27.32884658064516,Green waste,0.0,Reactor,7.801849217273352,0.0551315789473684,1.8454513721955488,83.0,5.0,84.07019896484347,Urea,Food waste,28.0,Continuous,33.0,None,1.938857678018576,55.96747206387858,115.78224400000003,7.874696642416249,0.6710142493247986,0.1732968683175715,1000000.0
0.0,Calcium magnesium phosphate fertilizer,13.0,None,1.0,None,27.32884658064516,Poultry manure,0.0,Trough,7.885837196932294,0.0551315789473684,1.143341655192752,70.0,8.326990729324176,70.48611963822357,Mature compost,Food waste,24.0,Continuous,66.0,None,1.938857678018576,50.986964209913424,115.28682400000004,7.874696642416249,0.4265799224376678,0.2196859302834184,1000000.0
