Turning times,Initial C/N (%),V2_Ventilation Interval (min),Additive_3,V4_Ventilation Day,V1_Ventilation Type,Application Rate (%DW),Additive_2,Material_3,V5_Ventilation rate (L/min/kg iniDW),Additive_4,Compost volume (m3),Material_Main,Initial Moisture Content (%),Material_2, Composting Method,Initial GI (%),V3_Ventilation Duration (min),Period (d),Initial pH,Additive_1,M1_is Enclosed,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
2.0,23.0,0.0,None,59.0,Continuous,6.188947033536587,DCD,Green waste,0.943398478556513,None,0.08,Goat manure,68.0,Green Waste,Windrow,27.32884658064516,0.0,64.0,7.0,Lime,1.0,0.875,29.231080533578947,105.523066,6.146842403341082,0.6607433557510376,0.2009918924088742,1000000.0
3.0,18.0,0.0,None,69.0,Continuous,9.328360780443138,MgO,Poultry manure,1.3196571103278532,None,0.08,Goat manure,53.0,Straw,Trough,27.32884658064516,0.0,120.0,5.0,Potassium phosphate,0.0,0.875,28.474823097036342,106.23852600000002,4.008384464884119,0.6796333193778992,0.1578603626805873,1000000.0
19.0,30.0,0.0,None,3.0,Continuous,9.558914665047247,DCD,Byproduct,0.0309482729805967,None,0.08,Goat manure,53.99999999999999,Husk,Reactor,27.328846580645163,0.0,133.0,7.0,Sodium phosphates,1.0,0.875,30.64510349034532,110.98738000000002,7.216505343698484,0.6426041722297668,0.1850528666725421,1000000.0
1.0,45.3222627024864,0.0,None,76.0,Continuous,8.78773837025238,Calcium magnesium phosphate fertilizer,Mature compost,1.5648994606010411,None,0.08,Goat manure,62.98713726429521,Straw,Windrow,27.32884658064516,0.3497408943430327,119.0,10.057010653118407,Sodium phosphates,0.0,0.964921481153708,39.656979864675606,111.576818,1000000.0,1000000.0,1000000.0,1000000.0
19.0,17.0,0.0,None,7.0,Continuous,4.872995340249466,Zeolite,Byproduct,0.3572668138135093,None,0.08,Goat manure,72.61330810040914,Husk,Windrow,27.32884658064516,0.0,34.0,7.0,Urea,0.0,0.875,32.91276768177731,107.31852600000002,6.1318069314565085,0.5208320021629333,0.1677588938695551,1000000.0
13.0,30.0,0.0,None,4.0,Continuous,5.105761086722311,Calcium magnesium phosphate fertilizer,Green waste,1.1870936521990347,None,0.08,Goat manure,81.77102004548833,Sawdust,Reactor,27.32884658064516,0.0,27.0,7.0,Sodium phosphates,1.0,0.875,34.83747060541513,110.35370400000002,6.981919471753437,0.5497182011604309,0.2307097634608218,1000000.0
15.0,23.0,0.0,None,53.0,Continuous,5.034866737839761,Mg(OH)₂,Green waste,0.5696833946792605,None,0.08,Goat manure,52.0,Husk,Reactor,27.32884658064516,0.0,82.0,7.0,Sodium salt,1.0,0.875,8.674150321256116,108.999525,4.286751149249235,0.5727634429931641,0.2002939270207597,1000000.0
0.0,36.0,0.0,None,0.0,None,8.078433536710527,Biochar,Mature compost,0.0,None,0.08,Goat manure,63.0,Soil,Reactor,27.32884658064516,0.0,98.0,5.0,Sand,1.0,0.875,18.326057151280423,107.75231700000006,6.909376151583489,0.182043194770813,0.1628067646942382,1000000.0
8.0,41.99940767348022,0.0,None,0.0,None,9.87217883724035,DCD,Green waste,0.0,None,0.08,Goat manure,52.0,Byproduct,Reactor,27.32884658064516,0.0,56.0,11.092050772420034,Potassium phosphate,1.0,0.875,36.74948171429519,104.5960675,4.676150414439596,0.6644315123558044,0.1665588213869976,20.89110668873565
24.0,35.0,0.0,None,14.0,Continuous,6.32907260197821,Gypsum,Mature compost,1.0658822079125674,None,0.08,Goat manure,71.40781333100654,Green Waste,Trough,27.32884658064516,0.0,58.0,7.0,Sulfur,1.0,0.875,33.47457963744748,110.918545,6.039919879856204,0.545119047164917,0.2031261235048668,1000000.0
14.0,12.0,0.0,None,9.0,Continuous,2.5091682137905407,Inorganic acid,Poultry manure,0.3940741308096878,None,0.08,Goat manure,77.30199420242985,Green Waste,Windrow,27.32884658064516,0.0,62.0,6.0,Sodium salt,0.0,0.875,28.47706021529645,106.075875,6.039578433944572,0.5497182011604309,0.1661045470060192,1000000.0
9.0,37.0,0.0,None,60.0,Continuous,6.8890656773397065,Zeolite,Mature compost,1.7011105229058483,None,0.08,Goat manure,64.0,Green Waste,Windrow,27.32884658064516,0.0827824003460396,109.0,5.0,Zeolite,0.0,0.875,27.360245891288,106.70022900000004,2.1245439975452256,0.5653309226036072,0.1650680412127328,1000000.0
2.0,26.0,42.0,None,49.0,Intermittent ,7.163026571914064,Biochar,Byproduct,1.782367585954399,None,0.08,Goat manure,78.02478691945208,Husk,Reactor,27.32884658064516,33.731234986466546,122.0,10.79156039201677,Sulfur,1.0,0.875,21.07305142013164,106.081669,7.520279490396933,1.0507774353027344,0.1712924960016086,1000000.0
7.0,39.0,0.0,None,81.0,Continuous,4.657677165018222,DCD,Poultry manure,1.3003957299909077,None,0.08,Goat manure,70.0,Byproduct,Reactor,27.328846580645163,0.0,125.0,6.0,Sodium salt,1.0,0.875,24.8931419731584,109.71075600000002,6.984266355194449,0.5718567371368408,0.2263184373614917,1000000.0
9.0,20.0,0.0,None,42.0,Continuous,5.4008424862749695,Biochar,Mature compost,1.1387310527623489,None,0.08,Goat manure,56.0,Straw,Trough,27.32884658064516,0.0,132.0,7.0,Potassium phosphate,1.0,0.875,4.965944958620137,109.60651700000004,6.75167981025776,0.5823831558227539,0.2275466004245593,1000000.0
2.0,30.0,0.0,None,28.0,Continuous,7.803509160770853,Potassium phosphate,Poultry manure,1.492139188708191,None,0.08,Goat manure,69.0,Green Waste,Windrow,27.32884658064516,0.0,63.0,7.0,Sodium salt,1.0,0.875,29.912762774341797,106.895713,6.1341538148975205,0.7361441254615784,0.1921211239360145,1000000.0
17.0,31.0,294.0,None,5.0,Intermittent ,7.809472800173141,Gypsum,Green waste,1.019749451242773,None,0.08,Goat manure,67.0,Green Waste,Windrow,27.32884658064516,1.871468516028667,73.0,6.0,Phosphogypsum,1.0,0.875,6.549548208559924,110.82217500000004,7.120908181989957,0.7746384143829346,0.1777487821768142,1000000.0
17.0,44.15369829239253,0.0,None,0.0,None,6.089753879576334,Calcium magnesium phosphate fertilizer,Green waste,0.0,None,0.08,Goat manure,81.22971708331053,Woody peat,Trough,27.399937773467823,0.0,15.0,5.619570171532248,Sodium phosphates,1.0,0.875,38.63448600584346,107.13046200000008,6.750921025157904,0.5494934916496277,0.1885264150327198,26.81498742142105
30.0,40.0,0.0,None,37.0,Continuous,3.721003660335264,DCD,Byproduct,1.88513161737371,None,0.08,Goat manure,79.06839230593874,None,Windrow,27.32884658064516,0.0,106.0,8.0,Sulfur,1.0,0.875,29.440002572256372,108.69928999999998,6.14449551990007,0.5497182011604309,0.1888369579971111,1000000.0
24.0,11.0,0.0,None,61.0,Continuous,7.349608073099171,DCD,Green waste,0.1888443394757113,None,0.08,Goat manure,78.43140951442035,Sawdust,Windrow,27.32884658064516,0.0,114.0,8.0,Mature compost,1.0,0.875,10.998793073823562,106.463189,6.131668856215877,0.6104692816734314,0.1769178316936604,1000000.0
5.0,30.0,0.0,None,12.0,Continuous,5.72453115104054,None,Poultry manure,1.902557439695877,None,0.08,Goat manure,63.0,Woody peat,Trough,27.32884658064516,0.0,20.0,5.0,Urea,0.0,0.875,26.685422313871115,107.96926000000006,6.754026693698772,0.5605821013450623,0.2069109083940302,1000000.0
24.0,33.89195839932864,0.0,None,2.0,Continuous,3.840864319307107,Biochar,None,0.1640872519205969,None,0.08,Goat manure,52.99117736098777,Husk,Trough,27.32884658064516,0.379852816161182,22.0,8.0,Sodium phosphates,0.0,0.875,21.68341244992168,109.702666,-0.8654994769649343,0.7238808870315552,0.1921396636569785,1000000.0
7.0,37.0,415.0,None,36.0,Intermittent ,3.4075498488971068,Mg(OH)₂,Mature compost,0.7161125060587954,None,0.08,Goat manure,51.0,Soil,Reactor,27.32884658064516,0.7086714049112031,73.0,7.0,Potassium phosphate,1.0,0.875,11.3617687857752,109.31911300000002,5.772453950911294,0.7601466178894043,0.1639446282381868,1000000.0
0.0,16.0,0.0,None,67.0,Continuous,2.440918979920572,Ca-superphosphate,Mature compost,0.2048084611317116,None,0.08,Goat manure,71.7016763515957,Green Waste,Trough,27.32884658064517,0.2979147908726698,87.0,7.000000000000002,Zeolite,0.0,0.875,23.31567425995804,113.709661,1.6765024950879746,0.6681881546974182,0.1239644423078167,1000000.0
8.0,35.0,0.0,None,4.0,Continuous,8.13807363140899,Calcium magnesium phosphate fertilizer,Byproduct,0.0539656042215743,None,0.08,Goat manure,70.0,Husk,Reactor,27.32884658064516,0.0,94.0,11.833470645804772,Sodium phosphates,1.0,0.875,6.176881520505607,107.840351,6.981919471753437,0.6796979308128357,0.1848733259443159,1000000.0
23.0,40.17145758234309,308.0,None,48.0,Intermittent ,6.169403811609885,Biochar,Green waste,1.2925850002014272,None,0.08,Goat manure,83.94510133842122,Byproduct,Reactor,27.32884658064516,1.1963971218493197,123.0,6.0,Phosphogypsum,1.0,0.875,35.150025384550204,110.83831800000002,8.053622201829283,0.6465256810188293,0.1697368599752046,21.926166190107352
0.0,44.76646120455868,0.0,None,0.0,None,3.626231329835802,DCD,Mature compost,0.0,None,0.08,Goat manure,60.0,Soil,Windrow,27.32884658064516,0.0,15.0,5.0,Potassium phosphate,1.0,0.875,39.17065355398884,108.58485200000008,6.571616271258808,0.1324864327907562,0.1773325299209182,26.79825684816684
30.0,25.0,0.0,None,37.0,Continuous,6.681001647986358,Ca-superphosphate,Green waste,0.042532619797805,None,0.08,Goat manure,50.0,Soil,Trough,27.32884658064516,0.0,71.0,9.36771186280744,Sodium salt,0.0,0.875,9.98981491647348,106.945233,4.056511487753556,0.6123406887054443,0.1367506871989391,1000000.0
23.0,42.75733263791918,0.0,None,36.0,Continuous,3.7836229408723216,DCD,Mature compost,1.0326980470475948,None,0.08,Goat manure,83.77980086286559,Byproduct,Reactor,27.32884658064516,0.0,99.0,7.0,Lime,1.0,0.875,37.41266605817928,105.408231,6.981919471753437,0.4831394553184509,0.2100847174262363,22.057109578634225
2.0,29.0,0.0,None,21.0,Continuous,9.517362749562306,Ca-superphosphate,Green waste,0.1362154318851984,None,0.08,Goat manure,73.90047207120182,Green waste,Reactor,27.32884658064516,0.0,64.0,10.08106495116157,Sulfur,1.0,0.875,5.003619101595293,108.345911,7.218852227139496,0.7092655897140503,0.1692475603577842,1000000.0
29.0,22.0,907.0,None,82.0,Intermittent ,5.08647244815772,Ca-superphosphate,None,0.813025486394268,None,0.08,Goat manure,68.0,Sawdust,Windrow,27.328846580645163,4.131724685769312,129.0,5.0,Urea,0.0,0.875,15.447202449566268,109.377381,7.180172726631247,1.0348937511444092,0.159767046102921,1000000.0
9.0,27.0,0.0,None,68.0,Continuous,9.484740106096098,Ca-superphosphate,Straw,1.185482156849871,None,0.08,Goat manure,71.83144208704353,Husk,Trough,27.328846580645163,0.0,121.0,7.0,Sulfur,1.0,0.875,20.895749113827925,108.16640400000004,6.274505751801249,0.5872179269790649,0.1959488948077663,1000000.0
7.0,32.0,0.0,None,0.0,None,4.931038874146243,DCD,Mature compost,0.0,None,0.08,Goat manure,75.59473957677656,Husk,Trough,27.32884658064516,0.0,122.0,6.0,Urea,1.0,0.875,13.254748591319284,106.85346300000006,6.041507978197361,0.6408568024635315,0.1759395953210876,1000000.0
0.0,34.0,1217.0,None,58.0,Intermittent ,5.140563400364775,Calcium magnesium phosphate fertilizer,None,1.652488564514618,None,0.08,Goat manure,69.0,Husk,Windrow,27.32884658064516,22.142148731413425,91.0,7.0,Sulfur,0.0,0.875,30.24847003417859,105.56611200000002,7.298567384698591,0.3541021347045898,0.1502736729800686,1000000.0
0.0,33.18299855271913,0.0,None,34.0,Continuous,7.583322883848635,Inorganic acid,Poultry manure,0.5106234887292722,None,0.08,Goat manure,73.57551785844255,Green Waste,Trough,27.32884658064516,0.0,60.0,6.0,Sulfur,1.0,0.875,30.221599716332257,108.715902,5.756039485913244,0.1649141758680343,0.1652057652384211,1000000.0
7.0,12.0,0.0,None,48.0,Continuous,4.2596117407415965,Ca-superphosphate,Mature compost,1.263379807156392,None,0.08,Goat manure,62.0,Green Waste,Reactor,27.32884658064516,0.0,67.0,6.0,Sand,1.0,0.875,8.695186074757341,111.43035300000004,6.971439691510258,0.6746342778205872,0.1831861752711087,1000000.0
13.0,12.0,0.0,None,9.0,Continuous,6.3064647868891885,Ca-superphosphate,Mature compost,1.3821772555873693,None,0.08,Goat manure,57.0,Sawdust,Trough,27.32884658064516,0.0,108.0,8.098657238168233,Zeolite,0.0,0.875,6.2958326237608375,108.891022,6.027093216172013,0.5823831558227539,0.1674469799362623,1000000.0
30.0,20.0,0.0,None,81.0,Continuous,7.998678403030613,Biochar,Straw,1.0248414586414625,None,0.08,Goat manure,70.16311782783208,Straw,Reactor,27.32884658064516,0.0,118.0,7.146860723837129,Urea,1.0,0.875,34.92487152757991,108.44638600000005,7.693679402154983,0.5872179269790649,0.2232102148810005,1000000.0
14.0,12.0,0.0,None,34.0,Continuous,9.130109771954608,DCD,None,1.0386323604501682,None,0.08,Goat manure,62.0,Plastic tube pieces,Windrow,27.32884658064516,0.0,72.0,5.0,Sulfur,0.0,0.875,13.56729988506604,108.361401,6.366254728160922,0.641227126121521,0.152843253657248,1000000.0
6.0,22.0,0.0,None,17.0,Continuous,5.440551147634851,Ca-superphosphate,Byproduct,1.2902811499802338,None,0.08,Goat manure,75.77429499040025,Woody peat,Windrow,27.32884658064516,0.0,103.0,9.921771325011084,Organic acid,1.0,0.875,5.546958431213619,107.659866,6.858602333742637,0.6419693231582642,0.2162899191468729,1000000.0
1.0,29.0,0.0,None,32.0,Continuous,8.717146902432948,DCD,Straw,1.430088742213611,None,0.08,Goat manure,77.12007848298664,Straw,Windrow,27.32884658064516,0.0,58.0,8.0,Urea,1.0,0.875,9.713597591488307,108.10976499999998,6.806960928303709,0.05683533847332,0.2029645416431045,1000000.0
