Material_2,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),V2_Ventilation Interval (min),Additive_3,Period (d),V1_Ventilation Type,Material_3,Application Rate (%DW),Additive_1,Initial GI (%),M1_is Enclosed,Material_Main,Compost volume (m3), Composting Method,V4_Ventilation Day,Additive_4,Turning times,V3_Ventilation Duration (min),Initial Moisture Content (%),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Sawdust,1.5511339302656446,Mg(OH)₂,17.0,544.0,None,40.0,Intermittent ,None,5.779055498257804,Zeolite,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Windrow,19.0,None,11.0,3.1482046821654763,66.0,9.880939552052205,2.4967368849582217,30.53361321585649,113.76610800000006,9.028180400521668,0.6531306505203247,0.1425643267829667,1000000.0
Byproduct,0.4908168328896788,Zeolite,25.958538754173176,332.0,None,125.0,Intermittent ,Poultry manure,1.573529348282137,Gypsum,27.328846580645163,0.0,Poultry manure,0.6292491869918699,Trough,27.0,None,2.0,20.755239961823293,70.06626613785349,7.0,2.4967368849582217,49.33023039257368,112.47973300000004,8.22676115437859,0.5499588847160339,0.1638096444719642,1000000.0
Green waste,0.1335777986366226,Potassium phosphate,43.49671023284932,552.0,None,81.0,Intermittent ,Poultry manure,4.513296265894986,MgCl₂,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Reactor,66.0,None,26.0,3.9643364047920513,54.0,10.666055921686286,2.4967368849582217,108.5998408126946,112.55237900000006,9.905720568687636,0.4253375232219696,0.1329170229392959,22.068042616084465
Plastic tube pieces,1.9852045167540784,Potassium phosphate,22.0,1022.0,None,73.0,Intermittent ,Poultry manure,9.64266098845514,Mature compost,27.328846580645163,1.0,Poultry manure,0.6292491869918699,Windrow,45.0,None,6.0,0.6385523856912245,55.0,10.206867235963491,2.4967368849582217,72.3240674880763,113.79366800000008,8.972975606418778,0.9358646869659424,0.1664349231412268,1000000.0
Sawdust,0.9770475605788562,Mg(OH)₂,29.0,28.0,None,60.0,Intermittent ,Straw,8.963060089660967,MgO,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Windrow,14.0,None,2.0,7.444499545057566,56.0,9.38624648837142,2.4967368849582217,86.15142297764004,110.69630300000004,9.31018454200688,0.8575258851051331,0.1836090862246019,1000000.0
Soil,1.0798918662040893,Zeolite,11.0,719.0,None,61.0,Intermittent ,None,7.745638855214219,Clay,27.328846580645163,1.0,Poultry manure,0.6292491869918699,Reactor,29.0,None,2.0,5.817751010023109,52.0,9.927134951046556,2.807631425564164,71.49092449574277,113.20443600000004,1000000.0,1000000.0,1000000.0,1000000.0
Woody peat,1.2009015223559956,Calcium magnesium phosphate fertilizer,44.740100356206405,594.0,None,76.0,Intermittent ,Poultry manure,9.036252708073071,Clay,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Trough,51.0,None,11.0,6.64865599480599,80.0831335553664,6.0,2.4967368849582217,111.704258796073,112.56338600000004,9.028180400521668,0.555216908454895,0.1692591594344471,22.237790217488534
Husk,0.3365479039108421,DCD,35.0,1387.0,None,119.0,Intermittent ,Mature compost,9.49707708084637,MgSO₄,27.32884658064516,0.0,Poultry manure,0.6292491869918699,Trough,56.0,None,1.0,58.25938223214331,68.0,7.0,2.4967368849582217,52.35711411042333,111.954469,10.31862044942276,0.8187264800071716,0.1298966645999968,1000000.0
Soil,1.200577111619658,Calcium magnesium phosphate fertilizer,15.0,1187.0,None,82.0,Intermittent ,Green waste,2.676459134680343,Potassium phosphate,27.328846580645163,1.0,Poultry manure,0.6292491869918699,Reactor,72.0,None,7.0,3.0210816758296866,70.14993135294918,11.645070513642708,2.4967368849582217,98.02468878307174,113.72936200000004,8.019779918217933,0.2626475393772125,0.1369515130825891,1000000.0
Husk,1.7671969699773764,None,20.0,1120.0,None,80.0,Intermittent ,Mature compost,6.207150134416635,K₂SO₄,27.32884658064516,1.0,Poultry manure,0.6292491869918699,Windrow,38.0,None,28.0,6.298527272185199,54.0,9.97418726008161,2.4967368849582217,52.21142451252235,113.19571500000004,8.954324830266781,0.7026418447494507,0.168716364289691,1000000.0
