Additive_3,V4_Ventilation Day,V2_Ventilation Interval (min),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Turning times,Additive_2,M1_is Enclosed,Material_Main,Material_2,Initial C/N (%),Additive_4,Application Rate (%DW),V1_Ventilation Type,Initial pH,Compost volume (m3),Material_3,Period (d),Initial Moisture Content (%),V3_Ventilation Duration (min),Initial GI (%), Composting Method,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,46.0,0.0,Microbiological agent,1.70965850932215,8.0,MgO,1.0,Sheep manure,None,26.0,None,5.279897589045531,Continuous,10.275791860030273,0.045,Straw,86.0,82.36582292308651,0.0,27.32884658064516,Reactor,1.97,40.84983605285287,101.13265400000002,18.202765331667727,0.8329887986183167,0.2293567458046195,1000000.0
None,1.0,0.0,Phosphogypsum,0.8381731319001577,29.0,Calcium magnesium phosphate fertilizer,1.0,Sheep manure,Soil,14.0,None,8.542509965774418,Continuous,11.089608906277196,0.045,Straw,67.0,63.0,0.0,27.32884658064516,Windrow,1.97,23.402934769716172,108.010094,16.816633207596002,0.757132887840271,0.1987426639803529,1000000.0
None,5.0,0.0,Clay,1.3565600231488406,26.0,Gypsum,1.0,Sheep manure,Byproduct,24.0,None,6.361278815057219,Continuous,6.0,0.045,Green waste,117.0,83.43530434134922,0.0,27.32884658064516,Reactor,1.97,37.81447005044087,104.37356800000003,11.168861093682098,0.576256275177002,0.2252779852227113,1000000.0
None,1.0,0.0,Phosphogypsum,1.7124507998275906,28.0,DCD,1.0,Sheep manure,Sawdust,34.0,None,7.4806004825984145,Continuous,10.114818055077002,0.045,Straw,30.0,64.0,0.0,28.371853721229115,Trough,1.97,78.49869824189506,108.313898,16.358433375771053,0.7227305173873901,0.216599051453546,1000000.0
None,3.0,0.0,Mg(OH)₂,0.6904681458193449,16.0,Organic acid,1.0,Sheep manure,Straw,20.0,None,3.4806948909241147,Continuous,5.0,0.045,Poultry manure,86.0,83.10153092949609,0.0,27.32884658064516,Reactor,1.97,47.19225715707852,103.416433,19.79129295930828,0.7830173969268799,0.2576682843010661,1000000.0
None,6.0,0.0,MgSO₄,1.780053148086914,16.0,Mg(OH)₂,0.0,Sheep manure,Green Waste,45.19193803455299,None,6.333918734014807,Continuous,10.497183036718976,0.045,Mature compost,31.0,80.3097785607253,0.0,27.32884658064516,Windrow,1.97,89.02811792806939,104.03582400000003,12.954789275114466,1.0447219610214231,0.2091367346703611,26.354246746840847
None,9.0,0.0,Sodium phosphates,1.235600567358663,5.0,Ca-superphosphate,1.0,Sheep manure,Husk,23.000000000000004,None,9.37879140522584,Continuous,8.0,0.045,Straw,126.0,58.0,0.0,27.32884658064516,Reactor,1.97,28.17660538231066,104.36433400000004,13.178737992118077,0.9741913080215454,0.2325336148389571,1000000.0
None,0.0,0.0,Biochar,0.7902799404424302,20.0,DCD,1.0,Sheep manure,Plastic tube pieces,43.46227192702413,None,9.156211865787864,None,8.0,0.045,Straw,67.0,62.0,0.0,27.32884658064516,Reactor,1.97,85.62067569623754,103.960094,12.640648797809932,0.737421452999115,0.2559709338561596,23.00215959445268
None,3.0,0.0,Sodium phosphates,0.5170786880165419,15.0,Zeolite,1.0,Sheep manure,Straw,35.0,None,5.318053060010904,Continuous,8.473496954754161,0.045,Green waste,48.0,78.21920015355313,0.0,27.32884658064516,Reactor,1.97,75.03590221579057,103.65051800000003,19.79129295930828,0.8097299933433533,0.2340462919541901,1000000.0
None,21.0,0.0,Urea,0.5264439870182458,10.0,None,1.0,Sheep manure,Sawdust,16.0,None,2.2253914795190006,Continuous,8.0,0.045,Straw,54.0,72.21778195474978,0.0,27.328846580645163,Reactor,1.97,26.07250044742386,100.879025,20.691222215474,0.8374228477478027,0.2537119421247031,1000000.0
