Additive_2,Additive_3,Material_3,Initial Moisture Content (%),Additive_4,Turning times,Initial GI (%),V2_Ventilation Interval (min), Composting Method,Material_2,V3_Ventilation Duration (min),Additive_1,M1_is Enclosed,Material_Main,V4_Ventilation Day,V5_Ventilation rate (L/min/kg iniDW),V1_Ventilation Type,Application Rate (%DW),Compost volume (m3),Initial pH,Initial C/N (%),Period (d),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Calcium magnesium phosphate fertilizer,None,None,82.13491050504818,None,25.0,27.328846580645163,0.0,Trough,Straw,0.0,MgHPO₄,0.0,Green waste,0.0,0.0,None,1.4872476890165416,0.314,6.981138983513425,30.0,111.0,1.4280600332415827,24.962099887268213,106.518424,6.56750803278196,0.3611945509910583,0.2057456740405916,1000000.0
None,None,None,73.96860394605577,None,25.0,27.32884658064516,570.0,Trough,Husk,0.3942266837909813,None,0.0,Green waste,19.0,1.586920886411135,Intermittent ,3.064480073413168,0.314,6.0,42.99772149454657,120.0,1.4280600332415827,61.40332758681448,106.263533,6.3810731108169065,0.5692048668861389,0.1826246890147485,19.754186771458592
None,None,Straw,72.21753122912658,None,21.0,27.32884658064516,1375.0,Reactor,Sawdust,54.357536616596505,Urea,1.0,Green waste,24.0,1.9361155616231305,Intermittent ,2.6258122479162376,0.314,6.0,41.691341467945165,69.0,1.4280600332415827,59.53773848259995,108.891914,9.796082728713952,0.8187671899795532,0.1737402314733183,21.591192812976484
Organic acid,None,Byproduct,82.16827518571759,None,19.0,27.978571233110067,0.0,Trough,Plastic tube pieces,0.0,MgCl₂,0.0,Green waste,0.0,0.4408174789758682,None,3.057979649302802,0.314,5.0,35.172337869182755,49.0,1.4280600332415827,20.299508629087164,109.93744500000004,6.690532827595431,0.5620479583740234,0.1991076461056773,1000000.0
Potassium phosphate,None,Poultry manure,71.78857706413152,None,10.0,27.32884658064516,1346.0,Windrow,Byproduct,45.63313331297594,MgO,0.0,Green waste,28.0,0.4609352658878545,Intermittent ,4.893966942175127,0.314,5.0,30.0,46.0,1.4280600332415827,28.962508913554643,105.91804600000005,9.150736955838893,0.8076475858688354,0.1701770178298462,1000000.0
None,None,Straw,55.0,None,19.0,27.32884658064516,0.0,Windrow,Sawdust,0.0,None,0.0,Green waste,0.0,0.0,None,2.0016840297814262,0.314,6.359440889282447,38.0,31.0,1.4280600332415827,18.68495637409148,110.73359100000005,6.565161149340946,0.3216066658496856,0.1714155295033905,1000000.0
Microbiological agent,None,Straw,53.0,None,23.0,27.328846580645163,0.0,Windrow,Soil,0.0,Sulfur,1.0,Green waste,0.0,0.0,None,2.8984795730965507,0.314,6.999999999999999,33.0,132.0,1.4280600332415827,18.255480497283028,108.788798,6.565161149340946,0.6020774245262146,0.1742288898544979,1000000.0
None,None,Mature compost,69.0,None,24.0,27.32884658064516,0.0,Reactor,None,0.0,Sodium phosphates,1.0,Green waste,0.0,0.0,None,2.4746451164117422,0.314,6.0,38.0,60.0,1.4280600332415827,11.92617898651688,110.25843600000002,6.565161149340946,0.3332418501377105,0.2029321631681945,1000000.0
Calcium magnesium phosphate fertilizer,None,Poultry manure,69.0,None,16.0,27.32884658064516,0.0,Trough,Byproduct,0.0,Mature compost,1.0,Green waste,0.0,0.0,None,2.789561537869755,0.314,6.0,40.982208044214985,70.0,1.4280600332415827,58.52505338193511,109.045292,6.56750803278196,0.5573331713676453,0.2205929195762256,18.80915199525173
MgO,None,None,79.48290933856373,None,14.0,27.32884658064516,0.0,Trough,Plastic tube pieces,0.0,Sodium salt,1.0,Green waste,0.0,0.0,None,3.5868125494883483,0.314,7.0,43.03439501769737,123.0,1.4280600332415827,61.45569957950431,108.204322,6.565161149340946,0.597338080406189,0.2102747585082073,18.150282930296463
