Additive_3,V4_Ventilation Day,Additive_4,Initial C/N (%),Additive_2,Application Rate (%DW),M1_is Enclosed,Turning times,Initial GI (%),Material_3,Initial Moisture Content (%),Compost volume (m3),Period (d),V2_Ventilation Interval (min),V3_Ventilation Duration (min),V5_Ventilation rate (L/min/kg iniDW),Additive_1, Composting Method,Material_Main,Material_2,Initial pH,V1_Ventilation Type,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,0.0,None,23.0,Ca-superphosphate,4.945677039971626,1.0,5.0,27.32884658064516,Mature compost,59.0,0.15181,64.0,0.0,0.0,0.0,Lime,Reactor,OFMSW,Husk,10.429776099476058,None,1.411,17.36932940723501,102.96533600000002,5.2552368454797485,0.1554796695709228,0.2217168727202321,1000000.0
None,0.0,None,21.0,MgSO₄,5.85367095218507,1.0,0.0,27.32884658064516,Byproduct,60.0,0.15181,39.0,0.0,0.0,0.0,Labile carbon source,Windrow,OFMSW,Green Waste,8.0,None,1.411,21.020398404904096,104.90384600000004,7.289683298652186,0.0730128362774849,0.208318098771405,1000000.0
None,0.0,None,17.0,Organic acid,3.9043936059246342,1.0,4.0,27.328846580645163,None,76.66095404874223,0.15181,109.0,0.0,0.0,0.0,Microbiological agent,Trough,OFMSW,None,5.0,None,1.411,42.326188137071625,103.13805700000006,7.544864917375314,0.4766667187213897,0.1817152881652411,1000000.0
None,0.0,None,30.0,Potassium phosphate,9.54094630787156,1.0,1.0,27.32884658064516,Mature compost,60.0,0.15181,113.0,0.0,0.0,0.0,Labile carbon source,Reactor,OFMSW,None,8.0,None,1.411,9.968026350743402,103.29496600000002,5.0088636042515065,0.1743268817663192,0.2024220717827145,1000000.0
None,0.0,None,22.0,Potassium phosphate,9.776560850166083,1.0,2.0,27.32884658064516,Straw,74.35665938627885,0.15181,53.0,0.0,0.0,0.0,Inorganic acid,Windrow,OFMSW,Byproduct,5.0,None,1.411,31.97912686175816,104.95174500000005,7.369115856952888,0.3136805295944214,0.1799899529951097,1000000.0
None,0.0,None,21.0,Calcium magnesium phosphate fertilizer,8.510713685857656,1.0,0.0,27.32884658064516,Straw,60.0,0.15181,33.0,0.0,0.0,0.0,Lime,Windrow,OFMSW,Green waste,6.0,None,1.411,43.69895608284428,105.17917600000004,7.17952251208299,-0.0424614585936069,0.1851959711643076,1000000.0
None,0.0,None,33.0,Potassium phosphate,9.099936455227962,1.0,5.0,27.32884658064516,Byproduct,80.88895272493478,0.15181,94.0,0.0,0.0,0.0,Ferric salt,Windrow,OFMSW,None,10.077775172915024,None,1.411,45.84829128442477,103.69467100000004,6.322064246220466,0.1393856704235077,0.1705899540577806,1000000.0
None,3.0,None,38.0,None,4.89089191629991,1.0,4.0,27.32884658064516,Green waste,82.25721069213138,0.15181,98.0,0.0,0.0,0.6110830793997377,None,Trough,OFMSW,Byproduct,8.423896682372881,Continuous,1.411,26.3116871461171,102.30530000000005,8.664441367703336,0.1476192325353622,0.2107580150090292,1000000.0
None,0.0,None,13.0,Inorganic acid,2.987264573864171,0.0,7.0,27.32884658064516,Straw,79.33195077982472,0.15181,125.0,0.0,0.0,0.0,Sodium salt,Windrow,OFMSW,Husk,8.471881902885116,None,1.411,10.794589213038634,104.24613100000003,6.843563131890467,0.2058348357677459,0.125983359387429,1000000.0
None,0.0,None,24.0,Microbiological agent,8.875655671586017,1.0,7.0,27.32884658064516,None,55.0,0.15181,70.0,0.0,0.0,0.0,Gypsum,Windrow,OFMSW,Green Waste,7.0,None,1.411,46.58986011179171,103.18782600000004,7.125567273375678,0.0567145645618438,0.1720016454376617,1000000.0
