Additive_3,Additive_4,Material_3,V4_Ventilation Day,Initial GI (%),Material_Main,V3_Ventilation Duration (min), Composting Method,Compost volume (m3),M1_is Enclosed,Turning times,Period (d),Initial Moisture Content (%),Application Rate (%DW),Initial pH,V1_Ventilation Type,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Material_2,V2_Ventilation Interval (min),Additive_1,Initial C/N (%),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,None,Poultry manure,0.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,0.0,12.0,132.0,64.0,3.5566122641580544,7.0,None,0.0,Gypsum,Green Waste,0.0,Zeolite,32.0,2.1457865217391303,74.51270968270991,105.88010600000004,10.029683952339951,1.3185993432998655,0.2145779417405073,1000000.0
None,None,Byproduct,0.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,9.0,102.0,52.0,8.900772891024664,9.964295158047891,None,0.0,DCD,Soil,0.0,Sodium salt,37.0,2.1457865217391303,48.88839862850378,108.28861000000003,9.99671023082281,0.978345513343811,0.193921065326537,1000000.0
None,None,None,16.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,0.0,22.0,52.0,58.0,7.756023576948998,8.0,Continuous,1.945461460918957,Biochar,Husk,0.0,Sodium salt,10.0,2.1457865217391303,54.77881611479556,109.85145400000005,8.102734999343468,0.1143307760357856,0.2039057232689675,1000000.0
None,None,Green waste,0.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,1.0,0.0,83.0,68.0,7.294292496374992,8.0,None,0.0,Calcium magnesium phosphate fertilizer,None,0.0,Sulfur,39.0,2.1457865217391303,47.57581784822303,108.52827800000004,7.00784413095851,0.6500722765922546,0.2102140721958524,1000000.0
None,None,None,0.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,25.0,89.0,70.0,6.197678470586504,7.0,None,0.0,Gypsum,Green Waste,0.0,Sodium salt,39.0,2.1457865217391303,11.409833835961468,106.23800600000004,10.029683952339951,0.667863667011261,0.2438071432912311,1000000.0
None,None,Straw,0.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,0.0,3.0,50.0,61.0,7.978277171401429,8.0,None,0.0,Biochar,Sawdust,0.0,Sodium salt,15.0,2.1457865217391303,12.64889541935482,108.49548500000004,5.975265872549655,0.2940323650836944,0.2012458814957393,1000000.0
None,None,Straw,39.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,1.0,4.0,80.0,73.63521015318341,5.619280250160307,6.0,Continuous,1.1317599721453602,Organic acid,Soil,0.0,Sulfur,31.0,2.1457865217391303,14.862853342056775,103.870551,8.100499920892176,1.0078260898590088,0.17971208904671,1000000.0
None,None,None,61.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,0.0,5.0,96.0,58.0,5.331107373076952,7.0,Continuous,1.532267980013435,Calcium magnesium phosphate fertilizer,Sawdust,0.0,Potassium phosphate,35.0,2.1457865217391303,39.594937791753,106.83187100000004,9.527929206185764,0.8452456593513489,0.1606743024264376,1000000.0
None,None,Green waste,0.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,7.0,51.0,60.0,6.3778302562999,8.0,None,0.0,Biochar,Sawdust,0.0,Sodium phosphates,41.64306229437522,2.1457865217391303,89.35712179521333,108.49548500000004,9.395306762575643,0.1976237148046493,0.2351207114625137,28.72327898368651
None,None,Byproduct,29.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,0.0,0.0,46.0,52.0,8.901407009820003,9.920546203982166,Continuous,1.1632644552007885,Calcium magnesium phosphate fertilizer,Green waste,0.0,Sand,29.0,2.1457865217391303,41.10081097519635,109.74512600000004,6.898668482045947,1.0236037969589231,0.1675974200325621,1000000.0
None,None,Green waste,13.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,1.0,25.0,127.0,57.0,2.3326679925688776,5.0,Continuous,0.8157455609434716,Biochar,Green waste,0.0,Zeolite,45.02766848083317,2.1457865217391303,96.61976413150968,108.74680400000004,8.42133871289731,0.3891906142234802,0.2436954811038235,24.676250263674017
None,None,Mature compost,40.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,0.0,20.0,97.0,63.0,2.9348640380529325,6.0,Continuous,1.1493946865023246,DCD,Soil,0.0,Sulfur,39.0,2.1457865217391303,80.54341817997937,109.84372600000002,9.365321225355608,0.2915612757205963,0.1931640800110504,1000000.0
None,None,Straw,26.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,24.0,132.0,57.0,4.761784104078084,8.0,Continuous,0.914681046135819,Calcium magnesium phosphate fertilizer,Soil,0.0,Sodium phosphates,23.0,2.1457865217391303,70.3552699657219,109.01220600000002,10.148849448142297,0.1529585719108581,0.2269924041039855,1000000.0
None,None,Green waste,0.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,14.0,17.0,51.0,5.507408942179216,9.768784408611044,None,0.0,Calcium magnesium phosphate fertilizer,Plastic tube pieces,0.0,Zeolite,29.0,2.1457865217391303,31.327026111712904,108.17037800000006,10.665356161836144,0.1877386271953582,0.2181694399252371,1000000.0
None,None,Straw,0.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,0.0,7.0,57.0,50.0,6.552254331340935,8.0,None,0.0,Calcium magnesium phosphate fertilizer,Soil,0.0,Sodium phosphates,11.0,2.1457865217391303,70.50585359161748,108.52251800000003,9.414558247380985,0.8383657932281494,0.1822368683125552,1000000.0
None,None,Byproduct,38.0,27.32884658064516,Sewage sludge,0.0,Trough,4.210797122302158,1.0,27.0,61.0,81.80532411327627,5.719003230653131,8.749598846419024,Continuous,0.7394619971247107,Biochar,Straw,0.0,Sodium phosphates,18.0,2.1457865217391303,23.20223680203917,109.05070400000004,8.429372343563946,0.1032250002026557,0.2144833019018393,1000000.0
None,None,Poultry manure,0.0,27.32884658064516,Sewage sludge,0.0,Windrow,4.210797122302158,1.0,8.0,126.0,52.0,4.104234300438943,7.0,None,0.0,Biochar,Husk,0.0,Urea,16.0,2.1457865217391303,19.91236310021213,108.49548500000004,9.44442999016234,0.169853925704956,0.230654796108088,1000000.0
None,None,None,0.0,27.328846580645163,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,5.0,99.0,80.00359175594863,4.096768440679869,11.457578509197027,None,0.0,Biochar,None,0.0,Sand,21.0,2.1457865217391303,11.88033209679254,108.49548500000004,9.478563533823024,0.2044801265001297,0.2201610989965927,1000000.0
None,None,None,16.0,27.32884658064516,Sewage sludge,0.0,Reactor,4.210797122302158,1.0,30.0,82.0,61.0,4.53006440415913,11.42452156604837,Continuous,0.4496672751050115,Ca-superphosphate,Green waste,0.0,Sand,39.0,2.1457865217391303,83.72860863274785,107.40237000000003,10.095396050816984,0.3862492442131042,0.2382243497100121,1000000.0
