Initial C/N (%),V1_Ventilation Type,Additive_4,Initial Moisture Content (%),Turning times,V5_Ventilation rate (L/min/kg iniDW),Material_3,Initial GI (%), Composting Method,V3_Ventilation Duration (min),M1_is Enclosed,Additive_3,Application Rate (%DW),Initial pH,Additive_1,Additive_2,V2_Ventilation Interval (min),V4_Ventilation Day,Material_Main,Compost volume (m3),Period (d),Material_2,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
22.0,None,None,60.0,12.0,0.5305808616396787,Straw,27.32884658064516,Reactor,0.9706679414063056,1.0,None,9.517318126731627,6.0,MgSO₄,Ca-superphosphate,0.0,0.0,Sheep manure,0.045,48.0,Green Waste,1.97,42.737820820768825,108.187588,8.12095793334512,0.2928940951824188,0.236149638677649,1000000.0
45.384489743582215,Intermittent ,None,60.0,14.0,0.1112546609152409,Poultry manure,27.32884658064516,Trough,48.57703999203886,0.0,None,9.62728116125016,11.038810667721826,Mature compost,Ca-superphosphate,59.0,0.0,Sheep manure,0.045,116.0,Woody peat,1.97,89.40744479485696,113.53262100000002,4.213446005624561,0.4196926653385162,0.1400573017149992,25.80143953099125
18.0,Intermittent ,None,63.0,29.0,1.4138079781606685,Mature compost,27.32884658064516,Reactor,13.80671679384713,1.0,None,2.4387609722867767,6.0,Mature compost,Inorganic acid,1179.0,3.0,Sheep manure,0.045,80.0,None,1.97,32.66217292720094,112.51232100000004,7.161046634690967,0.9920374751091005,0.1596954616891334,1000000.0
14.0,Intermittent ,None,52.0,14.0,0.6311765752244212,Mature compost,27.32884658064516,Windrow,35.1290702220073,0.0,None,6.185606779452346,7.0,Ca-superphosphate,None,1337.0,2.0,Sheep manure,0.045,96.0,Byproduct,1.97,23.117967836690628,111.98019500000004,7.161046634690967,0.7113669514656067,0.1507311817820533,1000000.0
43.081115418112354,Intermittent ,None,77.33444995294829,21.0,0.0037892130371497,Green waste,27.32884658064516,Windrow,52.67239248712657,0.0,None,4.850052399425385,7.0,Gypsum,Potassium phosphate,417.0,0.0,Sheep manure,0.045,70.0,Soil,1.97,84.86979737368134,112.13308300000004,5.1178211122878645,0.464655727148056,0.135457365148422,23.335231219423623
32.0,None,None,58.0,13.0,0.0,Poultry manure,27.32884658064516,Reactor,0.0,1.0,None,4.634864914521311,6.0,Ca-superphosphate,Biochar,0.0,0.0,Sheep manure,0.045,61.0,Green waste,1.97,18.187958954821628,108.067173,7.059615195210737,0.280536025762558,0.2215075146244268,1000000.0
40.37659591419959,Intermittent ,None,61.0,30.0,0.0383965350730775,None,27.32884658064516,Windrow,51.08787002336087,0.0,None,2.6790082133609854,8.99701883021098,Zeolite,Organic acid,1227.0,5.0,Sheep manure,0.045,96.0,Green Waste,1.97,79.54189395097319,109.77938200000004,7.219057488791595,1.0493217706680298,0.1251371540445758,22.59193284824601
35.0,None,None,64.0,12.0,0.0,Byproduct,27.32884658064516,Windrow,0.0,1.0,None,9.431791128354474,8.28812910605026,K₂SO₄,Ca-superphosphate,0.0,0.0,Sheep manure,0.045,81.0,Sawdust,1.97,56.7006521255069,108.087744,7.059615195210737,0.3342889249324798,0.1984278683665031,1000000.0
20.0,Intermittent ,None,63.0,17.0,0.115581568183831,Straw,27.32884658064516,Trough,23.434922618856497,0.0,None,8.879306326413776,8.0,Zeolite,Calcium magnesium phosphate fertilizer,9.0,0.0,Sheep manure,0.045,88.0,Sawdust,1.97,44.13479208946615,110.618898,5.129425918680797,0.3181205093860626,0.1744411867528536,1000000.0
24.0,None,None,73.68835446851143,30.0,0.0,Poultry manure,27.32884658064516,Reactor,0.0,1.0,None,9.788118284632567,8.35384661318273,MgSO₄,Calcium magnesium phosphate fertilizer,0.0,0.0,Sheep manure,0.045,130.0,Plastic tube pieces,1.97,39.67043780069333,108.143088,7.58597521098674,0.28932586312294,0.2195488281121711,1000000.0
26.0,Intermittent ,None,64.0,24.0,0.4972928989588476,Byproduct,27.32884658064516,Trough,8.19116218168849,0.0,None,9.14151351161373,7.0,Potassium phosphate,DCD,169.0,2.0,Sheep manure,0.045,50.0,Woody peat,1.97,68.47149359435556,112.79717000000002,6.4517387837368965,0.674423336982727,0.1605017253939575,1000000.0
39.0,Intermittent ,None,58.0,31.0,0.4267764713663817,None,27.32884658064516,Reactor,22.7062286403578,1.0,None,4.624145721915292,11.665526838537971,Biochar,Organic acid,617.0,0.0,Sheep manure,0.045,62.0,Husk,1.97,13.947879475704797,112.53037000000003,5.1178211122878645,0.464655727148056,0.1502979241290661,1000000.0
17.0,Intermittent ,None,67.0,9.0,0.676825828426495,Straw,27.32884658064516,Trough,32.39874484519909,0.0,None,3.889138295763309,8.550394389102006,Biochar,Microbiological agent,729.0,4.0,Sheep manure,0.045,44.0,Byproduct,1.97,26.662915206106888,111.63708100000004,7.484090323344575,0.9894246459007264,0.1769268435167549,1000000.0
40.20736009537694,Intermittent ,None,50.72111959102611,1.0,0.922285072809528,Green waste,27.328846580645163,Windrow,39.13927869139033,0.0,None,7.377631184801177,8.427065550645683,MgSO₄,Inorganic acid,672.0,0.0,Sheep manure,0.045,132.0,Sawdust,1.97,79.20849938789257,112.52679,5.804878371040231,0.321267157793045,0.1432558781963944,22.61198050803789
30.0,Intermittent ,None,79.9568715911302,11.0,0.1777235544956392,None,27.32884658064516,Reactor,6.925727742912516,1.0,None,3.101462764921324,8.0,Phosphogypsum,Mg(OH)₂,981.0,0.0,Sheep manure,0.045,42.0,Soil,1.97,10.10256513373102,112.705455,5.557879695749654,0.3954958617687225,0.1415423511777019,1000000.0
22.0,Intermittent ,None,59.39532040960282,3.0,1.4169596378215477,Mature compost,27.328846580645163,Trough,0.9306843625956174,1.0,None,6.317739809304158,10.108680409004595,Mature compost,Mg(OH)₂,94.0,0.0,Sheep manure,0.045,112.0,None,1.97,41.96944673966652,112.656425,5.098872540164861,0.4196926653385162,0.1847255513667971,1000000.0
16.0,None,None,57.0,23.0,0.0,Mature compost,27.32884658064516,Reactor,0.0,1.0,None,5.070234134978046,8.960183044370678,Potassium phosphate,Biochar,0.0,0.0,Sheep manure,0.045,33.0,Straw,1.97,20.341678246901655,108.01843399999998,6.944020220223892,0.2236140519380569,0.1757586378075439,1000000.0
28.0,Intermittent ,None,62.0,25.0,1.8291113344822851,None,27.32884658064516,Trough,30.015760949582592,0.0,None,9.475099484186815,11.825903357127793,Carbonatite,MgO,728.0,3.0,Sheep manure,0.045,107.0,Byproduct,1.97,72.36128134589416,112.11639500000008,7.161046634690967,0.9920374751091005,0.1608054704061983,1000000.0
28.0,Intermittent ,None,60.0,4.0,0.3410679948263013,Straw,27.32884658064516,Windrow,55.83225927771436,0.0,None,4.18548990525218,6.0,MgCl₂,Microbiological agent,822.0,4.0,Sheep manure,0.045,103.0,None,1.97,25.304538995154285,111.57790100000004,7.484090323344575,0.9894246459007264,0.1452848016406332,1000000.0
14.0,Intermittent ,None,71.67090644655416,25.0,0.4788191032866802,Straw,27.32884658064516,Windrow,37.449514883656846,1.0,None,3.702171999402577,10.599999870419918,Biochar,Mg(OH)₂,208.0,2.0,Sheep manure,0.045,35.0,Green Waste,1.97,36.85779400250493,112.100629,7.484090323344575,0.7087539434432983,0.2007302672340872,1000000.0
44.95954238237502,Intermittent ,None,80.03112433355606,7.0,0.091095578672079,Byproduct,27.32884658064516,Reactor,18.453005294124264,1.0,None,7.365176466501764,9.503244441658254,Calcium magnesium phosphate fertilizer,Biochar,1050.0,3.0,Sheep manure,0.045,118.0,Straw,1.97,88.57029849327878,112.875574,6.519091643928112,1.0893903970718384,0.1267102734985328,22.142586298403685
22.94466249554447,None,None,66.0,10.0,0.021033554691582,Mature compost,27.32884658064516,Windrow,0.0,1.0,None,5.384951712283239,10.906591966277212,Lignite,Biochar,0.0,0.0,Sheep manure,0.045,127.0,Sawdust,1.97,62.87462101399189,107.959263,7.059615195210737,0.2355729192495346,0.206604612954017,1000000.0
29.0,Intermittent ,None,60.0,3.0,0.0354099927112938,Straw,27.32884658064516,Reactor,4.993530999111931,1.0,None,7.556102598038504,9.382328129322612,Zeolite,Gypsum,88.0,4.0,Sheep manure,0.045,60.0,Sawdust,1.97,50.05047218684682,110.96807600000002,7.523152605322201,1.0467089414596558,0.1392896715220124,1000000.0
36.0,Intermittent ,None,63.0,2.0,0.5880893032784937,None,27.32884658064516,Windrow,47.68411851627055,1.0,None,3.3190168304691685,7.0,MgSO₄,MgO,1311.0,3.0,Sheep manure,0.045,63.0,Sawdust,1.97,49.914677615568365,113.05433000000004,7.161046634690967,0.9920374751091005,0.1187770368378177,1000000.0
10.0,Intermittent ,None,53.0,17.0,0.9840943681003976,Green waste,27.32884658064516,Trough,50.69732980561068,0.0,None,2.3094594060165816,9.816924498152964,MgCl₂,Biochar,552.0,4.0,Sheep manure,0.045,95.0,None,1.97,58.600211640674175,112.77767400000002,7.161046634690967,1.0893903970718384,0.136205702289839,1000000.0
