Initial pH,Material_Main,Additive_3,Initial Moisture Content (%),Initial GI (%),V3_Ventilation Duration (min),Material_2,V1_Ventilation Type, Composting Method,Additive_1,Period (d),Initial C/N (%),M1_is Enclosed,Additive_4,Material_3,V5_Ventilation rate (L/min/kg iniDW),Turning times,Additive_2,V2_Ventilation Interval (min),Compost volume (m3),V4_Ventilation Day,Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
6.0,Swine manure,None,52.0,27.32884658064516,0.0,Woody peat,Continuous,Reactor,Organic acid,85.0,25.0,1.0,None,Green waste,0.5340174643819657,15.0,Biochar,0.0,0.6277154746460176,32.0,6.903843982648514,2.0952942734506244,14.414103604331396,112.58065700000004,2.0954596924111706,1.2063053846359253,0.2010608219093362,1000000.0
7.0,Swine manure,None,52.0,27.32884658064516,0.0,Plastic tube pieces,Continuous,Trough,Ferric salt,90.0,28.0,0.0,None,Byproduct,1.922928768343621,22.0,Ca-superphosphate,0.0,0.6277154746460176,33.0,6.136677717789741,2.0952942734506244,73.32240806808926,112.478199,4.951186209120335,0.4503313601016998,0.2081088381311449,1000000.0
8.276152941358745,Swine manure,None,59.0,27.32884658064516,58.88030577798172,Plastic tube pieces,Intermittent ,Windrow,Calcium magnesium phosphate fertilizer,108.0,10.0,1.0,None,None,1.190138538485371,15.0,DCD,1033.0,0.6277154746460176,57.0,2.1021058170558096,2.0952942734506244,15.098264186711578,111.16930000000004,7.07233541181214,0.4087013304233551,0.1751852809472368,1000000.0
9.759031272797184,Swine manure,None,68.0,27.32884658064516,0.0,Husk,Continuous,Trough,Gypsum,122.0,39.0,0.0,None,Green waste,0.3091630111007049,26.0,Ca-superphosphate,0.0,0.6277154746460176,66.0,8.932868179253079,2.0952942734506244,17.74632905040887,111.246758,5.592031347943832,0.296285480260849,0.2062638523336809,1000000.0
10.896561109633698,Swine manure,None,70.0,27.32884658064516,52.65309868672978,Soil,Intermittent ,Trough,Carbonatite,76.0,30.0,1.0,None,None,0.7075471483256806,11.0,DCD,715.0,0.6277154746460176,62.0,4.123788810334687,2.0952942734506244,78.56028861881613,110.77068800000002,6.320837655024932,0.3375634551048279,0.1460423759186926,1000000.0
11.54200182511325,Swine manure,None,50.59438585442759,27.32884658064516,4.99217354086257,Husk,Intermittent ,Trough,Sand,69.0,28.225134512219828,0.0,None,Byproduct,0.4930974780232569,11.0,DCD,1291.0,0.6277154746460176,69.0,3.04643231662647,2.0952942734506244,18.80446368339647,109.36853500000002,6.320837655024932,0.3375634551048279,0.1474348747865795,1000000.0
8.0,Swine manure,None,76.17647324126918,27.32884658064516,0.0,Green Waste,Continuous,Reactor,Microbiological agent,78.0,37.0,1.0,None,None,1.5815712993586528,25.0,DCD,0.0,0.6277154746460176,39.0,8.994301337625252,2.0952942734506244,62.528125695770925,111.863418,4.651655702559637,0.543677806854248,0.2358298758648351,1000000.0
8.133973251942662,Swine manure,None,51.0,27.32884658064516,0.0,Plastic tube pieces,Continuous,Trough,Mg(OH)₂,113.0,20.0,0.0,None,Green waste,0.3657312264144157,27.0,Ca-superphosphate,0.0,0.6277154746460176,33.0,3.7298687067072063,2.0952942734506244,46.918791488492815,112.450668,5.187345297432998,0.4288850128650665,0.2342416444707223,1000000.0
8.0,Swine manure,None,59.0,27.32884658064516,41.20798135630312,Plastic tube pieces,Intermittent ,Windrow,MgSO₄,57.0,40.67045520562041,0.0,None,Straw,0.3313078277317269,25.0,DCD,1201.0,0.6277154746460176,29.0,7.074666362447458,2.0952942734506244,85.21657189096658,109.22604500000004,6.790331270326929,0.3884490430355072,0.1626689629932238,23.49722726778921
9.805047383637977,Swine manure,None,64.0,27.32884658064516,0.0,Straw,Continuous,Trough,LB Culture,32.0,18.0,0.0,None,Straw,1.0796692976855171,2.0,Biochar,0.0,0.6277154746460176,30.0,7.305132428192541,2.0952942734506244,34.49853330439221,107.33317100000002,6.276437487893115,1.0638751983642578,0.1791721529661916,1000000.0
