Initial Moisture Content (%),Compost volume (m3),Initial C/N (%),Additive_1,V2_Ventilation Interval (min),Additive_3,V1_Ventilation Type,V4_Ventilation Day,Material_Main,Period (d),Additive_4,Initial pH,Initial GI (%),Turning times,V3_Ventilation Duration (min), Composting Method,M1_is Enclosed,Material_2,Additive_2,Application Rate (%DW),V5_Ventilation rate (L/min/kg iniDW),Material_3,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
80.30394070986208,0.045,21.45757064042603,MgO,574.0,None,Intermittent ,3.0,Sheep manure,92.0,None,8.641913065567667,27.32884658064516,30.0,50.26109275964305,Windrow,1.0,Byproduct,Organic acid,4.214397153224107,0.8515689241730631,Green waste,1.97,54.63526562524332,92.04251800000002,4.176550408424949,0.8709887266159058,0.1675889571271893,1000000.0
79.94385418545585,0.045,36.0,Labile carbon source,0.0,None,None,0.0,Sheep manure,67.0,None,9.91818496426978,27.32884658064516,0.0,0.0,Windrow,0.0,None,Mg(OH)₂,6.461294586255746,0.0,None,1.97,12.671215104985215,92.13898800000004,12.687449051577593,0.6607629060745239,0.1492067709060879,1000000.0
80.30572073024489,0.045,43.011541110140094,Microbiological agent,381.0,None,Intermittent ,20.0,Sheep manure,98.0,None,5.0,27.32884658064516,1.0,26.820402665401733,Trough,1.0,Green waste,Ca-superphosphate,5.604452774424009,1.896284526319864,Mature compost,1.97,84.73273598697598,91.68100900000002,5.789395873488465,0.8553525805473328,0.1610677409520743,18.633260220065957
59.0,0.045,12.0,MgCl₂,0.0,None,None,0.0,Sheep manure,63.0,None,10.847129868152866,27.32884658064516,26.0,0.0,Reactor,1.0,Byproduct,Mg(OH)₂,4.5353873216735625,0.0,Green waste,1.97,35.078642662918355,92.13772399999998,9.055383979398227,0.613106906414032,0.2189420680460027,1000000.0
72.51754811213081,0.045,33.0,Potassium phosphate,257.0,None,Intermittent ,2.0,Sheep manure,109.0,None,10.453809466987977,27.32884658064516,17.0,57.15549214930262,Windrow,0.0,Green waste,MgO,5.110972101674736,1.5015826528894871,Poultry manure,1.97,59.26592888232503,92.41059800000002,9.788175637828155,0.7020056247711182,0.1506154810775304,1000000.0
53.70970966654951,0.045,36.0,Mg(OH)₂,1169.0,None,Intermittent ,0.0,Sheep manure,93.0,None,6.0,27.328846580645163,14.0,29.284265544285404,Windrow,0.0,Byproduct,Biochar,6.198930422559364,1.684325087390072,Byproduct,1.97,53.5035878196029,93.412989,7.421403720941603,0.8122742176055908,0.1526642268306678,1000000.0
62.0,0.045,15.0,MgO,0.0,None,None,0.0,Sheep manure,59.0,None,10.725540165549988,27.32884658064516,25.0,0.0,Windrow,1.0,Byproduct,DCD,4.754111632760734,0.0,None,1.97,72.97939876250612,92.47005999999998,9.055383979398227,0.8008847832679749,0.2231419088535354,1000000.0
56.0,0.045,22.10215472476996,Ferric salt,0.0,None,None,0.0,Sheep manure,59.0,None,6.0,27.32884658064516,4.0,0.0,Reactor,1.0,Byproduct,Organic acid,2.2419738442289807,0.0,None,1.97,24.29942594430472,91.81697399999996,9.055383979398227,0.5988261103630066,0.2150402969174142,1000000.0
53.0,0.045,25.9015694004267,Lime,0.0,None,None,0.0,Sheep manure,14.0,None,10.650593924088415,27.32884658064516,0.0,0.0,Reactor,1.0,Green waste,Gypsum,6.042660061143891,0.0,Byproduct,1.97,51.43424766434804,93.03079700000002,11.065285507276302,0.4739366173744201,0.1957038738789778,1000000.0
63.0,0.045,29.0,Organic acid,0.0,None,None,0.0,Sheep manure,68.0,None,10.245521858904532,27.32884658064516,8.0,0.0,Reactor,1.0,Byproduct,MgO,5.118403011177697,0.0,Poultry manure,1.97,46.52530864755848,92.23272399999998,9.055383979398227,0.6225913763046265,0.2147105134965693,1000000.0
75.45840406934144,0.045,34.0,Urea,0.0,None,None,0.0,Sheep manure,33.0,None,9.622472164014564,27.32884658064516,5.0,0.0,Reactor,1.0,Byproduct,Microbiological agent,3.870570182829016,0.0,Poultry manure,1.97,31.55040382115745,92.49867999999998,9.055383979398227,0.6125283241271973,0.1947158746189637,1000000.0
58.0,0.045,34.0,Forsterite,0.0,None,None,0.0,Sheep manure,116.0,None,6.0,27.32884658064516,25.0,0.0,Reactor,1.0,Byproduct,Organic acid,5.202982479387241,0.0,Byproduct,1.97,18.13046829162577,92.03516499999998,9.055383979398227,0.6125283241271973,0.2112653350943141,1000000.0
53.0,0.045,23.0,Microbiological agent,665.0,None,Intermittent ,73.0,Sheep manure,93.0,None,9.766150310143628,27.32884658064516,0.0,28.783119946413517,Trough,1.0,Husk,DCD,3.268145934640001,0.9472027668202774,Green waste,1.97,30.500602841635608,93.02726100000008,10.085570309638248,0.7211017608642578,0.1361270541780762,1000000.0
52.0,0.045,11.0,Ferric salt,0.0,None,None,0.0,Sheep manure,60.0,None,10.203547871779314,27.32884658064516,13.0,0.0,Reactor,1.0,Byproduct,Ca-superphosphate,4.57013027916737,0.0,None,1.97,44.44884059398955,92.47005999999998,8.496121139109285,0.7153529524803162,0.2198210007122879,1000000.0
61.0,0.045,36.0,Urea,886.0,None,Intermittent ,76.0,Sheep manure,94.0,None,6.0,27.32884658064516,5.0,35.13720349741776,Reactor,1.0,Green Waste,Organic acid,6.429328419601197,0.6952776595684216,Green waste,1.97,17.214901160220524,89.93727600000004,8.73396005580365,0.3654963076114654,0.1004548336844327,1000000.0
59.0,0.045,20.0,Sulfur,740.0,None,Intermittent ,5.0,Sheep manure,16.0,None,8.304452501820776,27.32884658064516,12.0,0.0605355750602476,Windrow,0.0,Byproduct,Potassium phosphate,2.455901660485264,0.7541174562546678,Poultry manure,1.97,35.24987700561317,92.35331,10.50247675251189,0.8657535910606384,0.1461181281017374,1000000.0
67.0,0.045,34.0,Organic acid,0.0,None,None,0.0,Sheep manure,13.0,None,10.345468637102757,27.32884658064516,16.0,0.0,Reactor,1.0,Byproduct,Potassium phosphate,6.683174334753416,0.0,Poultry manure,1.97,23.62338571688972,90.90111399999998,9.055383979398227,0.6301298141479492,0.2170851812650308,1000000.0
71.39736462271088,0.045,21.0,Mg(OH)₂,0.0,None,Continuous,4.0,Sheep manure,122.0,None,8.0,27.32884658064516,26.0,0.0,Windrow,1.0,Byproduct,Ca-superphosphate,5.0042028112174375,1.77096079374365,None,1.97,37.73194022628537,92.31894999999996,8.416969894516997,1.046624779701233,0.2650433348283608,1000000.0
83.65062406693184,0.045,27.0,Clay,0.0,None,None,0.0,Sheep manure,38.0,None,10.7403621949234,27.32884658064516,12.0,0.0,Trough,1.0,Byproduct,DCD,5.438244716823491,0.0,Byproduct,1.97,42.29137969857,92.56505999999996,9.055383979398227,0.7953100800514221,0.2183455491852344,1000000.0
59.0,0.045,36.0,Zeolite,17.0,None,Intermittent ,13.0,Sheep manure,54.0,None,9.246348581235209,27.32884658064516,6.0,11.63089722234533,Windrow,0.0,Byproduct,Calcium magnesium phosphate fertilizer,3.249981318528201,1.2649925560751294,Poultry manure,1.97,22.689090721491844,91.48945999999998,10.14694538751511,1.1628031730651855,0.1763315456231074,1000000.0
52.0,0.045,14.0,Potassium phosphate,0.0,None,None,0.0,Sheep manure,48.0,None,6.0,27.32884658064516,4.0,0.0,Windrow,1.0,Byproduct,Ca-superphosphate,5.232557588923799,0.0,Mature compost,1.97,38.48431578182531,92.47005999999998,8.496121139109285,0.8504077196121216,0.1883154039097602,1000000.0
70.0,0.045,21.0,Lignite,0.0,None,None,0.0,Sheep manure,24.0,None,6.0,27.32884658064516,8.0,0.0,Trough,1.0,Byproduct,Calcium magnesium phosphate fertilizer,5.121489440607264,0.0,None,1.97,66.44262830695801,92.56505999999996,9.055383979398227,0.8448331356048584,0.2278452533822518,1000000.0
62.0,0.045,10.0,Zeolite,0.0,None,None,0.0,Sheep manure,14.0,None,9.563465653150573,27.32884658064516,25.0,0.0,Trough,0.0,Byproduct,Gypsum,4.625620445013114,0.0,Straw,1.97,55.63774763907685,91.62005699999996,11.0308016834133,0.7122208476066589,0.2014317408221948,1000000.0
68.0,0.045,11.0,Sulfur,0.0,None,Continuous,20.0,Sheep manure,26.0,None,8.0,27.32884658064516,1.0,0.0,Reactor,1.0,Husk,DCD,3.932768808753355,0.1494280309616009,Mature compost,1.97,22.89162773684154,90.112296,9.17955912491454,0.4613710045814514,0.216132096072171,1000000.0
70.0,0.045,19.0,MgO,0.0,None,None,0.0,Sheep manure,99.0,None,5.0,27.32884658064516,13.0,0.0,Windrow,1.0,Byproduct,Zeolite,3.350919923540146,0.0,Straw,1.97,61.17291474826771,90.95160699999995,9.055383979398227,0.7083031535148621,0.2147255657913162,1000000.0
75.55912527471975,0.045,25.0,MgSO₄,0.0,None,None,0.0,Sheep manure,65.0,None,11.983401720213166,27.32884658064516,26.0,0.0,Windrow,1.0,Byproduct,DCD,6.281197335666244,0.0,Byproduct,1.97,40.2647342764852,92.37449999999995,9.055383979398227,0.8047291040420532,0.2275759530944701,1000000.0
69.0,0.045,35.0,Sodium salt,399.0,None,Intermittent ,70.0,Sheep manure,82.0,None,7.0,27.32884658064516,0.0,50.81741500340468,Windrow,1.0,Sawdust,Inorganic acid,2.978035257370709,1.3405893524511037,Byproduct,1.97,69.2348566020325,90.69503100000004,8.28452617669576,0.7139409184455872,0.1255735344194489,1000000.0
54.0,0.045,12.0,MgSO₄,0.0,None,None,0.0,Sheep manure,73.0,None,10.491689807311658,27.32884658064516,27.0,0.0,Windrow,1.0,Byproduct,Calcium magnesium phosphate fertilizer,5.763350823014244,0.0,None,1.97,65.33115912711526,92.47005999999998,9.055383979398227,0.8504077196121216,0.2073702542684795,1000000.0
50.0,0.045,19.0,Urea,0.0,None,None,0.0,Sheep manure,77.0,None,9.054797617887044,27.32884658064516,0.0,0.0,Reactor,1.0,Green waste,Gypsum,4.16683215323485,0.0,Straw,1.97,10.18496680506678,92.75522100000002,11.065285507276302,0.4739367961883545,0.1880429768923384,1000000.0
59.0,0.045,22.0,Mature compost,0.0,None,None,0.0,Sheep manure,13.0,None,7.0,27.32884658064516,29.0,0.0,Reactor,1.0,Byproduct,DCD,3.015651110368177,0.0,Green waste,1.97,77.00713689808869,92.56505999999996,9.055383979398227,0.7239450812339783,0.2451948061673345,1000000.0
59.0,0.045,13.0,MgO,0.0,None,None,0.0,Sheep manure,18.0,None,5.0,27.32884658064516,24.0,0.0,Reactor,1.0,Byproduct,None,3.389625576839832,0.0,Byproduct,1.97,40.30830986817072,91.72197399999996,9.055383979398227,0.60625159740448,0.1900448365817523,1000000.0
67.0,0.045,34.0,Microbiological agent,809.0,None,Intermittent ,34.0,Sheep manure,46.0,None,11.406955371529389,27.32884658064516,0.0,58.88589553607072,Windrow,0.0,Green waste,Gypsum,2.6772114320217097,0.7857353774944131,None,1.97,69.69330007751586,93.09728100000004,13.07547493643606,0.6677257418632507,0.1298050976677637,1000000.0
67.0,0.045,30.000000000000004,Carbonatite,1358.0,None,Intermittent ,29.0,Sheep manure,90.0,None,7.0,27.32884658064516,2.0,25.027747771788377,Reactor,1.0,Husk,Calcium magnesium phosphate fertilizer,3.4315866569193645,0.9883194213192212,Straw,1.97,61.02497839218243,90.84710500000004,9.036959515745377,0.435730367898941,0.1611352021459577,1000000.0
60.0,0.045,31.0,Gypsum,0.0,None,None,0.0,Sheep manure,24.0,None,8.0,27.32884658064516,13.0,0.0,Reactor,1.0,Byproduct,None,5.269196683741581,0.0,Straw,1.97,27.122460203623334,91.79194399999996,9.055383979398227,0.6125283241271973,0.2468191775508587,1000000.0
