V2_Ventilation Interval (min),Initial GI (%),Material_2,Additive_3,Initial Moisture Content (%),Turning times,V1_Ventilation Type,Additive_1,Compost volume (m3),Period (d),Initial pH,Material_Main,Application Rate (%DW),Additive_4,Material_3,Initial C/N (%),V5_Ventilation rate (L/min/kg iniDW),V3_Ventilation Duration (min),M1_is Enclosed,V4_Ventilation Day,Additive_2, Composting Method,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,27.32884658064516,Soil,None,52.63330114821207,22.0,Continuous,Ca-superphosphate,0.06,41.0,5.0,Food Waste,4.712576252197598,None,Straw,24.343047899431124,1.3770372894972172,0.0,0.0,29.0,Zeolite,Windrow,1.775,43.20891002149024,91.74532699999996,4.416817645577699,0.601121187210083,0.2061706607797893,30.41363536432993
0.0,27.32884658064516,Soil,None,53.0,28.0,None,Biochar,0.06,83.0,7.0,Food Waste,9.425909252700116,None,Green waste,19.279145285271795,0.0,0.0,0.0,0.0,Biochar,Trough,1.775,34.220482881357434,91.46777299999998,4.766213590669223,0.4897695779800415,0.1112417050750581,19.619085802726158
0.0,27.32884658064516,Green waste,None,61.0,2.0,Continuous,Ca-superphosphate,0.06,90.0,8.0,Food Waste,9.146762842190313,None,None,19.689569598596595,1.077738956832751,0.0,1.0,45.0,Inorganic acid,Windrow,1.775,34.94898603750895,91.51837899999995,8.079500435503231,0.2746455669403076,0.1809487362956687,23.13233270800933
1280.0,27.32884658064516,Straw,None,57.0,26.0,Intermittent ,Ca-superphosphate,0.06,127.0,6.0,Food Waste,9.861079195962308,None,Byproduct,39.87150679503273,1.245140211396497,0.1305655434722186,0.0,49.0,Potassium phosphate,Windrow,1.775,70.7719245611831,91.83859599999997,4.879798098283181,0.9891557097434998,0.1338858720913514,25.273297247692888
0.0,27.32884658064516,Soil,None,66.45146387240663,15.0,None,Ca-superphosphate,0.06,125.0,5.0,Food Waste,7.520963324882131,None,Byproduct,12.675745062622145,0.0,0.0,0.0,0.0,Zeolite,Trough,1.775,22.499447486154303,92.45222199999998,4.270407733762799,0.565678060054779,0.1144245458751895,24.111810291649164
0.0,27.32884658064516,Husk,None,61.0,10.0,None,Biochar,0.06,85.0,7.0,Food Waste,2.5306226090377253,None,Poultry manure,26.0,0.0,0.0,1.0,0.0,MgO,Reactor,1.775,46.15,90.80401299999998,6.5264643658803925,0.6940069794654846,0.2570851989621545,1000000.0
0.0,27.32884658064516,Byproduct,None,62.0,3.0,Continuous,Biochar,0.06,44.0,7.0,Food Waste,2.034067525603916,None,Mature compost,29.370137166129823,1.22957056881794,0.0,1.0,34.0,Biochar,Windrow,1.775,52.13199346988044,90.86122999999996,4.555228490930348,0.5619192123413086,0.2831608948359841,22.52262104501444
0.0,27.32884658064516,None,None,54.0,10.0,Continuous,Carbonatite,0.06,15.0,8.0,Food Waste,5.8969248472150815,None,Poultry manure,23.0,1.720582536408168,0.0,0.0,12.0,Zeolite,Windrow,1.775,40.825,90.98961699999995,3.4574882867941708,0.5915846228599548,0.2254341842982606,1000000.0
0.0,27.32884658064516,Green Waste,None,62.0,21.0,None,Ca-superphosphate,0.06,108.0,5.0,Food Waste,6.991487390707166,None,Byproduct,24.955868576453295,0.0,0.0,0.0,0.0,Mg(OH)₂,Windrow,1.775,44.2966667232046,91.440483,4.533554712676641,0.5089833736419678,0.1755330551602989,18.720764597201608
0.0,27.32884658064516,Straw,None,56.0,21.0,Continuous,Ca-superphosphate,0.06,37.0,6.0,Food Waste,9.305527863783684,None,None,24.91124778897105,1.9374921480834368,0.0,0.0,20.0,Calcium magnesium phosphate fertilizer,Windrow,1.775,44.217464825423605,91.59115699999998,3.3825121317176,0.6019383668899536,0.1855283080242017,29.70627746503377
0.0,27.32884658064516,Woody peat,None,58.59713883602221,16.0,None,Ca-superphosphate,0.06,82.0,6.0,Food Waste,8.047005881718448,None,Straw,35.0,0.0,0.0,1.0,0.0,Gypsum,Reactor,1.775,62.125,91.440483,7.0163962444411565,0.5835884809494019,0.1775681127223919,1000000.0
0.0,27.32884658064516,Woody peat,None,59.10256199997784,4.0,Continuous,Biochar,0.06,42.0,6.0,Food Waste,5.961071773500518,None,Byproduct,22.42282757660491,1.688777495843882,0.0,1.0,41.0,Zeolite,Reactor,1.775,39.80051894847371,92.38179699999996,6.109899790607774,0.9563996195793152,0.2315202948470432,20.25119501650125
0.0,27.328846580645163,Straw,None,65.09338640181552,14.0,None,Biochar,0.06,113.0,5.222844156031332,Food Waste,8.916316784389991,None,None,25.42669545013088,0.0,0.0,1.0,0.0,None,Windrow,1.775,45.13238442398232,91.339443,7.003569580756965,0.7176856398582458,0.1495757077869095,1000000.0
0.0,27.32884658064516,Byproduct,None,68.0,4.0,Continuous,Biochar,0.06,42.0,7.0,Food Waste,8.517635072855132,None,Mature compost,23.339803662638744,0.9952000466922876,0.0,1.0,24.0,Zeolite,Trough,1.775,41.42815150118377,92.42501899999996,3.8445336254507434,0.6626661419868469,0.2689853812015713,19.709008118686207
0.0,27.32884658064516,Woody peat,None,57.0,18.0,Continuous,Calcium magnesium phosphate fertilizer,0.06,40.0,5.564690935200982,Food Waste,9.372721098268688,None,Byproduct,26.94490474765773,0.2953887120069287,0.0,0.0,27.0,Zeolite,Windrow,1.775,47.82720592709248,90.62447299999997,3.2772440890459227,0.7948880195617676,0.1769984911353271,27.083482034895567
0.0,27.32884658064516,None,None,64.08182068862219,31.0,None,Biochar,0.06,34.0,7.078748483849351,Food Waste,9.607814871763605,None,Green waste,11.656334978905942,0.0,0.0,1.0,0.0,Gypsum,Windrow,1.775,20.689994587558047,91.72243599999996,6.06775755536989,0.4533627927303314,0.1526327209350123,24.36288684827603
0.0,27.32884658064516,Woody peat,None,53.0,14.0,Continuous,Biochar,0.06,24.0,6.546574481125873,Food Waste,7.164222984596269,None,Mature compost,26.48237280672359,1.3803752852377351,0.0,1.0,16.0,None,Reactor,1.775,47.00621173193437,91.37411699999996,6.109899790607774,0.9520940780639648,0.225785481302026,27.94866698706644
0.0,27.32884658064516,Byproduct,None,51.0,11.0,None,Ca-superphosphate,0.06,132.0,5.731738975623702,Food Waste,8.662987182331987,None,Green waste,10.33042965483115,0.0,0.0,1.0,0.0,Mg(OH)₂,Reactor,1.775,18.33651263732529,91.72243599999996,4.224415793472192,0.572819173336029,0.1354900676936961,20.122234858437405
0.0,27.32884658064516,Green waste,None,55.36914417378289,28.0,None,Biochar,0.06,58.0,8.0,Food Waste,4.934260017669712,None,Mature compost,10.670145658370998,0.0,0.0,1.0,0.0,Inorganic acid,Reactor,1.775,18.93950854360852,91.08596599999998,8.440434031401681,0.3422474265098572,0.1604005990434425,22.426557107171572
0.0,27.32884658064516,Plastic tube pieces,None,58.47963556056607,9.0,None,Ca-superphosphate,0.06,81.0,6.0,Food Waste,6.02976288958808,None,Mature compost,25.216710749606584,0.0,0.0,1.0,0.0,Gypsum,Reactor,1.775,44.759661580551686,91.440483,6.137531249989556,0.3953758180141449,0.1897602957210339,18.844284627523745
0.0,27.32884658064516,Green waste,None,61.36638061507286,5.0,None,Ca-superphosphate,0.06,89.0,7.0,Food Waste,7.051993613861715,None,None,18.86188194588683,0.0,0.0,0.0,0.0,Inorganic acid,Trough,1.775,33.47984045394912,91.46777299999998,4.533554712676641,0.4768303334712982,0.1808647245395488,14.838343524716183
0.0,27.32884658064516,None,None,59.30887445687244,3.0,None,Ca-superphosphate,0.06,45.0,7.0,Food Waste,9.904699498785472,None,Poultry manure,12.331276035927832,0.0,0.0,1.0,0.0,Zeolite,Reactor,1.775,21.8880149637719,92.60643999999998,6.06775755536989,0.7496689558029175,0.1562667193316475,18.369835965778
0.0,27.32884658064516,Soil,None,66.06840315734249,21.0,Continuous,Ca-superphosphate,0.06,26.0,7.300347942233813,Food Waste,8.92115429609434,None,Byproduct,10.3185945537502,1.0742187669973011,0.0,0.0,23.0,Potassium phosphate,Trough,1.775,18.3155053329066,90.96807199999996,2.5016597482079623,0.5969100594520569,0.1711728091520683,30.632373411532967
0.0,27.32884658064516,Plastic tube pieces,None,61.12681556226377,3.0,Continuous,Clay,0.06,65.0,6.410074955053822,Food Waste,9.046963432873042,None,Poultry manure,23.865880204424897,1.1336287024844756,0.0,1.0,51.0,Zeolite,Reactor,1.775,42.36193736285419,91.03179999999996,6.2135077711607885,0.7563541531562805,0.2402399403510343,22.460325076994412
0.0,27.32884658064516,Green waste,None,57.9469069960693,20.0,None,Biochar,0.06,90.0,7.548203879940407,Food Waste,8.710972126577465,None,Straw,18.98066960652618,0.0,0.0,0.0,0.0,Organic acid,Windrow,1.775,33.69068855158397,91.200159,4.533554712676641,0.5874048471450806,0.1789862606968239,17.6307501239332
