Additive_3,Additive_4,Initial Moisture Content (%),Initial GI (%),Application Rate (%DW),Material_2,V3_Ventilation Duration (min),V1_Ventilation Type,Compost volume (m3),Initial C/N (%),Period (d),V4_Ventilation Day,Material_Main,Additive_2,Additive_1,M1_is Enclosed,Turning times,V2_Ventilation Interval (min),Material_3,Initial pH, Composting Method,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
None,None,64.42070793787327,27.32884658064516,7.987094736017842,Green waste,0.0,None,0.08,26.35623967951113,84.0,0.0,Goat manure,Biochar,Mature compost,1.0,28.0,0,None,7.0,Reactor,0.0,0.875,23.06170971957224,107.54283100000002,6.451320790738831,0.8122884035110474,0.1890850628633801,20.916233344987347
None,None,59.9281102395157,27.32884658064516,9.857970109608306,Byproduct,0.0,None,0.08,29.040621631433385,40.0,0.0,Goat manure,Inorganic acid,MgO,1.0,11.0,0,Byproduct,5.675578391586612,Reactor,0.0,0.875,25.410543927504207,107.31048200000004,1.3542533171949511,0.9719250798225404,0.1736914107821331,22.57665794970352
None,None,59.0,27.32884658064516,5.987568033353145,Byproduct,0.0,None,0.08,14.0,94.0,0.0,Goat manure,Zeolite,Biochar,1.0,29.0,0,Poultry manure,6.3392813006922895,Windrow,0.0,0.875,12.25,106.94164500000002,5.213787367915736,0.8632399439811707,0.1524685890187456,1000000.0
None,None,67.0,27.32884658064516,4.079348498329615,Byproduct,0.0,Continuous,0.08,11.471156569515763,47.0,18.0,Goat manure,Microbiological agent,Labile carbon source,1.0,23.0,0,Green waste,6.0,Windrow,0.3701508312428383,0.875,10.037261998326294,107.09552000000004,5.213787367915736,1.0024616718292236,0.1950287482036742,25.05908657768457
None,None,52.78903184525542,27.32884658064516,6.716423264870352,Byproduct,0.0,None,0.08,24.414364596287555,112.0,0.0,Goat manure,MgO,Lime,1.0,31.0,0,Mature compost,5.316638004227255,Windrow,0.0,0.875,21.36256902175161,106.80687900000002,5.213787367915736,0.9392417073249816,0.1798340487287975,19.928363349661957
None,None,63.0,27.32884658064516,2.1775221821570394,Byproduct,0.0,Continuous,0.08,21.0,118.0,75.0,Goat manure,DCD,Lime,1.0,22.0,0,Green waste,6.345236019794452,Windrow,0.3168202335732613,0.875,35.0,107.32965800000004,5.213787367915736,1.0024616718292236,0.20989230795337,1000000.0
None,None,61.77578162507734,27.32884658064516,9.48628107751771,Byproduct,0.0,Continuous,0.08,12.07065597955759,17.0,16.0,Goat manure,Calcium magnesium phosphate fertilizer,MgHPO₄,1.0,30.0,0,Byproduct,5.0,Windrow,0.9410324935220022,0.875,10.561823982112893,107.83713000000004,1.312709595344696,1.0024616718292236,0.1696050440602976,28.580774151978083
None,None,61.97782472174823,27.32884658064517,2.8542786308723755,Byproduct,0.0,Continuous,0.08,11.552865023942443,14.0,14.0,Goat manure,DCD,K₂SO₄,1.0,16.0,0,None,6.137333743555137,Reactor,0.3314009414799643,0.875,10.10875689594964,107.54099700000005,6.240760374770738,0.8753015398979187,0.1890726195814813,27.57120546323346
None,None,55.0,27.32884658064516,5.897504110159908,Byproduct,0.0,None,0.08,25.0,103.0,0.0,Goat manure,Calcium magnesium phosphate fertilizer,Ferric salt,0.0,18.0,0,None,7.139277353318562,Windrow,0.0,0.875,35.0,105.67583200000004,5.213787367915736,0.7527443766593933,0.1584550020468376,1000000.0
None,None,59.812862284033685,27.32884658064516,9.587593926201864,Byproduct,0.0,Continuous,0.08,16.218310809074737,126.0,79.0,Goat manure,Biochar,Zeolite,1.0,16.0,0,None,6.0,Windrow,0.2663723468428483,0.875,14.191021957940396,108.559415,4.136899751878351,0.8532512784004211,0.1515873150501626,26.28944629425876
None,None,61.92681928437925,27.32884658064516,6.226549148902084,Husk,0.0,None,0.08,36.69518298862007,14.0,0.0,Goat manure,Biochar,Ca-superphosphate,1.0,26.0,0,None,7.0,Trough,0.0,0.875,32.10828511504256,107.71886600000002,6.132799767644177,0.8122884035110474,0.1947889638116606,23.324349547743093
