Initial Moisture Content (%),Material_Main,Initial GI (%),V3_Ventilation Duration (min),Additive_3,Initial pH,Material_2,Application Rate (%DW),V1_Ventilation Type,V4_Ventilation Day,M1_is Enclosed,Additive_1,Initial C/N (%),Material_3,Turning times,V5_Ventilation rate (L/min/kg iniDW),Period (d),Additive_2, Composting Method,Compost volume (m3),V2_Ventilation Interval (min),Additive_4,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
68.19037943748084,OFMSW,27.32884658064516,41.38564672635849,None,7.0,Plastic tube pieces,2.4657541916355896,Intermittent ,33.0,1.0,Potassium phosphate,15.0,Byproduct,19.0,0.1091716699879918,45.0,DCD,Windrow,0.15181,1051.0,None,1.411,21.165,119.04624600000008,5.312141265706627,1.1653664112091064,0.1079305647818662,1000000.0
50.18570354699138,OFMSW,27.32884658064516,42.36168724290313,None,7.0,Sawdust,5.658472004863789,Intermittent ,46.0,1.0,LB Culture,18.61989595931205,Mature compost,24.0,0.755068772507578,60.0,Calcium magnesium phosphate fertilizer,Windrow,0.15181,380.0,None,1.411,26.272673198589303,115.31347400000008,5.2794873039519645,0.8662164211273193,0.151579758668754,26.93149262318474
62.0,OFMSW,27.32884658064516,9.041535036079289,None,5.335040968482561,Byproduct,3.094033679862682,Intermittent ,36.0,1.0,Ca-superphosphate,39.73784502148784,Byproduct,25.0,1.4446135299328775,45.0,Ca-superphosphate,Trough,0.15181,943.0,None,1.411,56.07009932531935,116.08514500000004,5.876635009150747,0.7472193241119385,0.152088156358903,24.545146928088183
64.0,OFMSW,27.32884658064516,32.17981642359094,None,6.0,Byproduct,5.872957081720011,Intermittent ,50.0,1.0,Zeolite,33.0,Byproduct,1.0,0.5825298479749774,61.0,Ca-superphosphate,Reactor,0.15181,1408.0,None,1.411,46.563,115.79419600000004,3.733068520811756,0.7081289291381836,0.1399197135025003,1000000.0
56.24154285877474,OFMSW,27.32884658064516,39.44226560260071,None,6.0,Woody peat,2.327752797007218,Intermittent ,47.0,1.0,MgO,14.0,Byproduct,27.0,1.0276621901439884,94.0,Ca-superphosphate,Trough,0.15181,588.0,None,1.411,19.754,117.06403800000004,5.780478000388774,0.8027568459510803,0.1392633691842571,1000000.0
62.0,OFMSW,27.32884658064516,35.94197153668165,None,6.0,Plastic tube pieces,6.514093912390162,Intermittent ,41.0,1.0,Sodium salt,24.0,Byproduct,14.0,1.5251056799558782,54.0,Potassium phosphate,Windrow,0.15181,367.0,None,1.411,33.864000000000004,111.04086300000004,5.528780244188943,1.120252251625061,0.1722319459712025,1000000.0
67.0,OFMSW,27.32884658064516,19.24044797204008,None,5.319348166697134,Soil,4.28946583565169,Intermittent ,35.0,1.0,Urea,13.392806579876652,Straw,29.0,0.8960072849166831,47.0,Calcium magnesium phosphate fertilizer,Reactor,0.15181,1086.0,None,1.411,18.89725008420596,115.40912400000008,2.270541675087077,0.7492369413375854,0.1602034867864389,28.5109334460374
66.10076533614702,OFMSW,27.32884658064516,54.84921556417597,None,8.0,Soil,9.739417595857915,Intermittent ,44.0,1.0,MgO,21.9637188963251,Byproduct,30.0,0.7219798086229408,52.0,Calcium magnesium phosphate fertilizer,Reactor,0.15181,495.0,None,1.411,30.99080736271472,116.10078100000004,2.9653010175794523,0.7020646929740906,0.149075612919304,28.407289694746808
69.17496926818589,OFMSW,27.32884658064516,9.046887452529266,None,7.000000000000001,Green waste,4.300965931454903,Intermittent ,42.0,0.0,Clay,13.0,Green waste,5.0,0.6248430952118382,44.0,Biochar,Trough,0.15181,1214.0,None,1.411,18.343,116.34834600000003,2.8781701732317235,1.1511505842208862,0.1257392410168419,1000000.0
61.0,OFMSW,27.32884658064516,49.830663712578655,None,6.0,Sawdust,7.442017353153913,Intermittent ,17.0,1.0,Mg(OH)₂,36.020589737666306,Byproduct,11.0,0.5996306998594509,18.0,Calcium magnesium phosphate fertilizer,Trough,0.15181,809.0,None,1.411,50.82505211984716,118.03755100000004,5.35895082381365,0.7670496702194214,0.167072670126031,1000000.0
68.0,OFMSW,27.32884658064516,43.611302579758544,None,6.531763700992786,Sawdust,6.306492586831674,Intermittent ,67.0,1.0,Zeolite,22.0,Byproduct,25.0,0.484903007997119,95.0,Ca-superphosphate,Trough,0.15181,412.0,None,1.411,31.042,116.84357900000003,6.064469839062303,0.8063616752624512,0.1726641533350308,1000000.0
63.0,OFMSW,27.32884658064516,51.50910511823769,None,7.0,Sawdust,5.816693680481771,Intermittent ,74.0,1.0,Mature compost,23.030320460022335,Byproduct,14.0,1.9674207844463063,100.0,Calcium magnesium phosphate fertilizer,Reactor,0.15181,1136.0,None,1.411,32.49578216909152,117.32270700000004,3.024354320700547,0.7067902684211731,0.1562292932748468,26.200439793174358
51.0,OFMSW,27.32884658064516,39.50220260486493,None,7.159839677690249,Plastic tube pieces,3.0337206313776948,Intermittent ,10.0,0.0,Ferric salt,37.8534723735488,Poultry manure,28.0,0.3682365964391003,32.0,Biochar,Trough,0.15181,300.0,None,1.411,53.411249519077366,116.24193800000003,3.717784389084832,0.3041635453701019,0.1477210347588971,24.48191336859839
52.82292689749565,OFMSW,27.32884658064516,26.021254857617294,None,6.70056103627877,Woody peat,3.953905135702258,Intermittent ,29.0,0.0,Biochar,28.798938135410395,Mature compost,16.0,1.959457885224511,40.0,Biochar,Windrow,0.15181,264.0,None,1.411,40.63530170906407,116.02169500000004,3.654071992002984,1.1652674674987793,0.1437824867817038,23.45902613625773
53.321631131534666,OFMSW,27.32884658064516,40.19093247145607,None,6.10263903210008,Straw,6.501986127464407,Intermittent ,57.0,1.0,Sodium phosphates,19.28439587641136,Byproduct,18.0,0.4676429825400108,95.0,Calcium magnesium phosphate fertilizer,Trough,0.15181,341.0,None,1.411,27.21028258161643,119.35808300000006,5.312141265706627,0.8034913539886475,0.1543503745756298,26.46353415575001
64.0,OFMSW,27.32884658064516,12.575686084190208,None,5.0,Green Waste,3.3282360332184444,Intermittent ,32.0,0.0,Organic acid,28.72192427338435,Byproduct,30.0,0.592738283627747,54.0,Biochar,Windrow,0.15181,498.0,None,1.411,40.52663514974532,116.50064200000004,4.145733109342437,1.0666807889938354,0.1589344792209531,1000000.0
63.13010486658908,OFMSW,27.328846580645163,22.585922045053454,None,5.626971382446213,Green waste,8.69207981919932,Intermittent ,58.0,1.0,Ferric salt,21.0,Byproduct,16.0,1.3004099557149642,124.0,Calcium magnesium phosphate fertilizer,Windrow,0.15181,1287.0,None,1.411,29.631,117.40619500000008,6.508698955737789,0.7852141857147217,0.1528278916447519,1000000.0
57.05236452501904,OFMSW,27.32884658064516,47.22754536461462,None,7.206011355037141,Woody peat,3.906933442887608,Intermittent ,33.0,1.0,Lignite,35.09131342218717,Poultry manure,29.0,1.1700977229740204,100.0,Calcium magnesium phosphate fertilizer,Reactor,0.15181,322.0,None,1.411,49.5138432387061,113.72758700000006,2.076471633100835,0.748365044593811,0.1824056150709469,24.03293733367275
64.12018708446243,OFMSW,27.32884658064516,29.41908464636778,None,6.0,Green Waste,9.939322229325844,Intermittent ,18.0,1.0,Forsterite,12.738219443678153,Byproduct,22.0,1.677152426775263,29.0,Gypsum,Windrow,0.15181,1324.0,None,1.411,17.97362763502987,114.86798600000004,5.406263806414325,1.1045609712600708,0.148593154429466,26.262261355730036
59.0,OFMSW,27.32884658064516,5.102218409291823,None,8.0,Green Waste,5.569283552046202,Intermittent ,20.0,1.0,Phosphogypsum,11.324791480299236,Byproduct,5.0,1.6237595670763303,24.0,Calcium magnesium phosphate fertilizer,Reactor,0.15181,943.0,None,1.411,15.979280778702222,118.03737900000006,3.3765571999842874,0.7469782829284668,0.1597091370476302,26.19928215761604
67.0,OFMSW,27.73791810957449,25.964311866112663,None,5.774618447253915,Green waste,3.601763319302333,Intermittent ,77.0,1.0,Gypsum,35.0,Green waste,7.0,1.0915458544678054,83.0,Biochar,Windrow,0.15181,1309.0,None,1.411,14.11,116.02169500000004,3.437433013520669,1.1569768190383911,0.1645019725993166,1000000.0
56.0,OFMSW,27.32884658064516,29.317802808349512,None,7.2229362525937635,Woody peat,3.6611608413553896,Intermittent ,15.0,1.0,Ca-superphosphate,31.0,Byproduct,5.0,0.2739106352706266,17.0,Calcium magnesium phosphate fertilizer,Windrow,0.15181,147.0,None,1.411,43.741,119.40813300000008,5.3918561805296426,0.8047794103622437,0.1718581618855012,1000000.0
67.87669437613621,OFMSW,27.32884658064516,10.67664862896363,None,7.0,Husk,5.6951093870730185,Intermittent ,53.0,1.0,Inorganic acid,16.775504362204888,Byproduct,4.0,1.980403415041904,127.0,Calcium magnesium phosphate fertilizer,Reactor,0.15181,760.0,None,1.411,23.670236655071097,118.72987200000006,3.391448967924639,0.6937717795372009,0.1456742097795743,21.138969502286287
57.0,OFMSW,27.32884658064516,33.75706293437702,None,7.974837636274503,Woody peat,2.207597096847405,Intermittent ,84.0,0.0,Sodium salt,11.736528554195864,Mature compost,27.0,0.5662816156505894,100.0,Biochar,Trough,0.15181,41.0,None,1.411,16.560241789970366,116.09036600000005,3.3371773288165145,1.1663326025009155,0.1416206333994646,27.62172653088285
68.02767289379383,OFMSW,27.32884658064516,35.28430059594701,None,5.743497889880205,Sawdust,7.251473844897976,Intermittent ,66.0,0.0,LB Culture,17.812722786608024,Byproduct,10.0,0.6833709550428366,86.0,Ca-superphosphate,Trough,0.15181,328.0,None,1.411,25.133751851903924,116.67778200000002,5.84783086057999,0.8051636815071106,0.1463388187939509,26.95382249154148
52.03244674813356,OFMSW,27.32884658064516,39.152907111573,None,7.0,Soil,2.2806921582118487,Intermittent ,22.0,1.0,K₂SO₄,19.0,Poultry manure,27.0,0.3545187191390231,44.0,Calcium magnesium phosphate fertilizer,Reactor,0.15181,1136.0,None,1.411,26.809,115.40912400000008,2.270541675087077,0.7872432470321655,0.1557789798320277,1000000.0
57.10124036901969,OFMSW,27.32884658064516,34.270321511090174,None,7.0,Sawdust,2.124358263331085,Intermittent ,53.0,0.0,Ferric salt,26.39871846556027,Straw,2.0,1.4673203928442655,125.0,Calcium magnesium phosphate fertilizer,Trough,0.15181,1157.0,None,1.411,37.24859175490554,115.05372300000008,4.936863442145335,0.8615924715995789,0.1559904008322695,21.699987731774872
60.0,OFMSW,27.32884658064516,6.575408715398215,None,7.0,Green waste,9.840783138901203,Intermittent ,39.0,1.0,MgSO₄,34.44174951707978,Poultry manure,26.0,0.4983608494213889,79.0,Calcium magnesium phosphate fertilizer,Reactor,0.15181,863.0,None,1.411,48.597308568599566,113.13035700000006,1.971255959841752,0.7499091029167175,0.1514316839791648,24.7046848524754
50.14028412194602,OFMSW,27.32884658064516,33.52060342599496,None,6.0,Soil,9.993780447425635,Intermittent ,65.0,0.0,Potassium phosphate,26.827296491077888,Byproduct,5.0,0.5072897326790097,108.0,DCD,Trough,0.15181,1055.0,None,1.411,37.8533153489109,117.37812900000004,6.501139095215767,1.1071466207504272,0.1105288594969945,23.57615105252945
67.0,OFMSW,27.32884658064516,3.6929724719509394,None,7.0,Soil,5.018778709555807,Intermittent ,23.0,1.0,Mg(OH)₂,29.011788107884087,Poultry manure,17.0,1.5772744484581978,55.0,Biochar,Windrow,0.15181,770.0,None,1.411,40.93563302022445,115.94269500000006,4.095322383493741,0.285673975944519,0.1707034246588449,25.01728073433741
