Material_Main,V4_Ventilation Day,V2_Ventilation Interval (min),Material_3,Initial C/N (%),Material_2,Compost volume (m3),V3_Ventilation Duration (min),M1_is Enclosed,Additive_1,Application Rate (%DW),Initial pH, Composting Method,Additive_3,Period (d),Turning times,Additive_4,V1_Ventilation Type,Initial GI (%),Additive_2,Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Sewage sludge,0.0,0.0,Straw,13.631081499583576,Green Waste,4.210797122302158,0.0,1.0,Lime,3.929190218400569,8.0,Reactor,None,47.0,12.0,None,None,27.32884658064516,Biochar,59.0,0.0,2.1457865217391303,29.24939095853405,109.70684100000004,8.034334419423002,0.5399969816207886,0.2263217708403926,27.25794501972178
Sewage sludge,0.0,0.0,Mature compost,31.45487728901137,Soil,4.210797122302158,0.0,0.0,Sulfur,8.246511934794006,5.586885868762714,Windrow,None,18.0,18.0,None,None,27.32884658064516,Calcium magnesium phosphate fertilizer,50.50410741100395,0.0,2.1457865217391303,67.49545172971888,108.27876800000004,6.176491696438765,0.5637484192848206,0.1781073850294279,29.15392739729091
Sewage sludge,9.0,0.0,None,32.22188195835997,Husk,4.210797122302158,0.0,1.0,Ca-superphosphate,3.532234788816469,5.100431955647568,Windrow,None,22.0,0.0,None,Continuous,27.32884658064516,Calcium magnesium phosphate fertilizer,66.84424583804244,0.4718757402853284,2.1457865217391303,69.14128001131809,109.80104000000004,6.400616342211991,1.341565489768982,0.1382114219327542,25.634597569101267
Sewage sludge,7.0,0.0,Byproduct,17.228994230391,Soil,4.210797122302158,0.0,1.0,Lignite,3.863805820420581,8.0,Trough,None,15.0,6.0,None,Continuous,27.32884658064516,Gypsum,59.74391027981818,0.185516721671094,2.1457865217391303,36.96974360269424,110.16813100000005,7.120246316687332,0.6838933825492859,0.1956990390778917,34.12086442128886
Sewage sludge,0.0,0.0,Byproduct,21.234562073014317,Sawdust,4.210797122302158,0.0,1.0,MgSO₄,5.188953498543509,6.479879638644449,Reactor,None,20.0,0.0,None,None,27.32884658064516,Inorganic acid,55.70276703242755,0.0,2.1457865217391303,45.56483709130704,110.77825500000004,9.125307346685114,0.7383249998092651,0.1705467079811332,28.17490742953609
Sewage sludge,0.0,0.0,Poultry manure,33.0,Sawdust,4.210797122302158,0.0,0.0,Lignite,4.605384139984824,6.156487983899331,Windrow,None,29.0,23.0,None,None,27.32884658064516,Mg(OH)₂,55.0,0.0,2.1457865217391303,89.4598832790961,108.81453900000002,6.176491696438765,0.8353531360626221,0.199550407527219,1000000.0
Sewage sludge,20.0,0.0,Straw,21.0,Byproduct,4.210797122302158,0.0,1.0,Potassium phosphate,5.567534601634304,6.0,Reactor,None,35.0,2.0,None,Continuous,27.32884658064516,Ca-superphosphate,57.20517283303935,0.1803667810078317,2.1457865217391303,13.81744335587795,109.19075200000005,7.922830911463784,0.5482659935951233,0.226302557812552,1000000.0
Sewage sludge,0.0,0.0,Mature compost,24.08839899352944,Green waste,4.210797122302158,0.0,1.0,Labile carbon source,9.553190627084078,5.38968905213023,Windrow,None,24.0,21.0,None,None,27.32884658064516,Biochar,58.0,0.0,2.1457865217391303,51.6885618905899,108.51585800000002,6.176491696438765,0.5612281560897827,0.2208959573380687,28.308587392661167
Sewage sludge,0.0,0.0,Poultry manure,36.52251746253465,Straw,4.210797122302158,0.0,1.0,MgSO₄,4.227384105687898,5.0,Reactor,None,14.0,12.0,None,None,27.32884658064516,Ca-superphosphate,58.59427644707903,0.0,2.1457865217391303,78.36952571108888,109.49765100000003,8.034334419423002,0.5399969816207886,0.234920623283825,32.3994151257117
Sewage sludge,0.0,0.0,Green waste,21.358421024201405,Soil,4.210797122302158,0.0,1.0,Phosphogypsum,2.547189526934618,6.335564518512379,Reactor,None,19.0,4.0,None,None,27.32884658064516,Gypsum,51.0,0.0,2.1457865217391303,45.83061195936104,109.693462,8.967237893985907,0.7851319909095764,0.203784027343973,28.800492219767136
