Material_2,Initial pH,Additive_3,Additive_2,Initial Moisture Content (%),V2_Ventilation Interval (min),Material_3,Application Rate (%DW), Composting Method,Additive_4,V1_Ventilation Type,Initial C/N (%),Compost volume (m3),Material_Main,Period (d),V3_Ventilation Duration (min),Additive_1,V4_Ventilation Day,M1_is Enclosed,Initial GI (%),Turning times,V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Soil,7.0,None,Microbiological agent,68.0,0.0,Poultry manure,9.846201269859595,Windrow,None,None,12.223918441854565,2.147162565177521,Cattle manure,29.0,0.0,Sand,0.0,1.0,27.32884658064516,28.0,0.0,1.596639959668374,19.517196647992165,107.80581800000002,4.01306203017928,1.0887570381164549,0.1584307260400829,29.138494198639542
Straw,5.623866327732396,None,Calcium magnesium phosphate fertilizer,64.53075367740375,0.0,Mature compost,3.902242052195128,Trough,None,None,27.0,2.147162565177521,Cattle manure,91.0,0.0,MgO,0.0,0.0,27.32884658064516,29.0,0.0,1.596639959668374,43.109278911046104,105.74924500000002,3.3899756363703424,1.0303146839141846,0.209197195692859,1000000.0
Plastic tube pieces,6.823123323235536,None,None,56.0,0.0,Byproduct,6.8822436028254375,Reactor,None,None,22.45197297102513,2.147162565177521,Cattle manure,101.0,0.0,None,0.0,1.0,27.32884658064516,29.0,0.0,1.596639959668374,35.847717218932985,104.84902900000004,2.9850920987737233,1.1139123439788818,0.23735221831977946,21.771134641177635
Husk,6.575554696088183,None,Microbiological agent,54.0,0.0,Straw,3.911143853707965,Reactor,None,None,27.232870406634692,2.147162565177521,Cattle manure,31.0,0.0,Zeolite,0.0,1.0,27.32884658064516,20.0,0.0,1.596639959668374,43.48108910770328,108.023967,3.1637030866013225,1.0801677703857422,0.2114159521304148,26.91142906189241
None,8.0,None,Gypsum,53.0,0.0,None,3.2241785843441186,Trough,None,Continuous,19.07401660002316,2.147162565177521,Cattle manure,44.0,0.0,Forsterite,34.0,1.0,27.32884658064516,29.0,1.4981239609700894,1.596639959668374,30.454337094974875,107.39052900000004,6.603252511899901,0.9155445098876952,0.24748357400834955,26.576494895550017
None,7.0,None,Calcium magnesium phosphate fertilizer,67.0,0.0,Byproduct,7.306056385944115,Reactor,None,None,23.767914098211822,2.147162565177521,Cattle manure,38.0,0.0,Gypsum,0.0,1.0,27.32884658064516,31.0,0.0,1.596639959668374,37.94880140717029,107.85059650000004,3.4833234836073763,1.1192383766174316,0.2420502755388238,25.21406171739028
Woody peat,6.0,None,Inorganic acid,61.147077886983176,0.0,Green waste,9.458574631574193,Trough,None,None,16.787150729192078,2.147162565177521,Cattle manure,38.0,0.0,Urea,0.0,0.0,27.32884658064516,28.0,0.0,1.596639959668374,26.80303566320416,107.79133000000004,3.445056950725959,1.0743284225463867,0.14556983967461873,1000000.0
Husk,5.0,None,MgO,51.0,0.0,Green waste,3.936721032051139,Reactor,None,None,10.74290157344051,2.147162565177521,Cattle manure,47.0,0.0,MgHPO₄,0.0,1.0,27.32884658064516,29.0,0.0,1.596639959668374,17.152545934939372,108.72539800000004,3.6738302478426896,1.1200382709503174,0.1972163532383701,25.48992060001842
Byproduct,6.0,None,Organic acid,65.18373725696463,0.0,Poultry manure,6.466162389719408,Trough,None,None,25.1630407299648,2.147162565177521,Cattle manure,31.0,0.0,MgCl₂,0.0,1.0,27.32884658064516,29.0,0.0,1.596639959668374,40.176316336224644,110.18620100000004,3.1011398734000557,0.3931825757026672,0.2381493910660425,26.23714553494258
Plastic tube pieces,6.661329682660187,None,Inorganic acid,63.97796298208284,0.0,Byproduct,6.0006178501735095,Windrow,None,None,18.0,2.147162565177521,Cattle manure,29.0,0.0,Mature compost,0.0,1.0,27.32884658064516,28.0,0.0,1.596639959668374,28.739519274030727,108.69662300000006,3.14277298537902,1.095672369003296,0.21014340388040886,1000000.0
Straw,7.0,None,Zeolite,56.0,0.0,Straw,4.0769377749442635,Windrow,None,None,16.763608262724585,2.147162565177521,Cattle manure,75.0,0.0,Urea,0.0,0.0,27.32884658064516,31.0,0.0,1.596639959668374,26.765446820493,105.1272705,4.344848861835668,1.0379261970520022,0.14759863308005525,24.574501143004184
Soil,7.057811525388908,None,None,52.68864234351847,0.0,Poultry manure,3.0564238554409267,Windrow,None,None,38.63089301256567,2.147162565177521,Cattle manure,53.0,0.0,MgSO₄,0.0,1.0,27.32884658064516,30.0,0.0,1.596639959668374,61.67962746153613,106.6172885,3.278658030086814,1.0432446002960205,0.21336754380481415,26.56565386354267
Green Waste,6.0,None,DCD,58.0,0.0,Byproduct,3.7868684213570862,Windrow,None,Continuous,15.772168912166922,2.147162565177521,Cattle manure,40.0,0.0,MgCl₂,19.0,1.0,27.32884658064516,31.0,0.3524680097273567,1.596639959668374,25.182475135804978,108.38401400000002,6.673026206519567,0.9253490567207336,0.1954670162916812,28.275626332383197
Green Waste,6.966097831129643,None,Calcium magnesium phosphate fertilizer,62.0,0.0,Straw,5.442245543351982,Windrow,None,None,30.631982184458355,2.147162565177521,Cattle manure,32.0,0.0,Organic acid,0.0,0.0,27.32884658064516,20.0,0.0,1.596639959668374,48.90824679955594,107.589227,3.497003825256272,1.0962672233581543,0.20022408549264328,26.559882612281736
Soil,6.0,None,Mg(OH)₂,69.0,0.0,Green waste,7.212423687661662,Trough,None,None,29.0,2.147162565177521,Cattle manure,39.0,0.0,Mg(OH)₂,0.0,1.0,27.32884658064516,30.0,0.0,1.596639959668374,46.30255883038285,108.5183555,3.3571497587403267,1.0288882255554201,0.2576730215604875,1000000.0
Husk,6.0,None,Potassium phosphate,66.2523564776495,0.0,Mature compost,7.4317570221059075,Trough,None,Continuous,17.0,2.147162565177521,Cattle manure,40.0,0.0,Phosphogypsum,16.0,0.0,27.32884658064516,28.0,1.0961765589945225,1.596639959668374,27.14287931436236,106.77475600000004,6.64020032888955,0.8745450377464294,0.20270033486252828,1000000.0
Green waste,8.0,None,Ca-superphosphate,60.16182090209082,0.0,Byproduct,6.2023735172109475,Trough,None,Continuous,28.94204959966529,2.147162565177521,Cattle manure,42.0,0.0,Sand,41.0,0.0,27.32884658064516,30.0,0.2938439791926317,1.596639959668374,46.21003290552967,107.19208100000002,7.324407336597656,0.9140195846557616,0.22428977970016895,26.507500595253678
Plastic tube pieces,6.0,None,Mg(OH)₂,69.0,0.0,None,6.4079686250037575,Windrow,None,None,19.525085486134774,2.147162565177521,Cattle manure,46.0,0.0,MgO,0.0,1.0,27.32884658064516,31.0,0.0,1.596639959668374,31.174531703103785,109.82897350000003,3.14277298537902,1.0943846702575684,0.2267868435962349,24.520367172281308
Green Waste,6.0,None,Organic acid,67.22325931698775,0.0,Mature compost,3.610552282473608,Windrow,None,None,29.0,2.147162565177521,Cattle manure,36.0,0.0,Urea,0.0,0.0,27.32884658064516,26.0,0.0,1.596639959668374,46.30255883038285,109.491541,3.0179179764037385,1.0904498100280762,0.18983748548952398,1000000.0
Woody peat,7.01557739903559,None,Gypsum,60.52792236395252,0.0,Byproduct,2.006776852738872,Windrow,None,None,15.104492715129993,2.147162565177521,Cattle manure,31.0,0.0,Urea,0.0,0.0,27.32884658064516,22.0,0.0,1.596639959668374,24.116436639496406,107.12132199999999,4.045887907809297,1.0535762310028076,0.15988947489403496,29.38886880561959
Sawdust,5.818955117403461,None,Mg(OH)₂,57.0,0.0,Mature compost,3.6371581728641447,Windrow,None,None,39.40574266337829,2.147162565177521,Cattle manure,23.0,0.0,Urea,0.0,1.0,27.32884658064516,23.0,0.0,1.596639959668374,62.91678337675863,108.769762,2.7804266452531583,1.0803349018096924,0.19131431007143232,28.56168775601874
Plastic tube pieces,5.732223531573732,None,Zeolite,64.0,0.0,Straw,4.874675123972756,Windrow,None,None,12.760077628982222,2.147162565177521,Cattle manure,39.0,0.0,Sulfur,0.0,1.0,27.32884658064516,21.0,0.0,1.596639959668374,20.373249830903497,107.284909,3.4745598170354097,1.080674409866333,0.13926688699981507,24.81922334808012
Woody peat,5.271325255168554,None,Mg(OH)₂,52.0,0.0,Byproduct,3.1668867806507524,Reactor,None,None,25.0,2.147162565177521,Cattle manure,34.0,0.0,Zeolite,0.0,1.0,27.32884658064516,28.0,0.0,1.596639959668374,39.91599899170935,110.750588,3.3899756363703424,1.0372080802917478,0.24206362225059755,1000000.0
Straw,8.0,None,Calcium magnesium phosphate fertilizer,67.12604206384302,0.0,Byproduct,3.667676320234871,Reactor,None,None,22.11187869632859,2.147162565177521,Cattle manure,47.0,0.0,Zeolite,0.0,1.0,27.32884658064516,29.0,0.0,1.596639959668374,35.30470910989805,108.104945,3.8882070212039967,1.0560574531555176,0.24633201263448676,27.77960556798865
None,6.0,None,DCD,52.0,0.0,Straw,2.015740926754649,Reactor,None,None,19.206688460961878,2.147162565177521,Cattle manure,39.0,0.0,Urea,0.0,1.0,27.32884658064516,26.0,0.0,1.596639959668374,30.666166289673203,109.96808100000004,3.4745598170354097,1.0826139450073242,0.22650441135435814,26.288586773218952
Sawdust,6.0,None,DCD,66.37306897897035,0.0,None,4.598622505177682,Trough,None,Continuous,25.884062226213345,2.147162565177521,Cattle manure,42.0,0.0,Biochar,39.0,0.0,27.32884658064516,30.0,1.667075258098485,1.596639959668374,41.327528068914965,105.19545300000004,7.35488633078666,0.7194662094116211,0.2709896229678534,24.96255327264308
Soil,6.098296965704183,None,Potassium phosphate,56.88365994028264,0.0,Byproduct,2.1414580306610893,Windrow,None,None,27.0,2.147162565177521,Cattle manure,30.0,0.0,Sodium salt,0.0,1.0,27.32884658064516,20.0,0.0,1.596639959668374,43.109278911046104,106.42893599999998,3.3899756363703424,1.0322542190551758,0.23393518783962225,1000000.0
