Material_3,V1_Ventilation Type,V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),M1_is Enclosed,Period (d),Material_2,Additive_1,Additive_3, Composting Method,V3_Ventilation Duration (min),Compost volume (m3),Turning times,Initial Moisture Content (%),Initial GI (%),V2_Ventilation Interval (min),Additive_4,V4_Ventilation Day,Material_Main,Additive_2,Application Rate (%DW),Initial pH,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Straw,None,0,18.0,1.0,126.0,Plastic tube pieces,Gypsum,None,Windrow,0,0.05513157894736841,5.0,53.05079523339862,27.32884658064516,0,None,0,Food waste,Ca-superphosphate,5.0087085816200965,6.5459977502224165,1.938857678018576,34.89943820433437,94.25459300000004,7.966722699527029,1.4117896556854248,0.19218367674932613,1000000.0
Poultry manure,None,0,39.0,1.0,70.0,Byproduct,Sulfur,None,Trough,0,0.05513157894736841,6.0,55.832065428318536,27.32884658064516,0,None,0,Food waste,Inorganic acid,3.605173066085025,6.0,1.938857678018576,75.61544944272447,93.84387400000006,9.992847094296113,0.5960252285003662,0.20799955168967812,1000000.0
Mature compost,None,0,13.147880030668485,1.0,61.0,Green Waste,Inorganic acid,None,Reactor,0,0.05513157894736841,15.0,60.0,27.32884658064516,0,None,0,Food waste,MgO,8.653572829424462,5.0,1.938857678018576,25.491868147128702,94.643545,8.147214891873903,0.12020768970251085,0.13445452889901874,22.626167212607303
Poultry manure,None,0,39.46208501977353,1.0,100.0,Green Waste,Ca-superphosphate,None,Windrow,0,0.05513157894736841,2.0,57.0,27.32884658064516,0,None,0,Food waste,Gypsum,7.108161644509522,7.0,1.938857678018576,76.51136653120973,95.05960400000004,7.951158589900569,0.5419816970825195,0.1946916402267113,12.662172922163675
Green waste,None,0,37.527660119866745,1.0,133.0,Sawdust,Carbonatite,None,Reactor,0,0.05513157894736841,14.0,59.0,27.32884658064516,0,None,0,Food waste,Biochar,9.005272168791214,5.579523697033784,1.938857678018576,72.76079196147515,94.50481100000003,7.918332712270553,1.200524926185608,0.16694611536182574,18.483923340397325
Mature compost,None,0,31.07521632753758,1.0,93.0,Plastic tube pieces,Ca-superphosphate,None,Trough,0,0.05513157894736841,24.0,50.641002477127145,27.32884658064516,0,None,0,Food waste,Inorganic acid,9.80663238551842,6.0,1.938857678018576,60.25042177273445,95.101906,5.151403874306047,0.36597776412963867,0.16128490204310236,21.034136298047454
Straw,None,0,33.630361886737404,1.0,121.0,Straw,MgSO₄,None,Trough,0,0.05513157894736841,12.0,61.0,27.32884658064516,0,None,0,Food waste,DCD,3.0803492278172278,7.0,1.938857678018576,65.2044853586441,94.45532300000002,8.72336515505456,0.9404726028442384,0.2245947923867732,22.00955157761135
Green waste,None,0,16.424199778009633,1.0,105.0,Woody peat,Zeolite,None,Windrow,0,0.05513157894736841,23.0,65.0,27.32884658064516,0,None,0,Food waste,MgO,3.3428936734232617,6.0,1.938857678018576,31.844185844904967,92.988864,6.296651196739558,0.8350430727005005,0.1283053765282012,20.81864442350872
None,None,0,36.1915502180625,1.0,80.0,Plastic tube pieces,Gypsum,None,Reactor,0,0.05513157894736841,9.0,54.06230769298355,27.32884658064516,0,None,0,Food waste,Calcium magnesium phosphate fertilizer,5.598812661025921,7.0,1.938857678018576,70.17026501968536,93.60293400000006,7.918332712270553,1.1564719676971436,0.19170998741502607,19.581471882713643
Poultry manure,None,0,39.76039838185713,1.0,132.0,Husk,MgCl₂,None,Reactor,0,0.05513157894736841,14.0,60.0,27.32884658064516,0,None,0,Food waste,Biochar,6.816885235218318,5.0,1.938857678018576,77.08975368374107,94.23516400000004,8.068368222855923,1.0939959287643433,0.21172965145679132,1000000.0
