V5_Ventilation rate (L/min/kg iniDW),Additive_4,Initial C/N (%),Compost volume (m3),Additive_1,Material_2,Additive_2,Initial pH,Application Rate (%DW),V2_Ventilation Interval (min),Initial GI (%),V4_Ventilation Day,M1_is Enclosed,V3_Ventilation Duration (min), Composting Method,Initial Moisture Content (%),Turning times,Material_3,Additive_3,Period (d),V1_Ventilation Type,Material_Main,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
0.0,None,17.114659349064453,0.08,Forsterite,Byproduct,Inorganic acid,6.011994619800457,4.037415008415959,0,27.32884658064516,0.0,0.0,0,Windrow,65.0,10.0,None,None,69.0,None,Goat manure,0.875,14.975326930431399,102.64605299999997,7.896234669444626,0.2562926411628723,0.14583898004841067,18.289158140998193
0.0,None,37.49533007185735,0.08,Urea,Sawdust,None,5.0,8.163379065930094,0,27.32884658064516,0.0,0.0,0,Trough,64.33634262401745,26.0,None,None,84.0,None,Goat manure,0.875,32.80841381287518,102.86852899999998,8.93578876411219,0.3248925507068634,0.14304985900541609,19.49484400498975
1.2518660429261201,None,21.85675607376022,0.08,Calcium magnesium phosphate fertilizer,Green Waste,Ca-superphosphate,5.0,2.6392132140284867,0,27.32884658064516,19.0,0.0,0,Trough,53.0,27.0,None,None,36.0,Continuous,Goat manure,0.875,19.124661564540194,103.32224399999994,7.240227297829763,0.3486986458301544,0.2148597245842868,26.923541032361218
1.309695352494865,None,30.22237760086173,0.08,Sand,Byproduct,Zeolite,7.0,6.539302410080642,0,27.32884658064516,81.0,0.0,0,Windrow,54.0,31.0,Green waste,None,93.0,Continuous,Goat manure,0.875,26.444580400754017,103.37185899999994,10.122104023939658,0.3882533609867096,0.1808234721699274,25.145804480168362
1.9934209335608228,None,36.83825334463871,0.08,Forsterite,Straw,None,6.0,5.998093744605033,0,27.32884658064516,22.0,0.0,0,Windrow,69.36110301881214,31.0,None,None,39.0,Continuous,Goat manure,0.875,32.233471676558864,103.74880499999998,8.286887479549428,0.553727388381958,0.1865444097356556,27.22288005558579
0.0,None,36.45074606991019,0.08,K₂SO₄,Byproduct,DCD,6.0,3.48018989703414,0,27.32884658064516,0.0,0.0,0,Windrow,56.68488931062513,15.0,Mature compost,None,38.0,None,Goat manure,0.875,31.894402811171414,104.28201699999997,6.952413324779317,0.2562454342842102,0.16507940887764935,22.07741924098988
0.0,None,38.0,0.08,Forsterite,Byproduct,Gypsum,7.0,3.337477213787734,0,27.32884658064516,0.0,1.0,0,Trough,64.0,27.0,Mature compost,None,90.0,None,Goat manure,0.875,33.25,103.516035,8.84826032163788,0.3010028600692749,0.1982907171373021,1000000.0
0.8547187617960852,None,36.110411192472704,0.08,Zeolite,Woody peat,DCD,7.0,2.47929183590004,0,27.32884658064516,35.0,0.0,0,Trough,64.0,14.0,Mature compost,None,90.0,Continuous,Goat manure,0.875,31.596609793413617,103.35597999999996,9.094058070371254,0.2901006042957306,0.20419833971385534,25.77169385668471
0.0,None,39.14110065672142,0.08,Ferric salt,None,None,5.275632704788066,4.154731909834815,0,27.32884658064516,0.0,1.0,0,Windrow,55.66464234272647,26.0,Mature compost,None,35.0,None,Goat manure,0.875,34.24846307463125,103.33107599999998,6.757937625768416,0.3371332883834839,0.17225884423382656,23.246416122941547
0.0,None,34.11595206953529,0.08,Sodium salt,Byproduct,Zeolite,7.505366393593893,6.28523675503667,0,27.32884658064516,0.0,0.0,0,Trough,60.0,29.0,None,None,32.0,None,Goat manure,0.875,29.851458060843377,104.58761599999997,6.757937625768416,0.32773080468177795,0.16568796129810587,22.71933523223203
