Material_3,Initial pH, Composting Method,V3_Ventilation Duration (min),Additive_2,M1_is Enclosed,Additive_1,V2_Ventilation Interval (min),Compost volume (m3),Initial GI (%),Material_Main,Initial C/N (%),V4_Ventilation Day,V1_Ventilation Type,Turning times,V5_Ventilation rate (L/min/kg iniDW),Additive_3,Period (d),Application Rate (%DW),Material_2,Initial Moisture Content (%),Additive_4,Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
Green waste,5.0,Reactor,16.810637566290723,Inorganic acid,1.0,Sulfur,715,0.15181,27.32884658064516,OFMSW,25.160222031676764,54.0,Intermittent ,23.0,1.3623993680572717,None,55.0,8.483014304551192,Green waste,58.0,None,1.411,35.501073286695906,109.24768200000004,8.661697793727408,0.7244995236396791,0.15361629938453006,27.22108481795305
Mature compost,5.4134299408706035,Trough,0.0,None,1.0,None,0,0.15181,27.32884658064516,OFMSW,31.299435153894773,14.0,Continuous,23.0,0.6312897837711657,None,24.0,9.621367020135914,Husk,65.00699594426837,None,1.411,44.16350300214553,110.74719000000003,8.1169020387851,0.4924915730953217,0.2293051533982601,27.543082431910786
Mature compost,5.973165372804813,Trough,0.0,Inorganic acid,1.0,Forsterite,0,0.15181,27.32884658064516,OFMSW,39.315241141490525,81.0,Continuous,14.0,1.8790050320819875,None,113.0,9.826415583392711,Byproduct,54.214694115787566,None,1.411,55.47380525064313,110.88137000000006,9.03124199535102,0.8256675601005554,0.1959938241207208,23.98131649340268
Mature compost,6.0,Trough,0.0,Organic acid,1.0,Lignite,0,0.15181,27.32884658064516,OFMSW,12.653295188089665,36.0,Continuous,28.0,1.444231868843095,None,91.0,8.47766768358415,Green waste,61.0,None,1.411,17.853799510394516,111.11414000000003,7.5245611295539065,0.5962809324264526,0.16871756073990307,25.29669500860695
None,6.0,Windrow,0.0,MgSO₄,0.0,Lignite,0,0.15181,27.32884658064516,OFMSW,39.0,48.0,Continuous,20.0,0.21297647795872865,None,55.0,9.911561704662656,Husk,67.49757525441879,None,1.411,55.028999999999996,110.53010000000006,9.102756476145913,0.3596261739730835,0.1664001184095238,1000000.0
Poultry manure,6.0,Windrow,0.0,Mg(OH)₂,1.0,Sulfur,0,0.15181,27.32884658064516,OFMSW,22.144202930599928,35.0,Continuous,9.0,1.763561309360928,None,92.0,3.987886882629844,Green waste,52.92459310228135,None,1.411,31.245470335076494,109.93129500000003,9.34286474631349,0.5533461570739746,0.19938533483834625,25.1505379219812
Poultry manure,5.191172429496504,Reactor,0.0,Inorganic acid,1.0,LB Culture,0,0.15181,27.32884658064516,OFMSW,17.762577683091155,43.0,Continuous,22.0,1.9993004840219213,None,105.0,8.131367709866003,Green Waste,60.0,None,1.411,25.06299711084162,110.34863000000004,8.944953487517475,0.8516210317611694,0.1971009854090812,26.081393908073824
None,6.0,Reactor,0.0,Potassium phosphate,1.0,Gypsum,0,0.15181,27.32884658064516,OFMSW,31.981695170081306,19.0,Continuous,16.0,0.9757484777767124,None,27.0,5.077528291587684,Byproduct,67.93726501853939,None,1.411,45.12617188498472,109.93104100000005,8.904796106513553,0.8365486860275269,0.2344979699208111,1000000.0
Green waste,5.373344490481927,Trough,0.0,DCD,0.0,MgCl₂,0,0.15181,27.32884658064516,OFMSW,10.123202109618225,8.0,Continuous,20.0,0.7620912343553283,None,21.0,9.541091195215758,Green Waste,55.18366207418024,None,1.411,14.283838176671312,110.48419000000004,7.447468450184018,0.7699102759361267,0.17075809280928225,28.793034933903837
Poultry manure,6.527793172988738,Trough,0.0,Gypsum,1.0,Mg(OH)₂,0,0.15181,27.32884658064516,OFMSW,37.0,55.0,Continuous,19.0,1.7833067479720233,None,96.0,8.896597776636225,Husk,52.380163760873614,None,1.411,52.207,110.87823300000004,9.371386538361936,0.5676116943359375,0.20095540463130748,1000000.0
Green waste,6.588998455208148,Reactor,0.0,Potassium phosphate,1.0,Sodium salt,0,0.15181,27.32884658064516,OFMSW,25.57692698367867,78.0,Continuous,15.0,0.6876405712952982,None,90.0,9.165675406306477,Byproduct,58.0,None,1.411,36.08904397397061,110.82887500000004,8.680999960944037,0.6998208165168762,0.1812679051235044,26.541441958610807
Poultry manure,6.0,Windrow,0.0,Zeolite,0.0,Carbonatite,0,0.15181,27.32884658064516,OFMSW,35.0,21.0,Continuous,15.0,0.7453087390439592,None,32.0,7.7429835226207455,Husk,65.2643472552279,None,1.411,49.385,110.30122000000004,8.934099179969408,0.5125600099563599,0.1837452200822825,1000000.0
None,5.0,Windrow,0.0,Organic acid,1.0,Ca-superphosphate,0,0.15181,27.32884658064516,OFMSW,32.2545985650393,83.0,Continuous,11.0,0.7662949523496071,None,130.0,9.817208110662351,Green waste,50.638032920932744,None,1.411,45.511238575270454,110.84082000000005,7.3749502633270545,0.4583468735218048,0.16197992537815628,25.287123969937355
Mature compost,6.0,Trough,0.0,Zeolite,1.0,Urea,0,0.15181,27.32884658064516,OFMSW,25.216438459699262,47.0,Continuous,21.0,0.1952792080769974,None,73.0,7.346542299347424,Plastic tube pieces,66.00005252486898,None,1.411,35.58039466663565,110.42203300000004,9.102756476145913,0.3704928159713745,0.19448029871441191,23.074900696610907
None,6.0,Trough,0.0,Potassium phosphate,1.0,Ca-superphosphate,0,0.15181,27.32884658064516,OFMSW,18.0,67.0,Continuous,2.0,1.131237953732533,None,97.0,9.99848203305862,Green waste,55.153450125690604,None,1.411,14.11,110.88137000000006,8.099451628768886,0.5224836468696594,0.1590607207227926,1000000.0
Mature compost,6.0,Reactor,0.0,None,1.0,MgO,0,0.15181,27.32884658064516,OFMSW,13.832566241679745,73.0,Continuous,1.0,0.43656425160310697,None,84.0,9.564018631881932,Green Waste,60.0,None,1.411,19.517750967010127,110.88673000000006,9.356855461715957,0.6960692405700684,0.1593861091931696,22.65227331540011
None,6.564742005004616,Reactor,0.0,None,1.0,Microbiological agent,0,0.15181,27.32884658064516,OFMSW,38.95142579359643,29.0,Continuous,1.0,1.5491951890893896,None,50.0,5.035866097835976,None,61.0,None,1.411,54.96046179476457,110.03214600000004,10.101495819895355,0.5495616197586061,0.2594347133651193,17.824782388887304
Poultry manure,6.0,Reactor,0.0,Calcium magnesium phosphate fertilizer,1.0,MgSO₄,0,0.15181,27.328846580645166,OFMSW,30.121505988131446,16.0,Continuous,11.0,0.6542891136103735,None,24.0,5.510405494237342,Plastic tube pieces,59.570861300537004,None,1.411,42.501444949253475,110.54361400000003,9.167004256558744,0.4637459516525269,0.25493019743482875,29.296692505207602
None,6.0,Trough,0.0,Calcium magnesium phosphate fertilizer,1.0,MgCl₂,0,0.15181,27.32884658064516,OFMSW,14.0,34.0,Continuous,28.0,0.5858441434539363,None,36.0,5.6046600603573795,Byproduct,68.58022180029283,None,1.411,19.754,110.32813100000004,7.6839070940024365,0.7689067721366882,0.19036931776759855,1000000.0
Mature compost,6.03994384824279,Windrow,0.0,Inorganic acid,1.0,Ferric salt,0,0.15181,27.32884658064516,OFMSW,28.26276563943593,23.0,Continuous,29.0,0.011221709842392348,None,38.0,5.306650434860726,Plastic tube pieces,53.191873730868714,None,1.411,39.878762317244096,110.55639400000004,8.166507763892922,0.41865721344947815,0.19602552405486684,24.669953617256766
Poultry manure,5.0,Trough,0.0,Mg(OH)₂,0.0,Potassium phosphate,0,0.15181,27.32884658064516,OFMSW,11.761186753501173,20.0,Continuous,8.0,0.3654593838701139,None,33.0,8.86860103775036,Husk,61.97252262240156,None,1.411,16.595034509190153,110.86157000000004,8.216698773819001,0.4620829224586487,0.16840998361664847,27.23707043064997
