Turning times,V1_Ventilation Type,Period (d),V3_Ventilation Duration (min),Material_2,Compost volume (m3),Initial Moisture Content (%),Additive_3,Material_3, Composting Method,Initial GI (%),Additive_4,Material_Main,V5_Ventilation rate (L/min/kg iniDW),V2_Ventilation Interval (min),Initial C/N (%),Additive_1,Initial pH,Additive_2,V4_Ventilation Day,M1_is Enclosed,Application Rate (%DW),Initial TN (%),Initial TC (%),Final GI (%),NH3-N loss (%),N2O-N loss (%),CH4-C loss (%),CO2-C loss (%)
7.0,None,128.0,0,Woody peat,0.6277154746460176,51.0,None,None,Reactor,27.328846580645166,None,Swine manure,0.0,0,20.535524482678404,MgO,8.0,None,0.0,1.0,6.080700084387893,2.0952942734506244,43.027966850861155,106.08004300000002,8.123568617030536,1.2132141590118408,0.19058330220237726,22.695239052257826
13.0,Continuous,48.0,0,Green waste,0.6277154746460176,64.0,None,Mature compost,Reactor,27.32884658064516,None,Swine manure,0.10028909025028908,0,22.186436365005346,Sand,5.215826010469385,DCD,30.0,1.0,7.666407745669093,2.0952942734506244,46.48711306387239,105.06515299999997,4.94094326854178,0.6298543214797974,0.19851107738241694,26.905746556002857
13.0,None,28.0,0,Green waste,0.6277154746460176,69.0,None,None,Trough,27.32884658064516,None,Swine manure,0.0,0,13.230113880904053,Potassium phosphate,5.0,None,0.0,1.0,9.88362047640689,2.0952942734506244,27.72098185175788,105.43951100000001,8.123568617030536,1.1565260887145996,0.21275074722720533,27.225334135300425
17.0,None,47.0,0,Woody peat,0.6277154746460176,60.0,None,Green waste,Windrow,27.32884658064516,None,Swine manure,0.0,0,21.52740266586313,Sulfur,5.1126479407555845,None,0.0,1.0,9.189291429186063,2.0952942734506244,45.106243528048715,107.05038300000004,8.123568617030536,1.1655399799346924,0.18421638525575024,29.492573501833785
8.0,None,75.0,0,Green Waste,0.6277154746460176,69.48619743463583,None,Mature compost,Trough,27.32884658064516,None,Swine manure,0.0,0,17.423180177938875,Sodium phosphates,5.0,MgSO₄,0.0,1.0,6.383395293347067,2.0952942734506244,36.50668965213376,107.13748600000002,8.123568617030536,1.2167304754257202,0.22062365132425504,23.31193453639851
24.0,None,36.0,0,Soil,0.6277154746460176,65.02738878078773,None,Byproduct,Trough,27.32884658064516,None,Swine manure,0.0,0,22.0,MgCl₂,5.0,DCD,0.0,0.0,9.875282988641867,2.0952942734506244,46.09647401591374,106.520746,8.123568617030536,1.1934376955032349,0.17985778816985054,1000000.0
1.0,None,95.0,0,None,0.6277154746460176,65.0,None,Byproduct,Windrow,27.32884658064516,None,Swine manure,0.0,0,17.599574169794657,Sodium phosphates,8.0,MgSO₄,0.0,0.0,9.874170532619194,2.0952942734506244,36.876286973140274,107.70623700000002,8.221346339753,0.26365363597869873,0.17855166196028874,15.035748506370366
3.0,None,66.0,0,Plastic tube pieces,0.6277154746460176,67.21325456390296,None,Mature compost,Reactor,27.32884658064516,None,Swine manure,0.0,0,26.421361743763534,LB Culture,8.0,None,0.0,1.0,4.655265704403409,2.0952942734506244,55.36052795847511,105.99090600000001,8.405572758515747,1.1463379859924316,0.2421940117757,16.637283747594527
24.0,None,118.0,0,None,0.6277154746460176,65.26942988359369,None,None,Reactor,27.32884658064516,None,Swine manure,0.0,0,28.26986118046783,Sand,7.0,Microbiological agent,0.0,1.0,4.491452807193243,2.0952942734506244,59.233678242678344,104.82627900000006,8.123568617030536,1.1565260887145996,0.22080520002423965,22.438905373903538
25.0,None,85.0,0,Sawdust,0.6277154746460176,53.0,None,Byproduct,Trough,27.32884658064516,None,Swine manure,0.0,0,23.471799741854092,Lime,7.0,MgSO₄,0.0,1.0,7.509481677165822,2.0952942734506244,49.180327586686715,104.70654300000004,8.123568617030536,1.114025354385376,0.2397574869921379,23.31863050468378
