Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NH3-N (g_kg)
1,1,1,0,7,26.0,26.0,0,0.0,0,2,0.0,0.05,65.0,34,0.57,11,15.0,3.02
1,1,1,0,7,26.0,26.0,0,0.0,0,2,3.8,0.05,65.0,24,0.57,2,15.0,10.8
1,1,1,0,7,26.0,26.0,0,0.0,0,2,7.3,0.05,65.0,24,0.57,2,15.0,11.9
1,1,1,0,7,26.0,26.0,0,0.0,0,2,8.9,0.05,65.0,24,0.57,2,15.0,13.26
1,13,1,0,0,42.08,23.1,0,3.77,0,2,4.81,1.42,64.26,34,0.79,11,20.46,0.07
1,13,1,0,0,14.0,14.0,0,0.0,0,2,6.0,0.0,61.4,14,0.1,11,44.55,0.02
1,13,1,0,0,42.08,23.1,0,3.77,0,2,4.81,1.42,64.26,14,0.79,11,20.46,0.04
1,13,1,0,0,14.0,14.0,0,0.0,0,2,23.0,0.0,56.9,14,0.1,11,40.99,0.03
1,22,1,0,7,45.0,45.0,1,30.0,11,7,0.0,0.09,65.0,34,7.56,11,12.94,0.15
1,22,1,0,7,45.0,45.0,1,30.0,11,7,16.88,0.09,65.0,2,7.06,11,11.15,0.59
1,22,1,0,7,45.0,45.0,1,30.0,11,7,15.47,0.09,65.0,4,6.66,11,10.96,0.46
1,22,1,0,7,45.0,45.0,1,30.0,11,7,15.47,0.09,65.0,44,7.34,11,9.84,2.61
1,22,1,0,7,45.0,35.0,1,30.0,11,6,0.0,0.09,65.0,34,2.6,11,12.96,0.14
1,22,1,0,7,45.0,35.0,1,30.0,11,6,0.65,0.09,65.0,20,2.6,11,11.73,0.7
1,22,1,0,7,45.0,35.0,1,30.0,11,6,0.65,0.09,65.0,30,2.6,11,14.05,0.32
1,22,1,0,7,45.0,35.0,1,30.0,11,6,0.65,0.09,65.0,30,2.6,11,12.02,0.27
1,22,1,0,7,45.0,35.0,1,30.0,11,6,1.95,0.09,65.0,30,2.6,11,12.56,0.4
3,18,0,1,4,60.0,0.0,2,0.0,0,5,0.0,0.22,64.99,34,0.0,11,15.04,0.0
3,18,0,1,4,60.0,0.0,2,0.0,0,5,10.0,0.22,62.76,5,0.0,11,13.04,0.0
3,18,0,1,4,60.0,0.0,2,0.0,0,5,10.0,0.22,60.65,5,0.0,11,14.48,0.0
3,18,0,1,4,60.0,0.0,2,0.0,0,7,0.0,0.17,60.0,34,0.0,11,12.36,0.5
3,18,0,1,4,60.0,0.0,2,0.0,0,7,10.0,0.17,59.0,5,0.0,11,13.3,0.55
3,18,0,1,4,60.0,0.0,2,0.0,0,7,10.0,0.17,58.0,5,0.0,11,11.44,0.45
0,13,1,0,2,56.0,0.0,1,0.0,0,0,0.0,0.02,55.0,34,0.35,11,32.02,1.28
0,13,1,0,2,56.0,0.0,1,0.0,0,0,1.94,0.02,55.0,26,0.35,5,30.4,0.62
0,13,1,0,2,56.0,0.0,1,0.0,0,0,6.94,0.02,55.0,26,0.35,5,34.04,0.17
0,13,1,0,2,56.0,0.0,1,0.0,0,0,16.94,0.02,55.0,26,0.0,5,29.04,0.11
1,1,1,0,2,35.0,35.0,0,0.0,0,5,0.0,0.06,60.0,34,0.2,11,22.1,0.12
1,1,1,0,2,35.0,35.0,0,0.0,0,5,10.0,0.06,60.0,36,0.2,11,18.2,0.37
1,1,1,0,2,35.0,35.0,0,0.0,0,5,10.0,0.06,60.0,44,0.2,11,19.1,0.25
1,1,1,0,7,28.0,28.0,0,0.0,0,3,0.0,0.06,52.2,34,0.25,11,24.8,0.54
1,1,1,0,7,28.0,28.0,0,0.0,0,3,3.73,0.06,52.2,24,0.25,2,24.8,1.09
1,1,1,0,7,28.0,28.0,0,0.0,0,3,3.78,0.06,52.2,24,0.25,2,24.8,1.17
0,13,1,0,7,60.0,0.0,0,0.0,0,0,0.0,0.1,58.0,34,0.0,11,33.0,0.04
0,13,1,0,7,60.0,0.0,0,0.0,0,0,2.5,0.1,58.0,23,0.0,11,34.36,0.03
0,13,1,0,7,60.0,0.0,0,0.0,0,0,5.0,0.1,58.0,23,0.0,11,34.71,0.04
0,13,1,0,7,60.0,0.0,0,0.0,0,0,7.5,0.1,58.0,23,0.0,11,33.91,0.06
0,13,1,0,7,60.0,0.0,0,0.0,0,0,10.0,0.1,58.0,23,0.0,11,35.05,0.02
1,1,1,0,7,39.0,39.0,0,0.0,0,5,0.0,0.06,68.83,34,0.37,11,20.75,2.1
1,1,1,0,7,39.0,39.0,0,0.0,0,5,2.16,0.06,67.24,16,0.41,11,20.75,9.45
1,1,1,0,7,39.0,39.0,0,0.0,0,5,2.16,0.06,67.24,6,0.41,8,20.75,9.21
3,1,0,2,4,46.0,0.0,2,0.0,0,2,0.0,1.0,60.0,34,0.0,11,12.0,2.88
3,1,0,2,4,46.0,0.0,2,0.0,0,2,25.0,1.0,60.0,49,0.0,11,20.61,3.77
0,22,1,1,4,36.0,36.0,0,0.0,0,0,9.49,0.1,60.0,11,1.4,11,14.17,14.1
0,22,1,1,4,36.0,36.0,0,0.0,0,0,5.2,0.09,60.0,44,0.52,11,14.17,7.95
0,22,1,1,4,36.0,36.0,0,0.0,0,0,8.26,0.1,60.0,44,0.76,11,14.17,10.08
0,22,1,1,4,36.0,36.0,0,0.0,0,0,9.99,0.1,60.0,44,1.4,11,14.17,8.61
0,22,1,1,4,36.0,36.0,0,0.0,0,0,15.17,0.07,60.0,44,1.6,11,14.17,10.66
0,22,1,1,4,36.0,36.0,0,0.0,0,0,5.8,0.09,60.0,11,0.52,13,14.17,8.28
0,22,1,1,4,36.0,36.0,0,0.0,0,0,10.8,0.1,60.0,11,1.4,13,14.17,9.26
0,22,1,1,4,36.0,36.0,0,0.0,0,0,19.66,0.09,60.0,11,1.37,13,14.17,13.36
0,13,1,0,7,26.0,26.0,0,0.0,0,0,0.0,0.02,61.8,34,0.91,11,16.5,2.09
0,13,1,0,7,26.0,26.0,0,0.0,0,0,0.56,0.02,61.8,25,0.91,11,21.72,3.29
