Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final NO2-N (g_kg)
1,1,1,0,6,26.0,26.0,0,0.0,0,2,0.0,0.05,65.0,27,0.57,7,15.0,0.44
1,1,1,0,6,26.0,26.0,0,0.0,0,2,3.8,0.05,65.0,19,0.57,1,15.0,0.09
1,1,1,0,6,26.0,26.0,0,0.0,0,2,7.3,0.05,65.0,19,0.57,1,15.0,0.03
1,1,1,0,6,26.0,26.0,0,0.0,0,2,8.9,0.05,65.0,19,0.57,1,15.0,0.06
1,11,1,0,0,42.08,23.1,0,3.77,0,2,4.81,1.42,64.26,27,0.79,7,20.46,0.02
1,11,1,0,0,14.0,14.0,0,0.0,0,2,6.0,0.0,61.4,13,0.1,7,44.55,0.01
1,11,1,0,0,42.08,23.1,0,3.77,0,2,4.81,1.42,64.26,13,0.79,7,20.46,0.02
1,11,1,0,0,14.0,14.0,0,0.0,0,2,23.0,0.0,56.9,13,0.1,7,40.99,0.01
1,19,1,0,6,45.0,45.0,1,30.0,10,7,0.0,0.09,65.0,27,7.56,7,12.94,0.05
1,19,1,0,6,45.0,45.0,1,30.0,10,7,16.88,0.09,65.0,2,7.06,7,11.15,0.08
1,19,1,0,6,45.0,45.0,1,30.0,10,7,15.47,0.09,65.0,4,6.66,7,10.96,0.03
1,19,1,0,6,45.0,45.0,1,30.0,10,7,15.47,0.09,65.0,36,7.34,7,9.84,0.04
1,19,1,0,6,45.0,35.0,1,30.0,10,6,0.0,0.09,65.0,27,2.6,7,12.96,0.02
1,19,1,0,6,45.0,35.0,1,30.0,10,6,0.65,0.09,65.0,17,2.6,7,11.73,0.03
1,19,1,0,6,45.0,35.0,1,30.0,10,6,0.65,0.09,65.0,24,2.6,7,14.05,0.03
1,19,1,0,6,45.0,35.0,1,30.0,10,6,0.65,0.09,65.0,24,2.6,7,12.02,0.04
1,19,1,0,6,45.0,35.0,1,30.0,10,6,1.95,0.09,65.0,24,2.6,7,12.56,0.04
3,16,0,1,3,60.0,0.0,2,0.0,0,5,0.0,0.22,64.99,27,0.0,7,15.04,0.02
3,16,0,1,3,60.0,0.0,2,0.0,0,5,10.0,0.22,62.76,5,0.0,7,13.04,0.04
3,16,0,1,3,60.0,0.0,2,0.0,0,5,10.0,0.22,60.65,5,0.0,7,14.48,0.03
3,16,0,1,3,60.0,0.0,2,0.0,0,7,0.0,0.17,60.0,27,0.0,7,12.36,0.0
3,16,0,1,3,60.0,0.0,2,0.0,0,7,10.0,0.17,59.0,5,0.0,7,13.3,0.0
3,16,0,1,3,60.0,0.0,2,0.0,0,7,10.0,0.17,58.0,5,0.0,7,11.44,0.0
1,1,1,0,1,35.0,35.0,0,0.0,0,5,0.0,0.06,60.0,27,0.2,7,22.1,0.56
1,1,1,0,1,35.0,35.0,0,0.0,0,5,10.0,0.06,60.0,29,0.2,7,18.2,0.63
1,1,1,0,1,35.0,35.0,0,0.0,0,5,10.0,0.06,60.0,36,0.2,7,19.1,0.6
1,1,1,0,6,28.0,28.0,0,0.0,0,3,0.0,0.06,52.2,27,0.25,7,24.8,0.46
1,1,1,0,6,28.0,28.0,0,0.0,0,3,3.73,0.06,52.2,19,0.25,1,24.8,0.5
1,1,1,0,6,28.0,28.0,0,0.0,0,3,3.78,0.06,52.2,19,0.25,1,24.8,0.34
0,11,1,0,6,60.0,0.0,0,0.0,0,0,0.0,0.1,58.0,27,0.0,7,33.0,0.69
0,11,1,0,6,60.0,0.0,0,0.0,0,0,2.5,0.1,58.0,18,0.0,7,34.36,1.01
0,11,1,0,6,60.0,0.0,0,0.0,0,0,5.0,0.1,58.0,18,0.0,7,34.71,1.02
0,11,1,0,6,60.0,0.0,0,0.0,0,0,7.5,0.1,58.0,18,0.0,7,33.91,0.9
0,11,1,0,6,60.0,0.0,0,0.0,0,0,10.0,0.1,58.0,18,0.0,7,35.05,0.91
1,1,1,0,6,39.0,39.0,0,0.0,0,5,0.0,0.06,68.83,27,0.37,7,20.75,0.27
1,1,1,0,6,39.0,39.0,0,0.0,0,5,2.16,0.06,67.24,19,0.41,1,20.75,0.19
1,1,1,0,6,39.0,39.0,0,0.0,0,5,2.16,0.06,67.24,15,0.41,7,20.75,0.23
1,1,1,0,6,39.0,39.0,0,0.0,0,5,2.16,0.06,67.24,16,0.41,4,20.75,0.21
1,1,1,0,6,39.0,39.0,0,0.0,0,5,2.16,0.06,67.24,6,0.41,4,20.75,0.19
0,19,1,1,3,36.0,36.0,0,0.0,0,0,0.0,0.09,60.0,27,0.52,7,14.17,0.5
0,19,1,1,3,36.0,36.0,0,0.0,0,0,5.15,0.09,60.0,10,0.52,7,14.17,0.31
0,19,1,1,3,36.0,36.0,0,0.0,0,0,9.49,0.1,60.0,10,1.4,7,14.17,0.31
0,19,1,1,3,36.0,36.0,0,0.0,0,0,12.1,0.08,60.0,10,1.64,7,14.17,0.4
0,19,1,1,3,36.0,36.0,0,0.0,0,0,17.63,0.07,60.0,10,1.37,7,14.17,0.46
0,19,1,1,3,36.0,36.0,0,0.0,0,0,5.2,0.09,60.0,36,0.52,7,14.17,0.69
0,19,1,1,3,36.0,36.0,0,0.0,0,0,8.26,0.1,60.0,36,0.76,7,14.17,0.63
0,19,1,1,3,36.0,36.0,0,0.0,0,0,9.99,0.1,60.0,36,1.4,7,14.17,0.6
0,19,1,1,3,36.0,36.0,0,0.0,0,0,15.17,0.07,60.0,36,1.6,7,14.17,0.34
0,19,1,1,3,36.0,36.0,0,0.0,0,0,5.8,0.09,60.0,10,0.52,9,14.17,0.3
0,19,1,1,3,36.0,36.0,0,0.0,0,0,10.8,0.1,60.0,10,1.4,9,14.17,0.36
0,19,1,1,3,36.0,36.0,0,0.0,0,0,15.94,0.07,60.0,10,1.37,9,14.17,0.34
1,1,1,0,6,35.0,35.0,0,0.0,0,4,0.0,0.06,70.4,27,0.38,7,20.3,0.05
1,1,1,0,6,35.0,35.0,0,0.0,0,4,4.56,0.06,65.46,19,0.38,1,20.24,0.04
1,1,1,0,6,35.0,35.0,0,0.0,0,4,6.48,0.06,64.96,19,0.38,9,19.09,0.07
