Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final TC (%)
1,1,1,0,7,26.0,26.0,0,0.0,0,2,0.0,0.05,65.0,20,0.57,10,15.0,30.59
1,1,1,0,7,26.0,26.0,0,0.0,0,2,3.8,0.05,65.0,16,0.57,4,15.0,29.85
1,1,1,0,7,26.0,26.0,0,0.0,0,2,7.3,0.05,65.0,16,0.57,4,15.0,29.48
1,1,1,0,7,26.0,26.0,0,0.0,0,2,8.9,0.05,65.0,16,0.57,4,15.0,32.03
1,12,1,0,0,42.08,23.1,0,3.77,0,2,4.81,1.42,64.26,11,0.79,10,20.46,40.0
1,12,1,0,0,14.0,14.0,0,0.0,0,2,23.0,0.0,56.9,11,0.1,10,40.99,34.2
1,19,1,0,7,45.0,45.0,1,30.0,7,6,0.0,0.09,65.0,20,7.56,10,12.94,25.91
1,19,1,0,7,45.0,45.0,1,30.0,7,6,16.88,0.09,65.0,0,7.06,10,11.15,26.46
1,19,1,0,7,45.0,45.0,1,30.0,7,6,15.47,0.09,65.0,2,6.66,10,10.96,18.71
1,19,1,0,7,45.0,45.0,1,30.0,7,6,15.47,0.09,65.0,25,7.34,10,9.84,24.29
1,19,1,0,7,45.0,35.0,1,30.0,7,5,0.0,0.09,65.0,20,2.6,10,12.96,25.9
1,19,1,0,7,45.0,35.0,1,30.0,7,5,0.65,0.09,65.0,14,2.6,10,11.73,24.14
1,19,1,0,7,45.0,35.0,1,30.0,7,5,0.65,0.09,65.0,19,2.6,10,14.05,24.42
1,19,1,0,7,45.0,35.0,1,30.0,7,5,0.65,0.09,65.0,19,2.6,10,12.02,26.0
1,19,1,0,7,45.0,35.0,1,30.0,7,5,1.95,0.09,65.0,19,2.6,10,12.56,24.94
1,7,1,0,5,42.0,42.0,1,0.5,2,5,0.0,0.06,60.0,20,0.03,10,10.39,29.64
1,7,1,0,5,42.0,42.0,1,0.5,2,5,5.0,0.06,60.0,3,0.03,10,10.73,34.97
3,18,0,1,5,60.0,0.0,2,0.0,0,4,0.0,0.22,64.99,20,0.0,10,15.04,33.2
3,18,0,1,5,60.0,0.0,2,0.0,0,4,10.0,0.22,62.76,3,0.0,10,13.04,37.74
3,18,0,1,5,60.0,0.0,2,0.0,0,4,10.0,0.22,60.65,3,0.0,10,14.48,34.51
3,18,0,1,5,60.0,0.0,2,0.0,0,6,0.0,0.17,60.0,20,0.0,10,12.36,34.84
3,18,0,1,5,60.0,0.0,2,0.0,0,6,10.0,0.17,59.0,3,0.0,10,13.3,38.24
3,18,0,1,5,60.0,0.0,2,0.0,0,6,10.0,0.17,58.0,3,0.0,10,11.44,36.25
0,12,1,0,3,56.0,0.0,1,0.0,0,0,1.94,0.02,55.0,17,0.35,5,30.4,36.07
0,12,1,0,3,56.0,0.0,1,0.0,0,0,6.94,0.02,55.0,17,0.35,5,34.04,38.47
0,12,1,0,3,56.0,0.0,1,0.0,0,0,16.94,0.02,55.0,17,0.0,5,29.04,38.5
1,1,1,0,3,35.0,35.0,0,0.0,0,4,0.0,0.06,60.0,20,0.2,10,22.1,29.93
1,1,1,0,3,35.0,35.0,0,0.0,0,4,10.0,0.06,60.0,21,0.2,10,18.2,29.21
1,1,1,0,3,35.0,35.0,0,0.0,0,4,10.0,0.06,60.0,25,0.2,10,19.1,28.2
0,12,1,0,7,60.0,0.0,0,0.0,0,0,0.0,0.1,58.0,20,0.0,10,33.0,40.69
0,12,1,0,7,60.0,0.0,0,0.0,0,0,2.5,0.1,58.0,15,0.0,10,34.36,39.18
0,12,1,0,7,60.0,0.0,0,0.0,0,0,5.0,0.1,58.0,15,0.0,10,34.71,37.31
0,12,1,0,7,60.0,0.0,0,0.0,0,0,7.5,0.1,58.0,15,0.0,10,33.91,35.84
0,12,1,0,7,60.0,0.0,0,0.0,0,0,10.0,0.1,58.0,15,0.0,10,35.05,34.84
0,19,1,1,5,36.0,36.0,0,0.0,0,0,0.0,0.09,60.0,20,0.52,10,14.17,10.54
0,19,1,1,5,36.0,36.0,0,0.0,0,0,5.15,0.09,60.0,9,0.52,10,14.17,15.75
0,19,1,1,5,36.0,36.0,0,0.0,0,0,9.49,0.1,60.0,9,1.4,10,14.17,18.09
0,19,1,1,5,36.0,36.0,0,0.0,0,0,12.1,0.08,60.0,9,1.64,10,14.17,15.76
0,19,1,1,5,36.0,36.0,0,0.0,0,0,17.63,0.07,60.0,9,1.37,10,14.17,13.66
0,19,1,1,5,36.0,36.0,0,0.0,0,0,5.2,0.09,60.0,25,0.52,10,14.17,15.23
0,19,1,1,5,36.0,36.0,0,0.0,0,0,8.26,0.1,60.0,25,0.76,10,14.17,13.74
0,19,1,1,5,36.0,36.0,0,0.0,0,0,9.99,0.1,60.0,25,1.4,10,14.17,15.58
0,19,1,1,5,36.0,36.0,0,0.0,0,0,15.17,0.07,60.0,25,1.6,10,14.17,12.56
0,19,1,1,5,36.0,36.0,0,0.0,0,0,5.8,0.09,60.0,9,0.52,11,14.17,17.98
0,19,1,1,5,36.0,36.0,0,0.0,0,0,10.8,0.1,60.0,9,1.4,11,14.17,24.4
0,19,1,1,5,36.0,36.0,0,0.0,0,0,15.94,0.07,60.0,9,1.37,11,14.17,18.08
0,19,1,1,5,36.0,36.0,0,0.0,0,0,19.66,0.09,60.0,9,1.37,11,14.17,14.51
3,7,0,2,0,42.08,23.1,2,3.77,0,4,4.81,1.42,64.26,20,0.79,10,20.46,15.48
3,7,0,2,0,42.08,23.1,2,3.77,0,4,4.81,1.42,64.26,11,0.79,10,20.46,14.76
3,7,0,2,0,42.08,23.1,2,3.77,0,4,4.81,1.42,64.26,11,0.79,10,20.46,15.04
3,7,0,2,0,42.08,23.1,2,3.77,0,4,4.81,1.42,64.26,11,0.79,10,20.46,13.53
3,7,0,2,0,42.08,23.1,2,3.77,0,4,4.81,1.42,64.26,24,0.79,10,20.46,15.9
3,7,0,2,0,42.08,23.1,2,3.77,0,4,4.81,1.42,64.26,24,0.79,10,20.46,12.96
3,0,0,2,5,42.08,23.1,2,3.77,0,9,4.81,1.42,64.26,20,0.79,10,20.46,19.03
3,0,0,2,5,42.08,23.1,2,3.77,0,9,4.81,1.42,64.26,3,0.79,10,20.46,21.31
1,14,1,0,6,44.0,44.0,1,20.0,2,5,0.0,0.27,68.45,20,0.46,10,12.59,27.21
1,14,1,0,6,44.0,44.0,1,20.0,2,5,5.89,0.28,66.71,3,0.45,10,13.37,29.53
1,14,1,0,6,44.0,44.0,1,20.0,2,5,11.86,0.28,67.58,3,0.44,10,14.22,30.69
1,14,1,0,6,44.0,44.0,1,20.0,2,5,21.41,0.28,65.41,3,0.43,10,14.81,30.83
1,10,1,0,5,45.0,45.0,1,17.0,3,13,0.0,2.4,55.0,20,6.67,10,30.49,32.1
1,10,1,0,5,45.0,45.0,1,17.0,3,13,0.44,2.4,55.0,1,6.67,10,29.15,30.49
1,10,1,0,5,45.0,45.0,1,17.0,3,13,0.44,2.4,55.0,22,6.67,10,31.29,31.57
1,6,1,0,6,21.0,21.0,1,1.0,2,2,0.0,0.05,61.72,20,0.17,10,12.7,24.08
1,6,1,0,6,21.0,21.0,1,1.0,2,2,1.05,0.05,61.81,28,0.17,10,12.41,31.34
1,6,1,0,6,21.0,21.0,1,1.0,2,2,0.03,0.05,58.87,8,0.17,10,13.88,26.73
1,19,1,0,7,40.0,30.0,1,30.0,6,5,0.0,0.11,64.55,20,7.69,10,16.54,30.16
1,19,1,0,7,40.0,30.0,1,30.0,6,5,6.0,0.11,63.56,25,7.32,10,16.4,27.61
1,19,1,0,7,40.0,30.0,1,30.0,6,5,15.0,0.05,62.07,23,6.82,10,15.97,26.12
1,19,1,0,7,40.0,30.0,1,30.0,6,5,1.46,0.11,65.17,27,7.79,10,16.35,27.14
1,19,1,0,6,56.0,56.0,1,0.0,0,9,2.0,0.13,55.0,3,1.11,10,25.09,41.03
1,19,1,0,6,56.0,56.0,1,0.0,0,9,6.0,0.13,55.0,3,1.11,10,23.99,34.23
1,19,1,0,6,56.0,56.0,1,0.0,0,9,8.0,0.13,55.0,3,1.11,10,22.32,35.92
1,19,1,0,6,56.0,56.0,1,0.0,0,9,12.0,0.13,55.0,3,1.11,10,21.14,39.72
1,19,1,0,6,56.0,56.0,1,0.0,0,9,18.0,0.13,55.0,3,1.11,10,20.4,29.62
3,4,0,1,4,69.0,0.0,2,0.0,0,12,0.0,0.08,80.7,20,0.0,10,20.38,12.89
3,4,0,1,4,69.0,0.0,2,0.0,0,12,3.0,0.08,80.7,3,0.0,10,22.77,13.98
3,4,0,1,4,69.0,0.0,2,0.0,0,12,4.0,0.08,80.7,26,0.0,10,19.47,15.96
3,4,0,1,4,69.0,0.0,2,0.0,0,12,3.0,0.08,80.7,26,0.0,0,22.13,14.7
1,1,1,0,7,35.0,35.0,0,0.0,0,3,0.0,0.06,69.2,20,0.3,10,18.4,26.72
1,1,1,0,7,35.0,35.0,0,0.0,0,3,1.64,0.06,69.2,12,0.3,6,18.4,27.3
1,1,1,0,7,35.0,35.0,0,0.0,0,3,1.64,0.06,69.2,13,0.3,8,18.4,28.08
1,1,1,0,7,35.0,35.0,0,0.0,0,3,1.64,0.06,69.2,4,0.3,8,18.4,29.8
1,1,1,0,7,35.0,35.0,0,0.0,0,3,1.64,0.06,69.2,12,0.3,8,18.4,32.93
1,14,1,0,6,50.0,50.0,1,20.0,5,6,0.0,0.29,67.71,20,0.11,10,21.24,35.29
3,12,0,2,7,82.0,0.0,2,0.0,0,11,1.38,5.46,63.7,18,0.0,10,15.4,36.16
3,12,0,2,7,82.0,0.0,2,0.0,0,11,9.64,5.46,63.7,3,0.0,9,17.51,39.65
3,17,0,1,0,50.0,0.0,2,0.0,0,7,0.0,0.06,60.6,20,0.0,10,22.5,21.85
3,17,0,1,0,50.0,0.0,2,0.0,0,7,25.49,0.06,60.1,11,0.0,10,23.4,22.64
1,20,1,0,7,28.0,28.0,0,0.0,0,3,0.0,0.06,62.06,20,0.36,10,17.91,29.0
1,20,1,0,7,28.0,28.0,0,0.0,0,3,10.0,0.06,58.69,25,0.36,10,18.23,29.99
3,11,0,2,7,26.0,0.0,2,0.0,0,6,0.0,1.2,65.0,20,0.0,10,22.46,36.96
3,11,0,2,7,26.0,0.0,2,0.0,0,6,15.68,1.2,65.0,3,0.0,10,24.97,37.14
3,11,0,2,7,26.0,0.0,2,0.0,0,6,31.36,1.2,65.0,3,0.0,10,26.48,37.87
3,11,0,2,7,42.08,23.1,2,3.77,0,6,4.81,1.42,64.26,3,0.79,10,20.46,37.87
1,1,1,0,7,35.0,35.0,1,30.0,3,2,0.0,0.06,67.6,20,0.38,10,17.43,24.66
1,1,1,0,7,35.0,35.0,1,30.0,3,2,0.41,0.06,63.37,21,0.38,10,14.84,24.07
1,1,1,0,7,35.0,35.0,1,30.0,3,2,0.41,0.06,67.38,5,0.38,10,16.2,20.72
1,1,1,0,7,35.0,35.0,1,30.0,3,2,0.41,0.06,66.1,21,0.38,1,13.98,23.22
1,19,1,0,5,42.0,42.0,0,0.0,0,2,0.0,0.17,53.8,20,0.07,10,16.6,34.3
1,19,1,0,5,42.0,42.0,0,0.0,0,2,10.8,0.17,49.3,3,0.07,10,18.6,37.3
1,19,1,0,5,42.0,42.0,0,0.0,0,2,21.6,0.17,50.2,3,0.07,10,20.4,38.5
1,1,1,0,7,35.0,0.0,0,0.0,0,5,0.0,0.06,69.2,20,0.25,10,18.43,26.78
1,1,1,0,7,35.0,0.0,0,0.0,0,5,8.87,0.06,63.46,12,0.25,7,18.43,27.4
1,1,1,0,7,35.0,0.0,0,0.0,0,5,4.0,0.06,65.48,25,0.25,10,18.43,32.39
1,1,1,0,7,35.0,0.0,0,0.0,0,5,8.87,0.06,63.46,12,0.25,10,18.43,29.78
1,7,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,20,0.79,10,20.46,33.39
1,7,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,21,0.79,10,20.46,19.66
1,7,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,28,0.79,10,20.46,20.11
1,7,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,21,0.79,12,20.46,19.5
1,11,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,20,0.79,10,20.46,35.76
1,11,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,21,0.79,10,20.46,28.41
1,11,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,28,0.79,10,20.46,28.86
1,11,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,21,0.79,12,20.46,28.33
1,12,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,20,0.79,10,20.46,40.32
1,12,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,21,0.79,10,20.46,32.84
1,12,1,0,0,42.08,23.1,0,3.77,0,1,4.81,1.42,64.26,28,0.79,10,20.46,31.18
