Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final TN (%)
1,1,1,0,7,26.0,26.0,0,0.0,0,2,0.0,0.05,65.0,30,0.57,12,15.0,2.66
1,1,1,0,7,26.0,26.0,0,0.0,0,2,3.8,0.05,65.0,21,0.57,4,15.0,3.57
1,14,1,0,0,42.08,23.1,0,3.77,0,2,4.81,1.42,64.26,30,0.79,12,20.46,1.63
1,14,1,0,0,14.0,14.0,0,0.0,0,2,6.0,0.0,61.4,14,0.1,12,44.55,1.48
1,14,1,0,0,42.08,23.1,0,3.77,0,2,4.81,1.42,64.26,14,0.79,12,20.46,1.29
1,14,1,0,0,14.0,14.0,0,0.0,0,2,23.0,0.0,56.9,14,0.1,12,40.99,1.09
1,22,1,0,7,45.0,45.0,1,30.0,11,7,0.0,0.09,65.0,30,7.56,12,12.94,2.74
1,22,1,0,7,45.0,45.0,1,30.0,11,7,16.88,0.09,65.0,0,7.06,12,11.15,3.55
1,22,1,0,7,45.0,45.0,1,30.0,11,7,15.47,0.09,65.0,2,6.66,12,10.96,2.66
1,22,1,0,7,45.0,45.0,1,30.0,11,7,15.47,0.09,65.0,38,7.34,12,9.84,3.48
1,22,1,0,7,45.0,35.0,1,30.0,11,6,0.0,0.09,65.0,30,2.6,12,12.96,2.95
1,22,1,0,7,45.0,35.0,1,30.0,11,6,0.65,0.09,65.0,19,2.6,12,11.73,3.56
1,22,1,0,7,45.0,35.0,1,30.0,11,6,0.65,0.09,65.0,28,2.6,12,14.05,3.43
1,22,1,0,7,45.0,35.0,1,30.0,11,6,0.65,0.09,65.0,28,2.6,12,12.02,3.2
1,22,1,0,7,45.0,35.0,1,30.0,11,6,1.95,0.09,65.0,28,2.6,12,12.56,3.3
1,7,1,0,5,42.0,42.0,1,0.5,3,6,0.0,0.06,60.0,30,0.03,12,10.39,3.04
1,7,1,0,5,42.0,42.0,1,0.5,3,6,5.0,0.06,60.0,3,0.03,12,10.73,2.99
1,7,1,0,5,42.0,42.0,1,0.5,3,6,25.0,0.06,60.0,3,0.03,12,15.5,2.75
3,20,0,1,5,60.0,0.0,2,0.0,0,5,0.0,0.22,64.99,30,0.0,12,15.04,2.94
3,20,0,1,5,60.0,0.0,2,0.0,0,5,10.0,0.22,62.76,3,0.0,12,13.04,2.75
3,20,0,1,5,60.0,0.0,2,0.0,0,5,10.0,0.22,60.65,3,0.0,12,14.48,2.98
3,20,0,1,5,60.0,0.0,2,0.0,0,7,0.0,0.17,60.0,30,0.0,12,12.36,3.32
3,20,0,1,5,60.0,0.0,2,0.0,0,7,10.0,0.17,59.0,3,0.0,12,13.3,3.36
0,14,1,0,3,56.0,0.0,1,0.0,0,0,0.0,0.02,55.0,30,0.35,12,32.02,1.67
0,14,1,0,3,56.0,0.0,1,0.0,0,0,1.94,0.02,55.0,23,0.35,6,30.4,2.08
0,14,1,0,3,56.0,0.0,1,0.0,0,0,6.94,0.02,55.0,23,0.35,6,34.04,2.0
0,14,1,0,3,56.0,0.0,1,0.0,0,0,16.94,0.02,55.0,23,0.0,6,29.04,2.15
1,1,1,0,3,35.0,35.0,0,0.0,0,5,0.0,0.06,60.0,30,0.2,12,22.1,2.32
1,1,1,0,3,35.0,35.0,0,0.0,0,5,10.0,0.06,60.0,32,0.2,12,18.2,2.23
1,1,1,0,3,35.0,35.0,0,0.0,0,5,10.0,0.06,60.0,38,0.2,12,19.1,2.37
1,1,1,0,7,28.0,28.0,0,0.0,0,3,0.0,0.06,52.2,30,0.25,12,24.8,2.99
1,1,1,0,7,28.0,28.0,0,0.0,0,3,3.73,0.06,52.2,21,0.25,4,24.8,3.54
1,1,1,0,7,28.0,28.0,0,0.0,0,3,3.78,0.06,52.2,21,0.25,4,24.8,3.55
0,14,1,0,7,60.0,0.0,0,0.0,0,0,0.0,0.1,58.0,30,0.0,12,33.0,2.35
0,14,1,0,7,60.0,0.0,0,0.0,0,0,2.5,0.1,58.0,20,0.0,12,34.36,2.28
0,14,1,0,7,60.0,0.0,0,0.0,0,0,5.0,0.1,58.0,20,0.0,12,34.71,2.14
0,14,1,0,7,60.0,0.0,0,0.0,0,0,7.5,0.1,58.0,20,0.0,12,33.91,2.11
0,14,1,0,7,60.0,0.0,0,0.0,0,0,10.0,0.1,58.0,20,0.0,12,35.05,1.96
0,22,1,1,5,36.0,36.0,0,0.0,0,0,0.0,0.09,60.0,30,0.52,12,14.17,1.82
0,22,1,1,5,36.0,36.0,0,0.0,0,0,5.15,0.09,60.0,10,0.52,12,14.17,2.47
0,22,1,1,5,36.0,36.0,0,0.0,0,0,9.49,0.1,60.0,10,1.4,12,14.17,2.3
