Aeration method,Material_2,M1_is Enclosed, Composting Method,Material_Main,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),Additive_1,V5_Ventilation rate (L/min/kg iniDW),Additive_2,Initial C/N (%),Final pH
1,1,1,0,9,26.0,26.0,0,0.0,0,2,3.8,0.05,65.0,28,0.57,5,15.0,7.59
1,14,1,0,0,42.08,23.1,0,3.77,0,2,4.81,1.42,64.26,41,0.79,15,20.46,7.76
1,14,1,0,0,14.0,14.0,0,0.0,0,2,6.0,0.0,61.4,18,0.1,15,44.55,7.31
1,14,1,0,0,42.08,23.1,0,3.77,0,2,4.81,1.42,64.26,18,0.79,15,20.46,7.24
1,14,1,0,0,14.0,14.0,0,0.0,0,2,23.0,0.0,56.9,18,0.1,15,40.99,7.3
1,25,1,0,9,45.0,45.0,1,30.0,10,7,0.0,0.09,65.0,41,7.56,15,12.94,8.95
1,25,1,0,9,45.0,45.0,1,30.0,10,7,16.88,0.09,65.0,2,7.06,15,11.15,9.15
1,25,1,0,9,45.0,45.0,1,30.0,10,7,15.47,0.09,65.0,51,7.34,15,9.84,8.4
1,25,1,0,9,45.0,35.0,1,30.0,10,6,0.0,0.09,65.0,41,2.6,15,12.96,8.92
1,25,1,0,9,45.0,35.0,1,30.0,10,6,0.65,0.09,65.0,35,2.6,15,14.05,9.08
1,25,1,0,9,45.0,35.0,1,30.0,10,6,0.65,0.09,65.0,35,2.6,15,12.02,9.14
1,25,1,0,9,45.0,35.0,1,30.0,10,6,1.95,0.09,65.0,35,2.6,15,12.56,9.24
1,7,1,0,6,42.0,42.0,1,0.5,2,6,0.0,0.06,60.0,41,0.03,15,10.39,9.15
1,7,1,0,6,42.0,42.0,1,0.5,2,6,5.0,0.06,60.0,6,0.03,15,10.73,9.13
3,21,0,1,6,60.0,0.0,2,0.0,0,5,0.0,0.22,64.99,41,0.0,15,15.04,7.39
