Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V4_Ventilation Day,V1_Ventilation Type,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),NH3-N loss (%)
9,6,3,31,13,2,0,0,1,26.0,26.0,0,0.0,0,2,0.0,0.05,65.0,0.57,15.0,28.0
9,6,3,21,4,2,0,0,1,26.0,26.0,0,0.0,0,2,3.8,0.05,65.0,0.57,15.0,9.0
9,6,3,21,4,2,0,0,1,26.0,26.0,0,0.0,0,2,7.3,0.05,65.0,0.57,15.0,4.0
9,6,3,21,4,2,0,0,1,26.0,26.0,0,0.0,0,2,8.9,0.05,65.0,0.57,15.0,0.5
0,5,3,31,13,2,0,0,1,42.04,23.07,0,3.76,0,2,4.83,1.42,64.28,0.79,20.52,6.79
0,5,3,12,13,2,0,0,1,14.0,14.0,0,0.0,0,2,6.0,0.0,61.4,0.1,44.55,2.95
0,5,3,12,13,2,0,0,1,14.0,14.0,0,0.0,0,2,13.0,0.0,59.3,0.1,45.58,3.01
0,5,3,12,13,2,0,0,1,14.0,14.0,0,0.0,0,2,23.0,0.0,56.9,0.1,40.99,2.71
9,6,3,31,13,2,0,0,1,45.0,45.0,1,30.0,10,7,0.0,0.09,65.0,7.56,12.94,3.0
9,6,3,0,13,2,0,0,1,45.0,45.0,1,30.0,10,7,16.88,0.09,65.0,7.06,11.15,2.1
9,6,3,2,13,2,0,0,1,45.0,45.0,1,30.0,10,7,15.47,0.09,65.0,6.66,10.96,4.6
9,6,3,40,13,2,0,0,1,45.0,45.0,1,30.0,10,7,15.47,0.09,65.0,7.34,9.84,0.3
9,6,3,31,13,2,0,0,1,45.0,35.0,1,30.0,10,6,0.0,0.09,65.0,2.6,12.96,10.7
9,6,3,18,13,2,0,0,1,45.0,35.0,1,30.0,10,6,0.65,0.09,65.0,2.6,11.73,22.7
9,6,3,28,13,2,0,0,1,45.0,35.0,1,30.0,10,6,0.65,0.09,65.0,2.6,14.05,14.5
9,6,3,28,13,2,0,0,1,45.0,35.0,1,30.0,10,6,0.65,0.09,65.0,2.6,12.02,16.1
9,6,3,28,13,2,0,0,1,45.0,35.0,1,30.0,10,6,1.95,0.09,65.0,2.6,12.56,16.4
7,6,3,31,13,2,0,1,0,60.0,0.0,2,0.0,0,7,0.0,0.17,60.0,0.0,12.36,5.6
7,6,3,4,13,2,0,1,0,60.0,0.0,2,0.0,0,7,10.0,0.17,59.0,0.0,13.3,2.3
7,6,3,4,13,2,0,1,0,60.0,0.0,2,0.0,0,7,10.0,0.17,58.0,0.0,11.44,2.3
3,6,3,31,13,2,0,0,1,35.0,35.0,0,0.0,0,5,0.0,0.06,60.0,0.2,22.1,13.3
3,6,3,33,13,2,0,0,1,35.0,35.0,0,0.0,0,5,10.0,0.06,60.0,0.2,18.2,8.4
3,6,3,40,13,2,0,0,1,35.0,35.0,0,0.0,0,5,10.0,0.06,60.0,0.2,19.1,10.5
3,5,2,31,13,2,0,0,1,20.0,20.0,0,0.0,0,7,0.0,0.02,63.39,1.07,18.5,22.0
3,5,2,21,4,2,0,0,1,20.0,20.0,0,0.0,0,7,20.0,0.02,69.86,1.07,18.5,4.8
9,6,3,21,4,2,0,0,1,28.0,28.0,0,0.0,0,3,3.73,0.06,52.2,0.25,24.8,17.9
9,6,3,21,4,2,0,0,1,28.0,28.0,0,0.0,0,3,3.78,0.06,52.2,0.25,24.8,16.1
8,6,3,44,13,2,0,0,1,53.7,44.1,0,0.0,0,0,25.0,2.35,55.06,0.5,22.4,36.04
8,6,3,44,13,2,0,0,1,42.04,23.07,0,3.76,0,0,4.83,1.42,64.28,0.79,20.52,27.45
9,6,3,31,13,2,0,0,1,39.0,39.0,0,0.0,0,5,0.0,0.06,68.83,0.37,20.75,23.2
9,6,3,21,4,2,0,0,1,39.0,39.0,0,0.0,0,5,2.16,0.06,67.24,0.41,20.75,9.6
9,6,3,14,13,2,0,0,1,39.0,39.0,0,0.0,0,5,2.16,0.06,67.24,0.41,20.75,7.1
9,6,3,15,10,2,0,0,1,39.0,39.0,0,0.0,0,5,2.16,0.06,67.24,0.41,20.75,8.46
9,6,3,5,10,2,0,0,1,39.0,39.0,0,0.0,0,5,2.16,0.06,67.24,0.41,20.75,5.45
9,5,3,31,13,2,0,0,1,26.0,26.0,0,0.0,0,0,0.0,0.02,61.8,0.91,16.5,34.9
9,5,3,22,13,2,0,0,1,26.0,26.0,0,0.0,0,0,0.56,0.02,61.8,0.91,21.72,15.0
9,6,3,31,13,2,0,0,1,35.0,35.0,0,0.0,0,4,0.0,0.06,70.4,0.38,20.3,31.32
9,6,3,21,4,2,0,0,1,35.0,35.0,0,0.0,0,4,4.56,0.06,65.46,0.38,20.24,21.79
9,6,3,21,14,2,0,0,1,35.0,35.0,0,0.0,0,4,6.48,0.06,64.96,0.38,19.09,14.21
9,5,3,31,13,2,0,0,1,42.04,23.07,0,3.76,0,6,4.83,1.42,64.28,0.79,20.52,9.7
9,5,3,27,13,2,0,0,1,42.04,23.07,0,3.76,0,6,4.83,1.42,64.28,0.79,20.52,9.3
9,5,3,35,13,2,0,0,1,51.0,51.0,1,0.25,2,1,13.35,0.03,60.63,2.16,31.93,2.15
9,5,3,10,13,2,0,0,1,51.0,51.0,1,0.25,2,1,10.25,0.03,64.91,2.3,16.27,5.74
9,5,3,31,13,2,0,0,1,51.0,51.0,1,0.25,2,1,0.0,0.03,61.89,4.51,29.5,3.46
0,6,3,31,13,2,0,0,1,15.0,15.0,0,0.0,0,0,0.0,0.17,70.5,0.29,26.0,19.81
0,6,3,26,13,2,0,0,1,15.0,15.0,0,0.0,0,0,3.63,0.17,71.0,0.29,17.7,13.54
0,6,3,26,13,2,0,0,1,15.0,15.0,0,0.0,0,0,7.31,0.17,71.5,0.29,19.39,11.61
0,6,3,26,13,2,0,0,1,15.0,15.0,0,0.0,0,0,9.98,0.17,69.0,0.27,30.0,9.12
0,6,3,31,13,2,0,0,1,15.0,15.0,0,0.0,0,0,0.0,0.17,70.0,0.26,18.24,10.76
0,6,3,32,13,2,0,0,1,15.0,15.0,0,0.0,0,0,13.1,0.17,71.8,0.28,19.25,10.84
0,6,3,32,13,2,0,0,1,15.0,15.0,0,0.0,0,0,24.37,0.17,69.6,0.26,22.23,15.51
0,6,3,32,13,2,0,0,1,42.04,23.07,0,3.76,0,0,4.83,1.42,64.28,0.79,20.52,16.67
0,6,3,31,13,2,0,0,1,15.0,6.0,0,0.0,0,0,0.0,0.17,70.6,0.29,17.43,16.04
0,6,3,30,12,2,0,0,1,15.0,6.0,0,0.0,0,0,3.1,0.17,70.8,0.29,15.34,14.97
0,6,3,30,12,2,0,0,1,15.0,6.0,0,0.0,0,0,3.44,0.17,70.1,0.28,16.88,13.55
0,6,3,30,12,2,0,0,1,15.0,6.0,0,0.0,0,0,3.69,0.17,69.8,0.28,16.27,15.16
0,6,3,31,13,2,0,0,1,15.0,15.0,0,0.0,0,0,0.0,0.17,71.5,0.28,17.7,14.81
