Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,CH4-C loss (%)
15.0417785398946,5,65.0,3,7.46561,19,60.0,2.65926,40.0,27,4,0.008
13.041958041958,5,62.5,3,7.34,19,60.0,2.86,37.3,19,3,0.0012
14.4827586206897,5,60.5,3,7.6,19,60.0,2.61,37.8,19,3,0.0018
22.1,9,60.0,0,5.01,3,35.0,1.79,39.6,27,4,0.33
18.2,9,60.0,0,4.43,3,35.0,1.98,36.0,22,3,0.36
19.1,9,60.0,0,4.28,3,35.0,1.89,36.0,25,3,0.09
17.9,0,63.0,4,8.3,26,0.0,1.4,25.06,27,4,6.13418530351438
17.8,0,65.4,4,7.6,26,0.0,1.33,23.674,22,3,1.13019169329073
18.9,0,64.6,4,7.6,26,0.0,1.32,24.948,22,3,0.203674121405751
18.5,0,65.4,4,7.4,26,0.0,1.29,23.865,22,3,0.175718849840256
20.1,0,64.0,4,8.4,26,0.0,1.29,25.929,24,3,3.30670926517572
17.1,0,61.0,4,8.6,26,0.0,1.12,19.152,24,3,4.48482428115016
18.9,0,63.7,4,8.7,26,0.0,1.23,23.247,24,3,5.3035143769968
18.54,7,0.0,0,0.0,26,0.0,2.1,38.934,27,4,0.161125
0.0,7,0.0,0,0.0,26,0.0,0.0,0.0,25,3,0.0230178571428571
0.0,7,0.0,0,0.0,26,0.0,0.0,0.0,25,3,0.122761904761905
0.0,7,0.0,0,0.0,26,0.0,0.0,0.0,25,3,0.184142857142857
0.0,7,0.0,4,0.0,26,0.0,0.0,0.0,25,3,0.168797619047619
0.0,7,0.0,4,0.0,26,0.0,0.0,0.0,25,3,0.0613809523809524
12.5861660079051,9,68.45,0,7.85,26,0.0,2.53,31.843,27,4,0.280124360141946
13.3679808841099,9,66.71,0,7.89,26,0.0,2.511,33.567,19,3,0.232371078738046
14.2208564631245,9,67.58,0,8.1,26,0.0,2.522,35.865,19,3,0.211626934337097
14.8140462889066,9,65.41,0,8.17,26,0.0,2.506,37.124,19,3,0.244855080271522
27.4,0,60.0,4,0.0,26,0.0,1.57,43.02,27,4,0.355
