Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,CO2-C loss (%)
22.1,9,60.0,0,5.01,2,35.0,1.79,39.6,9,4,21.5
18.2,9,60.0,0,4.43,2,35.0,1.98,36.0,3,3,59.0
19.1,9,60.0,0,4.28,2,35.0,1.89,36.0,7,3,60.2
26.7620561738209,5,60.0,0,7.8,1,30.0,1.2,32.1144674085851,9,4,13.9
2.90159278923324,5,60.0,0,7.8,1,30.0,10.4,30.1765650080257,1,3,13.9
2.53674592815391,5,60.0,0,7.8,1,30.0,13.4,33.9923954372624,0,3,13.7
7.53,0,60.22,0,7.609909959893048,2,20.0,3.0886300333884225,1.45,9,4,40.99
7.53,0,60.22,0,7.609909959893048,2,20.0,3.0886300333884225,1.45,9,4,36.4
7.53,0,60.22,0,7.609909959893048,2,20.0,3.0886300333884225,1.45,9,4,32.5
21.4,9,52.8,0,8.1,6,42.0,1.7,35.9,9,4,18.0
21.4,9,52.8,0,8.1,6,42.0,1.7,35.9,0,3,25.0
21.4,9,52.8,0,8.1,6,42.0,1.7,35.9,0,3,28.0
21.4,9,52.8,0,8.1,6,42.0,1.7,35.9,0,3,32.0
6.15,9,0.0,0,6.99,11,61.0,5.36,32.9,9,4,8.65
18.08,9,0.0,0,7.32,11,61.0,1.98,35.36,9,4,4.64
28.17,9,0.0,0,7.64,11,61.0,1.34,37.77,9,4,2.3
38.36,9,0.0,0,7.97,11,61.0,1.05,40.18,9,4,3.76
14.2,0,65.4,0,9.1,11,31.0,2.1,29.7,9,4,31.5
14.2,0,65.4,0,9.1,11,31.0,2.1,29.7,9,4,46.1
14.2,0,65.4,0,9.1,11,31.0,2.1,29.7,9,4,40.6
11.3619402985075,9,72.1,0,7.72,2,35.0,2.68,30.45,9,4,39.47
11.3619402985075,9,72.1,0,7.72,2,35.0,2.68,30.45,5,1,36.49
11.3619402985075,9,72.1,0,7.72,2,35.0,2.68,30.45,7,1,33.38
11.3619402985075,9,72.1,0,7.72,2,35.0,2.68,30.45,5,2,35.91
11.3619402985075,9,72.1,0,7.72,2,35.0,2.68,30.45,7,2,31.42
19.9,7,59.81,0,7.3,2,21.0,1.91,38.1,9,4,48.02
19.9,7,60.21,0,7.89,8,21.0,1.79,35.6,9,4,43.43
0.0,9,0.0,0,0.0,7,22.0,0.0,0.0,9,4,30.0
0.0,9,0.0,0,0.0,7,22.0,0.0,0.0,2,0,29.0
0.0,9,0.0,0,0.0,7,22.0,0.0,0.0,2,0,28.25
0.0,9,0.0,0,0.0,7,22.0,0.0,0.0,2,0,27.5
23.8,9,0.0,0,8.2,9,45.0,1.79,42.59,9,4,30.3
30.6,9,0.0,0,8.4,9,45.0,4.45,44.38,9,4,25.0
12.2,3,81.0,0,7.0,15,84.0,3.86,46.9,9,4,9.8
15.3,3,75.8,0,7.1,4,84.0,3.18,48.8,9,4,10.5
22.3,9,77.3,0,8.7,4,84.0,2.16,48.2,9,4,13.4
20.1,9,77.0,0,8.8,4,84.0,2.25,45.3,9,4,26.7
29.9,9,80.0,0,6.7,10,84.0,1.82,54.5,9,4,14.7
16.9,9,84.1,0,10.7,15,84.0,2.26,38.3,0,3,1.9
20.5,9,80.7,0,9.8,4,84.0,2.21,45.3,0,3,13.1
21.3,9,81.5,0,10.0,4,84.0,2.03,42.5,0,3,7.3
21.0526315789474,0,61.0,1,0.0,7,45.0,1.9,40.0,9,4,15.0
21.0526315789474,0,61.0,1,0.0,7,45.0,1.9,40.0,9,4,20.7142857142857
21.0526315789474,0,61.0,1,0.0,7,45.0,1.9,40.0,9,4,18.5714285714286
21.0526315789474,0,61.0,1,0.0,7,45.0,1.9,40.0,9,4,17.1428571428571
21.0526315789474,0,61.0,1,0.0,7,45.0,1.9,40.0,9,4,16.4285714285714
16.5,0,83.0,0,8.45,0,30.0,1.65,43.0,9,4,57.97
16.5,0,83.0,0,8.45,0,30.0,1.65,43.0,9,4,52.98333
6.1,5,71.0,0,6.8,0,30.0,4.6,35.2,9,4,84.00333
6.1,5,71.0,0,6.8,0,30.0,4.61,35.2,9,4,74.43333
12.2,5,65.0,0,6.95,0,30.0,3.42,48.7,0,3,79.56667
12.2,5,65.0,0,6.95,0,30.0,3.42,48.7,0,3,69.3
14.7,7,64.1,0,0.0,3,37.0,2.36,34.8,9,4,31.4
18.4,7,71.3,0,0.0,3,37.0,2.06,38.0,9,4,32.1
21.2,7,75.7,0,0.0,3,37.0,1.93,40.9,9,4,33.3
18.3,7,65.2,0,0.0,3,37.0,2.08,38.0,9,4,42.9
21.1,7,70.6,0,0.0,3,37.0,1.9,40.1,9,4,45.6
14.9,7,76.8,0,0.0,3,37.0,2.37,35.3,9,4,23.9
20.7,7,63.7,0,0.0,3,37.0,1.9,39.4,9,4,44.8
15.0,7,70.8,0,0.0,3,37.0,2.35,35.2,9,4,42.4
18.0,7,74.0,0,0.0,3,37.0,2.09,37.6,9,4,37.2
14.7,7,64.1,0,0.0,3,37.0,2.36,34.8,9,4,31.4
18.4,7,71.3,0,0.0,3,37.0,2.06,38.0,9,4,32.1
21.2,7,75.7,0,0.0,3,37.0,1.93,40.9,9,4,33.3
18.3,7,65.2,0,0.0,3,37.0,2.08,38.0,9,4,42.9
21.1,7,70.6,0,0.0,3,37.0,1.9,40.1,9,4,45.6
14.9,7,76.8,0,0.0,3,37.0,2.37,35.3,9,4,23.9
20.7,7,63.7,0,0.0,3,37.0,1.9,39.4,9,4,44.8
15.0,7,70.8,0,0.0,3,37.0,2.35,35.2,9,4,42.4
18.0,7,74.0,0,0.0,3,37.0,2.09,37.6,9,4,37.2
0.0,7,0.0,0,0.0,11,54.0,0.0,0.0,9,4,37.9
0.0,7,0.0,0,0.0,11,54.0,0.0,0.0,4,1,34.8
0.0,7,0.0,0,0.0,11,54.0,0.0,0.0,4,1,33.6
0.0,7,0.0,0,0.0,11,54.0,0.0,0.0,9,4,39.1
0.0,7,0.0,0,0.0,11,54.0,0.0,0.0,6,0,36.5
0.0,7,0.0,0,0.0,11,54.0,0.0,0.0,6,0,36.0
19.3,4,0.0,4,0.0,15,67.0,0.0,0.0,9,4,4.3
16.5,4,0.0,4,0.0,15,76.0,0.0,0.0,9,4,11.5
9.7,6,0.0,4,0.0,15,31.0,0.0,0.0,9,4,1.0
1.1,6,0.0,4,0.0,15,49.0,0.0,0.0,9,4,2.5
27.6,8,0.0,4,0.0,15,29.0,0.0,0.0,9,4,11.8
15.9,8,0.0,4,0.0,15,133.0,0.0,0.0,9,4,19.4
45.73283859,8,61.1196911,4,0.0,15,60.432307692307695,0.0,0.0,9,4,11.3
45.73283859,8,61.1196911,4,0.0,15,60.432307692307695,0.0,0.0,9,4,0.6851181
45.73283859,8,61.1196911,4,0.0,15,60.432307692307695,0.0,0.0,9,4,0.4537795
0.0,1,0.0,4,0.0,15,0.0,0.0,0.0,9,4,3.3647198
0.0,2,0.0,4,0.0,15,0.0,0.0,0.0,9,4,1.1
27.21518987,8,70.0,4,0.0,15,60.0,0.0,0.0,9,4,26.1351351
15.0,3,64.1,4,8.6,15,37.0,0.0,0.0,9,4,14.3838376
18.0,3,65.2,4,8.5,15,37.0,0.0,0.0,9,4,2.81352
21.0,3,63.7,4,8.3,15,37.0,0.0,0.0,9,4,23.4937472
18.0,3,71.3,4,8.5,15,37.0,0.0,0.0,9,4,12.836362
21.0,3,70.6,4,8.3,15,37.0,0.0,0.0,9,4,19.7118768
15.0,3,70.8,4,8.7,15,37.0,0.0,0.0,9,4,15.9794859
21.0,3,75.7,4,8.4,15,37.0,0.0,0.0,9,4,12.1351527
15.0,3,76.8,4,8.6,15,37.0,0.0,0.0,9,4,7.1768195
18.0,3,74.0,4,8.6,15,37.0,0.0,0.0,9,4,13.334464
29.0,3,69.4,4,8.8,11,56.0,0.0,0.0,9,4,19.773
24.7,3,71.1,4,9.1,11,56.0,0.0,0.0,8,4,19.5477333
17.6,3,71.2,4,8.8,11,56.0,0.0,0.0,8,4,18.572333
19.0,3,67.6,4,9.0,11,56.0,0.0,0.0,8,4,19.3482667
19.5,3,69.2,4,8.6,11,56.0,0.0,0.0,8,4,21.419
21.2,3,71.0,4,9.2,12,56.0,0.0,0.0,8,4,18.8188
19.6,3,70.3,4,7.5,13,56.0,0.0,0.0,8,4,2.4622
19.5,3,71.8,4,8.4,14,56.0,0.0,0.0,8,4,19.798333
0.0,1,0.0,4,0.0,15,0.0,0.0,0.0,9,4,22.2685163
18.0,3,65.0,4,0.0,15,0.0,0.0,0.0,9,4,14.984937
18.0,3,65.0,4,0.0,15,0.0,0.0,0.0,9,4,19.791332
18.0,3,65.0,4,0.0,15,0.0,0.0,0.0,9,4,17.2333333
26.0,3,55.0,4,0.0,15,98.0,0.0,0.0,9,4,1.9
23.2,1,63.8,4,8.7,15,65.0,0.0,0.0,9,4,6.2745517
7.78,1,54.99,4,0.0,15,47.0,0.0,0.0,9,4,9.67
11.28,1,69.31,4,0.0,15,47.0,0.0,0.0,9,4,7.555
14.0,9,71.7,2,7.55,15,80.0,6.6,92.4,9,4,0.47
14.0,9,79.6,1,7.43,15,80.0,6.39,89.46,9,4,0.628
16.0,9,77.9,2,8.7,15,80.0,6.69,107.04,9,4,0.293
15.0,9,78.8,1,8.2,15,80.0,6.31,94.65,9,4,0.233
13.5008665511265,9,82.16,3,9.4,15,140.0,5.77,77.9,9,4,27.49
16.2844036697248,9,82.36,3,9.8,15,140.0,4.36,71.0,9,4,11.145
9.89637305699482,9,69.94,3,9.6,15,140.0,11.58,114.6,9,4,1.672
0.0,9,74.2,1,0.0,15,98.0,0.0,0.0,9,4,1.87
26.6666666666667,9,76.0,2,0.0,15,80.0,4.32,115.2,9,4,37.572
26.6898148148148,9,76.0,1,0.0,15,80.0,4.32,115.3,9,4,31.86
16.608040201005,0,60.0,2,8.35,5,99.0,7.96,132.2,9,4,16.5
36.134,0,59.6,2,6.99,7,99.0,5.0,180.67,9,4,14.56
21.1785714285714,0,57.8,1,0.0,15,87.0,8.4,177.9,9,4,4.5
21.3733333333333,0,62.1,1,0.0,15,87.0,7.5,160.3,9,4,5.198
20.7710843373494,0,59.1,2,0.0,15,87.0,8.3,172.4,9,4,8.44
21.04,9,60.55,1,0.0,15,42.0,7.5,157.8,9,4,5.915
21.04,9,60.55,2,0.0,15,42.0,7.5,157.8,9,4,8.168
21.04,9,60.55,2,0.0,15,42.0,7.5,157.8,9,4,7.323
21.04,9,60.55,2,0.0,15,42.0,7.5,157.8,9,4,6.76
21.04,9,60.55,2,0.0,15,42.0,7.5,157.8,9,4,6.478
17.990366088632,9,72.7,0,0.0,15,66.0,5.19,93.37,9,4,2.668
18.0110497237569,9,71.7,0,0.0,15,66.0,5.43,97.8,9,4,2.154
18.0110497237569,9,71.7,0,0.0,15,66.0,5.43,97.8,9,4,17.84
23.06666667,3,80.0,2,0.0,15,168.0,0.0,0.0,9,4,11.468
24.43333333,3,72.0,2,0.0,15,168.0,0.0,0.0,9,4,16.286
26.3028816676885,9,50.4,3,8.94,15,99.0,3.0886300333884225,60.37320351299986,9,4,14.113
23.3021077283372,9,55.1,3,8.79,15,99.0,3.0886300333884225,60.37320351299986,9,4,14.31
12.9049338146811,9,64.90980517639383,3,0.0,15,56.0,8.31,107.24,9,4,1.27
11.9931662870159,9,64.90980517639383,3,0.0,15,56.0,8.78,105.3,9,4,8.251
10.6007194244604,9,64.90980517639383,3,0.0,15,56.0,11.12,117.88,9,4,8.931
19.3002257336343,0,70.5,1,7.6,11,99.0,3.0886300333884225,60.37320351299986,9,4,26.542
19.3002257336343,0,70.5,2,7.6,11,99.0,3.0886300333884225,60.37320351299986,9,4,56.949
12.1563275434243,9,88.5,0,6.8,15,0.0,4.03,48.99,9,4,1.738
12.1563275434243,9,88.5,0,6.8,15,0.0,4.03,48.99,9,4,1.632
12.2475,9,88.5,0,6.9,15,0.0,4.0,48.99,9,4,1.679
12.2475,9,88.5,0,6.9,15,0.0,4.0,48.99,9,4,1.821
12.2475,9,88.5,0,6.9,15,0.0,4.0,48.99,9,4,1.179
12.2475,9,88.5,0,6.9,15,0.0,4.0,48.99,9,4,3.33
12.2475,9,88.5,0,6.9,15,0.0,4.0,48.99,9,4,2.981
0.0,9,59.0,0,0.0,15,0.0,0.0,0.0,9,4,2.813
13.0246913580247,9,40.0,3,7.9,15,122.0,9.72,126.6,9,4,2.67
15.3754385964912,9,80.02,1,0.0,15,90.0,5.7,87.64,9,4,3.678
15.5082568807339,9,80.77,1,0.0,15,90.0,5.45,84.52,9,4,2.76
22.48202926404854,9,85.33,1,7.609909959893048,15,20.0,0.69,68.38,9,4,2.5
0.0,9,85.33,1,7.609909959893048,15,20.0,0.0,68.38,9,4,1.791
31.0630630630631,9,84.66,1,7.609909959893048,15,18.0,2.22,68.96,9,4,-0.8
0.0,9,84.66,1,7.609909959893048,15,28.0,0.0,68.96,9,4,-0.16
55.9834710743802,9,84.3,1,7.609909959893048,15,30.0,1.21,67.74,9,4,4.43
0.0,9,84.3,1,7.609909959893048,15,30.0,0.0,67.74,9,4,-0.16
22.48202926404854,9,83.91,1,7.609909959893048,15,28.0,0.37,72.33,9,4,3.941
0.0,9,83.91,1,7.609909959893048,15,28.0,0.0,72.33,9,4,3.665
42.873417721519,9,84.3,1,7.609909959893048,15,30.0,1.58,67.74,9,4,1.83
51.7099236641221,9,84.3,1,7.609909959893048,15,30.0,1.31,67.74,9,4,2.994
22.48202926404854,9,83.91,1,7.609909959893048,15,30.0,1.07,72.33,9,4,0.963
50.2291666666667,9,83.91,1,7.609909959893048,15,30.0,1.44,72.33,9,4,1.742
0.0,9,81.08,0,0.0,15,20.0,0.0,72.33,9,4,1.945
0.0,9,81.08,0,0.0,15,20.0,0.0,72.33,9,4,3.327
