Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,N2O-N loss (%)
15.0417785398946,5,65.0,3,7.46561,17,60.0,2.65926,40.0,34,4,1.4
13.041958041958,5,62.5,3,7.34,17,60.0,2.86,37.3,20,3,0.4
14.4827586206897,5,60.5,3,7.6,17,60.0,2.61,37.8,20,3,0.5
22.1,9,60.0,0,5.01,3,35.0,1.79,39.6,34,4,1.97
18.2,9,60.0,0,4.43,3,35.0,1.98,36.0,25,3,2.06
19.1,9,60.0,0,4.28,3,35.0,1.89,36.0,31,3,2.16
24.8,7,52.2,4,8.56364,24,0.0,2.23,41.3,34,4,1.5
0.0,7,0.0,4,8.08636,24,0.0,0.0,0.0,17,1,1.4
20.3000023678166,7,70.4,0,7.25,3,0.0,2.11165,42.8665,34,4,0.73
0.0,7,0.0,0,7.82843,3,0.0,0.0,0.0,17,1,1.45
0.0,7,0.0,0,7.86275,3,0.0,0.0,0.0,17,1,1.29
0.0,7,64.6,1,7.4,12,0.0,2.34,0.0,34,4,9.3
0.0,7,0.0,1,0.0,12,0.0,0.0,0.0,15,0,3.0
29.3,7,62.0,0,7.84615,12,0.0,2.2341,0.0,34,4,11.22
0.0,7,60.0,4,7.94846,12,0.0,2.44843,0.0,27,3,8.92
0.0,7,60.0,4,7.51769,12,0.0,2.50053,0.0,26,3,0.64
17.9,0,63.0,4,8.3,24,0.0,1.4,25.06,34,4,0.0861428571428571
17.8,0,65.4,4,7.6,24,0.0,1.33,23.674,25,3,0.202071428571429
18.9,0,64.6,4,7.6,24,0.0,1.32,24.948,25,3,0.153571428571429
18.5,0,65.4,4,7.4,24,0.0,1.29,23.865,25,3,0.221071428571429
20.1,0,64.0,4,8.4,24,0.0,1.29,25.929,30,3,0.0560714285714286
17.1,0,61.0,4,8.6,24,0.0,1.12,19.152,30,3,0.148785714285714
18.9,0,63.7,4,8.7,24,0.0,1.23,23.247,30,3,0.104714285714286
18.54,7,0.0,0,0.0,24,0.0,2.1,38.934,34,4,1.0
0.0,7,0.0,0,0.0,24,0.0,0.0,0.0,31,3,0.9
0.0,7,0.0,0,0.0,24,0.0,0.0,0.0,31,3,0.8
0.0,7,0.0,0,0.0,24,0.0,0.0,0.0,31,3,0.8
0.0,7,0.0,4,0.0,24,0.0,0.0,0.0,31,3,0.9
0.0,7,0.0,4,0.0,24,0.0,0.0,0.0,31,3,1.2
12.5861660079051,9,68.45,0,7.85,24,0.0,2.53,31.843,34,4,0.228125
13.3679808841099,9,66.71,0,7.89,24,0.0,2.511,33.567,20,3,0.241106719367589
