Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,NH3-N loss (%)
15.0,9,65.0,0,7.60664,4,26.0,2.66,39.9,69,4,28.0
15.0,9,65.0,0,7.41084,4,26.0,2.66,39.9,24,1,9.0
15.0,9,65.0,0,6.61538,4,26.0,2.66,39.9,24,1,4.0
15.0,9,65.0,0,6.40734,4,26.0,2.66,39.9,24,1,0.5
36.0,0,0.0,0,7.52,16,28.0,1.31,47.16,69,4,7.34615
0.0,0,0.0,0,7.58,16,28.0,1.14,0.0,48,3,3.53846
0.0,7,0.0,0,7.7,16,28.0,2.85,0.0,69,4,15.5
19.0,7,0.0,0,7.4,16,28.0,1.85,35.15,48,3,13.4615
51.4227642276423,0,61.7,0,7.87,16,14.0,0.984,50.6,69,4,6.79
44.5535714285714,0,61.4,0,7.94,16,14.0,1.12,49.9,48,3,2.95
45.5837563451777,0,59.3,0,7.96,16,14.0,0.985,44.9,48,3,3.01
40.9944751381215,0,56.9,0,7.83,16,14.0,0.905,37.1,48,3,2.71
12.9390243902439,9,65.0,1,6.5,30,45.0,2.46,31.83,69,4,3.0
11.1533546325879,9,65.0,1,6.1,30,45.0,3.13,34.91,38,3,2.1
10.9563636363636,9,65.0,1,7.2,30,45.0,2.75,30.13,39,3,4.6
9.83606557377049,9,65.0,1,6.2,30,45.0,3.05,30.0,59,1,0.3
12.9607,9,65.0,0,6.28722,30,45.0,2.46,31.883322,69,4,10.7
11.7281,9,65.0,0,7.1357,30,45.0,2.97,34.832457,22,0,22.7
14.0483,9,65.0,0,7.42357,30,45.0,2.52,35.401716,30,0,14.5
12.0181,9,65.0,0,6.98414,30,45.0,2.79,33.530499,30,0,16.1
12.5619,9,65.0,0,6.92358,30,45.0,2.73,34.293987,30,0,16.4
12.6461242788792,6,60.0,3,7.29412,40,60.0,2.98667,37.7698,69,4,5.6
13.551724137931,6,58.3,3,7.3,40,60.0,2.9,39.3,40,3,2.3
11.9375,6,59.0,3,7.36,40,60.0,3.2,38.2,40,3,2.3
32.0,11,55.0,4,6.37,16,0.0,1.390625,44.5,69,4,23.3852839506173
0.0,11,0.0,4,6.3,16,0.0,0.0,0.0,64,3,23.9757037037037
0.0,11,0.0,4,6.2,16,0.0,0.0,0.0,64,3,17.7668938271605
22.1,11,60.0,0,5.01,4,35.0,1.79,39.6,69,4,13.3
18.2,11,60.0,0,4.43,4,35.0,1.98,36.0,48,3,8.4
19.1,11,60.0,0,4.28,4,35.0,1.89,36.0,59,3,10.5
18.5,11,0.0,0,0.0,40,0.0,0.0,0.0,69,4,22.0
0.0,11,0.0,0,0.0,40,0.0,0.0,0.0,35,1,4.8
24.8,9,52.2,4,8.56364,40,0.0,2.23,41.3,69,4,38.7
0.0,9,0.0,4,8.08636,40,0.0,0.0,0.0,35,1,17.9
0.0,11,68.0,4,0.0,40,0.0,0.0,0.0,69,4,21.16
0.0,11,69.0,4,0.0,40,0.0,0.0,0.0,64,3,14.44
0.0,11,58.0,4,0.0,40,0.0,0.0,0.0,64,3,10.24
0.0,11,60.5,4,0.0,40,0.0,0.0,0.0,64,3,37.21
0.0,11,60.0,4,0.0,40,0.0,0.0,0.0,64,3,16.81
0.0,11,49.0,4,0.0,40,0.0,0.0,0.0,64,3,11.56
20.8,9,0.0,0,8.22764,40,0.0,0.0,0.0,69,4,23.2
0.0,9,0.0,0,8.11382,40,0.0,0.0,0.0,35,1,9.6
0.0,9,0.0,0,6.7,40,0.0,0.0,0.0,12,1,7.1
0.0,9,0.0,0,7.73984,40,0.0,0.0,0.0,35,1,8.46
0.0,9,0.0,0,6.82927,40,0.0,0.0,0.0,35,1,5.45
16.5,9,61.8,4,6.33716,40,0.0,2.88,47.52,69,4,34.9
0.0,9,0.0,4,6.18213,40,0.0,0.0,0.0,25,1,15.0
20.3000023678166,9,70.4,0,7.25,4,0.0,2.11165,42.8665,69,4,31.32
0.0,9,0.0,0,7.82843,4,0.0,0.0,0.0,35,1,21.79
0.0,9,0.0,0,7.86275,4,0.0,0.0,0.0,35,1,14.21
0.0,9,64.6,1,7.4,16,0.0,2.34,0.0,69,4,9.7
0.0,9,0.0,1,0.0,16,0.0,0.0,0.0,29,0,9.8
29.3,9,62.0,0,7.84615,16,0.0,2.2341,0.0,69,4,3.462
0.0,9,60.0,4,7.94846,16,0.0,2.44843,0.0,51,3,2.13
0.0,9,60.0,4,7.51769,16,0.0,2.50053,0.0,50,3,5.74
16.6428571428571,11,61.7,0,5.7,40,0.0,2.8,46.6,69,4,19.6
0.0,11,0.0,0,4.8,40,0.0,0.0,0.0,10,1,7.0
26.0,0,70.0,0,8.8,40,0.0,1.59,41.34,69,4,19.0158
0.0,0,0.0,0,8.8,40,0.0,1.44,0.0,52,3,10.6606
0.0,0,0.0,0,8.6,40,0.0,1.55,0.0,52,3,10.943
30.0,0,0.0,0,8.7,40,0.0,1.36,40.8,52,3,8.5426
25.0,0,0.0,0,8.6,40,0.0,1.59,39.75,69,4,16.6
25.0,0,0.0,0,8.6,40,0.0,1.57,39.25,32,1,15.2
25.0,0,0.0,0,8.6,40,0.0,1.55,38.75,32,1,12.7
25.0,0,0.0,0,8.9,40,0.0,1.55,38.75,32,1,14.9
25.0,0,0.0,0,9.1,40,0.0,1.62,40.5,69,4,15.3
25.0,0,0.0,0,9.0,40,0.0,1.35,33.75,33,1,17.0
25.0,0,0.0,0,8.7,40,0.0,1.31,32.75,33,1,11.9
25.0,0,0.0,0,8.7,40,0.0,1.25,31.25,33,1,11.9
18.54,9,0.0,0,0.0,40,0.0,2.1,38.934,69,4,35.3
