Initial C/N (%),Material_Main,Initial moisture content (%),Method,Initial pH,Material_2,Time Period,Initial TN (%),Initial TC (%),Additive_1,Additive Species,TC loss (%)
15.0,5,65.0,0,7.60664,9,26.0,2.66,39.9,55,4,50.0
15.0,5,65.0,0,7.41084,9,26.0,2.66,39.9,26,1,53.0
15.0,5,65.0,0,6.61538,9,26.0,2.66,39.9,26,1,55.0
15.0,5,65.0,0,6.40734,9,26.0,2.66,39.9,26,1,43.0
10.3932584269663,4,60.0,0,8.70526,62,42.0,3.56,37.0,55,4,43.6
10.7335243553009,4,60.0,0,8.66,62,42.0,3.49,37.46,39,3,36.4
15.5,4,60.0,0,8.55,62,42.0,2.96,45.88,39,3,39.7
31.6,0,65.0,2,7.0135,48,150.0,0.0,0.0,55,4,59.78
31.6761363636364,0,65.0,2,6.8869,48,150.0,0.0,0.0,40,3,59.44
31.7796610169492,0,65.0,2,7.2489,48,150.0,0.0,0.0,40,3,56.55
31.5,0,65.0,2,7.3212,48,150.0,0.0,0.0,40,3,58.57
22.1,6,60.0,0,5.01,9,35.0,1.79,39.6,55,4,54.1
18.2,6,60.0,0,4.43,9,35.0,1.98,36.0,44,3,63.9
19.1,6,60.0,0,4.28,9,35.0,1.89,36.0,50,3,64.2
18.4,5,69.2,0,0.0,11,35.0,2.04,37.48,55,4,64.9
18.4,5,69.2,0,0.0,11,35.0,2.04,37.48,19,1,63.1
18.4,5,69.2,0,0.0,11,35.0,2.04,37.48,21,1,60.6
18.4,5,69.2,0,0.0,11,35.0,2.04,37.48,7,1,58.5
18.4,5,69.2,0,0.0,11,35.0,2.04,37.48,18,1,42.9
19.91,5,62.06,0,7.5,61,28.0,1.96,38.8245,55,4,35.76
18.23,5,58.69,0,7.75,61,28.0,1.29,35.68,50,3,31.91
30.0,4,60.0,0,6.85,50,50.0,0.0,0.0,10,3,52.1
30.0,4,60.0,0,6.46,50,50.0,0.0,0.0,10,3,48.8
30.0,4,60.0,0,6.52,50,50.0,0.0,0.0,10,3,42.3
30.0,4,60.0,0,6.5,50,50.0,0.0,0.0,10,3,39.5
30.0,4,60.0,0,6.55,50,50.0,0.0,0.0,10,3,38.7
20.0,6,60.0,0,8.0,9,42.0,1.79,30.63,55,4,49.3
20.0,6,60.0,0,8.0,9,42.0,1.79,30.63,5,3,48.1
20.0,6,60.0,0,8.0,9,42.0,1.79,30.63,25,1,49.7
20.0,6,60.0,0,8.0,9,42.0,1.79,30.63,5,2,50.2
26.7620561738209,4,60.0,0,7.8,3,30.0,1.2,32.1144674085851,55,4,28.4
2.90159278923324,4,60.0,0,7.8,3,30.0,10.4,30.1765650080257,8,3,29.3
2.53674592815391,4,60.0,0,7.8,3,30.0,13.4,33.9923954372624,5,3,37.1
25.0,5,66.0,0,0.0,45,20.0,0.0,6.0,55,4,47.51
25.0,5,66.0,0,0.0,45,20.0,0.0,6.35,5,3,43.69
25.0,5,66.0,0,0.0,45,20.0,0.0,5.8,16,1,44.26
25.0,5,66.0,0,0.0,45,20.0,0.0,5.85,5,2,42.55
32.3,2,81.4,0,6.6,49,185.0,1.3,41.8,55,4,58.2
50.2,2,78.7,0,7.3,49,185.0,1.1,49.8,5,3,39.3
