material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,N2O-N loss (%)
Manure,15.0417785398946,65.0,7.46561,Poultry manure,,2.65926,40.0,,1.4
Manure,13.041958041958,62.5,7.34,Poultry manure,,2.86,37.3,Physical,0.4
Manure,14.4827586206897,60.5,7.6,Poultry manure,,2.61,37.8,Physical,0.5
Food waste,22.122905027933,60.0,5.01,,,1.79,39.6,,1.97
Food waste,,,4.43,,,,,Physical,2.06
Food waste,,,4.28,,,,,Physical,2.16
Manure,,67.3,7.94,Swine manure,,2.7,,,6.5
Manure,,,7.62,Swine manure,,,,Chemical,5.9
Manure,24.8,52.2,8.56364,Swine manure,,2.23,41.3,,1.5
Manure,,,8.08636,Swine manure,,,,Chemical,1.4
Manure,17.8341013824885,,7.84967,Swine manure,,2.17,38.7,,3.1
Manure,,,7.85621,Swine manure,,,,Physical,3.2
Sewage sludge,11.0,69.0,,,,3.7,40.7,,0.016260162601626
Sewage sludge,16.7,65.0,,,,2.93413173652695,49.0,Physical,0.0129251700680272
Sewage sludge,14.0,67.0,,,,3.24285714285714,45.4,Physical,0.0104294478527607
Manure,20.3000023678166,70.4,7.25,Swine manure,,2.11165,42.8665,,0.73
Manure,,,7.82843,Swine manure,,,,Chemical,1.45
Manure,,,7.86275,Swine manure,,,,Chemical,1.29
Manure,,64.6,7.4,Swine manure,,2.34,,,9.3
Manure,,,,Swine manure,,,,Biological,3.0
Manure,,62.0,7.84615,Swine manure,,2.2341,,,11.22
Manure,,,7.94846,Swine manure,,2.44843,,Physical,8.92
Manure,,,7.51769,Swine manure,,2.50053,,Physical,0.64
Manure,17.9,63.0,8.3,Cow manure,,1.4,25.06,,0.0861428571428571
Manure,17.8,65.4,7.6,Cow manure,,1.33,23.674,Physical,0.202071428571429
Manure,18.9,64.6,7.6,Cow manure,,1.32,24.948,Physical,0.153571428571429
Manure,18.5,65.4,7.4,Cow manure,,1.29,23.865,Physical,0.221071428571429
Manure,20.1,64.0,8.4,Cow manure,,1.29,25.929,Physical,0.0560714285714286
Manure,17.1,61.0,8.6,Cow manure,,1.12,19.152,Physical,0.148785714285714
Manure,18.9,63.7,8.7,Cow manure,,1.23,23.247,Physical,0.104714285714286
Manure,18.54,,,Swine manure,,2.1,38.934,,1.0
Manure,,,,Swine manure,,,,Physical,0.9
Manure,,,,Swine manure,,,,Physical,0.8
