material_0,initial CN(%),initial moisture content(%),initial pH,material_1,Excipients,initial TN(%),initial TC(%),Additive Species,NH3-N loss (%)
Manure,15.0,65.0,7.60664,Swine manure,,2.66,39.9,,28.0
Manure,,,7.41084,Swine manure,,,,Chemical,9.0
Manure,,,6.61538,Swine manure,,,,Chemical,4.0
Manure,,,6.40734,Swine manure,,,,Chemical,0.5
Manure,13.2113821138211,65.0,6.49842,Swine manure,,2.46,32.5,,3.0
Manure,10.9563636363636,,7.2,Swine manure,,2.75,30.13,Physical,4.6
Manure,11.1533546325879,,6.1,Swine manure,,3.13,34.91,Physical,2.1
Manure,9.83606557377049,,6.2,Swine manure,,3.05,30.0,Physical,0.3
Manure,,65.0,7.13744,Swine manure,,2.46,32.7,,22.7
Manure,,,,Swine manure,,,,Biological,14.5
Manure,,,,Swine manure,,,,Biological,16.1
Manure,,,,Swine manure,,,,Biological,16.4
Manure,12.6461242788792,60.0,7.29412,Poultry manure,,2.98667,37.7698,,5.6
Manure,13.551724137931,58.3,7.3,Poultry manure,,2.9,39.3,Physical,2.3
Manure,11.9375,59.0,7.36,Poultry manure,,3.2,38.2,Physical,2.3
Food waste,32.0,55.0,6.37,,,1.390625,44.5,,23.3852839506173
Food waste,,,6.3,,,,,Physical,23.9757037037037
Food waste,,,6.2,,,,,Physical,17.7668938271605
Food waste,22.122905027933,60.0,5.01,,,1.79,39.6,,13.3
Food waste,,,4.43,,,,,Physical,8.4
Food waste,,,4.28,,,,,Physical,10.5
Food waste,18.5,,,,,,,,22.0
Food waste,,,,,,,,Chemical,4.8
Manure,,67.3,7.94,Swine manure,,2.7,,,9.2
Manure,,,7.62,Swine manure,,,,Chemical,6.9
Manure,24.8,52.2,8.56364,Swine manure,,2.23,41.3,,38.7
Manure,,,8.08636,Swine manure,,,,Chemical,17.9
Manure,17.8341013824885,,7.84967,Swine manure,,2.17,38.7,,29.1
Manure,,,7.85621,Swine manure,,,,Physical,22.8
Sewage sludge,11.0,69.0,,,,3.7,40.7,,12.7371273712737
Sewage sludge,16.7,65.0,,,,2.93413173652695,49.0,Physical,9.18367346938776
Sewage sludge,14.0,67.0,,,,3.24285714285714,45.4,Physical,9.50920245398773
Sewage sludge,,68.0,,,,,,,21.16
Sewage sludge,,69.0,,,,,,Physical,14.44
Sewage sludge,,58.0,,,,,,Physical,10.24
Sewage sludge,,60.5,,,,,,Physical,37.21
Sewage sludge,,60.0,,,,,,Physical,16.81
Sewage sludge,,49.0,,,,,,Physical,11.56
Manure,20.8,,8.22764,Swine manure,,,,,23.2
Manure,,,8.11382,Swine manure,,,,Chemical,9.6
Manure,,,6.7,Swine manure,,,,Chemical,7.1
Manure,,,7.73984,Swine manure,,,,Chemical,8.46
Manure,,,6.82927,Swine manure,,,,Chemical,5.45
Manure,16.5,61.8,6.33716,Swine manure,,2.88,47.52,,34.9
Manure,,,6.18213,Swine manure,,,,Chemical,15.0
Manure,20.3000023678166,70.4,7.25,Swine manure,,2.11165,42.8665,,31.32
Manure,,,7.82843,Swine manure,,,,Chemical,21.79
Manure,,,7.86275,Swine manure,,,,Chemical,14.21
Manure,,64.6,7.4,Swine manure,,2.34,,,9.7
Manure,,,,Swine manure,,,,Biological,9.8
Manure,,,7.94846,Swine manure,,2.44843,,Physical,2.13
Manure,,,7.51769,Swine manure,,2.50053,,Physical,5.74
Sewage sludge,16.6428571428571,61.7,5.7,,,2.8,46.6,,19.6
Sewage sludge,,,4.8,,,,,Chemical,7.0
Manure,26.0,70.0,8.8,Cow manure,,1.59,41.34,,19.0158
Manure,,,8.8,Cow manure,,1.44,,Physical,10.6606
Manure,,,8.6,Cow manure,,1.55,,Physical,10.943
Manure,30.0,,8.7,Cow manure,,1.36,40.8,Physical,8.5426
Manure,25.0,,8.6,Cow manure,,1.59,39.75,,16.6
