Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),CH4-C (g)
60.0,0.0,4,5.0,0.22,5,3,64.9862,2.65926,2,0.0,0.0,7.46265,15.04177854,0.0126333,0.389747627,40.0,0.0,85.74447789,30.0224,0.0111524,1.67053,0.594
60.0,10.0,4,5.0,0.22,0,2,62.7622,2.86,2,0.0,0.0,7.33735,13.04195804,0.0122977,0.404815928,37.3,0.0,89.05950405,33.1638,0.0172491,3.57061,0.099
60.0,10.0,4,5.0,0.22,0,2,60.6549,2.61,2,0.0,0.0,7.61365,14.48275862,0.00719685,0.383053359,37.8,0.0,84.27173905,33.1568,0.0188848,4.80377,0.132
47.40596330275229,0.0,6,5.0,1.924220107,5,3,62.63,1.4,2,0.0,0.0,8.3,17.9,2.457,0.519691067,25.06,0.0,2675.94327,1000.0,0.01,11.7,15360.0
47.40596330275229,10.0,6,5.0,2.194092057,1,1,65.46,1.33,2,0.0,0.0,7.6,17.8,2.755,0.455769391,23.674,0.0,2895.193978,1000.0,0.009,3.5467839473684215,2830.0
47.40596330275229,17.8,6,5.0,2.210162561,1,1,64.61,1.32,2,0.0,0.0,7.6,18.9,2.311,0.452455406,24.948,0.0,2825.656965,1000.0,0.006,3.5467839473684215,510.0
47.40596330275229,26.9,6,5.0,2.507596353,1,1,65.46,1.29,2,0.0,0.0,7.4,18.5,2.893,0.398788265,23.865,0.0,2895.193978,1000.0,0.011,3.5467839473684215,440.0
47.40596330275229,9.9,6,5.0,1.934642071,3,2,64.12,1.29,2,0.0,0.0,8.4,20.1,2.858,0.516891478,25.929,0.0,2787.068004,1000.0,0.005,12.2,8280.0
47.40596330275229,20.7,6,5.0,2.242778039,3,2,61.07,1.12,2,0.0,0.0,8.6,17.1,2.265,0.445875598,19.152,0.0,2568.713075,1000.0,0.008,9.8,11230.0
47.40596330275229,30.6,6,5.0,2.51122902,3,2,63.73,1.23,2,0.0,0.0,8.7,18.9,2.144,0.398211391,23.247,0.0,2757.099531,1000.0,0.008,10.7,13280.0
44.0,0.0,3,6.0,0.273,5,3,68.45,2.53,1,44.0,20.0,7.85,12.58616601,0.0,0.228937729,31.843,0.46008,62.5,19.71875,0.0,0.0,6.34881
44.0,5.890009954,3,6.0,0.275,0,2,66.71,2.511,1,44.0,20.0,7.89,13.36798088,0.0,0.231818182,33.567,0.451058824,63.75,21.222375,0.0,0.0,5.55165
44.0,11.86352204,3,6.0,0.277,0,2,67.58,2.522,1,44.0,20.0,8.1,14.22085646,0.0,0.23465704,35.865,0.442384615,65.0,21.073,0.0,0.0,5.4021825
44.0,21.4148812,3,6.0,0.282,0,2,65.41,2.506,1,44.0,20.0,8.17,14.81404629,0.0,0.239361702,37.124,0.426,67.5,23.34825,0.0,0.0,6.4698075
76.0,0.0,1,7.0,0.1625,4,2,60.0,0.0,0,76.0,0.0,0.0,0.0,0.0,0.153846154,0.0,0.1275,25.0,10.0,0.0,0.0,0.1535
76.0,7.5,1,7.0,0.1625,5,3,60.0,1.57,0,76.0,0.0,0.0,27.40127389,0.0,0.153846154,43.02,0.1275,25.0,10.0,0.0,0.0,0.1527
76.0,0.0,1,3.0,0.1625,4,2,60.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.153846154,0.0,0.0,25.0,10.0,0.0,0.0,0.0776
76.0,7.5,1,3.0,0.1625,5,3,60.0,1.57,2,0.0,0.0,0.0,27.40127389,0.0,0.153846154,43.02,0.0,25.0,10.0,0.0,0.0,0.0322
27.0,0.0,0,1.0,0.77,5,3,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.162298701,0.0,5.941425942,124.97,34.9916,0.0,0.0,92.790225
27.0,2.1,0,1.0,0.77,4,2,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.163233766,0.0,5.907391201,125.69,35.1932,0.0,0.0,63.159225
27.0,4.1,0,1.0,0.77,4,2,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.164168831,0.0,5.873744166,126.41,35.3948,0.0,0.0,15.1692
27.0,6.2,0,1.0,0.77,4,2,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.165090909,0.0,5.840937697,127.12,35.5936,0.0,0.0,59.1108
27.0,8.2,0,1.0,0.77,4,2,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.166025974,0.0,5.808041302,127.84,35.7952,0.0,0.0,25.8876
27.0,10.3,0,1.0,0.77,4,2,72.0,0.0,1,27.0,480.0,0.0,25.0,0.0,0.166961039,0.0,5.775513379,128.56,35.9968,0.0,0.0,19.284
112.0,0.0,2,12.0,0.0,5,3,65.4,1.4,0,42.0,0.0,7.1,0.0,3.252,0.0,0.0,0.256904303,1875.0,648.75,0.0,0.0,2480.0
112.0,2.949852507,2,12.0,0.0,2,0,66.1,1.6,0,42.0,0.0,6.8,0.0,3.484,0.0,0.0,0.262209112,1875.0,635.625,0.0,0.0,2300.0
112.0,0.0,2,12.0,0.0,5,3,64.9,3.4,2,0.0,0.0,6.9,0.0,6.093,0.0,0.0,0.0,910.0,319.41,0.0,0.0,770.0
112.0,2.816901408,2,12.0,0.0,2,0,64.5,3.1,2,0.0,0.0,7.0,0.0,5.606,0.0,0.0,0.0,910.0,323.05,0.0,0.0,1020.0
