Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),CH4-C loss (%)
60.0,0.0,3,5.0,0.22,9,3,64.9862,2.65926,2,0.0,0.0,7.46265,15.04177854,0.0126333,0.389747627,40.0,0.0,85.74447789,30.0224,0.0111524,1.67053,0.008
60.0,10.0,3,5.0,0.22,0,2,62.7622,2.86,2,0.0,0.0,7.33735,13.04195804,0.0122977,0.404815928,37.3,0.0,89.05950405,33.1638,0.0172491,3.57061,0.0012
60.0,10.0,3,5.0,0.22,0,2,60.6549,2.61,2,0.0,0.0,7.61365,14.48275862,0.00719685,0.383053359,37.8,0.0,84.27173905,33.1568,0.0188848,4.80377,0.0018
35.0,0.0,0,5.0,0.06,9,3,60.0,1.79,0,35.0,0.0,5.01,22.1,0.42,0.0,39.559,0.2,0.0,0.0,0.01,1.78,0.33
35.0,10.0,0,5.0,0.06,6,0,60.0,1.98,0,35.0,0.0,4.43,18.2,0.42,0.0,36.036,0.2,0.0,0.0,0.01,2.84,0.06
35.0,10.0,0,5.0,0.06,8,0,60.0,1.89,0,35.0,0.0,4.28,19.1,0.42,0.0,36.099,0.2,0.0,0.0,0.01,2.28,0.09
47.40596330275229,0.0,6,5.0,1.924220107,9,3,62.63,1.4,2,0.0,0.0,8.3,17.9,2.457,0.519691067,25.06,0.0,2675.94327,1000.0,0.01,11.7,6.134185304
47.40596330275229,10.0,6,5.0,2.194092057,3,0,65.46,1.33,2,0.0,0.0,7.6,17.8,2.755,0.455769391,23.674,0.0,2895.193978,1000.0,0.009,3.5467839473684215,1.130191693
47.40596330275229,17.8,6,5.0,2.210162561,3,0,64.61,1.32,2,0.0,0.0,7.6,18.9,2.311,0.452455406,24.948,0.0,2825.656965,1000.0,0.006,3.5467839473684215,0.203674121
47.40596330275229,26.9,6,5.0,2.507596353,3,0,65.46,1.29,2,0.0,0.0,7.4,18.5,2.893,0.398788265,23.865,0.0,2895.193978,1000.0,0.011,3.5467839473684215,0.17571885
47.40596330275229,9.9,6,5.0,1.934642071,7,2,64.12,1.29,2,0.0,0.0,8.4,20.1,2.858,0.516891478,25.929,0.0,2787.068004,1000.0,0.005,12.2,3.306709265
47.40596330275229,20.7,6,5.0,2.242778039,7,2,61.07,1.12,2,0.0,0.0,8.6,17.1,2.265,0.445875598,19.152,0.0,2568.713075,1000.0,0.008,9.8,4.484824281
47.40596330275229,30.6,6,5.0,2.51122902,7,2,63.73,1.23,2,0.0,0.0,8.7,18.9,2.144,0.398211391,23.247,0.0,2757.099531,1000.0,0.008,10.7,5.303514377
70.0,0.0,0,10.0,1.2,9,3,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21
70.0,3.3,0,10.0,1.2,8,0,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03
70.0,6.6,0,10.0,1.2,8,0,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16
70.0,9.9,0,10.0,1.2,8,0,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24
70.0,13.2,0,10.0,1.2,8,0,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22
70.0,16.5,0,10.0,1.2,8,0,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08
