Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),CO2-C (g)
45.0,0.0,5,6.0,0.09,21,4,65.0,2.46,1,35.0,84.95033112582782,6.28722,12.9607,1.55482,0.25,31.883322,2.6,61.14285714,21.4,0.0280893,2.11742,1586.59
45.0,0.65,5,6.0,0.09,6,0,65.0,2.97,1,35.0,84.95033112582782,7.1357,11.7281,1.68941,0.25,34.832457,2.6,56.57142857,19.8,0.0411082,4.20076,1743.81
45.0,0.65,5,6.0,0.09,14,0,65.0,2.52,1,35.0,84.95033112582782,7.42357,14.0483,0.747269,0.25,35.401716,2.6,59.14285714,20.7,0.0204877,2.57197,1874.82
45.0,0.65,5,6.0,0.09,14,0,65.0,2.79,1,35.0,84.95033112582782,6.98414,12.0181,1.78026,0.25,33.530499,2.6,56.28571429,19.7,0.0248295,4.06818,1464.37
45.0,1.95,5,6.0,0.09,14,0,65.0,2.73,1,35.0,84.95033112582782,6.92358,12.5619,1.12748,0.25,34.293987,2.6,56.85714286,19.9,0.00746204,3.5947,1542.98
56.0,0.0,3,0.0,0.02,21,4,55.0,1.38461,1,0.0,0.0,6.39047,32.0202,0.309409,0.5,44.33548912,0.0,0.0,0.0,0.0,1.91765,338.032
56.0,1.943259,3,0.0,0.02,10,1,55.0,1.51479,1,0.0,0.0,6.50999,30.4041,0.961339,0.5,46.05582664,0.0,0.0,0.0,0.0,2.90588,544.588
56.0,6.943259,3,0.0,0.02,10,2,55.0,1.44971,1,0.0,0.0,6.29485,34.0404,0.497235,0.5,49.34870828,0.0,0.0,0.0,0.0,2.69412,620.821
56.0,16.943259,3,0.0,0.02,10,2,55.0,1.60948,1,0.0,0.0,6.19923,29.0404,0.430937,0.5,46.73994299,0.0,0.0,0.0,0.0,2.72941,592.54
18.0,0.0,3,0.0,0.010209318,21,4,60.0,2.0716216893271606,0,18.0,0.0,7.5668,5.6,0.0,0.27,30.09,0.16,2.7,1.08,0.0,0.0,59.987736
18.0,2.4392,3,0.0,0.010209318,0,1,60.0,2.0716216893271606,0,18.0,0.0,7.42105,4.64,0.0,0.27,32.03,0.16,2.7,1.08,0.0,0.0,55.745712
18.0,2.4392,3,0.0,0.010209318,0,1,60.0,2.0716216893271606,0,18.0,0.0,6.27126,5.71,0.0,0.27,35.09,0.16,2.7,1.08,0.0,0.0,57.35448
18.0,2.4392,3,0.0,0.010209318,0,1,60.0,2.0716216893271606,0,18.0,0.0,7.47773,5.89,0.0,0.27,37.02,0.16,2.7,1.08,0.0,0.0,50.772096
47.40596330275229,0.0,6,5.0,1.924220107,21,4,62.63,1.4,2,0.0,0.0,8.3,17.9,2.457,0.519691067,25.06,0.0,2675.94327,1000.0,0.01,11.7,93700.0
47.40596330275229,10.0,6,5.0,2.194092057,4,1,65.46,1.33,2,0.0,0.0,7.6,17.8,2.755,0.455769391,23.674,0.0,2895.193978,1000.0,0.009,3.5467839473684215,109300.0
