Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),CO2-C loss (%)
35.0,0.0,0,5.0,0.06,4,3,60.0,1.79,0,35.0,0.0,5.01,22.1,0.42,0.0,39.559,0.2,0.0,0.0,0.01,1.78,51.5
35.0,10.0,0,5.0,0.06,2,0,60.0,1.98,0,35.0,0.0,4.43,18.2,0.42,0.0,36.036,0.2,0.0,0.0,0.01,2.84,59.0
35.0,10.0,0,5.0,0.06,3,0,60.0,1.89,0,35.0,0.0,4.28,19.1,0.42,0.0,36.099,0.2,0.0,0.0,0.01,2.28,60.2
28.0,0.0,3,4.0,0.06,4,3,62.06,1.95,0,28.0,0.0,7.79826,17.91,0.0,0.740203831,34.9245,0.36,44.41222984,16.85,0.0,2.1116,32.11
28.0,10.0,3,4.0,0.06,3,0,58.69,1.96,0,28.0,0.0,7.89913,18.23,0.0,0.780682643,35.7308,0.36,46.84095861,19.35,0.0,2.162,24.5
34.0,0.0,0,6.0,0.06,4,3,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.583333333,0.0,0.272108844,35.0,12.25,0.0,1.13,39.47
34.0,10.0,0,6.0,0.06,3,0,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.60375,0.0,0.262907095,36.225,12.67875,0.0,1.48,35.38
34.0,10.28571429,0,6.0,0.06,3,0,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.604333333,0.0,0.262653324,36.26,12.691,0.0,1.27,30.39
34.0,14.57142857,0,6.0,0.06,3,0,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.613083333,0.0,0.258904704,36.785,12.87475,0.0,1.52,35.42
50.0,0.0,2,9.0,0.1,4,3,55.0,2.084,0,50.0,0.0,7.74382,25.0,1.94737,0.0,52.1,0.3,0.0,0.0,0.0360493,0.0,14.697
50.0,10.0,2,9.0,0.1,0,2,0.0,0.0,0,50.0,0.0,8.21499,0.0,2.38947,0.0,0.0,0.3,0.0,0.0,0.00672348,0.0,9.51515
50.0,20.0,2,9.0,0.1,0,2,0.0,0.0,0,50.0,0.0,8.13921,0.0,1.68421,0.0,0.0,0.3,0.0,0.0,0.040558,0.0,9.36364
50.0,20.5,2,9.0,0.1,0,1,0.0,0.0,0,50.0,0.0,8.0173,0.0,1.86316,0.0,0.0,0.3,0.0,0.0,0.0360416,0.0,8.66667
50.0,21.0,2,9.0,0.1,0,1,0.0,0.0,0,50.0,0.0,7.84926,0.0,1.67368,0.0,0.0,0.3,0.0,0.0,0.0270318,0.0,7.36364
50.0,22.0,2,9.0,0.1,0,1,0.0,0.0,0,50.0,0.0,7.82949,0.0,2.77895,0.0,0.0,0.3,0.0,0.0,0.0157537,0.0,7.15152
91.0,0.0,1,13.0,0.25,4,3,60.0,1.99,1,0.0,0.0,7.99441,20.0,0.199292,0.0,39.8,0.0,0.0,0.0,0.236807,1.66809,18.3728
91.0,12.5,1,13.0,0.25,0,2,60.0,2.02,1,0.0,0.0,7.90629,20.0,0.160717,0.0,40.4,0.0,0.0,0.0,0.23735,1.03829,12.9586
91.0,12.5,1,13.0,0.25,1,0,60.0,1.93,1,0.0,0.0,7.55385,20.0,0.270006,0.0,38.6,0.0,0.0,0.0,0.236715,2.45106,14.645
91.0,25.0,1,13.0,0.25,0,1,60.0,1.96,1,0.0,0.0,7.45315,20.0,0.289292,0.0,39.2,0.0,0.0,0.0,0.236725,1.92341,8.07692
91.0,0.0,1,13.0,0.25,4,3,60.0,2.0716216893271606,1,0.0,0.0,7.61678,25.0,0.132858,0.0,38.95191115012552,0.0,0.0,0.0,0.607654,1.33901,19.2604
91.0,12.5,1,13.0,0.25,0,2,60.0,1.78,1,0.0,0.0,7.67972,25.0,0.0814295,0.0,44.5,0.0,0.0,0.0,0.609379,0.896463,10.9172
91.0,12.5,1,13.0,0.25,1,0,60.0,1.82,1,0.0,0.0,7.17622,25.0,0.190718,0.0,45.5,0.0,0.0,0.0,0.608186,2.34327,17.0414
91.0,25.0,1,13.0,0.25,0,1,60.0,1.76,1,0.0,0.0,7.26434,25.0,0.184286,0.0,44.0,0.0,0.0,0.0,0.608131,1.79858,10.8284
91.0,0.0,1,13.0,0.25,4,3,60.0,1.67,1,0.0,0.0,7.55385,30.0,0.111427,0.0,50.1,0.0,0.0,0.0,0.976888,0.805674,21.8343
91.0,12.5,1,13.0,0.25,0,2,60.0,1.63,1,0.0,0.0,7.5035,30.0,0.0471383,0.0,48.9,0.0,0.0,0.0,0.977398,0.703537,11.4497
91.0,12.5,1,13.0,0.25,1,0,60.0,1.7,1,0.0,0.0,7.15105,30.0,0.104995,0.0,51.0,0.0,0.0,0.0,0.976701,2.23546,16.9527
91.0,25.0,1,13.0,0.25,0,1,60.0,1.52,1,0.0,0.0,7.12587,30.0,0.149999,0.0,45.6,0.0,0.0,0.0,0.976724,2.08227,11.8935
