Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),NH3-N (g)
26.0,0.0,0,2.0,0.05,37,4,65.0,2.66,0,26.0,0.0,7.60664,15.0,6.77859,0.532,39.9,0.57,21.42857143,7.5,0.175751,3.1131,44.57970588
26.0,3.8,0,2.0,0.05,18,1,65.0,2.66,0,26.0,0.0,7.41084,15.0,8.11588,0.532,39.9,0.57,21.42857143,7.5,0.0372636,2.84524,15.48317647
26.0,7.3,0,2.0,0.05,18,1,65.0,2.66,0,26.0,0.0,6.61538,15.0,8.16937,0.532,39.9,0.57,21.42857143,7.5,0.0522803,2.2381,6.177804706
26.0,8.9,0,2.0,0.05,18,1,65.0,2.66,0,26.0,0.0,6.40734,15.0,8.82914,0.532,39.9,0.57,21.42857143,7.5,0.025584,2.45833,1.328377647
14.0,0.0,4,2.0,0.004,37,4,61.7,0.984,0,14.0,0.0,7.87,22.10379619096271,1.07,0.275,50.6,0.1,1.1,0.4213,0.0312,6.0,0.281485697
14.0,6.0,4,2.0,0.004,10,1,61.4,1.12,0,14.0,0.0,7.94,44.55357143,1.22,0.275,49.9,0.1,1.1,0.4246,0.0,7.2,0.14028784
14.0,13.0,4,2.0,0.004,10,1,59.3,0.985,0,14.0,0.0,7.96,45.58375635,1.19,0.275,44.9,0.1,1.1,0.4477,0.0,8.1,0.132736335
14.0,23.0,4,2.0,0.004,10,1,56.9,0.905,0,14.0,0.0,7.83,40.99447514,1.15,0.275,37.1,0.1,1.1,0.4741,0.0,8.85,0.116275396
45.0,0.0,6,7.0,0.09,37,4,65.0,2.46,1,45.0,84.95033112582782,6.5,12.93902439,1.13736,0.255555556,31.83,7.56254417,22.66810845,7.933837959,0.0304455,3.5,5.9
45.0,16.87763713,6,7.0,0.09,2,0,65.0,3.13,1,45.0,84.95033112582782,6.1,11.15335463,1.28735,0.270222222,34.91,7.060511509,24.27990822,8.497967877,0.0695545,4.1,5.7
45.0,15.47116737,6,7.0,0.09,3,3,65.0,2.75,1,45.0,84.95033112582782,7.2,10.95636364,1.26293,0.269,30.13,6.655573376,25.75714544,9.015000904,0.019802,3.5,11.4
45.0,15.47116737,6,7.0,0.09,34,1,65.0,3.05,1,45.0,84.95033112582782,6.2,9.836065574,0.917599,0.269,30.0,7.341529412,23.35052573,8.172684006,0.0215347,4.8,0.6
45.0,0.0,6,6.0,0.09,37,4,65.0,2.46,1,35.0,84.95033112582782,6.28722,12.9607,1.55482,0.25,31.883322,2.6,61.14285714,21.4,0.0280893,2.11742,4.858823529
45.0,0.65,6,6.0,0.09,15,0,65.0,2.97,1,35.0,84.95033112582782,7.1357,11.7281,1.68941,0.25,34.832457,2.6,56.57142857,19.8,0.0411082,4.20076,9.388235294
45.0,0.65,6,6.0,0.09,25,0,65.0,2.52,1,35.0,84.95033112582782,7.42357,14.0483,0.747269,0.25,35.401716,2.6,59.14285714,20.7,0.0204877,2.57197,5.105882353
45.0,0.65,6,6.0,0.09,25,0,65.0,2.79,1,35.0,84.95033112582782,6.98414,12.0181,1.78026,0.25,33.530499,2.6,56.28571429,19.7,0.0248295,4.06818,8.811764706
45.0,1.95,6,6.0,0.09,25,0,65.0,2.73,1,35.0,84.95033112582782,6.92358,12.5619,1.12748,0.25,34.293987,2.6,56.85714286,19.9,0.00746204,3.5947,7.905882353
60.0,0.0,5,7.0,0.165,37,4,60.0,3.056743095,2,0.0,0.0,7.28993,12.3645,0.281479,1.909090909,37.7951,0.0,31.5,12.6,0.000400112,0.0,41.17647059
60.0,10.0,5,7.0,0.165,4,3,59.0,2.960783429,2,0.0,0.0,7.31734,13.2954,0.24349,2.090909091,39.3648,0.0,34.5,14.145,0.000558364,0.0,16.47058824
60.0,10.0,5,7.0,0.165,4,3,58.0,3.339649853,2,0.0,0.0,7.38317,11.4409,0.225607,2.090909091,38.2086,0.0,34.5,14.49,0.000466357,0.0,24.70588235
56.0,0.0,4,0.0,0.02,37,4,55.0,1.38461,1,0.0,0.0,6.39047,32.0202,0.309409,0.5,44.33548912,0.0,0.0,0.0,0.0,1.91765,0.948769
56.0,1.943259,4,0.0,0.02,20,1,55.0,1.51479,1,0.0,0.0,6.50999,30.4041,0.961339,0.5,46.05582664,0.0,0.0,0.0,0.0,2.90588,11.7648
56.0,6.943259,4,0.0,0.02,20,2,55.0,1.44971,1,0.0,0.0,6.29485,34.0404,0.497235,0.5,49.34870828,0.0,0.0,0.0,0.0,2.69412,12.1413
56.0,16.943259,4,0.0,0.02,20,2,55.0,1.60948,1,0.0,0.0,6.19923,29.0404,0.430937,0.5,46.73994299,0.0,0.0,0.0,0.0,2.72941,9.04727
26.0,0.0,4,0.0,0.0212,37,4,61.8,2.86133,0,26.0,0.0,6.33927,16.5,3.54381,0.722641509,47.211945,0.911331957,15.32,5.85224,0.0,0.0,46.61176471
26.0,0.56,4,0.0,0.0212,19,1,61.8,2.98895,0,26.0,0.0,6.19896,0.0,3.73711,0.724056604,0.0,0.909550852,15.35,5.8637,0.0,0.0,19.97058824
35.0,0.0,0,4.0,0.06,37,4,70.4,2.09,0,35.0,0.0,7.24574,20.3,4.59661,0.0,42.4,0.38,0.0,0.0,0.0397628,0.0,56.79931765
