Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),NH3-N loss (%)
26.0,0.0,1,2.0,0.05,41,4,65.0,2.66,0,26.0,0.0,7.60664,15.0,6.77859,0.532,39.9,0.57,21.42857143,7.5,0.175751,3.1131,28.0
26.0,3.8,1,2.0,0.05,20,1,65.0,2.66,0,26.0,0.0,7.41084,15.0,8.11588,0.532,39.9,0.57,21.42857143,7.5,0.0372636,2.84524,9.0
26.0,7.3,1,2.0,0.05,20,1,65.0,2.66,0,26.0,0.0,6.61538,15.0,8.16937,0.532,39.9,0.57,21.42857143,7.5,0.0522803,2.2381,4.0
26.0,8.9,1,2.0,0.05,20,1,65.0,2.66,0,26.0,0.0,6.40734,15.0,8.82914,0.532,39.9,0.57,21.42857143,7.5,0.025584,2.45833,0.5
14.0,0.0,6,2.0,0.004,41,4,61.7,0.984,0,14.0,0.0,7.87,22.10379619096271,1.07,0.275,50.6,0.1,1.1,0.4213,0.0312,6.0,6.79
14.0,6.0,6,2.0,0.004,11,1,61.4,1.12,0,14.0,0.0,7.94,44.55357143,1.22,0.275,49.9,0.1,1.1,0.4246,0.0,7.2,2.95
14.0,13.0,6,2.0,0.004,11,1,59.3,0.985,0,14.0,0.0,7.96,45.58375635,1.19,0.275,44.9,0.1,1.1,0.4477,0.0,8.1,3.01
14.0,23.0,6,2.0,0.004,11,1,56.9,0.905,0,14.0,0.0,7.83,40.99447514,1.15,0.275,37.1,0.1,1.1,0.4741,0.0,8.85,2.71
45.0,0.0,9,7.0,0.09,41,4,65.0,2.46,1,45.0,84.95033112582782,6.5,12.93902439,1.13736,0.255555556,31.83,7.56254417,22.66810845,7.933837959,0.0304455,3.5,3.0
45.0,16.87763713,9,7.0,0.09,0,0,65.0,3.13,1,45.0,84.95033112582782,6.1,11.15335463,1.28735,0.270222222,34.91,7.060511509,24.27990822,8.497967877,0.0695545,4.1,2.1
45.0,15.47116737,9,7.0,0.09,2,3,65.0,2.75,1,45.0,84.95033112582782,7.2,10.95636364,1.26293,0.269,30.13,6.655573376,25.75714544,9.015000904,0.019802,3.5,4.6
45.0,15.47116737,9,7.0,0.09,36,1,65.0,3.05,1,45.0,84.95033112582782,6.2,9.836065574,0.917599,0.269,30.0,7.341529412,23.35052573,8.172684006,0.0215347,4.8,0.3
45.0,0.0,9,6.0,0.09,41,4,65.0,2.46,1,35.0,84.95033112582782,6.28722,12.9607,1.55482,0.25,31.883322,2.6,61.14285714,21.4,0.0280893,2.11742,10.7
45.0,0.65,9,6.0,0.09,17,0,65.0,2.97,1,35.0,84.95033112582782,7.1357,11.7281,1.68941,0.25,34.832457,2.6,56.57142857,19.8,0.0411082,4.20076,22.7
45.0,0.65,9,6.0,0.09,27,0,65.0,2.52,1,35.0,84.95033112582782,7.42357,14.0483,0.747269,0.25,35.401716,2.6,59.14285714,20.7,0.0204877,2.57197,14.5
45.0,0.65,9,6.0,0.09,27,0,65.0,2.79,1,35.0,84.95033112582782,6.98414,12.0181,1.78026,0.25,33.530499,2.6,56.28571429,19.7,0.0248295,4.06818,16.1
45.0,1.95,9,6.0,0.09,27,0,65.0,2.73,1,35.0,84.95033112582782,6.92358,12.5619,1.12748,0.25,34.293987,2.6,56.85714286,19.9,0.00746204,3.5947,16.4
60.0,0.0,8,7.0,0.165,41,4,60.0,3.056743095,2,0.0,0.0,7.28993,12.3645,0.281479,1.909090909,37.7951,0.0,31.5,12.6,0.000400112,0.0,5.6
60.0,10.0,8,7.0,0.165,4,3,59.0,2.960783429,2,0.0,0.0,7.31734,13.2954,0.24349,2.090909091,39.3648,0.0,34.5,14.145,0.000558364,0.0,2.3
60.0,10.0,8,7.0,0.165,4,3,58.0,3.339649853,2,0.0,0.0,7.38317,11.4409,0.225607,2.090909091,38.2086,0.0,34.5,14.49,0.000466357,0.0,2.3
35.0,0.0,1,5.0,0.06,41,4,60.0,1.79,0,35.0,0.0,5.01,22.1,0.42,0.0,39.559,0.2,0.0,0.0,0.01,1.78,13.3
35.0,10.0,1,5.0,0.06,31,1,60.0,1.98,0,35.0,0.0,4.43,18.2,0.42,0.0,36.036,0.2,0.0,0.0,0.01,2.84,8.4
35.0,10.0,1,5.0,0.06,36,1,60.0,1.89,0,35.0,0.0,4.28,19.1,0.42,0.0,36.099,0.2,0.0,0.0,0.01,2.28,10.5
20.0,0.0,6,7.0,0.02,41,4,0.0,0.0,0,20.0,0.0,0.0,18.5,0.0,0.0,0.0,1.066666667,0.0,3.0,0.0,0.0,22.0
20.0,20.0,6,7.0,0.02,20,1,0.0,0.0,0,20.0,0.0,0.0,18.5,0.0,0.0,0.0,1.066666667,0.0,3.0,0.0,0.0,4.8
28.0,0.0,1,3.0,0.06,41,4,52.2,2.23,0,28.0,0.0,8.56091,24.8,3.66383,0.0,55.304,0.25,0.0,0.0,0.0498696,0.0,38.7
28.0,3.728232,1,3.0,0.06,20,1,52.2,2.23,0,28.0,0.0,8.08092,24.8,1.71425,0.0,55.304,0.25,0.0,0.0,0.063166,0.0,17.9
28.0,3.783982,1,3.0,0.06,20,1,52.2,2.23,0,28.0,0.0,8.04706,24.8,1.84099,0.0,55.304,0.25,0.0,0.0,0.05231,0.0,16.1
0.0,0.0,0,0.0,0.0,41,4,68.1481,0.0,2,0.0,0.0,8.9,35.4459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.15834118
0.0,25.0,0,0.0,0.0,40,3,56.0494,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.00049412
0.0,25.0,0,0.0,0.0,40,3,61.2346,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.22403529
0.0,25.0,0,0.0,0.0,40,3,55.0617,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.04332941
0.0,10.0,0,0.0,0.0,40,3,65.679,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.65751765
0.0,40.0,0,0.0,0.0,40,3,46.9136,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.44831765
39.0,0.0,1,5.0,0.06,41,4,0.0,0.0,0,39.0,0.0,8.23826,20.7524,5.11732,0.0,0.0,0.0,0.0,0.0,0.110738,0.0,23.2
39.0,0.0,1,5.0,0.06,20,1,0.0,0.0,0,39.0,0.0,8.10403,20.7524,6.36872,0.0,0.0,0.0,0.0,0.0,0.0922819,0.0,9.6
39.0,0.0,1,5.0,0.06,12,1,0.0,0.0,0,39.0,0.0,6.68792,20.7524,8.9162,0.0,0.0,0.0,0.0,0.0,0.0805369,0.0,7.1
39.0,0.0,1,5.0,0.06,16,1,0.0,0.0,0,39.0,0.0,7.7349,20.7524,5.63128,0.0,0.0,0.0,0.0,0.0,0.0766219,0.0,8.46
39.0,0.0,1,5.0,0.06,5,1,0.0,0.0,0,39.0,0.0,6.84899,20.7524,6.65924,0.0,0.0,0.0,0.0,0.0,0.0704698,0.0,5.45
26.0,0.0,6,0.0,0.0212,41,4,61.8,2.86133,0,26.0,0.0,6.33927,16.5,3.54381,0.722641509,47.211945,0.911331957,15.32,5.85224,0.0,0.0,34.9
26.0,0.56,6,0.0,0.0212,21,1,61.8,2.98895,0,26.0,0.0,6.19896,0.0,3.73711,0.724056604,0.0,0.909550852,15.35,5.8637,0.0,0.0,15.0
35.0,0.0,1,4.0,0.06,41,4,70.4,2.09,0,35.0,0.0,7.24574,20.3,4.59661,0.0,42.4,0.38,0.0,0.0,0.0397628,0.0,31.32
35.0,4.56,1,4.0,0.06,20,1,0.0,2.17362,0,35.0,0.0,7.82614,0.0,0.610169,0.0,0.0,0.38,0.0,0.0,0.0516206,0.0,21.79
35.0,6.48,1,4.0,0.06,20,1,0.0,2.40973,0,35.0,0.0,7.85682,0.0,2.31864,0.0,0.0,0.38,0.0,0.0,0.0796838,0.0,14.21
110.0,0.0,6,6.0,0.032,41,4,64.6,2.34,0,39.57377049180328,0.0,7.4,0.0,2.0,0.5,0.0,1.765536723,16.0,5.664,0.1,0.0,9.7
110.0,0.0,6,6.0,0.032,26,0,64.6,2.34,0,39.57377049180328,0.0,7.4,0.0,2.0,0.5,0.0,1.765536723,16.0,5.664,0.1,0.0,9.3
51.0,0.0,6,1.0,0.0318,33,3,60.6289,2.4529,1,51.0,10.0,7.94808,0.0,4.54,0.0,0.0,0.0,0.0,0.0,0.75,1.41628,2.147
51.0,10.25,6,1.0,0.0318,10,3,64.9057,2.51066,1,51.0,10.0,7.51827,0.0,5.52,0.0,0.0,0.0,0.0,0.0,1.41,1.52548,5.739
51.0,0.0,6,1.0,0.0318,41,4,61.8868,2.24044,1,51.0,10.0,7.85,0.0,4.86,0.0,0.0,0.0,0.0,0.0,0.82,1.36868,3.462
15.0,0.0,9,0.0,0.17,41,4,70.5,1.59,0,15.0,0.0,8.8,26.0,0.0,0.276470588,41.34,0.288496213,47.0,13.865,0.0,0.0,19.81132075
15.0,3.629764065,9,0.0,0.17,25,3,71.0,1.44,0,15.0,0.0,8.8,0.0,0.0,0.279411765,0.0,0.290381125,47.5,13.775,0.0,0.0,13.54166667
15.0,7.30994152,9,0.0,0.17,25,3,71.5,1.55,0,15.0,0.0,8.6,0.0,0.0,0.282352941,0.0,0.292397661,48.0,13.68,0.0,0.0,11.61290323
15.0,9.976720984,9,0.0,0.17,25,3,69.0,1.36,0,15.0,0.0,8.7,30.0,0.0,0.285294118,40.8,0.266045893,48.5,15.035,0.0,0.0,9.124087591
15.0,0.0,9,0.0,0.17,41,4,70.0,1.72,0,15.0,0.0,8.4,0.0,0.0,0.297352941,0.0,0.263765249,50.55,15.165,0.0,0.0,10.75581395
15.0,13.0971896,9,0.0,0.17,30,3,71.8,1.66,0,15.0,0.0,8.2,0.0,0.0,0.296235294,0.0,0.281659991,50.36,14.20152,0.0,0.0,10.84337349
15.0,24.36647173,9,0.0,0.17,30,3,69.6,1.58,0,15.0,0.0,8.3,0.0,0.0,0.295411765,0.0,0.262005072,50.22,15.26688,0.0,0.0,15.50632911
15.0,37.59079389,9,0.0,0.17,30,3,70.3,1.47,0,15.0,0.0,8.3,0.0,0.0,0.294,0.0,0.269468057,49.98,14.84406,0.0,0.0,16.66666667
15.0,0.0,9,0.0,0.17,41,4,70.6,1.59,0,6.0,0.0,8.6,0.0,0.0,0.276470588,0.0,0.289477493,47.0,13.818,0.0,0.0,16.03773585
15.0,3.104791777,9,0.0,0.17,29,1,70.8,1.57,0,6.0,0.0,8.6,0.0,0.0,0.279,0.0,0.28881784,47.43,13.84956,0.0,0.0,14.96815287
15.0,3.436883051,9,0.0,0.17,29,1,70.1,1.55,0,6.0,0.0,8.6,0.0,0.0,0.279341176,0.0,0.281711726,47.488,14.198912,0.0,0.0,13.5483871
15.0,3.685446,9,0.0,0.17,29,1,69.8,1.55,0,6.0,0.0,8.9,0.0,0.0,0.279582353,0.0,0.278672665,47.529,14.353758,0.0,0.0,15.16129032
15.0,0.0,9,0.0,0.17,41,4,71.5,1.62,0,15.0,0.0,9.1,0.0,0.0,0.297352941,0.0,0.27764763,50.55,14.40675,0.0,0.0,14.81481481
15.0,3.668852355,9,0.0,0.17,29,1,72.3,1.35,0,15.0,0.0,9.0,0.0,0.0,0.300405882,0.0,0.282763187,51.069,14.146113,0.0,0.0,16.66666667
15.0,7.017404988,9,0.0,0.17,29,1,71.3,1.31,0,15.0,0.0,8.7,0.0,0.0,0.303464706,0.0,0.270159961,51.589,14.806043,0.0,0.0,12.97709924
15.0,10.35226864,9,0.0,0.17,29,1,71.1,1.25,0,15.0,0.0,8.7,0.0,0.0,0.306523529,0.0,0.265613051,52.109,15.059501,0.0,0.0,13.2
70.0,0.0,1,10.0,1.2,41,4,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3
