Period (d),Application Rate (%DW),Material_2,Turning times,Compost volume (m3),Additive_1,Additive Species,Initial Moisture Content (%),Initial TN (%),V1_Ventilation Type,V4_Ventilation Day,V2_Ventilation Interval (min),Initial pH,Initial C/N (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial TC (%),V5_Ventilation rate (L/min/kg iniDW),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),Initial EC (ms/cm),TC loss (%)
26.0,0.0,1,2.0,0.05,12,3,65.0,2.66,0,26.0,0.0,7.60664,15.0,6.77859,0.532,39.9,0.57,21.42857143,7.5,0.175751,3.1131,50.0
26.0,3.8,1,2.0,0.05,7,0,65.0,2.66,0,26.0,0.0,7.41084,15.0,8.11588,0.532,39.9,0.57,21.42857143,7.5,0.0372636,2.84524,53.0
26.0,7.3,1,2.0,0.05,7,0,65.0,2.66,0,26.0,0.0,6.61538,15.0,8.16937,0.532,39.9,0.57,21.42857143,7.5,0.0522803,2.2381,55.0
26.0,8.9,1,2.0,0.05,7,0,65.0,2.66,0,26.0,0.0,6.40734,15.0,8.82914,0.532,39.9,0.57,21.42857143,7.5,0.025584,2.45833,43.0
42.0,0.0,8,6.0,0.06,12,3,60.0,3.56,1,42.0,20.0,8.70526,10.39325843,0.0,0.416,37.0,0.0275,0.0,0.0,0.0,0.0,43.6
42.0,5.0,8,6.0,0.06,0,2,60.0,3.49,1,42.0,20.0,8.66,10.73352436,0.0,0.416,37.46,0.0275,0.0,0.0,0.0,0.0,36.4
42.0,25.0,8,6.0,0.06,0,2,60.0,2.96,1,42.0,20.0,8.55,15.5,0.0,0.416,45.88,0.0275,0.0,0.0,0.0,0.0,39.7
47.40596330275229,0.0,5,21.0,0.12,12,3,65.0,0.0,2,0.0,0.0,7.0135,31.6,0.0,0.380833333,0.0,0.0,45.7,0.0,0.0,0.613333,59.78
47.40596330275229,4.0,5,21.0,0.12,1,2,65.0,0.0,2,0.0,0.0,6.8869,31.67613636,0.0,0.395833333,0.0,0.0,47.5,0.0,0.0,0.693333,59.44
47.40596330275229,8.0,5,21.0,0.12,1,2,65.0,0.0,2,0.0,0.0,7.2489,31.77966102,0.0,0.411666667,0.0,0.0,49.4,0.0,0.0,0.746667,56.55
47.40596330275229,12.0,5,21.0,0.12,1,2,65.0,0.0,2,0.0,0.0,7.3212,31.5,0.0,0.426666667,0.0,0.0,51.2,0.0,0.0,0.791111,58.57
35.0,0.0,1,5.0,0.06,12,3,60.0,1.79,0,35.0,0.0,5.01,22.1,0.42,0.0,39.559,0.2,0.0,0.0,0.01,1.78,54.1
35.0,10.0,1,5.0,0.06,8,0,60.0,1.98,0,35.0,0.0,4.43,18.2,0.42,0.0,36.036,0.2,0.0,0.0,0.01,2.84,63.9
35.0,10.0,1,5.0,0.06,9,0,60.0,1.89,0,35.0,0.0,4.28,19.1,0.42,0.0,36.099,0.2,0.0,0.0,0.01,2.28,64.2
0.0,0.0,0,0.0,0.0,12,3,68.1481,0.0,2,0.0,0.0,8.9,35.4459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.7114
0.0,25.0,0,0.0,0.0,11,2,56.0494,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.2698
0.0,25.0,0,0.0,0.0,11,2,61.2346,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.993
0.0,25.0,0,0.0,0.0,11,2,55.0617,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.3554
0.0,10.0,0,0.0,0.0,11,2,65.679,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0312
0.0,40.0,0,0.0,0.0,11,2,46.9136,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5733
70.0,0.0,1,10.0,1.2,12,3,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4
70.0,3.3,1,10.0,1.2,9,0,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.1
70.0,6.6,1,10.0,1.2,9,0,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.5
70.0,9.9,1,10.0,1.2,9,0,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.6
70.0,13.2,1,10.0,1.2,9,0,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.1
70.0,16.5,1,10.0,1.2,9,0,0.0,0.0,2,0.0,0.0,0.0,18.89189189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.2
35.0,0.0,1,4.0,0.06,12,3,69.2,2.04,0,35.0,0.0,8.23053,18.4,4.04848,0.0,37.48,0.3,0.0,0.0,0.270275,0.0,64.9
35.0,15.0,1,4.0,0.06,5,0,69.2,2.04,0,35.0,0.0,8.02421,18.4,1.22424,0.0,37.48,0.3,0.0,0.0,0.186606,0.0,63.1
35.0,15.0,1,4.0,0.06,6,0,69.2,2.04,0,35.0,0.0,7.96947,18.4,2.03636,0.0,37.48,0.3,0.0,0.0,0.242752,0.0,60.6
35.0,15.0,1,4.0,0.06,2,0,69.2,2.04,0,35.0,0.0,8.16316,18.4,1.73333,0.0,37.48,0.3,0.0,0.0,0.203119,0.0,58.5
35.0,15.0,1,4.0,0.06,5,0,69.2,2.04,0,35.0,0.0,6.85368,18.4,2.98182,0.0,37.48,0.3,0.0,0.0,0.211927,0.0,42.9
28.0,0.0,7,4.0,0.06,12,3,62.06,1.95,0,28.0,0.0,7.79826,17.91,0.0,0.740203831,34.9245,0.36,44.41222984,16.85,0.0,2.1116,35.76
28.0,10.0,7,4.0,0.06,9,0,58.69,1.96,0,28.0,0.0,7.89913,18.23,0.0,0.780682643,35.7308,0.36,46.84095861,19.35,0.0,2.162,31.91
34.0,0.0,1,6.0,0.06,12,3,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.583333333,0.0,0.272108844,35.0,12.25,0.0,1.13,55.95
34.0,10.0,1,6.0,0.06,9,0,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.60375,0.0,0.262907095,36.225,12.67875,0.0,1.48,50.26
34.0,10.28571429,1,6.0,0.06,9,0,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.604333333,0.0,0.262653324,36.26,12.691,0.0,1.27,49.66
34.0,14.57142857,1,6.0,0.06,9,0,65.0,0.0,0,34.0,0.0,0.0,11.37,0.0,0.613083333,0.0,0.258904704,36.785,12.87475,0.0,1.52,49.64
35.0,0.0,1,6.0,0.06,12,3,69.2,2.03653,0,0.0,0.0,8.2,18.43351191,4.12348,0.0,37.5404,0.25,0.0,0.0,0.271911,0.0,64.9
35.0,0.0,1,6.0,0.06,5,0,0.0,2.03653,0,0.0,0.0,8.0,18.43351191,1.1653,0.0,37.5404,0.25,0.0,0.0,0.190637,0.0,63.1
35.0,4.0,1,6.0,0.06,9,2,0.0,2.03653,0,0.0,0.0,7.25,18.43351191,3.76491,0.0,37.5404,0.25,0.0,0.0,0.194223,0.0,54.0
35.0,0.0,1,6.0,0.06,5,0,0.0,2.03653,0,0.0,0.0,6.75,18.43351191,3.94421,0.0,37.5404,0.25,0.0,0.0,0.259363,0.0,42.2
