Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Application Rate (%DW),Turning times,Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),CH4-C (g)
56.0,0.0,0.0,0.0,16.943259,0.0,0.02,55.00000000000001,0.0,0.594
35.0,35.0,0.0,0.0,0.0,5.0,0.060000000000000005,59.99999999999999,0.2,0.099
35.0,35.0,0.0,0.0,10.0,5.0,0.060000000000000005,59.99999999999999,0.2,0.132
56.0,28.0,0.0,0.0,16.95419393,8.0,0.4,65.0,4.67e-05,6.34881
56.0,28.0,0.0,0.0,25.4312909,8.0,0.4,65.0,4.38e-05,5.55165
56.0,28.0,0.0,0.0,9.042236764,8.0,0.4,65.0,5.37e-05,5.4021825
56.0,28.0,0.0,0.0,9.607376562,8.0,0.4,65.0,5.37e-05,6.4698075
56.0,56.0,0.0,0.0,18.0,11.0,0.13,55.00000000000001,1.111111111,0.1535
25.0,25.0,0.0,0.0,0.0,25.000000000000004,0.030000000000000002,66.0,0.823858955,0.1527
25.0,25.0,0.0,0.0,2.220354809,25.000000000000004,0.030000000000000002,66.0,0.805963702,0.0776
25.0,25.0,0.0,0.0,1.821661998,25.000000000000004,0.030000000000000002,66.0,0.809119532,0.0322
35.0,35.0,10.0,240.0,2.5,5.0,0.18,59.99999999999999,6.250000000000001,92.790225
35.0,35.0,10.0,240.0,9.230769231,5.0,0.18,59.99999999999999,6.250000000000001,63.159225
35.0,35.0,10.0,240.0,16.92307692,5.0,0.18,59.99999999999999,6.250000000000001,15.1692
35.0,35.0,10.0,240.0,24.61538462,5.0,0.18,59.99999999999999,6.250000000000001,59.1108
50.0,0.0,0.0,0.0,0.0,9.0,0.060000000000000005,60.6,0.0,25.8876
50.0,0.0,0.0,0.0,25.49,9.0,0.060000000000000005,60.1,0.0,19.284
30.0,30.000000000000004,0.0,0.0,1.0,6.0,0.12000000000000001,64.624082374,2.566208171,2480.0
28.0,28.0,0.0,0.0,0.0,4.0,0.060000000000000005,62.06000000000001,0.36,2300.0
28.0,28.0,0.0,0.0,10.0,4.0,0.060000000000000005,58.69,0.36,770.0
56.0,56.0,0.0,0.0,0.0,11.0,0.09999999999999998,56.03,0.7384444444,1020.0
42.0,42.0,0.0,0.0,0.0,9.0,0.09999999999999998,56.23,0.3325196856,16.87425
42.0,42.0,0.0,0.0,2.0,9.0,0.09999999999999998,62.22381,0.4655,17.671425
70.0,0.0,0.0,0.0,0.0,6.0,22.500000000000004,65.98881,0.0,98.0543625
70.0,0.0,0.0,0.0,0.6,6.0,22.500000000000004,65.98881,0.0,72.649575
65.0,0.0,0.0,0.0,0.0,18.0,0.622,80.3,0.0,0.0306
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,70.4,0.0,0.022
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,71.6,0.0,0.0329
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,70.1,0.0,0.0328
90.0,0.0,0.0,0.0,0.0,0.0,10.0,69.2,0.0,0.035175
90.0,0.0,0.0,0.0,0.0,1.0,10.0,69.2,0.0,0.0044
90.0,0.0,0.0,0.0,0.0,3.0,10.0,69.2,0.0,0.0095375
88.0,0.0,0.0,0.0,0.0,1.0,10.0,72.5,0.0,0.0236
88.0,0.0,0.0,0.0,0.0,1.0,10.0,72.5,0.0,0.1917
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,63.1761,0.43638828090000004,45.66
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,57.5744,0.4060918662,98.76
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,61.183,0.43638828090000004,229.5
56.0,56.0,0.0,0.0,1.730103806,0.0,1.37,71.1,0.108,4369.1775
56.0,56.0,0.0,0.0,1.388888889,0.0,1.37,71.2,0.108,10947.075
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,1.314544875
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,4.8047535
64.0,0.0,0.0,0.0,0.0,12.0,1.1,74.27405248,0.0,3.037143038
40.0,0.0,0.0,0.0,0.0,9.0,0.2,65.0,0.0,8.797845
40.0,0.0,0.0,0.0,1.0,9.0,0.2,65.0,0.0,0.076138178
21.0,21.0,1.0,20.0,0.0,4.0,0.0474,49.21,,1.3885725
21.0,21.0,1.0,20.0,2.0,4.0,0.0474,49.21,,1.3245975
21.0,21.0,1.0,20.0,,4.0,0.0474,49.21,,3.549015
35.0,0.0,0.0,0.0,0.0,5.0,0.004,60.0,0.0,0.00765957
35.0,0.0,0.0,0.0,12.5,5.0,0.004,60.0,0.0,0.00826886
35.0,0.0,0.0,0.0,12.5,5.0,0.004,60.0,0.0,0.00776402
35.0,0.0,0.0,0.0,7.5,5.0,0.004,60.0,0.0,0.00915667
35.0,0.0,0.0,0.0,12.5,5.0,0.004,60.0,0.0,0.0079381
35.0,0.0,0.0,0.0,20.0,5.0,0.004,60.0,0.0,0.00983559
35.0,0.0,0.0,0.0,20.0,5.0,0.004,60.0,0.0,0.0087911
35.0,0.0,0.0,0.0,20.0,5.0,0.004,60.0,0.0,0.00988781
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,19.854
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,29.781
64.0,0.0,0.0,0.0,0.0,12.0,1.1,74.27405248,0.0,43.017
