Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),CH4-C loss (%)
0,0,0,4,0,0,60.0,-1.0,-1.0,-1.0,5.0,0.0,0.22,64.9862,-1.0,2.65926,15.04177854,2,7.46265,40.0,3,0.0126333,0.389747627,85.74447789,30.0224,0.0111524,0.008
1,0,0,4,0,0,60.0,-1.0,-1.0,-1.0,5.0,10.0,0.22,62.7622,-1.0,2.86,13.04195804,2,7.33735,37.3,2,0.0122977,0.404815928,89.05950405,33.1638,0.0172491,0.0012
1,0,0,4,0,0,60.0,-1.0,-1.0,-1.0,5.0,10.0,0.22,60.6549,-1.0,2.61,14.48275862,2,7.61365,37.8,2,0.00719685,0.383053359,84.27173905,33.1568,0.0188848,0.0018
0,0,0,3,0,0,35.0,35.0,-1.0,0.0,5.0,0.0,0.06,60.0,0.2,1.79,22.1,0,5.01,39.559,3,0.42,0.0,0.0,0.0,0.01,0.33
7,0,0,3,0,0,35.0,35.0,-1.0,0.0,5.0,10.0,0.06,60.0,0.2,1.98,18.2,0,4.43,36.036,0,0.42,0.0,0.0,0.0,0.01,0.06
9,0,0,3,0,0,35.0,35.0,-1.0,0.0,5.0,10.0,0.06,60.0,0.2,1.89,19.1,0,4.28,36.099,0,0.42,0.0,0.0,0.0,0.01,0.09
0,0,0,0,0,0,47.1657223796034,-1.0,-1.0,-1.0,5.0,0.0,1.924220107,62.63,-1.0,1.4,17.9,2,8.3,25.06,3,2.457,0.519691067,2675.94327,1000.0,0.01,6.134185304
4,0,0,0,0,0,47.1657223796034,-1.0,-1.0,-1.0,5.0,10.0,2.194092057,65.46,-1.0,1.33,17.8,2,7.6,23.674,0,2.755,0.455769391,2895.193978,1000.0,0.009,1.130191693
4,0,0,0,0,0,47.1657223796034,-1.0,-1.0,-1.0,5.0,17.8,2.210162561,64.61,-1.0,1.32,18.9,2,7.6,24.948,0,2.311,0.452455406,2825.656965,1000.0,0.006,0.203674121
4,0,0,0,0,0,47.1657223796034,-1.0,-1.0,-1.0,5.0,26.9,2.507596353,65.46,-1.0,1.29,18.5,2,7.4,23.865,0,2.893,0.398788265,2895.193978,1000.0,0.011,0.17571885
8,0,0,0,0,0,47.1657223796034,-1.0,-1.0,-1.0,5.0,9.9,1.934642071,64.12,-1.0,1.29,20.1,2,8.4,25.929,2,2.858,0.516891478,2787.068004,1000.0,0.005,3.306709265
8,0,0,0,0,0,47.1657223796034,-1.0,-1.0,-1.0,5.0,20.7,2.242778039,61.07,-1.0,1.12,17.1,2,8.6,19.152,2,2.265,0.445875598,2568.713075,1000.0,0.008,4.484824281
8,0,0,0,0,0,47.1657223796034,-1.0,-1.0,-1.0,5.0,30.6,2.51122902,63.73,-1.0,1.23,18.9,2,8.7,23.247,2,2.144,0.398211391,2757.099531,1000.0,0.008,5.303514377
0,0,0,6,0,0,70.0,-1.0,-1.0,-1.0,10.0,0.0,1.2,0.0,-1.0,0.0,18.89189189,2,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.21
9,0,0,6,0,0,70.0,-1.0,-1.0,-1.0,10.0,3.3,1.2,0.0,-1.0,0.0,18.89189189,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.03
9,0,0,6,0,0,70.0,-1.0,-1.0,-1.0,10.0,6.6,1.2,0.0,-1.0,0.0,18.89189189,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16
9,0,0,6,0,0,70.0,-1.0,-1.0,-1.0,10.0,9.9,1.2,0.0,-1.0,0.0,18.89189189,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.24
9,0,0,6,0,0,70.0,-1.0,-1.0,-1.0,10.0,13.2,1.2,0.0,-1.0,0.0,18.89189189,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.22
9,0,0,6,0,0,70.0,-1.0,-1.0,-1.0,10.0,16.5,1.2,0.0,-1.0,0.0,18.89189189,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.08
0,0,0,5,0,0,44.0,44.0,20.0,20.0,6.0,0.0,0.273,68.45,0.46008,2.53,12.58616601,1,7.85,31.843,3,0.0,0.228937729,62.5,19.71875,0.0,0.28012436
1,0,0,5,0,0,44.0,44.0,20.0,20.0,6.0,5.890009954,0.275,66.71,0.451058824,2.511,13.36798088,1,7.89,33.567,2,0.0,0.231818182,63.75,21.222375,0.0,0.232371079
1,0,0,5,0,0,44.0,44.0,20.0,20.0,6.0,11.86352204,0.277,67.58,0.442384615,2.522,14.22085646,1,8.1,35.865,2,0.0,0.23465704,65.0,21.073,0.0,0.211626934
1,0,0,5,0,0,44.0,44.0,20.0,20.0,6.0,21.4148812,0.282,65.41,0.426,2.506,14.81404629,1,8.17,37.124,2,0.0,0.239361702,67.5,23.34825,0.0,0.24485508
9,0,0,0,4,1,76.0,76.0,-1.0,0.0,7.0,0.0,0.1625,60.0,0.1275,0.0,0.0,0,0.0,0.0,2,0.0,0.153846154,25.0,10.0,0.0,0.355
0,0,0,0,4,1,76.0,76.0,-1.0,0.0,7.0,7.5,0.1625,60.0,0.1275,1.57,27.40127389,0,0.0,43.02,3,0.0,0.153846154,25.0,10.0,0.0,0.355
9,0,0,0,4,0,76.0,-1.0,-1.0,-1.0,3.0,0.0,0.1625,60.0,-1.0,0.0,0.0,2,0.0,0.0,2,0.0,0.153846154,25.0,10.0,0.0,0.355
0,0,0,0,4,0,76.0,-1.0,-1.0,-1.0,3.0,7.5,0.1625,60.0,-1.0,1.57,27.40127389,2,0.0,43.02,3,0.0,0.153846154,25.0,10.0,0.0,0.18
0,0,0,6,0,0,35.0,35.0,-1.0,0.0,4.0,0.0,0.06,69.2,0.3,2.04,18.4,0,8.23053,37.48,3,4.04848,0.0,0.0,0.0,0.270275,1.7
5,2,0,6,0,0,35.0,35.0,-1.0,0.0,4.0,0.0,0.06,69.2,0.3,2.04,18.4,0,8.02421,37.48,0,1.22424,0.0,0.0,0.0,0.186606,1.8
6,4,0,6,0,0,35.0,35.0,-1.0,0.0,4.0,0.0,0.06,69.2,0.3,2.04,18.4,0,7.96947,37.48,0,2.03636,0.0,0.0,0.0,0.242752,0.7
2,4,0,6,0,0,35.0,35.0,-1.0,0.0,4.0,0.0,0.06,69.2,0.3,2.04,18.4,0,8.16316,37.48,0,1.73333,0.0,0.0,0.0,0.203119,0.6
5,4,0,6,0,0,35.0,35.0,-1.0,0.0,4.0,0.0,0.06,69.2,0.3,2.04,18.4,0,6.85368,37.48,0,2.98182,0.0,0.0,0.0,0.211927,0.5
0,0,0,5,0,0,50.0,50.0,20.0,60.0,7.0,0.0,0.288,67.71,0.0,2.412,21.24,1,7.82,51.23088,3,0.187612,0.0,0.0,0.0,0.0257595,0.3
1,0,0,5,0,0,50.0,50.0,20.0,60.0,7.0,12.0,0.288,66.08,0.0,2.53,21.21,1,8.01,53.6613,2,0.130564,0.0,0.0,0.0,0.0356083,0.283
0,0,0,6,0,0,28.0,28.0,-1.0,0.0,4.0,0.0,0.06,62.06,0.36,1.95,17.91,0,7.79826,34.9245,3,0.0,0.740203831,44.41222984,16.85,0.0,1.55
9,0,0,6,0,0,28.0,28.0,-1.0,0.0,4.0,10.0,0.06,58.69,0.36,1.96,18.23,0,7.89913,35.7308,0,0.0,0.780682643,46.84095861,19.35,0.0,1.17
0,0,0,5,0,0,34.0,34.0,-1.0,0.0,6.0,0.0,0.06,65.0,0.272108844,0.0,11.37,0,0.0,0.0,3,0.0,0.583333333,35.0,12.25,0.0,1.12
9,0,0,5,0,0,34.0,34.0,-1.0,0.0,6.0,10.0,0.06,65.0,0.262907095,0.0,11.37,0,0.0,0.0,0,0.0,0.60375,36.225,12.67875,0.0,0.64
9,1,0,5,0,0,34.0,34.0,-1.0,0.0,6.0,10.28571429,0.06,65.0,0.262653324,0.0,11.37,0,0.0,0.0,0,0.0,0.604333333,36.26,12.691,0.0,0.56
9,1,0,5,0,0,34.0,34.0,-1.0,0.0,6.0,14.57142857,0.06,65.0,0.258904704,0.0,11.37,0,0.0,0.0,0,0.0,0.613083333,36.785,12.87475,0.0,0.49
0,0,0,6,0,0,35.0,-1.0,-1.0,0.0,6.0,0.0,0.06,69.2,0.25,2.03653,18.43351191,0,8.2,37.5404,3,4.12348,0.0,0.0,0.0,0.271911,1.7
5,3,0,6,0,0,35.0,-1.0,-1.0,0.0,6.0,0.0,0.06,0.0,0.25,2.03653,18.43351191,0,8.0,37.5404,0,1.1653,0.0,0.0,0.0,0.190637,1.8
9,0,0,6,0,0,35.0,-1.0,-1.0,0.0,6.0,4.0,0.06,0.0,0.25,2.03653,18.43351191,0,7.25,37.5404,2,3.76491,0.0,0.0,0.0,0.194223,0.4
5,0,0,6,0,0,35.0,-1.0,-1.0,0.0,6.0,0.0,0.06,0.0,0.25,2.03653,18.43351191,0,6.75,37.5404,0,3.94421,0.0,0.0,0.0,0.259363,1.1
0,0,0,4,0,0,50.0,0.0,0.0,0.0,9.0,0.0,0.1,60.0,0.0,0.0,31.0074,2,6.53,0.0,3,0.0,0.5,0.0,0.0,0.0,0.34
3,0,0,4,0,0,50.0,0.0,0.0,0.0,9.0,2.0,0.1,60.0,0.0,0.0,30.0553,2,6.85,0.0,2,0.0,0.5,0.0,0.0,0.0,0.31
3,0,0,4,0,0,50.0,0.0,0.0,0.0,9.0,4.0,0.1,60.0,0.0,0.0,30.3317,2,6.46,0.0,2,0.0,0.5,0.0,0.0,0.0,0.24
3,0,0,4,0,0,50.0,0.0,0.0,0.0,9.0,6.0,0.1,60.0,0.0,0.0,30.5467,2,6.52,0.0,2,0.0,0.5,0.0,0.0,0.0,0.25
3,0,0,4,0,0,50.0,0.0,0.0,0.0,9.0,8.0,0.1,60.0,0.0,0.0,31.0381,2,6.5,0.0,2,0.0,0.5,0.0,0.0,0.0,0.19
3,0,0,4,0,0,50.0,0.0,0.0,0.0,9.0,10.0,0.1,60.0,0.0,0.0,30.7924,2,6.55,0.0,2,0.0,0.5,0.0,0.0,0.0,0.17
0,0,0,6,0,0,50.0,50.0,-1.0,0.0,9.0,0.0,0.1,55.0,0.3,2.084,25.0,0,7.74382,52.1,3,1.94737,0.0,0.0,0.0,0.0360493,4.7272
1,0,0,6,0,0,50.0,50.0,-1.0,0.0,9.0,10.0,0.1,0.0,0.3,0.0,0.0,0,8.21499,0.0,2,2.38947,0.0,0.0,0.0,0.00672348,2.78785
1,5,0,6,0,0,50.0,50.0,-1.0,0.0,9.0,20.0,0.1,0.0,0.3,0.0,0.0,0,8.13921,0.0,2,1.68421,0.0,0.0,0.0,0.040558,2.57576
1,5,1,6,0,0,50.0,50.0,-1.0,0.0,9.0,20.5,0.1,0.0,0.3,0.0,0.0,0,8.0173,0.0,1,1.86316,0.0,0.0,0.0,0.0360416,2.54543
1,5,1,6,0,0,50.0,50.0,-1.0,0.0,9.0,21.0,0.1,0.0,0.3,0.0,0.0,0,7.84926,0.0,1,1.67368,0.0,0.0,0.0,0.0270318,2.15151
1,5,1,6,0,0,50.0,50.0,-1.0,0.0,9.0,22.0,0.1,0.0,0.3,0.0,0.0,0,7.82949,0.0,1,2.77895,0.0,0.0,0.0,0.0157537,2.0303
0,0,0,6,0,0,84.0,-1.0,-1.0,-1.0,0.0,0.0,0.12,81.0,-1.0,3.86,12.2,2,7.0,46.9,3,0.0,0.357894737,42.94736842,8.16,0.0,0.28
0,0,0,6,0,0,84.0,-1.0,-1.0,-1.0,0.0,0.0,0.12,75.8,-1.0,3.18,15.3,2,7.1,48.8,3,0.0,0.372589532,44.7107438,10.82,0.0,0.28
0,0,0,1,0,0,84.0,-1.0,-1.0,-1.0,0.0,0.0,0.12,77.3,-1.0,2.16,22.3,2,8.7,48.2,3,0.0,0.343612335,41.23348018,9.36,0.0,0.12
0,0,0,1,0,0,84.0,-1.0,-1.0,-1.0,0.0,0.0,0.12,77.0,-1.0,2.25,20.1,2,8.8,45.3,3,0.0,0.358333333,43.0,9.89,0.0,0.13
0,0,0,1,0,0,84.0,-1.0,-1.0,-1.0,0.0,0.0,0.12,80.0,-1.0,1.82,29.9,2,6.7,54.5,3,0.0,0.35875,43.05,8.61,0.0,0.06
1,0,0,1,0,0,84.0,-1.0,-1.0,-1.0,0.0,22.28321168,0.12,84.1,-1.0,2.26,16.9,2,10.7,38.3,2,0.0,0.359014675,43.08176101,6.85,0.0,0.07
1,0,0,1,0,0,84.0,-1.0,-1.0,-1.0,0.0,9.53373494,0.12,80.7,-1.0,2.21,20.5,2,9.8,45.3,2,0.0,0.358376511,43.00518135,8.3,0.0,0.12
1,0,0,1,0,0,84.0,-1.0,-1.0,-1.0,0.0,15.84382872,0.12,81.5,-1.0,2.03,21.3,2,10.0,42.5,2,0.0,0.357657658,42.91891892,7.94,0.0,0.07
0,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.01,69.0,0.28,3.7,11.0,0,0.0,40.7,3,12.9,0.241935484,2.419354839,0.75,0.0,0.010013346
0,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.01,63.0,0.28,3.7,11.0,0,0.0,40.7,3,12.9,0.27027027,2.702702703,1.0,0.0,0.00542849
0,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.01,66.0,0.28,3.7,11.0,0,0.0,40.7,3,12.9,0.257352941,2.573529412,0.875,0.0,0.009265109
0,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.01,65.0,0.28,2.850340136,14.7,0,0.0,41.9,3,9.8,0.285714286,2.857142857,1.0,0.0,0.007852967
0,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.01,67.0,0.28,3.209302326,12.9,0,0.0,41.4,3,11.1,0.265151515,2.651515152,0.875,0.0,0.009720585
1,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,25.0,0.01,65.0,0.28,2.934131737,16.7,0,0.0,49.0,2,9.7,0.285714286,2.857142857,1.0,0.0,0.000896992
1,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,14.28571429,0.01,67.0,0.28,3.242857143,14.0,0,0.0,45.4,2,11.1,0.265151515,2.651515152,0.875,0.0,0.002400305
0,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.01,65.0,0.28,2.957142857,14.0,0,0.0,41.4,3,9.7,0.285714286,2.857142857,1.0,0.0,0.005674475
0,0,0,1,0,0,28.0,28.0,-1.0,0.0,0.0,0.0,0.01,65.0,0.28,3.347107438,12.1,0,0.0,40.5,3,9.7,0.285714286,2.857142857,1.0,0.0,0.047463094
0,0,0,6,0,0,37.0,37.0,-1.0,0.0,4.0,0.0,0.06,64.1,0.24,2.36,14.7,0,8.6,34.8,3,1.83,0.0,0.0,0.0,0.03,7.5
0,0,0,6,0,0,37.0,37.0,-1.0,0.0,4.0,0.0,0.06,65.2,0.48,2.08,18.3,0,8.5,38.0,3,1.25,0.0,0.0,0.0,0.03,3.7
0,0,0,6,0,0,37.0,37.0,-1.0,0.0,4.0,0.0,0.06,63.7,0.72,1.9,20.7,0,8.3,39.4,3,0.9,0.0,0.0,0.0,0.03,0.8
0,0,0,6,0,0,37.0,37.0,-1.0,0.0,4.0,0.0,0.06,71.3,0.24,2.06,18.4,0,8.5,38.0,3,1.48,0.0,0.0,0.0,0.02,7.2
0,0,0,6,0,0,37.0,37.0,-1.0,0.0,4.0,0.0,0.06,70.6,0.48,1.9,21.1,0,8.3,40.1,3,1.25,0.0,0.0,0.0,0.03,1.7
0,0,0,6,0,0,37.0,37.0,-1.0,0.0,4.0,0.0,0.06,70.8,0.72,2.35,15.0,0,8.7,35.2,3,2.02,0.0,0.0,0.0,0.03,4.2
0,0,0,6,0,0,37.0,37.0,-1.0,0.0,4.0,0.0,0.06,75.7,0.24,1.93,21.2,0,8.4,40.9,3,0.9,0.0,0.0,0.0,0.02,6.4
0,0,0,6,0,0,37.0,37.0,-1.0,0.0,4.0,0.0,0.06,76.8,0.48,2.37,14.9,0,8.6,35.3,3,2.25,0.0,0.0,0.0,0.03,5.7
0,0,0,6,0,0,37.0,37.0,-1.0,0.0,4.0,0.0,0.06,74.0,0.72,2.09,18.0,0,8.6,37.6,3,1.64,0.0,0.0,0.0,0.02,3.8
11,6,2,6,5,0,31.0,30.0,-1.0,0.0,1.0,0.0,0.95,69.47,0.312,2.57,13.16342412,0,7.13,33.83,3,0.0,0.63,0.0,0.0,0.0,0.17
0,0,0,0,0,0,35.0,35.0,-1.0,0.0,9.0,0.0,0.1559,66.03,0.0,1.817,21.96202532,0,0.0,39.905,3,3.44,0.700705581,109.24,37.108828,0.37,0.31
0,0,0,0,0,0,35.0,35.0,-1.0,0.0,9.0,0.0,0.2984,65.69,0.0,1.813,21.51130723,0,0.0,39.0,3,3.32,0.728954424,217.52,74.631112,0.39,0.34
0,0,0,0,0,0,35.0,35.0,-1.0,0.0,9.0,0.0,0.5697,66.14,0.0,1.796,21.64476615,0,0.0,38.874,3,3.09,0.753958224,429.53,145.438858,0.41,0.41
0,0,0,6,0,0,70.0,-1.0,-1.0,-1.0,10.0,0.0,1.2,64.0,-1.0,2.22,17.4,2,7.4,38.0,3,3.2,0.0,0.0,0.0,0.06,0.14
0,0,0,6,0,0,70.0,-1.0,-1.0,-1.0,10.0,0.0,1.2,64.0,-1.0,2.22,17.4,2,7.4,38.0,3,3.2,0.0,0.0,0.0,0.06,0.22
0,0,0,6,0,0,70.0,-1.0,-1.0,-1.0,5.0,0.0,1.2,64.0,-1.0,2.22,17.4,2,7.4,38.0,3,3.2,0.0,0.0,0.0,0.06,0.25
0,0,0,6,0,0,70.0,-1.0,-1.0,-1.0,5.0,0.0,1.2,64.0,-1.0,2.22,17.4,2,7.4,38.0,3,3.2,0.0,0.0,0.0,0.06,0.36
0,0,0,6,0,0,70.0,-1.0,-1.0,-1.0,0.0,0.0,1.2,64.0,-1.0,2.22,17.4,2,7.4,38.0,3,3.2,0.0,0.0,0.0,0.06,0.5
0,0,0,6,0,0,70.0,-1.0,-1.0,-1.0,0.0,0.0,1.2,64.0,-1.0,2.22,17.4,2,7.4,38.0,3,3.2,0.0,0.0,0.0,0.06,0.76
0,0,0,5,0,0,39.0,39.0,20.0,20.0,7.0,0.0,0.288,68.07,0.455,2.089,25.38104356,1,7.57,53.021,3,0.0,0.0,0.0,0.0,0.0,0.147
0,0,0,5,0,0,39.0,39.0,20.0,20.0,7.0,0.0,0.288,68.53,0.455,2.247,24.56920338,1,6.95,55.207,3,0.0,0.0,0.0,0.0,0.0,0.135
0,0,0,6,0,0,55.0,-1.0,-1.0,-1.0,7.0,0.0,11.25,60.04,-1.0,1.998,15.39,2,6.54,30.74922,3,7.30856,0.351,3950.0,0.0,0.746275,2.135
0,0,0,6,0,0,55.0,-1.0,-1.0,-1.0,15.0,0.0,11.25,60.04,-1.0,1.998,15.39,2,6.54,30.74922,3,7.66694,0.351,3950.0,0.0,0.704284,0.849
0,0,0,5,0,0,30.0,-1.0,-1.0,-1.0,12.0,0.0,1.519193246391097,64.83,-1.0,2.664,7.73,2,8.25,20.577,3,0.0,1.428571429,2160.680220140841,711.7369712686677,0.0,0.32
0,0,0,5,0,0,16.0,16.0,7.861880466472303,240.0,6.0,0.0,1.519193246391097,57.48,0.456,2.313,8.54,1,8.22,19.621,3,0.0,1.274074074,2160.680220140841,711.7369712686677,0.0,0.064
0,0,0,5,0,0,35.0,35.0,-1.0,0.0,5.0,0.0,0.06,72.1,0.2,2.68,11.37,0,7.78,30.45,3,2.15789,0.667,0.0,0.0,0.311579,0.64
0,0,0,6,0,0,56.0,-1.0,-1.0,-1.0,7.0,0.0,1.2,67.6,-1.0,2.039744803,18.98237939,2,0.0,38.71920971,3,0.0,0.475,0.0,0.0,0.0,0.27
9,0,0,6,0,0,56.0,-1.0,-1.0,-1.0,7.0,3.3,1.2,67.6,-1.0,2.039744803,18.98237939,2,0.0,38.71920971,0,0.0,0.475,0.0,0.0,0.0,0.1
9,0,0,6,0,0,56.0,-1.0,-1.0,-1.0,7.0,6.6,1.2,67.6,-1.0,2.039744803,18.98237939,2,0.0,38.71920971,0,0.0,0.475,0.0,0.0,0.0,0.21
9,0,0,6,0,0,56.0,-1.0,-1.0,-1.0,7.0,9.9,1.2,67.6,-1.0,2.039744803,18.98237939,2,0.0,38.71920971,0,0.0,0.475,0.0,0.0,0.0,0.31
9,0,0,6,0,0,56.0,-1.0,-1.0,-1.0,7.0,13.2,1.2,67.6,-1.0,2.039744803,18.98237939,2,0.0,38.71920971,0,0.0,0.475,0.0,0.0,0.0,0.28
0,0,0,4,0,0,28.0,-1.0,-1.0,-1.0,9.0,0.0,0.13,61.4561,-1.0,1.667,30.8801,2,6.54514,51.4771267,3,5.45333,0.5,0.0,0.0,0.0981503,0.34
3,0,0,4,0,0,28.0,-1.0,-1.0,-1.0,9.0,2.0,0.13,60.661,-1.0,1.668,30.0375,2,6.85143,50.10255,2,5.37333,0.5,0.0,0.0,0.0886811,0.31
3,0,0,4,0,0,28.0,-1.0,-1.0,-1.0,9.0,4.0,0.13,59.7109,-1.0,1.613,30.3496,2,6.44457,48.9539048,2,5.25333,0.5,0.0,0.0,0.100734,0.24
3,0,0,4,0,0,28.0,-1.0,-1.0,-1.0,9.0,6.0,0.13,60.4548,-1.0,1.562,30.568,2,6.54057,47.747216,2,5.32,0.5,0.0,0.0,0.0912653,0.25
3,0,0,4,0,0,28.0,-1.0,-1.0,-1.0,9.0,8.0,0.13,60.0684,-1.0,1.563,30.8801,2,6.49486,48.2655963,2,5.16,0.5,0.0,0.0,0.0972937,0.19
3,0,0,4,0,0,28.0,-1.0,-1.0,-1.0,9.0,10.0,0.13,59.4546,-1.0,1.555,31.0362,2,6.55429,48.261291,2,5.14667,0.5,0.0,0.0,0.0964261,0.17
0,0,0,6,0,0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.4,77.53,-1.0,0.0,6.53,2,6.2,0.0,3,0.0,1.105,0.0,0.0,0.0,0.13
0,0,0,6,0,0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.4,66.71,-1.0,0.0,6.81,2,7.01,0.0,3,0.0,0.89,0.0,0.0,0.0,0.9
0,0,0,6,0,0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.4,66.36,-1.0,0.0,9.22,2,7.41,0.0,3,0.0,0.886,0.0,0.0,0.0,0.4
0,0,0,6,1,0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,67.68,-1.0,0.0,7.35,2,7.59,0.0,3,0.0,0.95,0.0,0.0,0.0,0.9
0,0,0,6,1,0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,66.26,-1.0,0.0,7.24,2,8.04,0.0,3,0.0,0.87,0.0,0.0,0.0,1.2
0,0,0,5,0,0,50.0,50.0,-1.0,0.0,0.0,0.0,0.03,72.13,0.222862581,2.21,19.11,0,5.67,42.22,3,3.397665704257908,0.268333333,8.05,2.243535,0.0690476,0.01872018
0,0,0,5,0,0,50.0,50.0,-1.0,0.0,0.0,0.0,0.03,69.74,0.205260414,2.93,13.27,0,7.56,38.84,3,3.397665704257908,0.268333333,8.05,2.43593,0.0595238,0.20265279
0,0,0,5,0,0,50.0,50.0,-1.0,0.0,0.0,0.0,0.03,71.05,0.214548536,3.48,13.56,0,8.08,38.16,3,11.3032,0.268333333,8.05,2.330475,0.0404762,0.147816393
0,0,0,2,0,0,28.0,28.0,30.0,60.0,4.0,0.0,0.06,66.9,1.207272727,1.5,25.0,1,5.75,37.5,3,0.0,0.553333333,33.2,11.0,0.0,0.34
0,0,0,2,0,0,28.0,28.0,30.0,60.0,4.0,0.0,0.06,58.6,0.964341085,1.7,20.9,1,5.36,36.1,3,0.0,0.518333333,31.1,12.9,0.0,0.27
