Additive_1,Additive_2,Additive_3,Material_Main,Material_3,V6_Extra,Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),V1_Ventilation Type,Initial pH,Initial TC (%),Additive Species,Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),CO2-C (g)
1,0,0,5,0,0,45.0,35.0,30.0,41.529154518950435,6.0,0.0,0.09,65.0,2.6,2.46,12.9607,1,6.28722,31.883322,4,1.55482,0.25,61.14285714,21.4,0.0280893,1586.59
10,0,0,5,0,0,45.0,35.0,30.0,41.529154518950435,6.0,0.65,0.09,65.0,2.6,2.97,11.7281,1,7.1357,34.832457,0,1.68941,0.25,56.57142857,19.8,0.0411082,1743.81
18,0,0,5,0,0,45.0,35.0,30.0,41.529154518950435,6.0,0.65,0.09,65.0,2.6,2.52,14.0483,1,7.42357,35.401716,0,0.747269,0.25,59.14285714,20.7,0.0204877,1874.82
18,0,0,5,0,0,45.0,35.0,30.0,41.529154518950435,6.0,0.65,0.09,65.0,2.6,2.79,12.0181,1,6.98414,33.530499,0,1.78026,0.25,56.28571429,19.7,0.0248295,1464.37
18,0,0,5,0,0,45.0,35.0,30.0,41.529154518950435,6.0,1.95,0.09,65.0,2.6,2.73,12.5619,1,6.92358,34.293987,0,1.12748,0.25,56.85714286,19.9,0.00746204,1542.98
1,0,0,2,0,3,56.0,-1.0,-1.0,-1.0,0.0,0.0,0.02,55.0,-1.0,1.38461,32.0202,1,6.39047,44.33548912,4,0.309409,0.5,0.0,0.0,0.0,338.032
14,3,0,2,0,3,56.0,-1.0,-1.0,-1.0,0.0,1.943259,0.02,55.0,-1.0,1.51479,30.4041,1,6.50999,46.05582664,1,0.961339,0.5,0.0,0.0,0.0,544.588
14,3,4,2,0,3,56.0,-1.0,-1.0,-1.0,0.0,6.943259,0.02,55.0,-1.0,1.44971,34.0404,1,6.29485,49.34870828,2,0.497235,0.5,0.0,0.0,0.0,620.821
14,3,4,2,0,3,56.0,-1.0,-1.0,-1.0,0.0,16.943259,0.02,55.0,-1.0,1.60948,29.0404,1,6.19923,46.73994299,2,0.430937,0.5,0.0,0.0,0.0,592.54
1,0,0,5,0,0,18.0,18.0,-1.0,0.0,0.0,0.0,0.010209318,60.0,0.16,2.1631710331691445,5.6,0,7.5668,30.09,4,0.0,0.27,2.7,1.08,0.0,59.987736
2,8,0,5,0,0,18.0,18.0,-1.0,0.0,0.0,2.4392,0.010209318,60.0,0.16,2.1631710331691445,4.64,0,7.42105,32.03,1,0.0,0.27,2.7,1.08,0.0,55.745712
2,8,0,5,0,0,18.0,18.0,-1.0,0.0,0.0,2.4392,0.010209318,60.0,0.16,2.1631710331691445,5.71,0,6.27126,35.09,1,0.0,0.27,2.7,1.08,0.0,57.35448
2,8,0,5,0,0,18.0,18.0,-1.0,0.0,0.0,2.4392,0.010209318,60.0,0.16,2.1631710331691445,5.89,0,7.47773,37.02,1,0.0,0.27,2.7,1.08,0.0,50.772096
1,0,0,0,0,0,47.1657223796034,-1.0,-1.0,-1.0,5.0,0.0,1.924220107,62.63,-1.0,1.4,17.9,2,8.3,25.06,4,2.457,0.519691067,2675.94327,1000.0,0.01,93700.0
8,0,0,0,0,0,47.1657223796034,-1.0,-1.0,-1.0,5.0,10.0,2.194092057,65.46,-1.0,1.33,17.8,2,7.6,23.674,1,2.755,0.455769391,2895.193978,1000.0,0.009,109300.0
8,0,0,0,0,0,47.1657223796034,-1.0,-1.0,-1.0,5.0,17.8,2.210162561,64.61,-1.0,1.32,18.9,2,7.6,24.948,1,2.311,0.452455406,2825.656965,1000.0,0.006,109500.0
8,0,0,0,0,0,47.1657223796034,-1.0,-1.0,-1.0,5.0,26.9,2.507596353,65.46,-1.0,1.29,18.5,2,7.4,23.865,1,2.893,0.398788265,2895.193978,1000.0,0.011,132000.0
24,0,0,0,0,0,47.1657223796034,-1.0,-1.0,-1.0,5.0,9.9,1.934642071,64.12,-1.0,1.29,20.1,2,8.4,25.929,3,2.858,0.516891478,2787.068004,1000.0,0.005,112400.0
24,0,0,0,0,0,47.1657223796034,-1.0,-1.0,-1.0,5.0,20.7,2.242778039,61.07,-1.0,1.12,17.1,2,8.6,19.152,3,2.265,0.445875598,2568.713075,1000.0,0.008,94000.0
24,0,0,0,0,0,47.1657223796034,-1.0,-1.0,-1.0,5.0,30.6,2.51122902,63.73,-1.0,1.23,18.9,2,8.7,23.247,3,2.144,0.398211391,2757.099531,1000.0,0.008,100300.0
1,0,0,0,0,0,15.0,15.0,-1.0,0.0,0.0,0.0,0.17,70.5,0.288496213,1.59,26.0,0,8.8,41.34,4,0.0,0.276470588,47.0,13.865,0.0,2157.394
16,0,0,0,0,0,15.0,15.0,-1.0,0.0,0.0,3.629764065,0.17,71.0,0.290381125,1.44,0.0,0,8.8,0.0,3,0.0,0.279411765,47.5,13.775,0.0,1987.04375
16,0,0,0,0,0,15.0,15.0,-1.0,0.0,0.0,7.30994152,0.17,71.5,0.292397661,1.55,0.0,0,8.6,0.0,3,0.0,0.282352941,48.0,13.68,0.0,1906.308
16,0,0,0,0,0,15.0,15.0,-1.0,0.0,0.0,9.976720984,0.17,69.0,0.266045893,1.36,30.0,0,8.7,40.8,3,0.0,0.285294118,48.5,15.035,0.0,1783.90275
1,0,0,0,0,0,15.0,15.0,-1.0,0.0,0.0,0.0,0.17,70.0,0.263765249,1.72,0.0,0,8.4,0.0,4,0.0,0.297352941,50.55,15.165,0.0,1499.8185
22,0,0,0,0,0,15.0,15.0,-1.0,0.0,0.0,13.0971896,0.17,71.8,0.281659991,1.66,0.0,0,8.2,0.0,3,0.0,0.296235294,50.36,14.20152,0.0,1332.812652
22,0,0,0,0,0,15.0,15.0,-1.0,0.0,0.0,24.36647173,0.17,69.6,0.262005072,1.58,0.0,0,8.3,0.0,3,0.0,0.295411765,50.22,15.26688,0.0,1997.671248
22,0,0,0,0,0,15.0,15.0,-1.0,0.0,0.0,37.59079389,0.17,70.3,0.269468057,1.47,0.0,0,8.3,0.0,3,0.0,0.294,49.98,14.84406,0.0,1848.827673
1,0,0,0,0,0,15.0,6.0,-1.0,0.0,0.0,0.0,0.17,70.6,0.289477493,1.59,0.0,0,8.6,0.0,4,0.0,0.276470588,47.0,13.818,0.0,1251.9108
19,7,0,0,0,0,15.0,6.0,-1.0,0.0,0.0,3.104791777,0.17,70.8,0.28881784,1.57,0.0,0,8.6,0.0,1,0.0,0.279,47.43,13.84956,0.0,1205.604198
19,7,0,0,0,0,15.0,6.0,-1.0,0.0,0.0,3.436883051,0.17,70.1,0.281711726,1.55,0.0,0,8.6,0.0,1,0.0,0.279341176,47.488,14.198912,0.0,1080.537203
19,7,0,0,0,0,15.0,6.0,-1.0,0.0,0.0,3.685446,0.17,69.8,0.278672665,1.55,0.0,0,8.9,0.0,1,0.0,0.279582353,47.529,14.353758,0.0,1304.756602
1,0,0,0,0,0,15.0,15.0,-1.0,0.0,0.0,0.0,0.17,71.5,0.27764763,1.62,0.0,0,9.1,0.0,4,0.0,0.297352941,50.55,14.40675,0.0,1911.775725
19,7,0,0,0,0,15.0,15.0,-1.0,0.0,0.0,3.668852355,0.17,72.3,0.282763187,1.35,0.0,0,9.0,0.0,1,0.0,0.300405882,51.069,14.146113,0.0,1823.433966
19,7,0,0,0,0,15.0,15.0,-1.0,0.0,0.0,7.017404988,0.17,71.3,0.270159961,1.31,0.0,0,8.7,0.0,1,0.0,0.303464706,51.589,14.806043,0.0,1673.082859
19,7,0,0,0,0,15.0,15.0,-1.0,0.0,0.0,10.35226864,0.17,71.1,0.265613051,1.25,0.0,0,8.7,0.0,1,0.0,0.306523529,52.109,15.059501,0.0,1335.777739
1,0,0,4,0,0,16.0,16.0,-1.0,0.0,3.0,0.0,0.045,70.9,0.515463918,2.1,20.0,0,7.04,42.0,4,0.0,0.444444444,20.0,5.82,0.0,12.44103545
4,0,0,4,0,0,16.0,16.0,-1.0,0.0,3.0,14.0,0.045,71.7,0.530035336,2.0,21.0,0,7.28,42.0,3,0.0,0.444444444,20.0,5.66,0.0,13.16755653
4,0,0,4,0,0,16.0,16.0,-1.0,0.0,3.0,14.0,0.045,68.3,0.47318612,1.7,25.0,0,7.25,42.5,3,0.0,0.444444444,20.0,6.34,0.0,12.04442692
25,0,0,0,7,1,76.0,76.0,-1.0,0.0,7.0,0.0,0.1625,60.0,0.1275,0.0,0.0,0,0.0,0.0,3,0.0,0.153846154,25.0,10.0,0.0,2349.0
1,0,0,0,7,1,76.0,76.0,-1.0,0.0,7.0,7.5,0.1625,60.0,0.1275,1.57,27.40127389,0,0.0,43.02,4,0.0,0.153846154,25.0,10.0,0.0,2202.0
25,0,0,0,7,0,76.0,-1.0,-1.0,-1.0,3.0,0.0,0.1625,60.0,-1.0,0.0,0.0,2,0.0,0.0,3,0.0,0.153846154,25.0,10.0,0.0,1894.0
1,0,0,0,7,0,76.0,-1.0,-1.0,-1.0,3.0,7.5,0.1625,60.0,-1.0,1.57,27.40127389,2,0.0,43.02,4,0.0,0.153846154,25.0,10.0,0.0,1878.0
1,0,0,3,3,2,27.0,27.0,15.0,480.0,1.0,0.0,0.77,72.0,5.941425942,0.0,25.0,1,0.0,0.0,4,0.0,0.162298701,124.97,34.9916,0.0,706.8757636
25,0,0,3,3,2,27.0,27.0,15.0,480.0,1.0,2.1,0.77,72.0,5.907391201,0.0,25.0,1,0.0,0.0,3,0.0,0.163233766,125.69,35.1932,0.0,831.2679545
25,0,0,3,3,2,27.0,27.0,15.0,480.0,1.0,4.1,0.77,72.0,5.873744166,0.0,25.0,1,0.0,0.0,3,0.0,0.164168831,126.41,35.3948,0.0,769.1473909
25,0,0,3,3,2,27.0,27.0,15.0,480.0,1.0,6.2,0.77,72.0,5.840937697,0.0,25.0,1,0.0,0.0,3,0.0,0.165090909,127.12,35.5936,0.0,758.9064
25,0,0,3,3,2,27.0,27.0,15.0,480.0,1.0,8.2,0.77,72.0,5.808041302,0.0,25.0,1,0.0,0.0,3,0.0,0.166025974,127.84,35.7952,0.0,768.0859636
25,0,0,3,3,2,27.0,27.0,15.0,480.0,1.0,10.3,0.77,72.0,5.775513379,0.0,25.0,1,0.0,0.0,3,0.0,0.166961039,128.56,35.9968,0.0,620.2435636
1,0,0,5,0,0,112.0,42.0,-1.0,0.0,12.0,0.0,0.0,65.4,0.256904303,1.4,0.0,0,7.1,0.0,4,3.252,0.0,1875.0,648.75,0.0,294830.0
17,0,0,5,0,0,112.0,42.0,-1.0,0.0,12.0,2.949852507,0.0,66.1,0.262209112,1.6,0.0,0,6.8,0.0,0,3.484,0.0,1875.0,635.625,0.0,287400.0
1,0,0,5,0,0,112.0,-1.0,-1.0,-1.0,12.0,0.0,0.0,64.9,-1.0,3.4,0.0,2,6.9,0.0,4,6.093,0.0,910.0,319.41,0.0,192520.0
17,0,0,5,0,0,112.0,-1.0,-1.0,-1.0,12.0,2.816901408,0.0,64.5,-1.0,3.1,0.0,2,7.0,0.0,0,5.606,0.0,910.0,323.05,0.0,240140.0
11,0,0,2,0,0,35.0,35.0,-1.0,0.0,9.0,2.25,0.02,0.0,0.5,0.0,29.0076,0,7.462381434599157,0.0,3,0.0,0.0,0.0,0.0,0.0,662.247
11,6,2,2,0,0,35.0,35.0,-1.0,0.0,9.0,1.8209,0.02,0.0,0.5,0.0,32.0229,0,6.47344,0.0,1,0.0,0.0,0.0,0.0,0.0,193.483
11,6,2,2,0,0,35.0,35.0,-1.0,0.0,9.0,2.5709,0.02,0.0,0.5,0.0,30.3435,0,8.34411,0.0,1,0.0,0.0,0.0,0.0,0.0,487.64
11,6,2,2,0,0,35.0,35.0,-1.0,0.0,9.0,3.3209,0.02,0.0,0.5,0.0,26.9466,0,7.462381434599157,0.0,1,0.0,0.0,0.0,0.0,0.0,685.843
11,6,2,2,0,0,35.0,35.0,-1.0,0.0,9.0,4.0709,0.02,0.0,0.5,0.0,29.0458,0,7.462381434599157,0.0,1,0.0,0.0,0.0,0.0,0.0,648.09
