Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Application Rate (%DW),Turning times,Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),CO2-C loss (%)
59.50000000000001,29.000000000000004,1.0750000000000002,27.0,25.0,7.5,2.4981800000000005,61.2346,0.79305,51.5
34.8,20.599999999999998,1.0499999999999998,25.999999999999996,25.0,8.100000000000001,2.4508,55.0617,1.2714315602000001,59.0
42.3,25.6,2.0,4.0,10.0,6.8999999999999995,0.3309999999999999,65.679,0.339187599,60.2
70.0,0.0,0.0,0.0,0.0,6.0,22.500000000000004,65.98881,0.0,32.11
70.0,0.0,0.0,0.0,0.6,6.0,22.500000000000004,65.98881,0.0,24.5
28.0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,39.47
28.0,28.0,0.0,0.0,25.0,0.0,0.01,65.0,0.28,35.38
28.0,28.0,0.0,0.0,14.285714290000001,0.0,0.01,67.0,0.28,30.39
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,35.42
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,71.3,0.23999999999999996,14.697
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,70.6,0.4799999999999999,9.51515
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,70.8,0.72,9.36364
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,75.7,0.23999999999999996,8.66667
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,76.8,0.4799999999999999,7.36364
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,74.0,0.72,7.15152
20.999999999999996,0.0,0.0,0.0,6.929999999999999,14.000000000000002,2.0,59.99999999999999,0.0,18.3728
20.999999999999996,0.0,0.0,0.0,6.929999999999999,14.000000000000002,2.0,59.99999999999999,0.0,12.9586
20.999999999999996,0.0,0.0,0.0,6.929999999999999,14.000000000000002,2.0,59.99999999999999,0.0,14.645
20.999999999999996,0.0,0.0,0.0,6.929999999999999,14.000000000000002,2.0,59.99999999999999,0.0,8.07692
20.999999999999996,0.0,0.0,0.0,6.929999999999999,14.000000000000002,2.0,59.99999999999999,0.0,10.9172
70.0,0.0,0.0,0.0,0.0,20.0,0.7178,65.7,0.0,17.0414
70.0,0.0,0.0,0.0,0.0,20.0,0.7178,65.7,0.0,10.8284
70.0,0.0,0.0,0.0,0.0,10.0,9.56,65.7,0.0,21.8343
70.0,0.0,0.0,0.0,0.0,10.0,9.56,65.7,0.0,11.4497
70.0,0.0,0.0,0.0,0.0,0.0,7.332000000000001,65.7,0.0,16.9527
70.0,0.0,0.0,0.0,0.0,0.0,7.332000000000001,65.7,0.0,11.8935
50.0,50.0,0.0,0.0,0.0,0.0,0.030000000000000002,71.05,0.214548536,9.8
30.0,30.000000000000004,0.0,0.0,8.968501546,0.0,0.030000000000000002,71.6522,0.149475026,10.5
30.0,30.000000000000004,0.0,0.0,6.709270849,0.0,0.030000000000000002,72.646,0.156029555,13.4
30.0,30.000000000000004,0.0,0.0,0.0,0.0,0.030000000000000002,73.0435,0.161290453,26.7
60.0,60.00000000000001,0.0,0.0,1.8887505189999998,0.0,0.030000000000000002,71.6013,0.217484278,14.7
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,59.99999999999999,0.858895706,1.9
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,59.99999999999999,0.925619835,13.1
28.0,28.0,30.0,30.0,0.0,2.0,0.071215,59.99999999999999,0.903225806,7.3
65.0,0.0,0.0,0.0,0.0,18.0,0.622,80.3,0.0,15.28998665
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,70.4,0.0,15.59457151
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,71.6,0.0,16.09073489
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,70.1,0.0,11.49214703
90.0,0.0,0.0,0.0,0.0,0.0,10.0,69.2,0.0,12.09027942
90.0,0.0,0.0,0.0,0.0,1.0,10.0,69.2,0.0,8.399103008
90.0,0.0,0.0,0.0,0.0,3.0,10.0,69.2,0.0,9.997599695
88.0,0.0,0.0,0.0,0.0,1.0,10.0,72.5,0.0,12.09432553
88.0,0.0,0.0,0.0,0.0,1.0,10.0,72.5,0.0,15.15253691
15.0,15.000000000000002,0.0,0.0,5.6950779955,0.0,0.005,83.21,0.38560965210000003,31.4
15.0,15.000000000000002,0.0,0.0,5.090803607500001,0.0,0.005,82.62,0.4977961764,42.9
20.999999999999996,21.0,30.0,30.0,0.0,0.0,0.064486,59.79,0.155433972,44.8
20.999999999999996,21.0,30.0,30.0,0.0,0.0,0.064486,59.79,0.310867943,32.1
20.999999999999996,21.0,30.0,30.0,0.0,0.0,0.064486,59.79,0.155433972,45.6
37.0,37.0,20.0,40.0,0.0,5.0,1.0,65.0,0.46300800000000003,42.4
37.0,37.0,20.0,40.0,5.0,5.0,1.0,65.0,0.4701138824,33.3
37.0,37.0,20.0,40.0,10.0,5.0,1.0,65.0,0.4423523439,23.9
35.0,0.0,0.0,0.0,0.0,5.0,0.004,59.99999999999999,0.0,37.2
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,61.574999999999996,0.43638828090000004,35.83
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,63.1761,0.43638828090000004,30.98
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,57.5744,0.4060918662,24.52
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,61.183,0.43638828090000004,20.7
56.0,56.0,0.0,0.0,2.068965517,0.0,1.37,71.0,0.108,45.38
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,13.35330033
50.0,50.0,0.0,0.0,0.0,0.0,0.02,73.67,0.2,15.25488117
56.0,56.0,0.0,0.0,0.0,0.0,1.37,69.4,0.108,42.3
56.0,56.0,0.0,0.0,1.730103806,0.0,1.37,71.1,0.108,44.8
56.0,56.0,0.0,0.0,1.388888889,0.0,1.37,71.2,0.108,40.7
56.0,56.0,0.0,0.0,3.703703704,0.0,1.37,67.6,0.108,38.8
56.0,56.0,0.0,0.0,0.324675325,0.0,1.37,69.2,0.108,40.7
56.0,56.0,0.0,0.0,2.068965517,0.0,1.37,71.0,0.108,36.4
56.0,56.0,0.0,0.0,0.0,0.0,1.37,70.3,0.108,42.6
56.0,56.0,0.0,0.0,2.836879433,0.0,1.18,71.8,0.108,42.5
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,5.167
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,9.629
64.0,0.0,0.0,0.0,0.0,12.0,1.1,74.27405248,0.0,12.943
