Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Application Rate (%DW),Turning times,Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),N2O-N loss (%)
56.0,0.0,0.0,0.0,16.943259,0.0,0.02,55.00000000000001,0.0,1.4
35.0,35.0,0.0,0.0,0.0,5.0,0.060000000000000005,59.99999999999999,0.2,0.4
35.0,35.0,0.0,0.0,10.0,5.0,0.060000000000000005,59.99999999999999,0.2,0.5
59.50000000000001,29.000000000000004,1.0750000000000002,27.0,25.0,7.5,2.4981800000000005,61.2346,0.79305,1.97
34.8,20.599999999999998,1.0499999999999998,25.999999999999996,25.0,8.100000000000001,2.4508,55.0617,1.2714315602000001,2.06
42.3,25.6,2.0,4.0,10.0,6.8999999999999995,0.3309999999999999,65.679,0.339187599,2.16
15.0,0.0,0.0,0.0,0.5,12.3,3.6,65.0,0.0,1.5
15.0,0.0,0.0,0.0,0.5,12.3,3.6,65.0,0.0,1.4
15.0,0.0,0.0,0.0,0.5,12.3,3.6,65.0,0.0,1.0
15.0,15.000000000000002,0.0,0.0,3.629764065,0.0,0.16999999999999998,71.0,0.290381125,0.73
15.0,15.000000000000002,0.0,0.0,7.30994152,0.0,0.16999999999999998,71.5,0.292397661,1.45
15.0,15.000000000000002,0.0,0.0,9.976720983999998,0.0,0.16999999999999998,69.0,0.266045893,1.29
70.0,0.0,0.0,0.0,3.3,10.0,1.2,67.821405248,0.0,8.921
70.0,0.0,0.0,0.0,6.6,10.0,1.2,61.68,0.0,0.645
70.0,0.0,0.0,0.0,9.899999999999999,10.0,1.2,62.22961,0.0,11.219
34.0,34.0,30.0,360.0,7.5,8.0,0.060000000000000005,59.99999999999999,0.0,1.0
34.0,34.0,30.0,360.0,7.5,8.0,0.060000000000000005,59.99999999999999,0.0,0.9
34.0,34.0,30.0,360.0,7.5,8.0,0.060000000000000005,59.99999999999999,0.0,0.8
112.0,42.0,0.0,0.0,0.0,12.0,0.10959999999999998,65.4,0.256904303,0.8
112.0,42.0,0.0,0.0,2.949852507,12.0,0.20559999999999998,66.1,0.262209112,0.9
112.0,0.0,0.0,0.0,0.0,12.0,1.7332000000000005,64.9,0.0,1.2
56.0,28.0,0.0,0.0,16.95419393,8.0,0.4,65.0,4.67e-05,0.228125
56.0,28.0,0.0,0.0,25.4312909,8.0,0.4,65.0,4.38e-05,0.241106719
56.0,28.0,0.0,0.0,9.042236764,8.0,0.4,65.0,5.37e-05,0.215053763
56.0,28.0,0.0,0.0,9.607376562,8.0,0.4,65.0,5.37e-05,0.170499603
56.0,56.0,0.0,0.0,18.0,11.0,0.13,55.00000000000001,1.111111111,0.084
25.0,25.0,0.0,0.0,0.0,25.000000000000004,0.030000000000000002,66.0,0.823858955,0.1
25.0,25.0,0.0,0.0,2.220354809,25.000000000000004,0.030000000000000002,66.0,0.805963702,0.1
25.0,25.0,0.0,0.0,1.821661998,25.000000000000004,0.030000000000000002,66.0,0.809119532,0.067
30.0,30.000000000000004,0.0,0.0,1.0,6.0,0.12000000000000001,64.624082374,2.566208171,2.28
28.0,28.0,0.0,0.0,0.0,4.0,0.060000000000000005,62.06000000000001,0.36,2.02
28.0,28.0,0.0,0.0,10.0,4.0,0.060000000000000005,58.69,0.36,4.07
56.0,56.0,0.0,0.0,0.0,11.0,0.09999999999999998,56.03,0.7384444444,6.04
35.0,0.0,0.0,0.0,0.0,6.0,0.060000000000000005,69.2,0.25,2.5
35.0,0.0,0.0,0.0,6.400000000000001,6.0,0.060000000000000005,65.374,0.25,1.8
