Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Application Rate (%DW),Turning times,Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),NH3-N (g)
26.0,25.999999999999996,0.0,0.0,0.0,2.0,0.05,65.0,0.57,44.57970588
26.0,25.999999999999996,0.0,0.0,3.8,2.0,0.05,65.0,0.57,15.48317647
26.0,25.999999999999996,0.0,0.0,7.300000000000001,2.0,0.05,65.0,0.57,6.177804706
26.0,25.999999999999996,0.0,0.0,8.9,2.0,0.05,65.0,0.57,1.328377647
14.0,14.0,0.0,0.0,23.0,2.0,0.004,56.9,0.1,0.14028784
42.0,42.0,0.5,20.0,5.0,6.0,0.060000000000000005,59.99999999999999,0.0275,0.116275396
19.999999999999996,20.0,0.0,0.0,20.0,7.000000000000001,0.02,65.075,1.066666667,41.17647059
28.0,28.0,0.0,0.0,0.0,3.0,0.060000000000000005,52.2,0.25,16.47058824
28.0,28.0,0.0,0.0,3.728232,3.0,0.060000000000000005,52.2,0.25,24.70588235
60.0,0.0,0.0,0.0,7.5,5.3,0.09999999999999998,58.0,0.0,0.948769
60.0,0.0,0.0,0.0,10.0,5.4,0.09999999999999998,58.0,0.0,11.7648
74.19999999999999,6.0,0.0,0.0,0.0,14.000000000000002,2.3738,68.1481,0.0,12.1413
46.099999999999994,19.099999999999998,2.05,49.99999999999999,25.0,8.5,2.4658,56.0494,1.3084087112000002,9.04727
35.0,35.0,0.0,0.0,6.48,4.0,0.060000000000000005,66.19,0.38,46.61176471
56.0,21.0,0.0,0.0,0.0,5.0,0.4,66.4,0.333,19.97058824
15.0,15.000000000000002,0.0,0.0,3.629764065,0.0,0.16999999999999998,71.0,0.290381125,56.79931765
15.0,15.000000000000002,0.0,0.0,7.30994152,0.0,0.16999999999999998,71.5,0.292397661,39.20848235
15.0,15.000000000000002,0.0,0.0,9.976720983999998,0.0,0.16999999999999998,69.0,0.266045893,33.06231765
70.0,0.0,0.0,0.0,3.3,10.0,1.2,67.821405248,0.0,9.133
70.0,0.0,0.0,0.0,6.6,10.0,1.2,61.68,0.0,0.603
70.0,0.0,0.0,0.0,9.899999999999999,10.0,1.2,62.22961,0.0,10.154
19.0,19.0,0.0,0.0,9.899999999999999,9.0,0.17545000000000002,70.0,10.0,43.67475
35.0,35.0,10.0,240.0,2.386634845,6.0,0.187,58.1,5.966587112,26.86125
35.0,35.0,10.0,240.0,14.319809069999998,6.0,0.187,58.1,5.966587112,24.624
35.0,35.0,10.0,240.0,26.25298329,6.0,0.187,58.1,5.966587112,18.79375
35.0,35.0,10.0,240.0,38.18615752,6.0,0.187,58.1,5.966587112,28.05525
35.0,0.0,0.0,0.0,3.016290988,7.000000000000001,1.0,66.8467,0.0,25.562736
35.0,0.0,0.0,0.0,6.06463077,7.000000000000001,1.0,67.0219,0.0,37.403856
35.0,0.0,0.0,0.0,8.869232043,7.000000000000001,1.0,66.1752,0.0,36.367947
35.0,0.0,0.0,0.0,11.87687246,7.000000000000001,1.0,66.3211,0.0,35.2359
27.0,27.0,15.0,480.0,0.0,1.0,0.7699999999999999,72.0,5.941425942000001,32.546466
27.0,27.0,15.0,480.0,2.1,1.0,0.7699999999999999,72.0,5.907391201,29.8177152
27.0,27.0,15.0,480.0,4.1,1.0,0.7699999999999999,72.0,5.873744166,33.7313313
27.0,27.0,15.0,480.0,6.2,1.0,0.7699999999999999,72.0,5.840937697,34.5762
27.0,27.0,15.0,480.0,8.2,1.0,0.7699999999999999,72.0,5.808041302,31.82875425
27.0,27.0,15.0,480.0,10.3,1.0,0.7699999999999999,72.0,5.775513379,25.1702731
34.0,34.0,30.0,360.0,0.0,8.0,0.060000000000000005,59.99999999999999,0.0,24.84817665
56.0,56.0,0.0,0.0,6.0,11.0,0.13,55.00000000000001,1.111111111,21.79159747
56.0,56.0,0.0,0.0,8.0,11.0,0.13,55.00000000000001,1.111111111,22.39269884
56.0,56.0,0.0,0.0,12.0,11.0,0.13,55.00000000000001,1.111111111,18.77861558
35.0,35.0,10.0,240.0,2.5,5.0,0.18,59.99999999999999,6.250000000000001,8395.925671
35.0,35.0,10.0,240.0,9.230769231,5.0,0.18,59.99999999999999,6.250000000000001,6331.670718
35.0,35.0,10.0,240.0,16.92307692,5.0,0.18,59.99999999999999,6.250000000000001,7314.231318
35.0,35.0,10.0,240.0,24.61538462,5.0,0.18,59.99999999999999,6.250000000000001,6945.986353
50.0,0.0,0.0,0.0,0.0,9.0,0.060000000000000005,60.6,0.0,6306.272
50.0,0.0,0.0,0.0,25.49,9.0,0.060000000000000005,60.1,0.0,7042.668047
30.0,30.000000000000004,0.0,0.0,1.0,6.0,0.12000000000000001,64.624082374,2.566208171,1840.0
28.0,28.0,0.0,0.0,0.0,4.0,0.060000000000000005,62.06000000000001,0.36,1780.0
28.0,28.0,0.0,0.0,10.0,4.0,0.060000000000000005,58.69,0.36,1970.0
56.0,56.0,0.0,0.0,0.0,11.0,0.09999999999999998,56.03,0.7384444444,1960.0
56.0,56.0,0.0,0.0,10.0,11.0,0.09999999999999998,55.00000000000001,0.8286666665999999,4.7667
56.0,56.0,0.0,0.0,10.0,11.0,0.09999999999999998,55.00000000000001,0.8286666665999999,2.42842
35.0,0.0,0.0,0.0,0.0,6.0,0.060000000000000005,69.2,0.25,0.28
35.0,0.0,0.0,0.0,6.400000000000001,6.0,0.060000000000000005,65.374,0.25,2.07
35.0,0.0,0.0,0.0,4.0,6.0,0.060000000000000005,63.29405,0.25,1.16
35.0,0.0,0.0,0.0,6.400000000000001,6.0,0.060000000000000005,65.374,0.25,1.1
50.0,40.0,6.0,144.0,0.0,9.0,0.09999999999999998,59.99999999999999,3.8536587111999996,0.67
50.0,40.0,6.0,144.0,2.0,9.0,0.09999999999999998,59.99999999999999,3.8536587112000005,0.43
50.0,39.199999999999996,6.999999999999999,168.0,4.0,9.0,0.09999999999999998,59.99999999999999,4.3466587112,0.22
70.0,0.0,0.0,0.0,0.0,6.0,22.500000000000004,65.98881,0.0,63.24895294
70.0,0.0,0.0,0.0,0.6,6.0,22.500000000000004,65.98881,0.0,45.08094706
70.0,0.0,0.0,0.0,1.0,6.0,22.500000000000004,65.98881,0.0,3.10847542
70.0,0.0,0.0,0.0,1.6999999999999997,6.0,22.500000000000004,65.98881,0.0,9.90847376
56.0,0.0,0.0,0.0,0.0,8.0,22.500000000000004,65.84881,0.0,7.8949112
56.0,0.0,0.0,0.0,4.0,8.0,22.500000000000004,65.53399999999999,0.0,6.48813329
56.0,0.0,0.0,0.0,38.0,8.0,22.500000000000004,61.45,0.0,22.37508049
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999998,58.4,0.3641251995,13.52102426
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999998,56.199999999999996,0.3621907143,12.66137336
28.0,28.0,0.0,0.0,0.0,0.0,0.09999999999999998,58.8,0.38012519949999996,19.48821346
84.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001,77.0,0.0,9.0104
84.0,0.0,0.0,0.0,0.0,0.0,0.12000000000000001,80.0,0.0,5.773517647
84.0,0.0,0.0,0.0,22.28321168,0.0,0.12000000000000001,84.1,0.0,6.209502353
84.0,0.0,0.0,0.0,9.53373494,0.0,0.12000000000000001,80.7,0.0,3.316138824
84.0,0.0,0.0,0.0,15.84382872,0.0,0.12000000000000001,81.5,0.0,76.32182353
60.0,60.00000000000001,0.0,0.0,8.6,5.0,0.045,59.99999999999999,0.22,34.74067059
60.0,60.00000000000001,0.0,0.0,8.6,5.0,0.045,59.99999999999999,0.44,70.34110588
60.0,60.00000000000001,0.0,0.0,8.6,5.0,0.045,59.99999999999999,0.66,83.44082353
60.0,60.00000000000001,0.0,0.0,4.927837902900001,5.0,0.045,65.0,0.22,10.28588235
60.0,60.00000000000001,0.0,0.0,4.927837902900001,5.0,0.045,65.0,0.44,5.369411765
60.0,60.00000000000001,0.0,0.0,4.927837902900001,5.0,0.045,65.0,0.66,3.771764706
60.0,60.00000000000001,0.0,0.0,1.3941967193,5.0,0.045,70.0,0.22,8.037647059
28.0,28.0,0.0,0.0,0.0,0.0,0.01,63.00000000000001,0.28,49.0
28.0,28.0,0.0,0.0,0.0,0.0,0.01,66.0,0.28,34.0
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,28.0
37.0,37.0,25.0,5.0,0.0,4.0,0.060000000000000005,75.0,0.23999999999999996,14.8405047
37.0,37.0,25.0,5.0,0.0,4.0,0.060000000000000005,75.0,0.4799999999999999,12.7947313
37.0,37.0,25.0,5.0,0.0,4.0,0.060000000000000005,75.0,0.72,10.2219127
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,64.1,0.23999999999999996,9.3585359
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,65.2,0.4799999999999999,7.9264947
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,63.7,0.72,7.4306484
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,71.3,0.23999999999999996,8.998294118
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,70.6,0.4799999999999999,5.777857647
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,70.8,0.72,3.29938
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,75.7,0.23999999999999996,3.188870588
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,76.8,0.4799999999999999,2.604774118
37.0,37.0,0.0,0.0,0.0,4.0,0.060000000000000005,74.0,0.72,2.320615294
87.0,0.0,0.0,0.0,0.0,43.0,0.14399999999999996,71.97881,0.0,1.317647059
87.0,0.0,0.0,0.0,0.0,21.0,0.14399999999999996,68.06881,0.0,1.070588235
87.0,0.0,0.0,0.0,0.0,14.000000000000002,0.14399999999999996,66.16881000000001,0.0,0.905882353
87.0,0.0,0.0,0.0,0.0,43.0,0.14399999999999996,71.97881,0.0,0.494117647
87.0,0.0,0.0,0.0,0.0,21.0,0.14399999999999996,68.06881,0.0,1.00716796
87.0,0.0,0.0,0.0,0.0,14.000000000000002,0.14399999999999996,66.16881000000001,0.0,1.31930642
87.0,0.0,0.0,0.0,0.0,43.0,0.14399999999999996,71.97881,0.0,9.0499464
87.0,0.0,0.0,0.0,0.0,21.0,0.14399999999999996,68.06881,0.0,1.9685552
87.0,0.0,0.0,0.0,0.0,14.000000000000002,0.14399999999999996,66.16881000000001,0.0,6.06382262
65.0,0.0,0.0,0.0,0.0,18.0,0.622,80.3,0.0,3.525
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,70.4,0.0,4.4
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,71.6,0.0,4.2
65.0,0.0,0.0,0.0,0.0,18.0,0.5690000000000001,70.1,0.0,2.9
90.0,0.0,0.0,0.0,0.0,0.0,10.0,69.2,0.0,2.975
90.0,0.0,0.0,0.0,0.0,1.0,10.0,69.2,0.0,2.7
90.0,0.0,0.0,0.0,0.0,3.0,10.0,69.2,0.0,2.7125
88.0,0.0,0.0,0.0,0.0,1.0,10.0,72.5,0.0,2.7
88.0,0.0,0.0,0.0,0.0,1.0,10.0,72.5,0.0,3.9
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,62.5248,0.43638828090000004,3.638793
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,62.0792,0.43638828090000004,3.313746
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,60.3523,0.44438828090000004,3.454392
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,61.109199999999994,0.43638828090000004,2.65936
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,62.01160000000001,0.43638828090000004,3.301533
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,62.5648,0.43638828090000004,2.312403
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,63.1761,0.43638828090000004,84.89
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,57.5744,0.4060918662,218.62
21.999999999999996,22.000000000000004,0.0,0.0,0.0,0.0,0.002,61.183,0.43638828090000004,455.65
56.0,56.0,0.0,0.0,1.730103806,0.0,1.37,71.1,0.108,6303.36
