Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),Initial C/N (%),Initial pH,Initial TC (%),Initial NH3-N (g/kg),Initial density (kg/L),Initial FW (kg),Initial DW (kg),Initial NO2-N (g/kg),NH3-N loss (%)
26.0,26.0,0.0,0.0,2.0,0.0,0.05,65.0,0.57,2.66,15.0,7.60664,39.9,6.77859,0.532,21.42857143,7.5,0.175751,28.0
26.0,26.0,0.0,0.0,2.0,3.8,0.05,65.0,0.57,2.66,15.0,7.41084,39.9,8.11588,0.532,21.42857143,7.5,0.0372636,9.0
26.0,26.0,0.0,0.0,2.0,7.3,0.05,65.0,0.57,2.66,15.0,6.61538,39.9,8.16937,0.532,21.42857143,7.5,0.0522803,4.0
26.0,26.0,0.0,0.0,2.0,8.9,0.05,65.0,0.57,2.66,15.0,6.40734,39.9,8.82914,0.532,21.42857143,7.5,0.025584,0.5
14.0,14.0,0.0,0.0,2.0,0.0,0.004,61.7,0.1,0.984,21.015545935490564,7.87,50.6,1.07,0.275,1.1,0.4213,0.0312,6.79
14.0,14.0,0.0,0.0,2.0,6.0,0.004,61.4,0.1,1.12,44.55357143,7.94,49.9,1.22,0.275,1.1,0.4246,0.0,2.95
14.0,14.0,0.0,0.0,2.0,13.0,0.004,59.3,0.1,0.985,21.015545935490564,7.96,44.9,1.19,0.275,1.1,0.4477,0.0,3.01
14.0,14.0,0.0,0.0,2.0,23.0,0.004,56.9,0.1,0.905,40.99447514,7.83,37.1,1.15,0.275,1.1,0.4741,0.0,2.71
45.0,45.0,30.0,41.85131195335277,7.0,0.0,0.09,65.0,7.56254417,2.46,12.93902439,6.5,31.83,1.13736,0.255555556,22.66810845,7.933837959,0.0304455,3.0
45.0,45.0,30.0,41.85131195335277,7.0,16.87763713,0.09,65.0,7.060511509,3.13,11.15335463,6.1,34.91,1.28735,0.270222222,24.27990822,8.497967877,0.0695545,2.1
