Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),CH4-C loss (%)
60.0,0.0,0.0,0.0,5.0,0.0,0.22,64.9862,0.0,2.65926,0.008
60.0,0.0,0.0,0.0,5.0,10.0,0.22,62.7622,0.0,2.86,0.0012
60.0,0.0,0.0,0.0,5.0,10.0,0.22,60.6549,0.0,2.61,0.0018
35.0,35.0,0.0,0.0,5.0,0.0,0.06,59.99999999999999,0.20000000000000004,1.79,0.33
35.0,35.0,0.0,0.0,5.0,10.0,0.06,59.99999999999999,0.20000000000000004,1.9800000000000002,0.06
35.0,35.0,0.0,0.0,5.0,10.0,0.06,59.99999999999999,0.20000000000000004,1.89,0.09
134.0,0.0,0.0,0.0,5.0,17.8,2.210162561,64.61,0.0,1.32,0.203674121
134.0,0.0,0.0,0.0,5.0,26.9,2.507596353,65.46,0.0,1.29,0.17571885
70.0,0.0,0.0,0.0,10.0,0.0,1.2,67.20881,0.0,2.2077511124,0.21
70.0,0.0,0.0,0.0,10.0,3.3,1.2,67.821405248,0.0,2.2077511124,0.03
70.0,0.0,0.0,0.0,10.0,6.6,1.2,60.43622,0.0,2.0854308085,0.16
70.0,0.0,0.0,0.0,10.0,9.9,1.2,61.46961,0.0,2.1883306138,0.24
70.0,0.0,0.0,0.0,10.0,13.2,1.2,61.53171,0.0,2.2518370941,0.22
70.0,0.0,0.0,0.0,10.0,16.5,1.2,63.38171,0.0,2.3237400941,0.08
44.0,44.0,20.0,20.0,6.0,0.0,0.273,68.45,0.46008,2.53,0.28012436
44.0,44.0,20.0,20.0,6.0,5.890009954,0.275,66.71,0.451058824,2.511,0.232371079
44.0,44.0,20.0,20.0,6.0,11.86352204,0.277,67.58,0.442384615,2.522,0.211626934
44.0,44.0,20.0,20.0,6.0,21.4148812,0.282,65.41,0.426,2.506,0.24485508
76.0,76.0,0.0,0.0,7.0,0.0,0.1625,59.99999999999999,0.1275,2.398,0.355
