Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),CO2-C (g)
45.0,35.0,30.0,720.0,6.0,0.0,0.09,65.0,2.6,2.46,1586.59
45.0,35.0,30.0,720.0,6.0,0.65,0.09,65.0,2.6,2.79,1464.37
45.0,35.0,30.0,720.0,6.0,1.9499999999999997,0.09,65.0,2.6,2.73,1542.98
18.0,18.0,0.0,0.0,0.0,2.4392,0.010209318,59.99999999999999,0.16,6.903017241,55.745712
18.0,18.0,0.0,0.0,0.0,2.4392,0.010209318,59.99999999999999,0.16,6.145359019,57.35448
18.0,18.0,0.0,0.0,0.0,2.4392,0.010209318,59.99999999999999,0.16,6.285229202,50.772096
15.0,15.0,0.0,0.0,0.0,0.0,0.17,70.0,0.263765249,1.7199999999999998,1499.8185
15.0,15.0,0.0,0.0,0.0,13.0971896,0.17,71.8,0.281659991,1.6599999999999997,1332.812652
15.0,6.0,0.0,0.0,0.0,0.0,0.17,70.6,0.289477493,1.59,1251.9108
15.0,6.0,0.0,0.0,0.0,3.104791777,0.17,70.8,0.28881784,1.57,1205.604198
15.0,6.0,0.0,0.0,0.0,3.436883051,0.17,70.1,0.281711726,1.55,1080.537203
15.0,6.0,0.0,0.0,0.0,3.685446,0.17,69.8,0.278672665,1.55,1304.756602
15.0,15.0,0.0,0.0,0.0,10.35226864,0.17,71.1,0.265613051,1.25,1335.777739
16.0,16.0,0.0,0.0,3.0,0.0,0.045,70.9,0.515463918,2.1,12.44103545
16.0,16.0,0.0,0.0,3.0,14.0,0.045,71.7,0.530035336,2.0,13.16755653
16.0,16.0,0.0,0.0,3.0,14.0,0.045,68.3,0.47318612,1.6999999999999997,12.04442692
55.99999999999999,56.0,0.0,0.0,11.0,18.0,0.13,55.0,1.111111111,2.42935,873.77
50.0,50.0,20.0,60.00000000000001,7.0,0.0,0.288,67.71,0.19483992379999995,2.412,3.867763636
50.0,50.0,20.0,60.00000000000001,7.0,12.0,0.288,66.08,0.3529443439,2.53,3.601718182
34.0,34.0,0.0,0.0,7.0,0.0,0.005,67.6,0.033670034,1.46,29.34545455
34.0,34.0,0.0,0.0,7.0,7.7335899999999995,0.005,67.3,0.033670034,1.22,27.6
34.0,34.0,0.0,0.0,7.0,7.128276,0.005,66.8,0.033670034,1.24,31.66363636
34.0,34.0,0.0,0.0,7.0,6.050428,0.005,66.0,0.033670034,1.32,32.42727273
100.0,100.0,0.0,0.0,1.0,0.0,0.00025,50.0,17.85714286,1.52,6.7
100.0,100.0,0.0,0.0,1.0,50.0,0.00025,50.0,11.9047619,1.04,6.8
100.0,100.0,0.0,0.0,1.0,50.0,0.00025,50.0,11.9047619,1.02,6.6
100.0,100.0,0.0,0.0,1.0,50.0,0.00025,50.0,11.9047619,1.03,6.8
100.0,100.0,0.0,0.0,1.0,0.0,0.00025,50.0,8.928571429,1.0,13.3
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.82,12.2
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.8,11.4
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.81,12.2
100.0,100.0,0.0,0.0,1.0,0.0,0.00025,50.0,8.928571429,0.85,13.9
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.7,10.3
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.68,12.3
100.0,100.0,0.0,0.0,1.0,25.0,0.00025,50.0,7.142857143,0.69,12.1
28.0,28.0,0.0,0.0,0.0,0.0,0.01,69.0,0.28,3.7,46.725
28.0,28.0,0.0,0.0,0.0,0.0,0.01,66.0,0.28,3.7,57.1375
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,2.850340136,48.0
28.0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,3.209302326,43.75
28.0,28.0,0.0,0.0,0.0,25.0,0.01,65.0,0.28,2.934131737,41.2
28.0,28.0,0.0,0.0,0.0,14.28571429,0.01,67.0,0.28,3.242857143,39.725
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,2.957142857,50.3
35.0,0.0,0.0,0.0,5.0,0.0,0.004,59.99999999999999,0.0,4.93787,37.321
35.0,0.0,0.0,0.0,5.0,12.5,0.004,59.99999999999999,0.0,4.21598,30.7621
35.0,0.0,0.0,0.0,5.0,12.5,0.004,59.99999999999999,0.0,4.6716,35.2887
35.0,0.0,0.0,0.0,5.0,7.5,0.004,59.99999999999999,0.0,4.06213,19.8614
35.0,0.0,0.0,0.0,5.0,12.5,0.004,59.99999999999999,0.0,4.37574,29.6536
35.0,0.0,0.0,0.0,5.0,20.0,0.004,59.99999999999999,0.0,4.09172,24.4804
35.0,0.0,0.0,0.0,5.0,20.0,0.004,59.99999999999999,0.0,4.03846,24.8499
35.0,0.0,0.0,0.0,5.0,20.0,0.004,59.99999999999999,0.0,3.166656,29.9307
22.0,22.0,0.0,0.0,0.0,0.0,0.002,63.45300000000001,0.4677810546000001,2.29,3.793718182
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.82180000000001,0.5208588784,2.46,3.839781818
22.0,22.0,0.0,0.0,0.0,0.0,0.002,63.5272,0.5109142502999999,2.39,3.333163636
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.745,0.5762901186,2.26,4.070045455
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.5248,0.5610510025000001,2.29,3.943390909
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.07920000000001,0.6157233143000002,2.46,3.200754545
22.0,22.0,0.0,0.0,0.0,0.0,0.002,60.3523,0.6824985980999999,2.14,3.435981818
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.10920000000001,0.6548521020999999,2.12,3.582463636
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.011599999999994,0.5762901186,2.25,3.649581818
22.0,22.0,0.0,0.0,0.0,0.0,0.002,62.5648,0.6131841981999999,2.36,3.796063636
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.575,0.5932901186,2.17,4.034072727
22.0,22.0,0.0,0.0,0.0,0.0,0.002,63.176100000000005,0.5024256827,2.31,3.204081818
22.0,22.0,0.0,0.0,0.0,0.0,0.002,57.57439999999999,0.9031194151999999,2.0,3.553609091
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.18300000000001,0.6548521020999999,2.03,4.088454545
22.0,22.0,0.0,0.0,0.0,0.0,0.002,60.587799999999994,0.6654985980999999,2.24,4.1544
22.0,22.0,0.0,0.0,0.0,0.0,0.002,59.91819999999999,0.6824985981,2.15,4.066472727
22.0,22.0,0.0,0.0,0.0,0.0,0.002,61.034200000000006,0.6654985981,2.21,3.172581818
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,2.048921124,968.6345455
64.0,0.0,0.0,0.0,12.0,0.0,1.1,74.27405248,0.0,2.048921124,1301.941091
64.0,64.0,30.0,1410.0,12.0,0.0,1.1,74.27405248,2.5,2.048921124,1372.934182
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,18.42655855
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,17.57781382
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,16.56346036
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,16.00711855
