Period (d),V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial TN (%),CO2-C loss (%)
28.0,28.0,0.0,0.0,4.0,0.0,0.06,62.06,0.36,1.95,32.11
28.0,28.0,0.0,0.0,4.0,10.0,0.06,58.69,0.36,1.9599999999999997,24.5
34.0,34.0,0.0,0.0,6.0,0.0,0.06,65.0,0.272108844,2.033962,39.47
34.0,34.0,0.0,0.0,6.0,10.0,0.06,65.0,0.262907095,1.7593350000000003,35.38
34.0,34.0,0.0,0.0,6.0,10.28571429,0.06,65.0,0.262653324,1.7593350000000003,30.39
34.0,34.0,0.0,0.0,6.0,14.57142857,0.06,65.0,0.258904704,1.8860877143,35.42
50.0,50.0,0.0,0.0,9.0,0.0,0.09999999999999999,55.0,0.3,2.084,14.697
50.0,50.0,0.0,0.0,9.0,10.0,0.09999999999999999,61.22936000000001,0.3,2.1185258182,9.51515
50.0,50.0,0.0,0.0,9.0,20.0,0.09999999999999999,61.48046,0.3,2.2679318182,9.36364
50.0,50.0,0.0,0.0,9.0,20.5,0.09999999999999999,60.708859999999994,0.3,2.2679318182,8.66667
50.0,50.0,0.0,0.0,9.0,21.0,0.09999999999999999,59.72446,0.3,2.2679318182,7.36364
50.0,50.0,0.0,0.0,9.0,22.0,0.09999999999999999,59.72446,0.3,2.34885,7.15152
90.99999999999999,27.599999999999998,0.0,0.0,13.0,0.0,0.25,59.99999999999999,0.21514999999999998,1.99,18.3728
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,2.02,12.9586
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.93,14.645
90.99999999999999,71.4,0.0,0.0,13.0,25.0,0.25,59.99999999999999,0.7261036723000001,1.9599999999999997,8.07692
90.99999999999999,7.6,0.0,0.0,13.0,0.0,0.25,59.99999999999999,0.012750000000000001,7.869999999999999,19.2604
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.78,10.9172
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.8199999999999998,17.0414
90.99999999999999,71.4,0.0,0.0,13.0,25.0,0.25,59.99999999999999,0.7261036723,1.7599999999999998,10.8284
90.99999999999999,25.200000000000003,0.0,0.0,13.0,0.0,0.25,59.99999999999999,0.025500000000000002,1.67,21.8343
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.63,11.4497
90.99999999999999,49.99999999999999,0.0,0.0,13.0,12.5,0.25,59.99999999999999,0.41755,1.6999999999999997,16.9527
90.99999999999999,56.5,0.0,0.0,13.0,25.0,0.25,59.99999999999999,0.5608500000000001,1.52,11.8935
84.0,0.0,0.0,0.0,0.0,0.0,0.12,81.0,0.0,3.86,9.8
84.0,0.0,0.0,0.0,0.0,0.0,0.12,75.8,0.0,3.18,10.5
84.0,0.0,0.0,0.0,0.0,0.0,0.12,77.3,0.0,2.16,13.4
84.0,0.0,0.0,0.0,0.0,0.0,0.12,77.0,0.0,2.25,26.7
84.0,0.0,0.0,0.0,0.0,0.0,0.12,80.0,0.0,1.8199999999999998,14.7
84.0,0.0,0.0,0.0,0.0,22.28321168,0.12,84.1,0.0,2.26,1.9
84.0,0.0,0.0,0.0,0.0,9.53373494,0.12,80.7,0.0,2.21,13.1
84.0,0.0,0.0,0.0,0.0,15.843828720000001,0.12,81.5,0.0,2.03,7.3
28.0,28.0,0.0,0.0,0.0,0.0,0.01,69.0,0.28,3.7,15.28998665
28.0,28.0,0.0,0.0,0.0,0.0,0.01,62.99999999999999,0.28,3.7,15.59457151
28.0,28.0,0.0,0.0,0.0,0.0,0.01,66.0,0.28,3.7,16.09073489
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,2.850340136,11.49214703
28.0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,3.209302326,12.09027942
28.0,28.0,0.0,0.0,0.0,25.0,0.01,65.0,0.28,2.934131737,8.399103008
28.0,28.0,0.0,0.0,0.0,14.28571429,0.01,67.0,0.28,3.242857143,9.997599695
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,2.957142857,12.09432553
28.0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,3.347107438,15.15253691
37.0,37.0,0.0,0.0,4.0,0.0,0.06,64.1,0.24,2.36,31.4
37.0,37.0,0.0,0.0,4.0,0.0,0.06,65.2,0.48,2.08,42.9
37.0,37.0,0.0,0.0,4.0,0.0,0.06,71.3,0.24,2.06,32.1
37.0,37.0,0.0,0.0,4.0,0.0,0.06,70.8,0.72,2.35,42.4
37.0,37.0,0.0,0.0,4.0,0.0,0.06,75.7,0.24,1.93,33.3
37.0,37.0,0.0,0.0,4.0,0.0,0.06,76.8,0.48,2.37,23.9
37.0,37.0,0.0,0.0,4.0,0.0,0.06,74.0,0.72,2.09,37.2
31.0,30.0,0.0,0.0,1.0,2.9894175695,0.95,69.47,0.312,2.57,35.83
35.0,35.0,0.0,0.0,9.0,0.0,0.1559,66.03,0.6571987049,1.817,30.98
35.0,35.0,0.0,0.0,9.0,0.0,0.2984,65.69,0.7258317014999999,1.8129999999999997,24.52
35.0,35.0,0.0,0.0,9.0,0.0,0.5697,66.14,0.6571987049,1.7959999999999998,20.7
50.0,50.0,0.0,0.0,0.0,0.0,0.03,72.13,0.222862581,2.21,11.79753173
50.0,50.0,0.0,0.0,0.0,0.0,0.03,69.74,0.205260414,2.93,20.03978502
50.0,50.0,0.0,0.0,0.0,0.0,0.03,71.05,0.214548536,3.48,13.35330033
50.0,50.0,0.0,0.0,0.0,0.0,0.02,73.67,0.20000000000000004,3.12,15.25488117
55.99999999999999,56.0,0.0,0.0,0.0,0.0,1.37,69.4,0.108,1.37254902,42.3
55.99999999999999,56.0,0.0,0.0,0.0,1.388888889,1.37,71.2,0.108,2.395833333,40.7
55.99999999999999,56.0,0.0,0.0,0.0,3.703703704,1.37,67.6,0.108,2.191358025,38.8
55.99999999999999,56.0,0.0,0.0,0.0,0.324675325,1.37,69.2,0.108,2.337662338,40.7
55.99999999999999,56.0,0.0,0.0,0.0,2.068965517,1.37,71.0,0.108,2.310344828,36.4
55.99999999999999,56.0,0.0,0.0,0.0,0.0,1.37,70.3,0.108,2.222222222,42.6
55.99999999999999,56.0,0.0,0.0,0.0,2.836879433,1.18,71.8,0.108,2.304964539,42.5
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,2.048921124,5.167
64.0,0.0,0.0,0.0,0.0,0.0,1.1,74.27405248,0.0,2.048921124,9.629
64.0,0.0,0.0,0.0,12.0,0.0,1.1,74.27405248,0.0,2.048921124,12.943
64.0,64.0,30.0,1410.0,12.0,0.0,1.1,74.27405248,2.5,2.048921124,13.648
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,24.81271124
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,23.66981428
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,22.30391303
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,21.55475801
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,12.83668421
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,12.07359141
49.0,0.0,0.0,0.0,0.0,0.0,0.013791,76.28,0.0,4.33,11.37670302
